Kannada,Assamese
ಅಬ್ಯಾಕಸ್,abacus
ಅಸಹಜ ಮುಕ್ತಾಯ,অস্বাভাৱিক সমাপ্তি
ಸ್ಥಗಿತಗೊಳಿಸು,abort
ಸಂಪೂರ್ಣ,নিৰপেক্ষ
ಸಂಪೂರ್ಣ ವಿಳಾಸ,নিৰপেক্ষ ঠিকনা
ಸಂಪೂರ್ಣ ವಿಳಾಸ,নিৰপেক্ষ সম্বোধন
ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್,নিৰপেক্ষ এছেম্বলাৰ
ಸಂಪೂರ್ಣ ಕೋಡ್,নিৰপেক্ষ ক&#39;ড
ಸಂಪೂರ್ಣ ಆಜ್ಞೆ,নিৰপেক্ষ আদেশ
ಸಂಪೂರ್ಣ ಡೇಟಾ,নিৰপেক্ষ তথ্য
ಸಂಪೂರ್ಣ ಸೂಚನೆ,নিৰপেক্ষ নিৰ্দেশনা
ಸಂಪೂರ್ಣ ಮೋಡ್,নিৰপেক্ষ ধৰণ
ಸಂಪೂರ್ಣ ಮಾರ್ಗ,নিৰপেক্ষ পথ
ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್,নিৰপেক্ষ প্ৰগ্ৰেমিং
ಅಮೂರ್ತ ವರ್ಗ,বিমূৰ্ত শ্ৰেণী
ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ,বিমূৰ্ত তথ্যৰ ধৰণ
ಅಮೂರ್ತ ಯಂತ್ರ,বিমূৰ্ত মেচিন
ಅಮೂರ್ತ ಚಿಹ್ನೆ,বিমূৰ্ত চিহ্ন
ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್,বিমূৰ্ত বাক্যবিন্যাস
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,গ্ৰহণযোগ্যতা পৰীক্ষা
ಪ್ರವೇಶ ದೃಢೀಕರಣ,প্ৰৱেশ প্ৰমাণীকৰণ
ಪ್ರವೇಶ ಕೋಡ್,প্ৰৱেশ ক&#39;ড
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ,প্ৰৱেশ নিয়ন্ত্ৰণ
