Kannada,Gujarati
"1.ಅಬ್ಯಾಕಸ್, 2. ಎಣಿಕೆ","1.એબેકસ, 2. ગણતરી"
ಅಸಹಜ ಅಂತ್ಯ,અસામાન્ય અંત
ತಡೆಹಿಡಿಯಿರಿ,ઇન્ટરસેપ્ટ
"1. ಸಂಪೂರ್ಣ, 2. ಸುಪ್ರೀಂ","1. સંપૂર્ણ, 2. સર્વોચ્ચ"
ಸಂಪೂರ್ಣ ವಿಳಾಸ,સંપૂર્ણ સરનામું
ಸಂಪೂರ್ಣ ವಿಳಾಸ ಸಾಮರ್ಥ್ಯ,સંપૂર્ણ સંબોધનક્ષમતા
ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್,સંપૂર્ણ એસેમ્બલર
"1. ಸಂಪೂರ್ಣ ಕೋಡ್, 2. ಸಂಪೂರ್ಣ ಕೋಡ್","1. સંપૂર્ણ કોડ, 2. સંપૂર્ણ કોડ"
ಸಂಪೂರ್ಣ ಆಜ್ಞೆ,સંપૂર્ણ આદેશ
"1. ಸಂಪೂರ್ಣ ಅಂಕಿಅಂಶಗಳು, 2. ಸಂಪೂರ್ಣ ಡೇಟಾ","1. સંપૂર્ણ આંકડા, 2. સંપૂર્ણ ડેટા"
ಸಂಪೂರ್ಣ ಸೂಚನೆ,સંપૂર્ણ સૂચના
ಸಂಪೂರ್ಣ ಮೋಡ್,સંપૂર્ણ મોડ
ಸಂಪೂರ್ಣ ಮಾರ್ಗ,સંપૂર્ણ માર્ગ
"1. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್, 2. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್","1. સંપૂર્ણ પ્રોગ્રામિંગ, 2. સંપૂર્ણ પ્રોગ્રામિંગ"
ಅಮೂರ್ತ ವರ್ಗ,અમૂર્ત વર્ગ
ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ,અમૂર્ત ડેટા પ્રકાર
ಅಮೂರ್ತ ಯಂತ್ರ,અમૂર્ત મશીન
ಅಮೂರ್ತ ಚಿಹ್ನೆ,અમૂર્ત પ્રતીક
ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್,અમૂર્ત વાક્યરચના
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,સ્વીકૃતિ કસોટી
ಪ್ರವೇಶ ಪ್ರಮಾಣೀಕರಣ,પ્રવેશ પ્રમાણપત્ર
"1. ಪ್ರವೇಶ ಕೋಡ್, 2. ಪ್ರವೇಶ ಕೋಡ್","1. એક્સેસ કોડ, 2. ઍક્સેસ કોડ"
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ,વપરાશ નિયંત્રણ
ಪ್ರವೇಶ ಸ್ಕ್ಯಾನಿಂಗ್,ઍક્સેસ સ્કેનિંગ
ಬಿಡಿಭಾಗಗಳು,એસેસરીઝ
ಲೆಕ್ಕಪತ್ರ,નામું
"1. ಖಾತೆ ಐಡಿ, 2. ಲೆಕ್ಕಪತ್ರ ಗುರುತಿಸುವಿಕೆ","1. એકાઉન્ટ ID, 2. એકાઉન્ટિંગ ઓળખ"
ಸಂಚಯಕ,સંચયક
"1. ನಿಖರತೆ, 2. ನಿಖರತೆ","1. ચોકસાઈ, 2. ચોકસાઈ"
ಪ್ರವೇಶ,ઍક્સેસ
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ ಬೈಟ್‌ಗಳು,એક્સેસ કંટ્રોલ બાઇટ્સ
ಪ್ರವೇಶ ಸೂಚಕ,ઍક્સેસ સૂચક
ಪ್ರವೇಶ ಕೀ,ઍક્સેસ કી
"1. ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್, 2. ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್","1. એક્સેસ મેટ્રિક્સ, 2. એક્સેસ મેટ્રિક્સ"
ಪ್ರವೇಶ ಮೋಡ್,ઍક્સેસ મોડ
ಪ್ರವೇಶ ಸವಲತ್ತುಗಳು,ઍક્સેસ વિશેષાધિકારો
ಪ್ರವೇಶ ಭದ್ರತೆ,ઍક્સેસ સુરક્ષા
"1. ಪ್ರವೇಶ ಸರ್ವರ್, 2. ಪ್ರವೇಶ ಸರ್ವರ್","1. એક્સેસ સર્વર, 2. સર્વર ઍક્સેસ કરો"
ಪ್ರವೇಶ ಸಮಯ,ઍક્સેસ સમય
ಸ್ವೀಕೃತಿ,સ્વીકૃતિ
ಅಕೌಸ್ಟಿಕ್ಸ್,ધ્વનિશાસ્ત્ર
"1. ಸಂಕ್ಷಿಪ್ತ ರೂಪ, 2. ಸಂಕ್ಷೇಪಣ, 3. ನಿಂದ ಚಿಕ್ಕದಾಗಿದೆ","1. ટૂંકાક્ષર, 2. સંક્ષેપ, 3. થી ટૂંકું"
ಕ್ರಿಯೆಯ ಸಂದೇಶ,ક્રિયા સંદેશ
ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ,સક્રિયકરણ
ಸಕ್ರಿಯ ಸರ್ವರ್ ಪುಟ,સક્રિય સર્વર પૃષ્ઠ
ಸಕ್ರಿಯ ಆವೃತ್ತಿ,સક્રિય સંસ્કરણ
ಅಸೈಕ್ಲಿಕ್,એસાયક્લિક
"1. ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್, 2. ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್","1. એસાયક્લિક ગ્રાફ, 2. એસાયક્લિક ગ્રાફ"
ಅದಾ ಕಂಪ್ಯೂಟರ್ ಭಾಷೆ,અદા કોમ્પ્યુટર ભાષા
"1. ಆಪ್ಟಿಮೈಜರ್, 2. ಆಪ್ಟಿಮೈಜರ್","1. ઑપ્ટિમાઇઝર, 2. ઑપ્ટિમાઇઝર"
ಒಟ್ಟು),સરવાળે)
ಮೊತ್ತದ ಕಡತ,સરવાળો ફાઇલ
"1. ಸೇರ್ಪಡೆ ಕಾರ್ಯಾಚರಣೆ, 2. ಮೊತ್ತದ ಕಾರ್ಯಾಚರಣೆ","1. એડિશન ઓપરેશન, 2. સરવાળો કામગીરી"
ಸೇರಿಸುವವನು,ઉમેરનાર
ಗೊತ್ತು,જાણો
ವಿಳಾಸ ಬಸ್,સરનામું બસ
ವಿಳಾಸ ಫೈಲ್,સરનામું ફાઇલ
ವಿಳಾಸ ಸ್ವರೂಪ,સરનામું ફોર્મેટ
ವಿಳಾಸ ಜನರೇಟರ್,સરનામું જનરેટર
ವಿಳಾಸ ಸಾಲು,એડ્રેસ લાઇન
ವಿಳಾಸ ಮ್ಯಾಪಿಂಗ್,સરનામું મેપિંગ
ವಿಳಾಸ ಸೂಚಕ,સરનામું સૂચક
ವಿಳಾಸ ರಿಜಿಸ್ಟರ್,સરનામું રજીસ્ટર
ವಿಳಾಸ ಸ್ಥಗಿತ,સરનામું ભંગાણ
