Punjabi,Kannada
abacus,ಅಬ್ಯಾಕಸ್
ਅਸਧਾਰਨ ਸਮਾਪਤੀ,ಅಸಹಜ ಮುಕ್ತಾಯ
ਅਧੂਰਾ ਛੱਡੋ,ಸ್ಥಗಿತಗೊಳಿಸು
ਅਸੀਮ,ಸಂಪೂರ್ಣ
ਪੂਰਾ ਪਤਾ,ಸಂಪೂರ್ಣ ವಿಳಾಸ
ਪੂਰਨ ਸੰਬੋਧਨ,ಸಂಪೂರ್ಣ ವಿಳಾಸ
ਪੂਰਨ ਅਸੈਂਬਲਰ,ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್
ਪੂਰਨ ਕੋਡ,ಸಂಪೂರ್ಣ ಕೋಡ್
ਪੂਰਨ ਹੁਕਮ,ಸಂಪೂರ್ಣ ಆಜ್ಞೆ
ਪੂਰਨ ਡਾਟਾ,ಸಂಪೂರ್ಣ ಡೇಟಾ
ਪੂਰਨ ਹਿਦਾਇਤ,ಸಂಪೂರ್ಣ ಸೂಚನೆ
ਪੂਰਨ ਮੋਡ,ಸಂಪೂರ್ಣ ಮೋಡ್
ਪੂਰਨ ਮਾਰਗ,ಸಂಪೂರ್ಣ ಮಾರ್ಗ
ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ,ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್
ਐਬਸਟਰੈਕਟ ਕਲਾਸ,ಅಮೂರ್ತ ವರ್ಗ
ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ,ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ
ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ,ಅಮೂರ್ತ ಯಂತ್ರ
ਸੰਖੇਪ ਚਿੰਨ੍ਹ,ಅಮೂರ್ತ ಚಿಹ್ನೆ
ਸੰਖੇਪ ਸੰਟੈਕਸ,ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್
