Marathi,Assamese
अजैविक पुनरुत्पादन,অজৈৱিক প্ৰজনন
अलौकिक,অস্বাভাৱিক
1. चौथे पोट 2. इवोमासोम,১/ চতুৰ্থ পেট ২) ইভ’মাজম
रंध्र वाढीचा अवयव,ষ্টোমেটাল বৃদ্ধিৰ অংগ
वाढ खुंटलेले बीज,স্তব্ধ বৃদ্ধিৰ বীজ
1. गर्भपात 2. गर्भपात 3. वाढीचा प्रतिकार,১/ গৰ্ভপাত ২/ গৰ্ভপাত ৩/ বৃদ্ধি প্ৰতিৰোধ ক্ষমতা
1. अवांछित तण 2. पूर्ण तण,১/ অবাঞ্চিত অপতৃণ ২/ সম্পূৰ্ণ অপতৃণ
शोषलेले केशन,শোষিত কেটিয়ন
शोषण,শোষণ
Abyssinian मोहरी,এবিচিনিয়ান সৰিয়হ
1. ऍकेरिसाइड,১.একেৰিচাইড
केंद्राभिमुख,centripetal
प्रवर्धन (सेल),বৃদ্ধি (কোষ)
मंजूर सहिष्णुता,অনুমোদিত সহনশীলতা
1.अतिरिक्त 2.अॅक्सेसरी 3.अॅक्सेसरी,1.অতিৰিক্ত 2. আনুষংগিক 3. আনুষংগিক
रुपांतर,অভিযোজন
जमा,সঞ্চয়
1. अचूकता 2. अचूकता,1.vaccuracy 2. নিখুঁততা
1. एसरव्हुलस 2. स्पोरोफाइट,১.এচাৰভুলাছ ২.স্প’ৰ’ফাইট
1. एसिटायझेशन 2. व्हिनेगर बनवणे 3. एसिटिलीन,১/ এচিটাইজেচন ২.ভিনেগাৰ বনোৱা ৩.এচিটাইলেন
1. आम्लीकरण 2. आम्लीकरण,১.এচিডিকৰণ ২.এচিডিকৰণ
1. ऍसिडोमीटर 2. ऍसिडीमीटर,১.এচিডমিটাৰ ২.এচিডিমিটাৰ
आंबटपणा,এচিডিটি
ऍसिडोफाइल,এচিডোফাইল
ऍसिडिफाइड रॉक फॉस्फेट,এচিডিফাইড ৰক ফছফেট
आम्लीकृत,এচিডিফাইড
जलचर,জলধাৰা
संपादन,অধিগ্ৰহণ
एकर,একৰ
1. क्षेत्रफळ 2. क्षेत्रफळ,১.ক্ষেত্ৰফল ২.ক্ষেত্ৰফল
अंतिम बिंदू गुणसूत्र,শেষ বিন্দু ক্ৰম’জম
पुढे दिसणारा,আগলৈ চাই থকা
acrosome,acrosome
actinomycetes,actinomycetes
सक्रिय कोर,সক্ৰিয় কোৰ
1. उग्र 2. तीव्र,1. উত্তেজিত 2. তীব্ৰ
अनुकूलता,অভিযোজন ক্ষমতা
सानुकूलन,কাষ্টমাইজেচন
1. आसंजन 2. आसंजन,১.আঠাযুক্ততা ২.আঠাযুক্ততা
सेबेशियस,তৈলাক্ত
समायोजन समीकरण,সমন্বয় সমীকৰণ
adobe माती,এডোব মাটি
भेसळ करणारा,ব্যভিচাৰী
एक्टोपिक,এক্ট&#39;পিক
Isidiospore Isidium बीजाणू,Isidiospore Isidium বিজাণু
वायुगतिकीय प्रक्रिया,বায়ুগতিশীল প্ৰক্ৰিয়া
वेंट्रल,ventral
वायुवीजन करणे,বায়ুমণ্ডলীয় কৰা
1. हवा 2. आकाशी,১.বায়ু ২.আকাশী
1. एरोमीटर 2. एरोमीटर 3. एरोमीटर,১.এৰ’মিটাৰ ২.এৰ’মিটাৰ ৩.এৰ’মিটাৰ
एरोसोल,এৰ&#39;ছল
1. फुलणे 2. उन्हाळी सुप्तता,১/ পুষ্পশোভিত ২) গ্ৰীষ্মকালীন নিদ্ৰা
रोग विज्ञान,ৰোগৰ বিজ্ঞান
वनीकरण,বনানীকৰণ
1. आंदोलन 2. अशांतता,১.আন্দোলন ২.অস্থিৰতা
Agmark,আগমাৰ্ক
1. जमिनीशी संबंधित 2. कृषी,১/ ভূমি সম্পৰ্কীয় ২/ কৃষি
कृषी चिकित्सालय,কৃষি ক্লিনিক
1. शेतमजूर 2. शेतमजूर,১/ কৃষি শ্ৰম ২) কৃষি শ্ৰম
कृषी विपणन,কৃষি বিপণন
कृषी तंत्रज्ञान,কৃষি প্ৰযুক্তি
1. शेती 2. शेती 3. कृषी विज्ञान,1. কৃষি 2. কৃষি 3. কৃষি বিজ্ঞান
कृषी वनीकरण,কৃষি বনজ
कृषी जैवविविधता,কৃষি জৈৱ বৈচিত্ৰ্য
कृषी सेंद्रिय दोष,কৃষি জৈৱিক দোষ
कृषी जीवशास्त्र,কৃষি জীৱবিজ্ঞান
कृषी-हवामान विविधता,কৃষি-জলবায়ু বৈচিত্ৰ্য
कृषी हवामान क्षेत्र निर्मिती,কৃষি জলবায়ু মণ্ডল সৃষ্টি
कृषी वनीकरण,কৃষি বনানীকৰণ
कृषीशास्त्र,কৃষি বিজ্ঞান
कृषीविषयक,কৃষিভিত্তিক
कृषी खेडूत,কৃষি পশুপালন
पीक प्रक्रिया,শস্য প্ৰক্ৰিয়াকৰণ
गवत विज्ञान,ঘাঁহ বিজ্ঞান
पीक प्रकार,শস্যৰ প্ৰকাৰ
epiphyte,এপিফাইট
aikiochi माती,আইকিওচি মাটি
रंगाधळेपण,ৰঙৰ অন্ধতা
अल्फिसोल,আলফিছল
एकपेशीय वनस्पती,শেলাই
एकपेशीय वनस्पती रोग,শেলাইৰ ৰোগ
अल्कली पाणी,ক্ষাৰকীয় পানী
अल्कधर्मी,ক্ষাৰকীয়
पर्यायी,বিকল্প
allelo रसायनशास्त्र,allelo ৰসায়ন বিজ্ঞান
एलील,এলিল
ऍलेलोपॅथी,এলেল&#39;পেথী
वेठी पीक,ভেঠী শস্য
पूर्णता,consummation
