Odiya,Malayalam
AC ସମାନ ସର୍କିଟ |,എ.സി തുല്യമായ സർക്യൂട്ട്
ସାଂଖ୍ୟିକ ରୂପାନ୍ତରକାରୀ ସହିତ ଅନୁରୂପ |,അനലോഗ് ടു ന്യൂമെറിക് കൺവെർട്ടർ
ସଂପୂର୍ଣ୍ଣ ଶୂନ,കേവല പൂജ്യം
ଶୋଷଣ ଗୁଣବତ୍ତା,ആഗിരണം ഗുണകം
ଅବଶୋଷଣ ସ୍ପେକ୍ଟ୍ରମ୍ |,ആഗിരണം സ്പെക്ട്രം
ରିସେପ୍ଟର ପରମାଣୁ |,റിസപ്റ്റർ ആറ്റം
ବ current କଳ୍ପିକ ସାମ୍ପ୍ରତିକ ଯୋଡି |,ആൾട്ടർനേറ്റിംഗ് കറന്റ് കപ്ലിംഗ്
ଇଲେକ୍ଟ୍ରନ୍ ଅମଳ,ഇലക്ട്രോൺ വിളവെടുപ്പ്
ଗର୍ତ୍ତ ସଂରକ୍ଷଣ,ദ്വാര സംഭരണം
ସକ୍ରିୟ ଶକ୍ତି,സജീവമാക്കൽ ഊർജ്ജം
ସକ୍ରିୟ ଏମ୍ପ୍ଲିଫାୟର୍ |,സജീവ ആംപ്ലിഫയർ
ସକ୍ରିୟ ଡାୟୋଡ୍ ସର୍କିଟ୍ |,സജീവ ഡയോഡ് സർക്യൂട്ട്
ସକ୍ରିୟ ଫିଲ୍ଟର୍ |,സജീവ ഫിൽട്ടർ
ସକ୍ରିୟ ହାଇ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍କେଟ୍ ଫିଲ୍ଟର୍ |,സജീവമായ ഉയർന്ന ഫ്രീക്വൻസി പാർക്ക്വെറ്റ് ഫിൽട്ടർ
ସକ୍ରିୟ ଭାର,സജീവ ലോഡ്
ସକ୍ରିୟ ନିମ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍ସ ଫିଲ୍ଟର୍ |,സജീവമായ ലോ ഫ്രീക്വൻസി പാഴ്സ് ഫിൽട്ടർ
ସକ୍ରିୟ କ୍ଷେତ୍ର |,സജീവമായ പ്രദേശം
ଆଡାପ୍ଟିଭ୍ ଇଲେକ୍ଟ୍ରୋନିକ୍ସ |,അഡാപ്റ്റീവ് ഇലക്ട്രോണിക്സ്
ଆଡର୍,ചേർക്കുന്നയാൾ
ଆଡଜଷ୍ଟେବଲ୍ ବ୍ୟାଣ୍ଡ ଏକ୍ସଟେନ୍ସନ୍ |,ക്രമീകരിക്കാവുന്ന ബാൻഡ് വിപുലീകരണം
ଅନୁପ୍ରବେଶ,നുഴഞ്ഞുകയറ്റം
ଆରିଏଲ,ഏരിയൽ
ପେପ୍ ଫ୍ରିକ୍ୱେନ୍ସି |,പെപ് ആവൃത്തി
ଶିତତାପ ନିୟନ୍ତ୍ରଣକାରି,എയർ കണ്ടീഷണർ
ଶ୍ରେଣୀବଦ୍ଧତା |,വിന്യാസം
ଆଲଗୋରିଦମ |,അൽഗോരിതം
ସମସ୍ତ ପାସ୍ ଫିଲ୍ଟର୍ |,എല്ലാ പാസ് ഫിൽട്ടറും
ମିଶ୍ରିତ ଜଙ୍କସନ |,അലോയ് ജംഗ്ഷൻ
ଆଘାତ,ശോഷണം
ବ current କଳ୍ପିକ କରେଣ୍ଟ୍ |,ആൾട്ടർനേറ്റിംഗ് കറന്റ്
ପରିବେଶର ତାପମାତ୍ରା |,അന്തരീക്ഷ ഊഷ്മാവ്
ଦ୍ୱିପାକ୍ଷିକ,ബൈപോളാർ
ବୃଦ୍ଧି,ആംപ്ലിഫിക്കേഷൻ
ଏମ୍ପ୍ଲିଫାୟର୍,ആംപ്ലിഫയർ
ଏମ୍ପ୍ଲିଫାୟର୍ ଦକ୍ଷତା |,ആംപ്ലിഫയർ കാര്യക്ഷമത
ପରିମାପ,അളവുകൾ
ପ୍ରଶସ୍ତତା ଆଘାତ,ആംപ്ലിറ്റ്യൂഡ് അറ്റൻവേഷൻ
ବିସ୍ତାର ମଡ୍ୟୁଲେଡ୍ ଏମ୍ ଓସିଲେଟର,ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റഡ് AM ഓസിലേറ്റർ
ପ୍ରଶସ୍ତିକରଣ ମୋଡ୍ୟୁଲେସନ,ആംപ്ലിറ്റ്യൂഡ് മോഡുലേഷൻ
ପ୍ରଶସ୍ତିକରଣ ମଡ୍ୟୁଲେଟର,ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റർ
ଆଙ୍ଗଷ୍ଟ୍ରମ୍ ୟୁନିଟ୍ |,angstrom യൂണിറ്റ്
ଆନାଗଲ୍ ସର୍କିଟ୍ |,അനലോഗ് സർക്യൂട്ട്
ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |,അനലോഗ് കമ്പ്യൂട്ടർ
ଆନାଲଗ୍ ଫିଲ୍ଟର୍ |,അനലോഗ് ഫിൽട്ടർ
ଆନାଗଲ୍ ମଲ୍ଟିମିଟର |,അനലോഗ് മൾട്ടിമീറ്റർ
ଆନାଗଲ୍ ସୁଇଚ୍ |,അനലോഗ് സ്വിച്ച്
ଏବଂ ଫାଟକ |,ഒപ്പം ഗേറ്റും
କୋଣ ଅନୁକୋଣ,കോണീയ ആവൃത്തി
"ଆୟନ, ଆୟନ","അയോൺ, അയോൺ"
