English,Hindi
Acidoid,एसीडायड
Aeolian soil,जलोढ़ मृदा
Aggregate,समुच्चय
Aggregation,समुच्चयन
Agrology,सस्य मृदा विज्ञान
Agronomy,सस्य विज्ञान
A-horizon,"A-संस्तर, A-होराइजन"
Ao-horizon ,Ao-संस्तर/Ao-होराइजन
Aoo-horizon,Aoo-संस्तर/होराइजन
Air capacity of soil,मृदा की वायु धारिता
Air content of soil,मृदा का वायु अंग
Air picnometer,वायु पिक्नोमीटर
Allitic soil,एलीटिक मृदा
Alluvial soil,जलोढ़ मृदा
Ampholytoid,एम्फोलीटायड
Anion,ऋणायन
"Apparent specific gravity volume weight or bulk specific gravity,""",आभासी आपेक्षिक घनत्व आयतन भार या आयतन आपेक्षित घनत्व
Arris,कोर
Ashlar fine masonry,बारीक वराश्म चिनाई
Ashlar masonry,वराश्म चिनाई
Azonal soil,अस्तरीय मृदा/अक्षेत्रीय मृदा
Back acter ,कर्ष खनित्र
Back arch,पश्च डाट
Back band,पश्च पट्ट
Back brush,उपटा प्रलेप
Back check,पश्च रोधक
Back counter,पश्च पटल
Back cutting,पश्च कर्तन
Back draft damper,उपटा झोंका अवमंदक
Back drain,पश्च नली
Back drop,पश्च पट
Back fill,पृष्ठ भरण
Back fillet,पश्च पट्टिका
Back flap hinge,पृष्ठ पल्ला कब्जा
Back flow connection,प्रतीप प्रवाह संयोजन
Back flow preventer,प्रतीप प्रवाह निरोधक
Back gauge ,पश्चांतर
Back gutter ,पश्च नली
Back hearth,अग्निस्थान पृष्ठ
Backing,पीठ/पृष्ठ भाग
Backing board,पिछला तख्ता
Back pressure,पश्च दाब
Back prop,पश्च टेक
Back sight ,पश्चावलोकन
Back water,पश्चजल
Baffle,व्यारोध
Bagwork ,थैला पुशताबंदो
Ballast,गिट्टी
Ball clay,बॉल मृत्तिका
Ball cone clamp,बॉल शंकुआकार शिकंजा
Barbed wire,काँटेदार तार
Bar dog,छड़ कुत्ता
Barge board,त्रयंकी पार्श्व फलक
Barium sulphate test,बेरियम सल्फेट परीक्षण
Barrage,बैराज
Barrett,बरेट
Base,क्षार
Base exchange,बेस विनिमय
Base line ,आधार रेखा
Basement,तहखाना/अधोभवन
Basement wall,अधोगृह भित्ति
Base plate,आधार पट्टिका
"Base plate, adjustable",समायोज्य आधार पट्टिका
Base saturation,क्षार संतृप्ति
Basoid,बेसाइड
Bat,रोड़ा
Bath and W.C.,स्नानागर व शौच कुण्ड
Batter peg,सलामी खूँटी
Batter pier,सलामी पाया
Batter rule,सलामी नियम
Baulk (balk),बॉक
Bay,खंडक
Bearer,धारक
Bearing capacity,धारण क्षमता
Bearing pile,धारक पाइल
Bearing stratum,धारक स्तर
Bed,आधार तल
Bedding plane,संस्तरण तल
Bed joint,पड़ी दरज
Bed rock,अश्माधार
Bed room,शयन कक्ष
Beeswax,मधुमोम
Bell box,बैल बॉक्स
Belling bucket,बैलिंग बकेट
Bellofram,बैलोफ्राम
Benched foundation,पैड़ीदार नींव
Benching,पैड़ी बनाना
