Bengali,Malayalam
আবেলি গ্রুপ,അബെലി ഗ്രൂപ്പ്
আবেলি গ্রুপ,അബെലി ഗ്രൂപ്പ്
হাত,കൈ
"পরম, পরম, ধ্রুবক, সুনির্দিষ্ট","കേവലം, കേവലം, സ്ഥിരം, കൃത്യമായ"
পরম মিলন,കേവലമായ ഒത്തുചേരൽ
পরম ত্রুটি,സമ്പൂർണ്ണ പിശക്
সর্বোচ্চ সর্বোচ্চ,പരമോന്നത പരമോന്നത
পরম সর্বনিম্ন,ഏറ്റവും താഴ്ന്നത്
পরম মান,യഥാർത്ഥ മൂല്യം
পরম বেগ,കേവല വേഗത
বিমূর্ত বীজগণিত,അമൂർത്ത ബീജഗണിതം
বিমূর্ত গ্রুপ তত্ত্ব,അമൂർത്തമായ ഗ്രൂപ്പ് സിദ്ധാന്തം
ত্বরণ,ത്വരണം
মহাকর্ষীয় ত্বরণ,ഗുരുത്വാകർഷണ ത്വരണം
গ্রহণযোগ্য নির্বাচক,സ്വീകാര്യമായ സെലക്ടർ
গ্রহণযোগ্য মানের স্তর,സ്വീകാര്യമായ നിലവാരം
গ্রহণযোগ্য প্রাঙ্গনে,സ്വീകാര്യമായ പരിസരം
বৈধ নির্ভরযোগ্যতা স্তর,സാധുവായ വിശ്വാസ്യത നില
গ্রহণযোগ্যতা নমুনা,സ്വീകാര്യത സാമ്പിൾ
সঞ্চিত ত্রুটি,സഞ്ചിത പിശക്
সঠিকতা,കൃത്യത
প্রযুক্ত বল,പ്രയോഗിച്ച ബലം
"কর্ম, কাজ","പ്രവൃത്തി, പ്രവൃത്തി"
কর্ম এবং প্রতিক্রিয়া,പ്രവർത്തനവും പ്രതികരണവും
বীমা বিজ্ঞান,ഇൻഷുറൻസ് ശാസ്ത്രം
তীব্র ত্রিভুজ,നിശിത ത്രികോണം
অ্যাসাইক্লিক,അസൈക്ലിക്
যোগফল,സംഗ്രഹിക്കാനായി
যোগকারী,ചേർക്കുന്നയാൾ
"যোগফল, যোগ, যোগফল (গ.), যোগ (v.)","തുക, കൂട്ടിച്ചേർക്കൽ, സംഗ്രഹം (സി.), സങ്കലനം (വി.)"
যোগের সূত্র,യോഗയുടെ ഫോർമുല
জটিল সংখ্যার যোগফল,സങ്കീർണ്ണ സംഖ്യകളുടെ ആകെത്തുക
ফাংশনের যোগফল,പ്രവർത്തനങ്ങളുടെ ആകെത്തുക
ম্যাট্রিক্সের যোগফল,മെട്രിക്സുകളുടെ ആകെത്തുക
বহুপদীর সমষ্টি,ബഹുപദങ്ങളുടെ ആകെത്തുക
সম্ভাবনার যোগফল,സാധ്യതകളുടെ ആകെത്തുക
ভেক্টরের সমষ্টি,വെക്റ്ററുകളുടെ ആകെത്തുക
