Odiya,Punjabi
AC ସମାନ ସର୍କିଟ |,ਏ.ਸੀ ਬਰਾਬਰ ਸਰਕਟ
ସାଂଖ୍ୟିକ ରୂପାନ୍ତରକାରୀ ସହିତ ଅନୁରୂପ |,ਐਨਾਲਾਗ ਤੋਂ ਸੰਖਿਆਤਮਕ ਕਨਵਰਟਰ
ସଂପୂର୍ଣ୍ଣ ଶୂନ,ਪੂਰਨ ਜ਼ੀਰੋ
ଶୋଷଣ ଗୁଣବତ୍ତା,ਸਮਾਈ ਗੁਣਾਂਕ
ଅବଶୋଷଣ ସ୍ପେକ୍ଟ୍ରମ୍ |,ਸਮਾਈ ਸਪੈਕਟ੍ਰਮ
ରିସେପ୍ଟର ପରମାଣୁ |,ਰੀਸੈਪਟਰ ਐਟਮ
ବ current କଳ୍ପିକ ସାମ୍ପ୍ରତିକ ଯୋଡି |,ਬਦਲਵੀਂ ਮੌਜੂਦਾ ਜੋੜੀ
ଇଲେକ୍ଟ୍ରନ୍ ଅମଳ,ਇਲੈਕਟ੍ਰੋਨ ਵਾਢੀ
ଗର୍ତ୍ତ ସଂରକ୍ଷଣ,ਮੋਰੀ ਸਟੋਰੇਜ਼
ସକ୍ରିୟ ଶକ୍ତି,ਸਰਗਰਮੀ ਊਰਜਾ
ସକ୍ରିୟ ଏମ୍ପ୍ଲିଫାୟର୍ |,ਸਰਗਰਮ ਐਂਪਲੀਫਾਇਰ
ସକ୍ରିୟ ଡାୟୋଡ୍ ସର୍କିଟ୍ |,ਸਰਗਰਮ diode ਸਰਕਟ
ସକ୍ରିୟ ଫିଲ୍ଟର୍ |,ਸਰਗਰਮ ਫਿਲਟਰ
ସକ୍ରିୟ ହାଇ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍କେଟ୍ ଫିଲ୍ଟର୍ |,ਐਕਟਿਵ ਹਾਈ ਫ੍ਰੀਕੁਐਂਸੀ ਪਾਰਕਵੇਟ ਫਿਲਟਰ
ସକ୍ରିୟ ଭାର,ਸਰਗਰਮ ਲੋਡ
ସକ୍ରିୟ ନିମ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍ସ ଫିଲ୍ଟର୍ |,ਕਿਰਿਆਸ਼ੀਲ ਘੱਟ ਬਾਰੰਬਾਰਤਾ ਪਾਰਸ ਫਿਲਟਰ
ସକ୍ରିୟ କ୍ଷେତ୍ର |,ਸਰਗਰਮ ਖੇਤਰ
ଆଡାପ୍ଟିଭ୍ ଇଲେକ୍ଟ୍ରୋନିକ୍ସ |,ਅਨੁਕੂਲ ਇਲੈਕਟ੍ਰੋਨਿਕਸ
ଆଡର୍,ਜੋੜਨ ਵਾਲਾ
ଆଡଜଷ୍ଟେବଲ୍ ବ୍ୟାଣ୍ଡ ଏକ୍ସଟେନ୍ସନ୍ |,ਵਿਵਸਥਿਤ ਬੈਂਡ ਐਕਸਟੈਂਸ਼ਨ
ଅନୁପ୍ରବେଶ,ਪ੍ਰਵੇਸ਼
ଆରିଏଲ,ਏਰੀਅਲ
