Assamese,Bengali
এচিড’ইড,অ্যাসিডয়েড
ইঅ’লিয়ান মাটি,বায়বীয় মাটি
গোট খোৱা,সমষ্টি
সংগ্ৰহ,সমষ্টি
কৃষি বিজ্ঞান,কৃষিবিদ্যা
কৃষি বিজ্ঞান,কৃষিবিদ্যা
এ-দিগন্ত,A- দিগন্ত
আও-দিগন্ত,আও-দিগন্ত
আও-দিগন্ত,আও-দিগন্ত
মাটিৰ বায়ু ক্ষমতা,মাটির বায়ু ক্ষমতা
মাটিৰ বায়ুৰ পৰিমাণ,মাটির বায়ু উপাদান
এয়াৰ পিকনোমিটাৰ,এয়ার পিকনোমিটার
এলিটিক মাটি,অ্যালিটিক মাটি
জলজ মাটি,পলিমাটি
এম্ফোলাইট’ইড,অ্যামফোলাইটয়েড
এনিয়ন,অ্যানিয়ন
"আপাত নিৰ্দিষ্ট মাধ্যাকৰ্ষণৰ আয়তনৰ ওজন বা বাল্ক নিৰ্দিষ্ট মাধ্যাকৰ্ষণ,&quot;","আপাত নির্দিষ্ট মাধ্যাকর্ষণ আয়তনের ওজন বা বাল্ক নির্দিষ্ট মাধ্যাকর্ষণ,&quot;"
আৰিছ,আরিস
আছলাৰ মিহি শিলৰ কাম,আশলার সূক্ষ্ম গাঁথনি
আছলাৰ শিলৰ কাম,আশলার রাজমিস্ত্রি
এজ’নেল মাটি,অ্যাজোনাল মাটি
পিঠিৰ অভিনেতা,পেছনের অভিনেতা
পিছফালৰ খোলা,পিছনের খিলান
বেক বেণ্ড,ব্যাক ব্যান্ড
পিছফালৰ ব্ৰাছ,পিছনের ব্রাশ
বেক চেক,ফিরে চেক
বেক কাউণ্টাৰ,পিছনে কাউন্টার
পিঠি কাটি থকা,পিছনে কাটা
বেক ড্ৰাফ্ট ডেম্পাৰ,ব্যাক ড্রাফ্ট ড্যাম্পার
বেক ড্ৰেইন,পিছনের ড্রেন
বেক ড্ৰপ,ব্যাকড্রপ
বেক ফিল,ব্যাক ফিল
পিছফালৰ ফিলেট,ব্যাক ফিললেট
বেক ফ্লেপ হিঞ্জ,পিছনে ফ্ল্যাপ কবজা
বেক ফ্ল&#39; সংযোগ,পিছনে প্রবাহ সংযোগ
বেক ফ্ল’ প্ৰিভেণ্টাৰ,পিছনে প্রবাহ প্রতিরোধক
বেক গেজ,ব্যাক গেজ
পিছফালৰ নালা,পিছনে নর্দমা
পিছফালৰ অগ্নিকুণ্ড,পিছনের চুলা
বেকিং,ব্যাকিং
বেকিং বৰ্ড,ব্যাকিং বোর্ড
পিঠিৰ চাপ,ফিরতি চাপ
বেক প্ৰপ,পিছনে প্রপ
পিছফালৰ দৃষ্টি,পিছনের দৃষ্টি
পিছফালৰ পানী,পিঠের জল
বেফেল,বিভ্রান্ত
বেগৱৰ্ক,ব্যাগওয়ার্ক
বেলেষ্ট,ব্যালাস্ট
বল মাটি,বল কাদামাটি
বল কন ক্লেম্প,বল শঙ্কু বাতা
কাঁইটীয়া তাঁৰ,কাঁটাতার
বাৰ কুকুৰ,বার কুকুর
বাৰ্জ বৰ্ড,বার্জ বোর্ড
বেৰিয়াম ছালফেট পৰীক্ষা,বেরিয়াম সালফেট পরীক্ষা
বেৰেজ,ব্যারেজ
বেৰেট,ব্যারেট
ভেঁটি,বেস
ভিত্তি বিনিময়,বেস বিনিময়
ভিত্তি লাইন,বেস লাইন
বেছমেণ্ট,বেসমেন্ট
বেছমেণ্টৰ দেৱাল,বেসমেন্ট প্রাচীর
বেচ প্লেট,বেস প্লেট
"বেচ প্লেট, নিয়ন্ত্ৰণযোগ্য","বেস প্লেট, নিয়মিত"
ভিত্তি পৰিপূৰকতা,বেস স্যাচুরেশন
বেছ’ইড,বেসয়েড
বেট,ব্যাট
বাথ আৰু ডব্লিউ চি,স্নান এবং WC
বেটাৰ পেগ,ব্যাটার পেগ
বেটাৰ ঘাট,ব্যাটার পিয়ার
বেটাৰৰ নিয়ম,ব্যাটারের নিয়ম
Baulk (বালক),বাল্ক (বাল্ক)
উপসাগৰ,বে
বাহক,বহনকারী
বহন ক্ষমতা,ভারবহন ক্ষমতা
বেয়াৰিং পাইল,ভারবহন গাদা
বহন স্তৰ,ভারবহন স্তর
বিছনা,বিছানা
বিচনাৰ বিমান,বেডিং প্লেন
বিচনাৰ সংযোগ,বেড জয়েন্ট
বিচনাৰ শিল,বিছানা শিলা
শোৱনি কোঠা,শয়নকক্ষ
মৌমাখিৰ মোম,মোম
বেল বাকচ,বেল বক্স
বেলিং বাল্টি,বেলিং বালতি
বেলোফ্ৰেম,বেলোফ্রাম
বেঞ্চযুক্ত ভেটি,বেঞ্চড ফাউন্ডেশন
বেঞ্চিং কৰা,বেঞ্চিং
বেঞ্চ মাৰ্ক,মাপকাঠি
লাভৰ খৰচ বিশ্লেষণ,বেনিফিট খরচ বিশ্লেষণ
বাৰ্ম,বারম
বেভেলড বন্ধ,বেভেলড ক্লোজার
"খ-দিগন্ত,&quot;খ-","বি-দিগন্ত,&quot;বি-"
বিয়াত,বিয়াট
বাইণ্ডাৰ,বাইন্ডার
বান্ধি ৰখা সামগ্ৰী,বাঁধাই উপাদান
বায়টৰ তত্ত্ব,বায়োটের তত্ত্ব
বিটুমিন,বিটুমেন
ক’লা কপাহী মাটি,কালো তুলার মাটি
ক&#39;লা পৃথিৱী,কালো পৃথিবী
ক’লা টাৰ্ফ মাটি,কালো টার্ফ মাটি
ব্লেড,ব্লেড
ব্লাষ্ট ফাৰ্নেচ স্লেগ চিমেণ্ট,ব্লাস্ট ফার্নেস স্ল্যাগ সিমেন্ট
ব্লকযুক্ত গঠন,অবরুদ্ধ কাঠামো
বগী প্ৰতিৰোধ,বগি প্রতিরোধ
বোগ-লোহাৰ অক্সাইড,বগ-লোহা আকরিক
বান্ধোন,বন্ধন
বণ্ডেড সদস্য,বন্ডেড সদস্য
বণ্ডেড পোষ্ট টেনচিং,বন্ধন পোস্ট উত্তেজনা
বণ্ড ষ্টোন,বন্ড পাথর
বান্ধি থোৱা পানী,আবদ্ধ জল
বক্স নালা,বক্স নর্দমা
ব্ৰেচ,বন্ধনী
ইটা-অন-এজ,ইট-অন-এজ
লজ্জাজনক,লাগাম
উজ্জ্বলতা,উজ্জ্বলতা
বাদামী মাটি,বাদামী মাটি
ভৱন,বিল্ডিং
বিল্ডিং জৰীপকাৰী,বিল্ডিং সার্ভেয়ার
বাফাৰ,বাফার
বাফাৰ বক্ৰ,বাফার বক্ররেখা
বাফাৰিং,বাফারিং
বাফাৰিং ক্ষমতা,বাফার ক্ষমতা
বাণ্ডাৰ,বান্দর
বাট্ৰেছ,বাট্রেস
গ-দিগন্ত,সি-দিগন্ত
কেবল,তারের
কেবল মল্ডিং,তারের ছাঁচনির্মাণ
কেবলিং,ক্যাবলিং
কেবিন,কেবিন
কেবিন হুক,কেবিন হুক
কেবিনেট,মন্ত্রিসভা
কেবল্টৰ চাকৰি এৰিছে,ক্যাবল্টের পদত্যাগ
কেফেটেৰিয়া,ক্যাফেটারিয়া
সঁজা,খাঁচা
পিঞ্জৰা নিৰ্মাণ,খাঁচা নির্মাণ
কয়িনৰ সূত্ৰ,কেইনের সূত্র
কেইচন,কাইসন
কেইচন ৰোগ,ক্যাসন রোগ
কেইচন ফাউণ্ডেচন,ক্যাসন ফাউন্ডেশন
কেইচন পাইল,Caisson pile
কেলকেয়াৰযুক্ত ইটা,চুনযুক্ত ইট
কেলকেয়াৰযুক্ত মাটি,চুনযুক্ত কাদামাটি
কেলকেয়াৰযুক্ত খোলা,চুনযুক্ত ভূত্বক
কেলচিফিকেশন,ক্যালসিফিকেশন
কেলচিনেচন,ক্যালসিনেশন
কেলচিন,ক্যালসিন
কেলচাইট,ক্যালসাইট
কেলচিয়াম-এলুমিনেট চিমেণ্ট,ক্যালসিয়াম-অ্যালুমিনেট সিমেন্ট
কেলচিয়াম-চিলিকেট ইটা,ক্যালসিয়াম-সিলিকেট ইট
কেলচিয়াম-চিলিকেট হাইড্ৰেট,ক্যালসিয়াম-সিলিকেট হাইড্রেট
কালিচে,ক্যালিছে
কেলিফৰ্ণিয়া বেয়াৰিং ৰেচিঅ’,ক্যালিফোর্নিয়া ভারবহন অনুপাত
কেলিপাৰ,ক্যালিপার
কেলৰিমিটাৰ,ক্যালোরিমিটার
কেম্বাৰ,ক্যাম্বার
খাল,খাল
কেনপি,ক্যানোপি
কেন্টিলিভাৰ ফুটিং,ক্যান্টিলিভার ফুটিং
কেপ,ক্যাপ
ক্ষমতা,ক্ষমতা
ail ট্ৰেকৰ ক্ষমতা,আইল ট্র্যাকের ক্ষমতা
কেপ কেবল,ক্যাপ তারের
কেপিলাৰিটি,কৈশিকতা
কেপিলাৰী ব্ৰেক,কৈশিক বিরতি
কেপিলাৰী প্ৰবাহ,কৈশিক প্রবাহ
কেপিলাৰী আৰ্দ্ৰতা বা কেপিলাৰী পানী,কৈশিক আর্দ্রতা বা কৈশিক জল
কেপিলাৰী ছিদ্ৰ স্থান,কৈশিক ছিদ্র স্থান
কেপিলাৰী ছিদ্ৰতা,কৈশিক ছিদ্র
কেপিলাৰী স্থান,কৈশিক স্থান
কেপচাৰ বেগ,ক্যাপচার বেগ
কাৰ্বনেচন,কার্বনেশন
কাৰ্বন ব্লেক,কার্বন কালো
Castble অবাধ্য,কাস্টবল অবাধ্য
কাষ্ট-ইন-প্লেচ বা কাষ্ট-ইন-চিটু,কাস্ট-ইন-প্লেস বা কাস্ট-ইন-সিটু
কাষ্ট-ইন-প্লেচ পাইল,কাস্ট-ইন-প্লেস গাদা
কেষ্টাৰ,ক্যাস্টর
ঢালাই শিল,ঢালাই পাথর
অনুঘটক,প্রভাবক
কেটেনা,ক্যাটেনা
মেকুৰীৰ মুখ,বিড়ালের মুখ
মেকুৰীৰ মূৰ,বিড়ালের মাথা
কেটিয়ন,ক্যাটান
মেকুৰী খোজ কাঢ়িব,বিড়াল হাঁটা
গহ্বৰৰ ক্ষতি,গহ্বরের ক্ষতি
চেলাইট,সেলাইট
কোষীয় কংক্ৰিট,সেলুলার কংক্রিট
কোষীয় নিৰ্মাণ,সেলুলার নির্মাণ
চিমেণ্ট,সিমেন্ট
"চিমেণ্ট, বিটুমিনাছ","সিমেন্ট, বিটুমিনাস"
"চিমেণ্ট, উচ্চ শক্তি","সিমেন্ট, উচ্চ শক্তি"
"চিমেণ্ট, হাইড্ৰলিক","সিমেন্ট, জলবাহী"
"চিমেণ্ট, কম জুইত","সিমেন্ট, কম তাপ"
"চিমেণ্ট, শিলৰ কাম","সিমেন্ট, রাজমিস্ত্রি"
"চিমেণ্ট, প্ৰাকৃতিক","সিমেন্ট, প্রাকৃতিক"
"চিমেণ্ট, পৰ্টলেণ্ড","সিমেন্ট, পোর্টল্যান্ড"
"চিমেণ্ট, পৰ্টলেণ্ড ব্লাষ্ট ফাৰ্নেচৰ স্লেগ","সিমেন্ট, পোর্টল্যান্ড ব্লাস্ট ফার্নেস স্ল্যাগ"
"চিমেণ্ট, পৰ্টলেণ্ড প&#39;জ&#39;লান","সিমেন্ট, পোর্টল্যান্ড পোজোলান"
"চিমেণ্ট, স্লেগ","সিমেন্ট, স্ল্যাগ"
"চিমেণ্ট, ছালফেট প্ৰতিৰোধী","সিমেন্ট, সালফেট প্রতিরোধী"
"চিমেণ্ট, ছুপাৰ ছালফেটেড","সিমেন্ট, সুপার সালফেটেড"
"চিমেণ্ট, বগা","সিমেন্ট, সাদা"
চিমেণ্ট-এগ্ৰিগেটৰ অনুপাত,সিমেন্ট-সমষ্টি অনুপাত
চিমেণ্টৰ পৰিমাণ,সিমেন্ট সামগ্রী
চিমেণ্ট জেল,সিমেন্ট জেল
চিমেণ্টৰ বন্দুক,সিমেন্টের বন্দুক
চিমেণ্টৰ ভঁৰাল,সিমেন্টের ভাটা
চিমেণ্টৰ ৰং,সিমেন্ট পেইন্ট
চিমেণ্টৰ প্লাষ্টাৰ,সিমেন্ট প্লাস্টার
চিমেণ্টৰ শিল,সিমেন্ট শিলা
চিমেণ্টৰ গোন্ধ,সিমেন্ট স্লারি
চিমেণ্ট সংৰক্ষণ,সিমেন্ট স্টোরেজ
চিমেণ্টেচন প্ৰক্ৰিয়া,সিমেন্টেশন প্রক্রিয়া
কেন্দ্ৰীকৰণ,কেন্দ্রীভূত করা
চেণ্টাৰিং আৰু শ্বাটাৰিং,সেন্টারিং এবং শাটারিং
কেন্দ্ৰীয় মিশ্ৰিত কংক্ৰিট,কেন্দ্রীয় মিশ্র কংক্রিট
কেন্দ্ৰীয় মিক্সাৰ,কেন্দ্রীয় মিশুক
কেন্দ্ৰপৃথক ফেন,কেন্দ্রাতিগ পাখা
চক,চক
চেমফাৰ,চেম্ফার
চেমফাৰ ষ্ট্ৰিপ,চেম্ফার ফালা
চেনেল বিম,চ্যানেল বিম
বৈশিষ্ট্যপূৰ্ণ বোজা,চরিত্রগত লোড
বৈশিষ্ট্যপূৰ্ণ শক্তি,চারিত্রিক শক্তি
চাৰ্জ অফ কৰক,বন্ধ চার্জ
চাৰ্জিং,চার্জিং
পৰীক্ষা কৰি আছে,চেক করা হচ্ছে
ৰাসায়নিক বন্ধন,রাসায়নিক বন্ধন
চেৰনোজেম,চেরনোজেম
চেষ্টনাটৰ মাটি,চেস্টনাট মাটি
