Malayalam,Punjabi
നിർത്തലാക്കിയ അവയവം,ਅਧੂਰਾ ਹਿੱਸਾ ਅਧੂਰਾ ਛੱਡ ਦਿੱਤਾ
നിർത്തലാക്കിയ വിത്ത്,ਅਧੂਰਾ
ഗര്ഭഛിദം,ਗਰਭਪਾਤ
കേവല കള,ਸੰਪੂਰਨ ਬੂਟੀ
ആഗിരണം ചെയ്യപ്പെട്ട വ്യാജം,ਸਮਾਈ
ആഗിരണം,ਸਮਾਈ
അബിസീനിയൻ കടുക്,ਅਬੀਸਨੀਅਨ ਰਾਈ
Ala എഴുതിയത്,ਅਚੰਭੇ
അക്വെൻട്രിക്,ਰਾਜਕੁਮਾਰੀ
ആക്സന്റ്വേറ്റ് (സെൽ),ਲਹਿਜ਼ਾ (ਸੈੱਲ)
അംഗീകരിച്ച സഹിഷ്ണുത,ਸਹਿਣਸ਼ੀਲਤਾ ਸਵੀਕਾਰ ਕੀਤੀ
ഉപസാധനം,ਸਹਾਇਕ
ACCLIMATIES,ਅਨੁਕੂਲਤਾ
കൂന്വാരം,ਇਕੱਠਾ
കൃതത,ਸ਼ੁੱਧਤਾ
Aiverulus,ਏਸਰਵੂਲਸ
അസഹീകരണം,ਐਸੀਟਿਫਿਕੇਸ਼ਨ
അസിഡിറ്റി,ਐਸਿਡਿਫਿਕੇਸ਼ਨ
ആദിമീറ്റര്,ਐਸਿਡਮੀਟਰ
അസിഡിറ്റി,ਐਸਿਡਿਟੀ
അഡോഫിലിക്,ਐਸਿਡੋਫਿਲਿਕ
അസിഡിലേറ്റഡ് റോക്ക് ഫോസ്ഫേറ്റ്,ਤੇਜ਼ਾਬ ਵਾਲੀ ਰਾਜ਼ ਫਾਸਫੇਟ
അയ്യോണിക്,ਐਸਿਡੁਰਿਕ
അക്വിഫർ,ਐਕੁਇਫਰ
കൈവശപ്പെടുത്തൽ,ਗ੍ਰਹਿਣ
ഏന്വുല്ല്,ਏਕੜ
പസ്താര,ਰਕਬੇ
അക്രോസൻട്രിക് ക്രോമസോം,ਐਕਰੋਸੀਐਸਟ੍ਰਿਕ ਕ੍ਰੋਮੋਸੋਮ
