ab initio,"મૂળથી, પ્રારંભથી"
abatement,"બંધ પડવું તે, રદ્દ કરવું તે, સમાપ્તિ, ઘટાડો"
abbreviation,"સંક્ષેપાક્ષર, સંક્ષિપ્ત રૂપ, શબ્દ-સંક્ષેપ"
abduction,"અપહરણ, ભગાડી જવું તે"
abeyance,"મોકૂફી, સ્થગિતતા, સ્થગન"
ability,"ક્ષમતા, યોગ્યતા, સક્ષમતા"
able,"સક્ષમ, ક્ષમ"
abnormal,"અસામાન્ય, નિયમબાહ્ય, વિકૃતિ, અસાધારણ"
abolition,"નાબૂદી, લોપ, રદ"
abolitionof post,"જગ્યાની નાબૂદી, પદ અથવા હોદ્દાની નાબૂદી"
above mentioned,"ઉપર્યુક્ત, ઉક્ત, પૂર્વોલ્લેખિત"
above quoted,"ઉપર મુજબ, ઉપર જણાવ્યા મુજબ, ઉક્ત"
above said,"પૂર્વકથિત, ઉપરોક્ત"
absence,"ગેરહાજરી, અનુપસ્થિતિ, અભાવ"
absentee,"ગેરહાજર, અનુપસ્થિત"
absentee statement,ગેરહાજરી પત્રક
absenteeism,"ગેરહાજર રહેવાનું વલણ, ગેરહાજર રહેવાની માનસિકતા"
absolute,"અબાધિત, નિરંકુશ, અમર્યાદિત, પરિશુદ્ધ, પૂર્ણ"
absolute monopoly,"અબાધિત ઈજારો, પૂર્ણ ઈજારો"
absolute ownership,"અઘાટ માલિકી, પૂર્ણ માલિકી, સંપૂર્ણ સ્વામીત્વ"
absorption,"સમાવેશ, સમાસ"
abstract,"તારણ, સાર, સંક્ષેપ, સારદોહન, અમૂર્ત, અવ્યક્ત"
abstractstatement,"સાર સંક્ષેપ, અમૂર્ત વિધાન"
absurd,"અર્થહીન, અનર્થક, અસંગત, તર્કહીન"
abundance,"ભરચકતા, પ્રાચુર્ય, ભરપૂરતા"
abuse of power,"સત્તા, અધિકારનો દુરુપયોગ"
abusive language,"ગાળાગાળી, અપશબ્દો"
academic,"શૈક્ષણિક, વિદ્યાને લગતું, તાત્વિક, સૈદ્ધાંતિક, શાસ્ત્રીય"
academic discussion,"સૈદ્ધાંતિક ચર્ચા, શૈક્ષણિક ચર્ચા અથવા વિમર્શ"
academic leave,"શિક્ષણ સંબંધી રજા, શૈક્ષણિક રજા"
academic qualification,"શૈક્ષણિક લાયકાત, શૈક્ષણિક યોગ્યતા"
academic record,"શૈક્ષણિક ક્રમવિકાસ, શૈક્ષણિક દસ્તાવેજ"
accede,"સંમત થવું, માન્ય રાખવું, પદ-અધિકાર ગ્રહણ કરવો, સામેલ થવું"
accept,સ્વીકૃત
acceptance,"સ્વીકાર, સ્વીકૃતિ"
