English,Hindi
abactinal,पृष्ठीय
A-band,ए.-पद्ट
abaxial,अपाक्ष
abdomen,उदर
abdominal appendage,उदरीय उपांग
abdominal ganglion,उदरीय गुच्छिका
abducent nerve (abducens),अपचालिनी तंत्रिका
abductor coxa,अपवर्तनी कक्षांग
abductor muscle,अपवर्तनी पेशी
Abiogenesis,अजीवात्जनन
Abiotic,अजैव
Abomasum,"चतुर्थ आमाशय, एबोमेसम"
Aboral,अपमुख
Abranchiate,अक्लोमी
Abrasion,"अपघर्षण, खरोंच"
Absolute,पूर्ण आकलन
Estimation,
Absorption,अवशोषण
Acanthocephala,एकेन्थोसेफैला
acanthocephalous,कंटशीर्ष
Acanthozooid,"एकेन्थोज़ओयड, कंटजीवक"
Acari,एकैराई
Acaricide,चिंचड़ईनाशी
Acarology,चिंचड़ईविज्ञान
Acaudate,अपुच्छी
accessory gland,सहायक ग्रन्थियां
accessory vein,अतिरिक्त शिरा
Accessory,"सहायक, अतिरिक्त"
Accommodation,समंजन
accrescent antenna,उत्तरवर्षी शृंगिका
Acentric,अकेंद्री
Acephalocyst,"एसेफैलोसिस्ट, अशीर्षपुटी"
Acephalous,अशीर्षी
Acerate,सूच्याकार
Acerous,अशृंगिक
acetabulum,श्रोणि उलूखल
acetyl choline,ऐसीटिल कोलीन
acetyl coenzyme A,ऐसीटिल सहएन्जाइम ए.
achactous,अशूक
achiasmatic meiosis,अकिऐज्मी अर्धसूत्रण
achromasia,एक्रोमेसिया
achromatic figure (mitotic apparatus),अवर्णक आकृति
achromatic spindle,अवर्णक तर्कु
achromatin,एक्रोमेटिन
acicle,सूची
acicular,सूच्याकार
acoelomate,अगुहिक
acoelous,"अगुहिक, अगती"
acontium,"एकांशियम, सूत्रवर्ध"
acquired character,उपार्जित लक्षण
acquired variation,उपार्जित विभिन्नता
acquired,उपार्जित
Acrania,ऐक्रेनिया
acraspedote,अविच्छद
acroblast,अग्रकोरक
acrocentric chromosome,अग्रकेंद्री गुणसूत्र
acrocyst,शिखरपुटी
acrodont,अग्रदंती
acromion process,अंसकूट प्रवर्ध
acron,एक्रोन
acrorhagus,"शिखरपुच्छ, एक्रोरैगस"
acrosome,"अग्रपिंडक, एक्रोसोम"
acrotrophic ovariole,अग्रपोषी अंडाशयक
acrotrophic eggtube,अग्रपोषी अंडनली
actin,ऐक्टिन
actinal,मुखदिशी
actine,एक्टीन
actinoblast,"एक्टिनोब्लास्ट, अरकोरक"
actinopharynx,अरग्रसनी
Actinopterygii,ऐक्टिनॉप्टेरिजिआई
actinostome,"अरमुख, ऐक्टिनोस्टोम"
actinula,"ऐक्टिन्यूला, अरडिंभ"
activated charcoal,"सक्रियित काष्ठकोयला, सक्रियित चारकोल"
activation,सक्रियण
activator,सक्रियक
active ingredient,सक्रिय अवयव
active resistance,सक्रिय प्रतिरोध
active transport,सक्रिय अभिगमन
acute dermal toxicity,तीव्र त्वचीय आविषालुता
acute dosage,तीव्र मात्रा
acute inhalation toxicity,तीव्र अंतःश्वसन आविषालुता
acute oral toxicity,तीव्र मुखीय आविषालुता
acute poisioning,तीव्र विषाक्तन
Acutiplanter,शितगुल्फ
Adambulacral,अभिवीथि अस्थिका
Ossicle,तारामीन (स्टारफिश) में नालपदों के समीप वीथि खांचों के दोनों ओर स्थित छोटी कंकाली पट्टिका॥
Adaptation,अनुकूलन
additive resistance,योज्य प्रतिरोध
Additive,"योज्य, योगात्मक"
adductor muscle,अभिवर्तनी पेशी
adecticous pupa,अक्रियचिबुक कोशित
Adelphoparasitism,एडेल्फो-परजीविता
adenosine triphos- phate (ATP),एडीनोसीन ट्राइफास्फेट (ए टी पी)
Adenosine,ऐडेनोसिन
