English,Hindi
Abatement,उपशमन
ABC Screw thread,ए. बी. सी. पेंच चूड़ी
Abney clinometer,"एबनी प्रवणतामापी, एबनी क्लाइनोमीटर"
Abrasion,अपघर्षण
Abrasive,"अपघर्षी, अपघर्षक"
Abrasive belt,अपघर्षी पट्टा
Abrasive finishing,अपघर्षी परिष्कृति
Abrasive grinding wheel,अपघर्षी सान पहिया
Abrupt clinometer,अपछिन्न क्लाइनोमीटर
Abrupt enlargement,अपछिन्न विवर्धन
Absolute,निरपेक्ष
Absolute,2. परम
Absolute,3. पूर्ण
Absolute,4. परिशुध्द
Absolute,5. एकल
Absolute,6. यथार्थ
Absolute constant,निरपेक्ष स्थिरांक
Absolute error,निरपेक्ष त्रुटि
Absolute humidity,निरपेक्ष आर्द्रता
Absolute instrument,निरपेक्ष मापयंत्र
Absolute pressure,यथार्थ दाब
Absolute stiffness,निरपेक्ष दुर्नम्यता
Absolute temperature,"परमताप, परम तापमान"
Absolute unit,निरपेक्ष मात्रक
Absolute velocity,निरपेक्ष वेग
Absolute viscosity,निरपेक्ष श्यानता
Absolute zero,परम शून्य
Absorb,"अवशोषित करना, अवशोषण"
Absorber,"अवशोषक, अवशोषी"
Absorber circuit,अवशोषक परिपथ
Absorber factor,अवशोषक गुणक
Absorption,अवशोषण
Absorption co-efficient,अवशोषण गुणांक
Absorption dynamometer,अवशोषण डायनामोमीटर
Absorption factor,अवशोषण गुणक
Absorption filter,अवशोषण फिल्टर
Absorption modulation,अवशोषण मॉडुलन
Absorption resistance,अवशोषण प्रतिरोध
Absorption spectrum,अवशोषण स्पैक्ट्रम
Absorptivity,अवशोषकता
Absorptivity equilibrium,अवशोषकता साम्य
Abstract,"निकालना, निष्कर्षण"
Accelerated draft,त्वरित प्रवात
Accelerating flow,त्वरक प्रवाह
Accelerating force,त्वरक बल
Accelerating head,त्वरक दाबोच्चता
Acceleration,त्वरण
Acceleration curve,त्वरण वक्र
Acceleration damper,त्वरण अवमंदक
Acceleration diagram,त्वरण आरेख
Acceleration pick-up,"त्वरण पिकअप, त्वरण अभिग्राही"
Accelerator,त्वरक
Accelerogram,त्वरणारेख
Accelerometer,त्वरणमापी
Accessory,उपसाधन
Accident,दुर्घटना
Accommodation co-efficient,समंजन गुणांक
Accumulator,संचायक
Accumulator,"2. संचायक, सेल"
Accumulator,3. संचायित्र
Accuracy,यथार्थता
Accuracy,2. परिशुद्धता
Acetylene,ऐसीटिलीन
Acicular cast iron,सूच्याकार ढलवां लोहा
Acid cleaning,अम्लीय मार्जन
Acidity,अम्लता
Acme thread,एक्मे चूड़ी
Acoustic current meter,ध्वानिक धारामापी
Acoustic current meter excitation,ध्वानिक धारामापी उत्तेजन
Acoustic current meter impedance,ध्वानिक धारामापी प्रतिबाधा
Acoustic current meter memory,ध्वानिक धारामापी स्मृति
Acoustic labyrinth,ध्वानिक लेबरिंथ
Acoustical barrier,ध्वानिक रोध
