Odiya,Kannada
ଏସିଡଏଡ୍ |,ಆಸಿಡಾಯ್ಡ್
ଆଓଲିୟାନ୍ ମାଟି |,ಅಯೋಲಿಯನ್ ಮಣ್ಣು
ସମୁଦାୟ,ಒಟ್ಟು
ଏକୀକରଣ,ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ
ଏଗ୍ରୋଲୋଜି,ಕೃಷಿಶಾಸ್ತ್ರ
କୃଷି,ಕೃಷಿಶಾಸ್ತ್ರ
ଏକ ରାଶି,ಎ-ಹಾರಿಜಾನ್
ଆଓ-ରାଶି,Ao-ಹಾರಿಜಾನ್
ଆଓ-ରାଶି |,Aoo-ಹಾರಿಜಾನ್
ମାଟିର ବାୟୁ କ୍ଷମତା |,ಮಣ್ಣಿನ ಗಾಳಿಯ ಸಾಮರ್ಥ್ಯ
ମାଟିର ବାୟୁ ସାମଗ୍ରୀ |,ಮಣ್ಣಿನ ಗಾಳಿಯ ಅಂಶ
ବାୟୁ ପିକନୋମିଟର |,ಏರ್ ಪಿಕ್ನೋಮೀಟರ್
ଆଲିଟିକ୍ ମାଟି |,ಆಲಿಟಿಕ್ ಮಣ್ಣು
ଆଲୁଭିଆଲ୍ ମାଟି |,ಮೆಕ್ಕಲು ಮಣ್ಣು
ଆମ୍ଫୋଲାଇଟଏଡ୍ |,ಆಂಫೋಲಿಟಾಯ್ಡ್
ଆନିଅନ୍ |,ಅಯಾನ್
"ସ୍ପଷ୍ଟ ନିର୍ଦ୍ଦିଷ୍ଟ ମାଧ୍ୟାକର୍ଷଣ ପରିମାଣ ଓଜନ କିମ୍ବା ବହୁଳ ନିର୍ଦ୍ଦିଷ୍ଟ ମାଧ୍ୟାକର୍ଷଣ, &quot;","ಸ್ಪಷ್ಟವಾದ ನಿರ್ದಿಷ್ಟ ಗುರುತ್ವಾಕರ್ಷಣೆಯ ಪರಿಮಾಣದ ತೂಕ ಅಥವಾ ಬೃಹತ್ ನಿರ್ದಿಷ್ಟ ಗುರುತ್ವಾಕರ್ಷಣೆ,&quot;"
ଆରିସ୍,ಅರ್ರಿಸ್
ଆଶଲାର୍ ସୂକ୍ଷ୍ମ ଚୁକ୍ତି |,ಆಶ್ಲರ್ ಉತ್ತಮವಾದ ಕಲ್ಲು
ଆଶଲାର୍ ରାଜକନିକା |,ಆಶ್ಲರ್ ಕಲ್ಲು
ଆଜୋନାଲ ମାଟି |,ಅಜೋನಲ್ ಮಣ್ಣು
ପଛ ଆକ୍ଟର୍ |,ಹಿಂದೆ ನಟ
ପଛ ଆର୍କ,ಹಿಂದಿನ ಕಮಾನು
ବ୍ୟାକ୍ ବ୍ୟାଣ୍ଡ |,ಬ್ಯಾಕ್ ಬ್ಯಾಂಡ್
ପଛ ବ୍ରଶ୍ |,ಬ್ಯಾಕ್ ಬ್ರಷ್
ପଛକୁ ଯା check ୍ଚ କରନ୍ତୁ |,ಹಿಂತಿರುಗಿ ಪರಿಶೀಲಿಸಿ
ପଛ କାଉଣ୍ଟର |,ಹಿಂದಿನ ಕೌಂಟರ್
ପଛ କାଟିବା |,ಬೆನ್ನು ಕತ್ತರಿಸುವುದು
