English,Hindi,Gujarati,Marathi,Punjabi,Bengali,Konkani,Kannada,Malayalam,Tamil,Telugu,Urdu,Assamese,Odiya,Nepali
Adiabatic,रूद्धोष्म,રૂદ્ધોષ્મ,रूद्धोष्म,ਰੂਦ੍ਧੋ਷੍ਮ,রূদ্ধোষ্ম,रूद्धोष्म,"ಅಪಾರಣೀಯ, ವಿಕಾಂತೀಕರಣ, ಸ್ಥಿರೋಷ್ಣ, ಸ್ಥಿರಶಾಖ",രൂദ്ധോഷ്മ,ரூத்தோஷ்ம,రూద్ధోష్మ,حرنا گزار,রূদ্ধষ্ম,ରୂଦ୍ଧୋଷ୍ମ,रूद्धोष्म
Abnormal discharge,अपसामान्य विसर्जन,અપસામાન્ય વિસર્જન,अपसामान्य विसर्जन,ਅਪਸਾਮਾਨ੍ਯ ਵਿਸਰ੍ਜਨ,অপসামান্য বিসর্জন,अपसामान्य विसर्जन,ಅಪಸಾಮಾನ್ಯ ವಿಸರ್ಜನ,അപസാമാന്യ വിസര്ജന,அபஸாமாந்ய விஸர்ஜந,అపసామాన్య విసర్జన,اپسامانیہ وسرجن,অপসামান্য িসর্জন,ଅପସାମାନ୍ଯ ବିସର୍ଜନ,अपसामान्य विसर्जन
Absolute rest,परम विराम,પરમ વિરામ,परम विराम,ਪਰਮ ਵਿਰਾਮ,পরম বিরাম,परम विराम,ಪರಮ ವಿರಾಮ,പരമ വിരാമ,பரம விராம,పరమ విరామ,پرم ورام,পরম িরাম,ପରମ ବିରାମ,परम विराम
Absoulte rotation,परम घूर्णन,પરમ ઘૂર્ણન,परम घूर्णन,ਪਰਮ ਘੂਰ੍ਣਨ,পরম ঘূর্ণন,परम घूर्णन,ಪರಮ ಘೂರ್ಣನ,പരമ ഘൂര്ണന,பரம கூர்ணந,పరమ ఘూర్ణన,پرم گھورنن,পরম ঘূর্ণন,ପରମ ଘୂର୍ଣନ,परम घूर्णन
Absolute space,परम आकाश,પરમ આકાશ,परम आकाश,ਪਰਮ ਆਕਾਸ਼,পরম আকাশ,परम आकाश,ಪರಮ ಆಕಾಶ,പരമ ആകാശ,பரம ஆகாச,పరమ ఆకాశ,پرم آکاش,পরম আকাশ,ପରମ ଆକାଶ,परम आकाश
Absolute temperture,परम ताप,પરમ તાપ,परम ताप,ਪਰਮ ਤਾਪ,পরম তাপ,परम ताप,ಪರಮ ತಾಪ,പരമ താപ,பரம தாப,పరమ తాప,پرم تاپ,পরম তাপ,ପରମ ତାପ,परम ताप
Absoulte time,निरपेक्ष काल,નિરપેક્ષ કાલ,निरपेक्ष काल,ਨਿਰਪੇਕ੍਷ ਕਾਲ,নিরপেক্ষ কাল,निरपेक्ष काल,ನಿರಪೇಕ್ಷ ಕಾಲ,നിരപേക്ഷ കാല,நிரபேக்ஷ கால,నిరపేక్ష కాల,نرپیکش کال,নিরপক্ষ কাল,ନିରପେକ୍ଷ କାଲ,निरपेक्ष काल
Absolute zero,परम शून्य,પરમ શૂન્ય,परम शून्य,ਪਰਮ ਸ਼ੂਨ੍ਯ,পরম শূন্য,परम शून्य,ನಿರಪೇಕ್ಷಶೂನ್ಯ,പരമ ശൂന്യ,பரம சூந்ய,పరమ శూన్య,جذب کرنا,পরম শূন্য,ପରମ ଶୂନ୍ଯ,परम शून्य
Absorbed light intensity,अवशोषित प्रकाश तीव्रता,અવશોષિત પ્રકાશ તીવ્રતા,अवशोषित प्रकाश तीव्रता,ਅਵਸ਼ੋ਷ਿਤ ਪ੍ਰਕਾਸ਼ ਤੀਵ੍ਰਤਾ,অবশোষিত প্রকাশ তীব্রতা,अवशोषित प्रकाश तीव्रता,ಅವಶೋಷಿತ ಪ್ರಕಾಶ ತೀವ್ರತಾ,അവശോഷിത പ്രകാശ തീവ്രതാ,அவசோஷித ப்ரகாச தீவ்ரதா,అవశోషిత ప్రకాశ తీవ్రతా,اوشوشت پرکاش تیورتا,অশষিত প্রকাশ তী্রতা,ଅବଶୋଷିତ ପ୍ରକାଶ ତୀବ୍ରତା,अवशोषित प्रकाश तीव्रता
Absorbed energy,अवशोषित ऊर्जा,અવશોષિત ઊર્જા,अवशोषित ऊर्जा,ਅਵਸ਼ੋ਷ਿਤ ਊਰ੍ਜਾ,অবশোষিত ঊর্জা,अवशोषित ऊर्जा,ಅವಶೋಷಿತ ಊರ್ಜಾ,അവശോഷിത ഊര്ജാ,அவசோஷித ஊர்ஜா,అవశోషిత ఊర్జా,جذب شدہ توانائی,অশষিত ঊর্জা,ଅବଶୋଷିତ ଊର୍ଜା,अवशोषित ऊर्जा
