Bengali,Kannada
এসি সমতুল্য সার্কিট,ಎಸಿ ಸಮಾನ ಸರ್ಕ್ಯೂಟ್
এনালগ থেকে সাংখ্যিক রূপান্তরকারী,ಸಂಖ್ಯಾ ಪರಿವರ್ತಕಕ್ಕೆ ಅನಲಾಗ್
পরম শূন্য,ಸಂಪೂರ್ಣ ಶೂನ್ಯ
শোষণ গুণাঙ্ক,ಹೀರಿಕೊಳ್ಳುವ ಗುಣಾಂಕ
শোষণ বর্ণালী,ಹೀರಿಕೊಳ್ಳುವ ವರ್ಣಪಟಲ
রিসেপ্টর পরমাণু,ಗ್ರಾಹಕ ಪರಮಾಣು
বিকল্প বর্তমান যুগল,ಪರ್ಯಾಯ ವಿದ್ಯುತ್ ಜೋಡಣೆ
ইলেক্ট্রন সংগ্রহ,ಎಲೆಕ್ಟ್ರಾನ್ ಕೊಯ್ಲು
গর্ত স্টোরেজ,ರಂಧ್ರ ಸಂಗ್ರಹಣೆ
অ্যাক্টিভেশন শক্তি,ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ
সক্রিয় পরিবর্ধক,ಸಕ್ರಿಯ ಆಂಪ್ಲಿಫಯರ್
সক্রিয় ডায়োড সার্কিট,ಸಕ್ರಿಯ ಡಯೋಡ್ ಸರ್ಕ್ಯೂಟ್
সক্রিয় ফিল্টার,ಸಕ್ರಿಯ ಫಿಲ್ಟರ್
সক্রিয় উচ্চ ফ্রিকোয়েন্সি Parquet ফিল্টার,ಸಕ್ರಿಯ ಹೈ ಫ್ರೀಕ್ವೆನ್ಸಿ ಪ್ಯಾರ್ಕ್ವೆಟ್ ಫಿಲ್ಟರ್
সক্রিয় লোড,ಸಕ್ರಿಯ ಲೋಡ್
সক্রিয় নিম্ন ফ্রিকোয়েন্সি পার্স ফিল্টার,ಸಕ್ರಿಯ ಕಡಿಮೆ ಆವರ್ತನ ಪಾರ್ಸ್ ಫಿಲ್ಟರ್
সক্রিয় এলাকা,ಸಕ್ರಿಯ ಪ್ರದೇಶ
অভিযোজিত ইলেকট্রনিক্স,ಹೊಂದಾಣಿಕೆಯ ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್
যোগকারী,ಸೇರಿಸುವವನು
