Kannada,Odiya
ದಾಟುವುದು,ଆବଦ୍ଧ
ಸಂಕ್ಷಿಪ್ತ ರೂಪ,ସଂକ୍ଷିପ୍ତକରଣ
ಅಪಹರಣ,ଅପହରଣ
ನಿರುತ್ಸಾಹಗೊಳಿಸುವಿಕೆ,ଆବେରୀ
ಸಾಮರ್ಥ್ಯ,ଦକ୍ଷତା
ಎಬಿ ಇನಿಶಿಯೋ,Ab initio
ಸಮರ್ಥ,ସକ୍ଷମ
ಅಸಹಜ,ଅସ୍ୱାଭାବିକ |
ನಿರ್ಮೂಲನ,ଚତୁରତା
ರದ್ದುಮಾಡುವಿಕೆ,ଅବ ilt ଧ କିଜ୍ ପୋଷ୍ଟ |
ಮೇಲೆ ತಿಳಿಸಿದ,ଉପରେ ଉଲ୍ଲେଖ କରାଯାଇଛି |
ಮೇಲೆ ಉಲ್ಲೇಖಿಸಲಾಗಿದೆ,ଉଦ୍ଧୃତ ଉଦ୍ଧୃତ |
ಮೇಲೆ ಹೇಳಿದರು,ଉପରେ କହିଲା
ಅನುಪಸ್ಥಿತಿ,ଅନୁପସ୍ଥିତି
ಗೈರುಹಾಜರಿ,ଅଧ୍ୟାପୀ
ಗೈರುಹಾಜರಿ,ଅନୁପସ୍ଥିତତା
ಗೈರುಹಾಜರಿ ಹೇಳಿಕೆ,ଅନୁପସ୍ଥିତ ବିବୃତ୍ତି
ಸಂಪೂರ್ಣ,ସଂପୂର୍ଣ୍ଣ
ಸಂಪೂರ್ಣ ಏಕಸ್ವಾಮ್ಯ,ସଂପୂର୍ଣ୍ଣ ଏକଚାଟିଆ |
ಸಂಪೂರ್ಣ ಮಾಲೀಕತ್ವ,ସଂପୂର୍ଣ୍ଣ ମାଲିକାନା
ಹೀರುವಿಕೆ,ଶୋଷଣ
ಅಮೂರ್ತ,ବିସ୍ତୃତ
ಅಮೂರ್ತತೆ,ବିସ୍ତୃତ
ಅಸಂಬದ್ಧ,ଅବ urd ଧ |
ಹೇರಳವಾಗಿರುವುದು,ପ୍ରଚୁରତା
ಅಧಿಕಾರದ ದುರುಪಯೋಗ,ଶକ୍ତିର ଅପବ୍ୟବହାର |
ನಿಂದಕ ಭಾಷೆ,ଅପମାନଜନକ ଭାଷା |
ಶೈಕ್ಷಣಿಕ,ଏକାଡେମିକ୍ |
ಶೈಕ್ಷಣಿಕ ಚರ್ಚೆ,ଏକାଡେମିକ୍ ଆଲୋଚନା
ಶೈಕ್ಷಣಿಕ ರಜೆ,ଏକାଡେମିକ୍ ଛୁଟି |
ಶೈಕ್ಷಣಿಕ ಅರ್ಹತೆ,ଏକାଡେମିକ୍ ଯୋଗ୍ୟତା |
ಶೈಕ್ಷಣಿಕ ದಾಖಲೆ,ଏକାଡେମିକ୍ ରେକର୍ଡ |
ತಪ್ಪೊಟ್ಟು,ଧ୍ୟାନଦେଇ
ಒಪ್ಪಿಕೊಳ್ಳಿ,ଗ୍ରହଣ କର
ಸ್ವೀಕಾರಾರ್ಹತೆ,ଗ୍ରହଣ
ಕಚೇರಿಯ ಸ್ವೀಕಾರ,ଅଫିସ୍ ଗ୍ରହଣ
ಟೆಂಡರ್ ಸ್ವೀಕಾರ,ଟେଣ୍ଡର ଗ୍ରହଣ
ಪ್ರವೇಶ,ପ୍ରବେଶ
ಪ್ರವೇಶ,ପ୍ରବେଶ
ಪರಿಕರ,ଆନୁଷଙ୍ଗିକ
ಅಪಘಾತ,ଦୁର୍ଘଟଣା
ಒಗ್ಗೂಡಿಸುವಿಕೆ,ସୁକମ୍ଲାଇଜେସନ୍
ಸೌಕರ್ಯ,ଆବାସ
ಜೊತೆಗಾರ,ସାଥୀ
ಸ ೦ ಗೀತ,ଆକର୍ଡ
ಪ್ರೇಕ್ಷಕ,ସମ୍ପତ୍ତୀ
ಹಾಗೆಯೇ,ସେହି ଅନୁଯାୟୀ |
ಖಾತೆ,ଖାତା
ಹೊಣೆಗಾರಿಕೆ,ଉତ୍ତରଦାୟିତ୍ୱ
ಹೊಣೆಗಾರ,ଉତ୍ତରଦାୟୀ |
