Punjabi,Bengali
ਵੈਸਟਮਿੰਸਟਰ ਦੇ ਅਬੇ,ওয়েস্টমিনস্টারের অ্যাবে
ਨਿਮਰਤਾ,বর্জনীয়
ਗੁਲਾਮੀ ਦਾ ਖਾਤਮਾ,দাসত্বের সমাপ্তি
ਆਦਿਵਾਸੀ,আদিবাসী
ਅਬਰਾਹਮ ਯੁੱਗ,আব্রাহাম যুগ
ਗੈਰਹਾਜ਼ਰ ਮਕਾਨ ਮਾਲਕ,অনুপস্থিত জমির মালিক
ਅਕੈਡਮੀ,একাডেমী
ਅਕਰਾ ਕਾਨਫਰੰਸ,আকরা সম্মেলন
ਪ੍ਰਾਪਤੀ,সঞ্চয়
ਐਕਲਚਰੇਸ਼ਨ,সংগ্রহ
ਐਸੇਲਡਾਮਾ,অ্যাসেলডামা
ਅਚੀਅਨ (=ਅਚੀਅਨ),আচিয়ান (=আচিয়ান)
ਅਚੀਅਨ ਲੀਗ (=ਅਚੀਅਨ ਲੀਗ),আচিয়ান লীগ (=আচিয়ান লীগ)
ਐਕ੍ਰੋਪੋਲਿਸ,অ্যাক্রোপলিস
ਐਕਟਾ ਦਿਉਰਨਾ,Acta Diurna
ਐਕਟਾ ਸੇਨੇਟਸ,Acta Senatus
ਐਕਟ ਐਡੀਸ਼ਨਲ,অ্যাক্ট অ্যাডিশনেল
ਕਿਰਿਆਸ਼ੀਲ ਰਿਕਾਰਡ (=ਮੌਜੂਦਾ ਰਿਕਾਰਡ),সক্রিয় রেকর্ড (=বর্তমান রেকর্ড)
ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲੇ ਦਾ ਕੰਮ,প্রাপ্তির কাজ
ਮੁਆਵਜ਼ੇ ਅਤੇ ਭੁੱਲ ਦਾ ਕੰਮ,ক্ষতিপূরণ এবং বিস্মৃতির আইন
ਸੈਟਲਮੈਂਟ ਦਾ ਐਕਟ,নিষ্পত্তির আইন
ਵਿਗਿਆਪਨ ਇਕਰਾਰਨਾਮੇ ਦੀ ਮੋਹਰ,বিজ্ঞাপন চুক্তি সীল
ਅਦੁਲਾਮਾਈਟਸ,আদুল্লামাইটস
ਵਿਰੋਧੀ,প্রতিপক্ষ
ਵਿਰੋਧੀ,প্রতিপক্ষ
ਏਯੋਨ,Aeon
ਏਰੈਰੀਅਮ,এরারিয়াম
ਹਵਾਈ ਜੰਗ,বায়বীয় যুদ্ধ
ਏਟੋਲੀਅਨ ਲੀਗ,এটোলিয়ান লীগ
ਉਮਰ,বয়স
ਬੁਢਾਪਾ (=ਬੁਢਾਪਾ),বার্ধক্য (=বার্ধক্য)
ਬੁਢਾਪੇ ਦੀ ਪ੍ਰਕਿਰਿਆ,বার্ধক্য প্রক্রিয়া
ਅਗੇਲੈ,এগেলাই
ਬਹਾਦਰੀ ਦੀ ਉਮਰ,বীরত্বের বয়স
ਗਿਆਨ ਦੀ ਉਮਰ,এনলাইটমেন্টের বয়স
ਪੇਰੀਕਲਸ ਦੀ ਉਮਰ,পেরিক্লেসের বয়স
ਕਾਰਨ ਦੀ ਉਮਰ,কারণ বয়স
ਖੇਤੀਵਾਦ,কৃষিবাদ
ਖੇਤੀ ਅੰਦੋਲਨ,কৃষি আন্দোলন
ਐਲਬੀਅਨ,অ্যালবিয়ন
ਐਲਬਮ,অ্যালবাম
