Odiya,Tamil
ଆବାକସ୍ |,அபாகஸ்
ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |,அசாதாரண நிறுத்தம்
ପରିତ୍ୟାଗ,கருக்கலைப்பு
ସଂପୂର୍ଣ୍ଣ,அறுதி
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,முழுமையான முகவரி
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,முழுமையான முகவரி
ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |,முழுமையான அசெம்பிளர்
ସଂପୂର୍ଣ୍ଣ କୋଡ୍,முழுமையான குறியீடு
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |,முழுமையான கட்டளை
ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |,முழுமையான தரவு
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ,முழுமையான அறிவுறுத்தல்
ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |,முழுமையான பயன்முறை
ସଂପୂର୍ଣ୍ଣ ପଥ,முழுமையான பாதை
ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |,முழுமையான நிரலாக்கம்
ବିସ୍ତୃତ ଶ୍ରେଣୀ |,சுருக்க வர்க்கம்
ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |,சுருக்க தரவு வகை
ବିସ୍ତୃତ ମେସିନ୍ |,சுருக்க இயந்திரம்
ବିସ୍ତୃତ ପ୍ରତୀକ |,சுருக்க சின்னம்
ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |,சுருக்க தொடரியல்
ଗ୍ରହଣ ପରୀକ୍ଷା,ஏற்றுக்கொள்ளும் சோதனை
ପ୍ରାମାଣିକିକରଣକୁ ପ୍ରବେଶ କରନ୍ତୁ |,அணுகல் அங்கீகாரம்
ପ୍ରବେଶ କୋଡ୍,அணுகல் குறியீடு
ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ,நுழைவு கட்டுப்பாடு
ଆକ୍ସେସ୍ ସ୍କାନ୍ |,அணுகல் ஸ்கேன்
ଆନୁଷଙ୍ଗିକ,துணை
ଖାତା,கணக்கு
ଖାତା ID,கணக்கு ஐடி
ଜମାକାରୀ,திரட்டி
ସଠିକତା,துல்லியம்
acess,அணுகல்
ଏସିସ୍ ନିୟନ୍ତ୍ରଣ ବାଇଟ୍ |,அணுகல் கட்டுப்பாட்டு பைட்
acess index,அணுகல் குறியீடு
acess କି,அணுகல் விசை
acess matrix,அணுகல் அணி
acess ମୋଡ୍ |,அணுகல் முறை
acess ଅଧିକାର,அணுகல் சலுகை
acess ସୁରକ୍ଷା |,அணுகல் பாதுகாப்பு
acess ସର୍ଭର |,அணுகல் சேவையகம்
ଆକସେସ୍ ସମୟ |,அணுகல் நேரம்
ସ୍ୱୀକୃତି,ஒப்புகை
ଆକାଶବାଣୀ,ஒலியியல்
ସଂକ୍ଷିପ୍ତ ଶବ୍ଦ,சுருக்கம்
କାର୍ଯ୍ୟ ବାର୍ତ୍ତା |,செயல் செய்தி
ସକ୍ରିୟ,செயல்படுத்துதல்
ସକ୍ରିୟ ସର୍ଭର ପୃଷ୍ଠା (ASP),செயலில் உள்ள சர்வர் பக்கம் (ASP)
ସକ୍ରିୟ ସଂସ୍କରଣ |,செயலில் உள்ள பதிப்பு
acyclic,அசைக்ளிக்
acyclic ଗ୍ରାଫ୍ |,அசைக்ளிக் வரைபடம்
ଅଦା ଭାଷା |,அட மொழி
ଆଡାପ୍ଟର,அடாப்டர்
ଯୋଡନ୍ତୁ |,கூட்டு
ଫାଇଲ୍ ଯୋଡନ୍ତୁ |,கோப்பை சேர்க்க
ଅପରେସନ୍ ଯୋଡନ୍ତୁ |,செயல்பாட்டைச் சேர்க்கவும்
ଆଡର୍,சேர்ப்பான்
ଠିକଣା,முகவரி
ଠିକଣା ବସ୍,முகவரி பேருந்து
ଠିକଣା ଫାଇଲ୍ |,முகவரி கோப்பு
ଠିକଣା ଫର୍ମାଟ୍,முகவரி வடிவம்
ଠିକଣା ଜେନେରେଟର,முகவரி ஜெனரேட்டர்
ଠିକଣା ରେଖା,முகவரி வரி
ଠିକଣା ମ୍ୟାପିଂ,முகவரி மேப்பிங்
ଠିକଣା ସୂଚକ,முகவரி சுட்டி
ଠିକଣା ରେଜିଷ୍ଟର,முகவரி பதிவு
ଠିକଣା ରେଜୋଲୁସନ,முகவரி தீர்மானம்
ଠିକଣା ଅନୁବାଦ,முகவரி மொழிபெயர்ப்பு
ଠିକଣା ସ୍ମୃତି,நினைவாற்றலை உரையாற்றினார்
ଠିକଣା,உரையாற்றுவது
ପର୍ଯ୍ୟାପ୍ତ ମାନଦଣ୍ଡ,போதுமான அளவுகோல்கள்
ଯୋଗ,இணைந்த
ପ୍ରଶାସନ,நிர்வாகம்
ପ୍ରଶାସକ,நிர்வாகி
ଆଡୋବ ଆକ୍ରୋବାଟ୍ |,அடோப் அக்ரோபேட்
ଆଡୋବ ଫଟୋଶପ୍ |,அடோ போட்டோஷாப்
ଆଡଭାନ୍ସ ବ୍ୟବସାୟ ଆବେଦନ ପ୍ରୋଗ୍ରାମିଂ (ABAP),அட்வான்ஸ் பிசினஸ் அப்ளிகேஷன் புரோகிராமிங் (ஏபிஏபி)
ଉନ୍ନତ ତଥ୍ୟ,மேம்பட்ட தரவு
ଉନ୍ନତ ସୂଚନା ପ୍ରଣାଳୀ |,மேம்பட்ட தகவல் அமைப்பு
ଉନ୍ନତ ଜ୍ଞାନକ technology ଶଳ (AT),மேம்பட்ட தொழில்நுட்பம் (AT)
ଏଜେଣ୍ଟ,முகவர்
ଏକୀକରଣ,திரட்டுதல்
ବାୟୁବାହୀ କମ୍ପ୍ୟୁଟର ସିଷ୍ଟମ୍ |,வான்வழி கணினி அமைப்பு
aldus ପୃଷ୍ଠା ନିର୍ମାତା |,அல்டஸ் பக்க தயாரிப்பாளர்
ଆଲର୍ଟ ବାକ୍ସ,எச்சரிக்கை பெட்டி
ଆଲଗୋଲ୍,அல்கோல்
ଆଲଗୋରିଦମ |,அல்காரிதம்
ଆଲଗୋରିଦମ ବିଶ୍ଳେଷଣ |,அல்காரிதம் பகுப்பாய்வு
ଆଲଗୋରିଦମ ଦକ୍ଷତା |,அல்காரிதம் திறன்
ଛଦ୍ମନାମ,மாற்றுப்பெயர்
ଶ୍ରେଣୀବଦ୍ଧତା |,சீரமைப்பு
ଆବଣ୍ଟନ,ஒதுக்கீடு
ବର୍ଣ୍ଣାନୁକ୍ରମିକ,அகரவரிசை
ବର୍ଣ୍ଣମାଳା,எண்ணெழுத்து
ବର୍ଣ୍ଣମାଳା କି ବୋର୍ଡ |,எண்ணெழுத்து விசைப்பலகை
ଆଲଫା-ପରୀକ୍ଷା,ஆல்பா-சோதனை
ଆଲଫା-ସଂସ୍କରଣ |,ஆல்பா பதிப்பு
alt କି,alt விசை
altavista,அல்டாவிஸ்டா
ଅସ୍ପଷ୍ଟତା |,தெளிவின்மை
ଅସ୍ପଷ୍ଟ ବ୍ୟାକରଣ,தெளிவற்ற இலக்கணம்
ଆମେରିକୀୟ ଜାତୀୟ ମାନକ ପ୍ରତିଷ୍ଠାନ (ANSI),அமெரிக்க தேசிய தரநிலை நிறுவனம் (ANSI)
ସୂଚନା ଆଦାନ ପ୍ରଦାନ ପାଇଁ ଆମେରିକୀୟ ଷ୍ଟାଣ୍ଡାର୍ଡ କୋଡ୍ (ASCII),தகவல் பரிமாற்றத்திற்கான அமெரிக்க தரநிலை குறியீடு (ASCII)
analog,அனலாக்
ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |,அனலாக் கணினி
analog ଉପକରଣ,அனலாக் சாதனம்
ଆନାଗଲ୍ ମୋଡେମ୍ |,அனலாக் மோடம்
