English,Hindi,Gujarati,Marathi,Punjabi,Bengali,Konkani,Kannada,Malayalam,Tamil,Telugu,Urdu,Assamese,Odiya,Nepali
Abatement,उपशमन,"બંધ પડવું તે, રદ્દ કરવું તે, સમાપ્તિ, ઘટાડો","कमी करणे, मंदी","ਉਪਸ਼ਮਨ, ਘਾਟ",অবসান,"उणें/कमी जावप/करप,उणावप","ತಗ್ಗಿಸುವುದು, ಕಡಿಮೆಯಾಗುವುದು, ಅಂತ್ಯಗೊಳಿಸುವುದು, ವಿನಾಯಿತಿ","പരിത്യജനം, ഉപേക്ഷിക്കൽ, കയ്യൊഴിയൽ","1. குறைப்பு, தணித்தல் 2. கழிவு 3. தள்ளுபடி செய்தல்","తొలగింపు, ముగింపు, తగ్గింపు",تخفیف، کمی,"পৰিত্যাগকৰ,পৰিহাৰকৰ, এৰ ৰ","ହ୍ରାସ, ଉପଶମନ","1. उपशमन, निग्रह2. कमी"
ABC Screw thread,ए. बी. सी. पेंच चूड़ी,એ. બી. સી. પેંચ ચૂડ઼ી,ए. बी. सी. पेंच चूड़ी,ਏ. ਬੀ. ਸੀ. ਪੇਂਚ ਚੂਡ਼ੀ,এ. বী. সী. পেংচ চূড়ী,ए. बी. सी. पेंच चूड़ी,ಏ. ಬೀ. ಸೀ. ಪೇಂಚ ಚೂಡ಼ೀ,ഏ. ബീ. സീ. പേംച ചൂഡീ,ஏ. பீ. ஸீ. பேங்ச சூடீ,ఏ. బీ. సీ. పేంచ చూడీ,ای۔ بی۔ سی۔ پینچ چوڑی,. বী. সী. পংচ চূড়ী,ଏ. ବୀ. ସୀ. ପେଂଚ ଚୂଡ଼ୀ,ए. बी. सी. पेंच चूड़ी
Abney clinometer,"एबनी प्रवणतामापी, एबनी क्लाइनोमीटर","એબની પ્રવણતામાપી, એબની ક્લાઇનોમીટર","एबनी प्रवणतामापी, एबनी क्लाइनोमीटर","ਏਬਨੀ ਪ੍ਰਵਣਤਾਮਾਪੀ, ਏਬਨੀ ਕ੍ਲਾਇਨੋਮੀਟਰ","এবনী প্রবণতামাপী, এবনী ক্লাইনোমীটর","एबनी प्रवणतामापी, एबनी क्लाइनोमीटर","ಏಬನೀ ಪ್ರವಣತಾಮಾಪೀ, ಏಬನೀ ಕ್ಲಾಇನೋಮೀಟರ","ഏബനീ പ്രവണതാമാപീ, ഏബനീ ക്ലാഇനോമീടര","ஏபநீ ப்ரவணதாமாபீ, ஏபநீ க்லாஇநோமீடர","ఏబనీ ప్రవణతామాపీ, ఏబనీ క్లాఇనోమీటర",ایبنی پرونتاماپی، ایبنی کلائنومیٹر,"বনী প্রণতামাপী, বনী ক্লাইনমীটর","ଏବନୀ ପ୍ରବଣତାମାପୀ, ଏବନୀ କ୍ଲାଇନୋମୀଟର","एबनी प्रवणतामापी, एबनी क्लाइनोमीटर"
Abrasion,अपघर्षण,અપઘર્ષણ,अपघर्षण,ਖੁਰਚਣ,অপঘর্ষণ,अपघर्षण,"ಉಜ್ಜುವಿಕೆ, ತರಚಿಕೆ",അപഘര്ഷണ,அபகர்ஷண,అపఘర్షణ,خراشید گی۔ سائید گی۔ سایش,অপঘর্ষণ,"ଅପଘର୍ଷଣ, ଘର୍ଷଣଜନିତ ଚର୍ମକ୍ଷୟ",अपघर्षण
Abrasive,"अपघर्षी, अपघर्षक","અપઘર્ષી, અપઘર્ષક","अपघर्षी, अपघर्षक",ਖੁਰਚ ਦੇਣ ਵਾਲਾ,"অপঘর্ষী, অপঘর্ষক","अपघर्षी, अपघर्षक","ಅಪಘರ್ಷಕ, ಉಜ್ಜಿಹಾಕುವ ತರಚುವ, ಉಜ್ಜುವ","അപഘര്ഷീ, അപഘര്ഷക","அபகர்ஷீ, அபகர்ஷக","అపఘర్షీ, అపఘర్షక",سایندہ,"অপঘর্ষী, অপঘর্ষক","ଅପଘର୍ଷୀ, ଅପଘର୍ଷକ","अपघर्षी, अपघर्षक"
Abrasive belt,अपघर्षी पट्टा,અપઘર્ષી પટ્ટા,अपघर्षी पट्टा,ਅਪਘਰ੍਷ੀ ਪਟ੍ਟਾ,অপঘর্ষী পট্টা,अपघर्षी पट्टा,ಅಪಘರ್ಷೀ ಪಟ್ಟಾ,അപഘര്ഷീ പട്ടാ,அபகர்ஷீ பட்டா,అపఘర్షీ పట్టా,اپگھرشی پٹا,অপঘর্ষী পট্টা,ଅପଘର୍ଷୀ ପଟ୍ଟା,अपघर्षी पट्टा
Abrasive finishing,अपघर्षी परिष्कृति,અપઘર્ષી પરિષ્કૃતિ,अपघर्षी परिष्कृति,ਅਪਘਰ੍਷ੀ ਪਰਿ਷੍ਕ੃ਤਿ,অপঘর্ষী পরিষ্কৃতি,अपघर्षी परिष्कृति,ಅಪಘರ್ಷೀ ಪರಿಷ್ಕೃತಿ,അപഘര്ഷീ പരിഷ്കൃതി,அபகர்ஷீ பரிஷ்க்ருதி,అపఘర్షీ పరిష్కృతి,اپگھرشی پرشکرتی,অপঘর্ষী পরিষ্কৃতি,ଅପଘର୍ଷୀ ପରିଷ୍କୃତି,अपघर्षी परिष्कृति
Abrasive grinding wheel,अपघर्षी सान पहिया,અપઘર્ષી સાન પહિયા,अपघर्षी सान पहिया,ਅਪਘਰ੍਷ੀ ਸਾਨ ਪਹਿਯਾ,অপঘর্ষী সান পহিযা,अपघर्षी सान पहिया,ಅಪಘರ್ಷೀ ಸಾನ ಪಹಿಯಾ,അപഘര്ഷീ സാന പഹിയാ,அபகர்ஷீ ஸாந பஹியா,అపఘర్షీ సాన పహియా,اپگھرشی سان پہیا,অপঘর্ষী সান পহিযা,ଅପଘର୍ଷୀ ସାନ ପହିଯା,अपघर्षी सान पहिया
Abrupt clinometer,अपछिन्न क्लाइनोमीटर,અપછિન્ન ક્લાઇનોમીટર,अपछिन्न क्लाइनोमीटर,ਅਪਛਿਨ੍ਨ ਕ੍ਲਾਇਨੋਮੀਟਰ,অপছিন্ন ক্লাইনোমীটর,अपछिन्न क्लाइनोमीटर,ಅಪಛಿನ್ನ ಕ್ಲಾಇನೋಮೀಟರ,അപഛിന്ന ക്ലാഇനോമീടര,அபசிந்ந க்லாஇநோமீடர,అపఛిన్న క్లాఇనోమీటర,اپچھن کلائنومیٹر,অপছিন্ন ক্লাইনমীটর,ଅପଛିନ୍ନ କ୍ଲାଇନୋମୀଟର,अपछिन्न क्लाइनोमीटर
Abrupt enlargement,अपछिन्न विवर्धन,અપછિન્ન વિવર્ધન,अपछिन्न विवर्धन,ਅਪਛਿਨ੍ਨ ਵਿਵਰ੍ਧਨ,অপছিন্ন বিবর্ধন,अपछिन्न विवर्धन,ಅಪಛಿನ್ನ ವಿವರ್ಧನ,അപഛിന്ന വിവര്ധന,அபசிந்ந விவர்தந,అపఛిన్న వివర్ధన,اپچھن ووردھن,অপছিন্ন ির্ধন,ଅପଛିନ୍ନ ବିବର୍ଧନ,अपछिन्न विवर्धन
