Assamese,Kannada
এটা B শ্ৰেণীৰ এম্প্লিফায়াৰ,ಎ ಬಿ ವರ್ಗದ ಆಂಪ್ಲಿಫಯರ್
বিচ্যুতি,ವಿಪಥನ
অস্বাভাৱিক সংক্ৰমণ,ಅಸಹಜ ಪ್ರಸರಣ
"অসংলগ্ন, সাধাৰণতে, গাঁতযুক্ত, কাটি পেলোৱা, ভাঙি যোৱা","ಜೋಡಿಸದ, ಸಾಮಾನ್ಯವಾಗಿ, ಹೊಂಡ, ಕತ್ತರಿಸಿದ, ಮುರಿತ"
অনুপস্থিত বৰ্ণালী,ಸ್ಪೆಕ್ಟ್ರಮ್ ಕಾಣೆಯಾಗಿದೆ
"নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত","ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ನಿರಂತರ, ಪರಿಪೂರ್ಣ"
নিৰপেক্ষ আৰ্দ্ৰতা,ಸಂಪೂರ್ಣ ಆರ್ದ್ರತೆ
নিৰপেক্ষ গতি,ಸಂಪೂರ್ಣ ವೇಗ
নিৰপেক্ষ পৰ্যবেক্ষণ,ಸಂಪೂರ್ಣ ವೀಕ್ಷಣೆ
নিৰপেক্ষ উষ্ণতা,ಸಂಪೂರ್ಣ ತಾಪಮಾನ
নিৰপেক্ষ শূন্য,ಸಂಪೂರ್ಣ ಶೂನ್ಯ
শুহি লোৱা,ಹೀರಿಕೊಳ್ಳುತ್ತವೆ
"শোষক, শোষক","ಹೀರಿಕೊಳ್ಳುವ, ಹೀರಿಕೊಳ್ಳುವ"
শোষণ ক্ষমতা,ಹೀರಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ
শোষণ ক্ষমতা,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
শোষক,ಹೀರಿಕೊಳ್ಳುವ
শোষণ ক্ষমতা,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
বহুগুণতা অনুপাত,ಬಹುಸಂಖ್ಯೆಯ ಅನುಪಾತ
ত্বৰান্বিত কৰক,ವೇಗವನ್ನು
খৰধৰকৈ উঠিল,ಆತುರಪಟ್ಟರು
বেগ বৃদ্ধি,ವೇಗವರ್ಧನೆ
মাধ্যাকৰ্ষণৰ ত্বৰণ,ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ
ত্বৰণকাৰী,ವೇಗವರ್ಧಕ
ত্বৰণকাৰী,ವೇಗವರ್ಧಕ
এক্সিলেৰমিটাৰ,ವೇಗವರ್ಧಕ
প্ৰিষ্ট্ৰেছাৰ,ಪ್ರಿಸ್ಟ್ರೆಸರ್
গ্ৰহণযোগ্য পৰীক্ষা,ಸ್ವೀಕಾರಾರ್ಹ ಪರೀಕ್ಷೆ
গ্ৰহণকাৰী,ಸ್ವೀಕರಿಸುವವರು
দাতা অণু,ದಾನಿ ಅಣು
"প্ৰৱেশ, অপেক্ষা, অভিগম্যতা","ಪ್ರವೇಶ, ಕಾಯುವಿಕೆ, ಪ್ರವೇಶಿಸುವಿಕೆ"
অভিগম্যতা,ಪ್ರವೇಶಿಸುವಿಕೆ
"অতিৰিক্ত, আনুষংগিক, আনুষংগিক (v.), আনুষংগিক (ed.)","ಹೆಚ್ಚುವರಿ, ಪರಿಕರ, ಪರಿಕರ (ವಿ.), ಪರಿಕರಗಳು (ಸಂ)"
প্ৰৱেশ সময়,ಪ್ರವೇಶ ಸಮಯ
দৰ্শকৰ ভুল,ಸಂದರ್ಶಕರ ದೋಷ
সমন্বয়,ಹೊಂದಾಣಿಕೆ
সঞ্চিত কৰা হৈছে,ಸಂಗ್ರಹಿಸಲಾಗಿದೆ
"সঞ্চয়, সঞ্চয়","ಶೇಖರಣೆ, ಶೇಖರಣೆ"
এক্যুলেটৰ,ಸಂಚಯಕ
শুদ্ধতা,ನಿಖರತೆ
বাস্তৱতা,ರಿಯಾಲಿಟಿ
ৰঙীন লেন্স,ವರ್ಣರಹಿತ ಮಸೂರ
achromatic,ವರ್ಣರಹಿತ
achromaticity,ವರ್ಣರಹಿತತೆ
একাউষ্টিক,ಅಕೌಸ್ಟಿಕ್
শব্দ নিবাৰণ,ಧ್ವನಿ ನಿರೋಧಕ
একাউষ্টিক ফ&#39;নন,ಅಕೌಸ್ಟಿಕ್ ಫೋನಾನ್
শব্দ একক,ಧ್ವನಿ ಘಟಕ
একাউষ্টিক,ಅಕೌಸ್ಟಿಕ್
শব্দ উৎপাদক,ಧ್ವನಿ ಜನರೇಟರ್
ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া,ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ
সক্ৰিয়কৰণ,ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ
সক্ৰিয়কৰণ শক্তি,ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ
"সক্ৰিয়কৰ্তা, সক্ৰিয়কৰ্তা","ಆಕ್ಟಿವೇಟರ್, ಆಕ್ಟಿವೇಟರ್"
সক্ৰিয়,ಸಕ್ರಿಯ
সক্ৰিয়তা,ಕ್ರಿಯಾಶೀಲತೆ
প্ৰকৃত মানসিক চাপ,ನಿಜವಾದ ಒತ್ತಡ
ফুচফুচাই কোৱা,ಗುಸುಗುಸು
সামৰণিত,ಒಟ್ಟುಗೂಡಿಸಲು
"যোগ, যোগ, সমষ্টি (ed.), যোগ (v.)","ಮೊತ್ತ, ಸಂಕಲನ, ಒಟ್ಟು (ed.), ಸಂಯೋಜಕ (v.)"
"সংযোগী সুৰ, অতিৰিক্ত সুৰ (স্বৰ)","ಸಂಯೋಜಕ ಸ್ವರ, ಹೆಚ್ಚುವರಿ ಸ್ವರ (ಸ್ವರ)"
যোগকৰণ,ಸಂಯೋಜಕ
আঠাযুক্ততা,ಅಂಟಿಕೊಳ್ಳುವಿಕೆ
আঠাযুক্ত শক্তি,ಅಂಟಿಕೊಳ್ಳುವ ಶಕ್ತಿ
আদিয়াবাট,ಅಡಿಯಾಬಟ್
adiabatic,ಅಡಿಯಾಬಾಟಿಕ್
তাপ নিৰোধক,ಶಾಖ ನಿರೋಧಕ
সংলগ্ন কৰা হৈছে,ಬಾಂಧವ್ಯ
নিয়ন্ত্ৰণযোগ্য,ಹೊಂದಾಣಿಕೆ
ভেদ,ನುಗ್ಗುವಿಕೆ
শোষণ,ಹೊರಹೀರುವಿಕೆ
আগলৈ,ಮುಂದೆ
প্ৰগতিশীল,ಪ್ರಗತಿಪರ
"আকাশী, বায়ু (v.), আকাশী (ed.)","ಆಕಾಶಿ, ವಾಯು (ವಿ.), ವೈಮಾನಿಕ (ಸಂ)"
এন্টেনা ষ্ট্ৰিম,ಆಂಟೆನಾ ಸ್ಟ್ರೀಮ್
আকাশী জৰীপ,ವೈಮಾನಿಕ ಸಮೀಕ್ಷೆ
বায়ুৰ বেগ,ಗಾಳಿಯ ವೇಗ
বায়ুগতিশীল সহগ,ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಗುಣಾಂಕ
বায়ুগতিবিদ্যা,ವಾಯುಬಲವೈಜ್ಞಾನಿಕ
বায়ুগতিবিদ্যা,ವಾಯುಬಲವಿಜ್ಞಾನ
এৰোনটিকেল,ಏರೋನಾಟಿಕಲ್
এৰোনটিক্স,ಏರೋನಾಟಿಕ್ಸ್
বায়ুৰ স্পন্দন,ಗಾಳಿಯ ನಾಡಿ
"বায়ুমণ্ডল, গেছ&#39;স্ফিয়াৰ","ವಾತಾವರಣ, ಅನಿಲಗೋಳ"
ফোকাচ চিষ্টেম,ಕೇಂದ್ರೀಕೃತ ವ್ಯವಸ್ಥೆ
বেক ইগনিচন,ಹಿಂಭಾಗದ ದಹನ
বেক লাইট,ಹಿಂಬದಿ ಬೆಳಕು
জোকাৰণি,ಕನ್ಕ್ಯುಶನ್
"বয়স, বয়স, বয়স, যুগ (ed.), সময়ক প্ৰভাৱিত কৰা (ver.), সময়, সময়ৰ দ্বাৰা প্ৰভাৱিত হোৱা","ವಯಸ್ಸು, ವಯಸ್ಸು, ವಯಸ್ಸು, ಯುಗ (ed.), ಸಮಯವನ್ನು ಪ್ರಭಾವಿಸಲು (ver.), ಸಮಯ, ಸಮಯದಿಂದ ಪ್ರಭಾವಿತವಾಗಿರುತ್ತದೆ"
সময় প্ৰভাৱিত,ಸಮಯ ಪ್ರಭಾವಿತವಾಗಿದೆ
"বয়স বৃদ্ধি, বয়স বৃদ্ধি","ವಯಸ್ಸಾದ, ವಯಸ್ಸಾದ"
সময়ৰ প্ৰভাৱ,ಸಮಯದ ಪರಿಣಾಮ
সময় প্ৰভাৱ পৰীক্ষা,ಸಮಯ ಪರಿಣಾಮ ಪರೀಕ್ಷೆ
মাধ্যাকৰ্ষণহীন,ಗುರುತ್ವಾಕರ್ಷಣೆಯಿಲ್ಲದ
মিলন,ಸಮನ್ವಯ
"বায়ুমণ্ডলীয় ৰাডাৰ, আকাশী ৰাডাৰ","ವಾಯುಗಾಮಿ ರಾಡಾರ್, ವೈಮಾನಿಕ ರಾಡಾರ್"
"আকাশী লক্ষ্য, আকাশী লক্ষ্য","ವೈಮಾನಿಕ ಗುರಿ, ವೈಮಾನಿಕ ಗುರಿ"
বায়ু শ্বাসযন্ত্ৰ,ವಾಯು ಉಸಿರಾಟಕಾರಕ
এয়াৰ কণ্ডিচনাৰ,ಹವಾನಿಯಂತ್ರಣ
এয়াৰক্ৰু ট্ৰেন্সফৰ্মাৰ,ಏರ್ಕ್ರೂ ಟ್ರಾನ್ಸ್ಫಾರ್ಮರ್
বিমান,ವಿಮಾನ
প্ৰান্তিককৰণ,ಜೋಡಣೆ
প্ৰান্তিককৰণৰ ভুল,ಜೋಡಣೆ ದೋಷ
লাইভ চাৰ্কিট,ಲೈವ್ ಸರ್ಕ್ಯೂಟ್
সম্পূৰ্ণ কাঁচৰ নলী,ಪೂರ್ಣ ಗಾಜಿನ ಕೊಳವೆ
গোটেই ধাতুৰ নলী,ಸಂಪೂರ್ಣ ಲೋಹದ ಕೊಳವೆ
ঠিক কৰা,ಸರಿಪಡಿಸಲು
"মিশ্ৰতু (সম্পা.), মিশ্ৰত্বন (ক্ৰ.)","ಮಿಶ್ರತು (ಸಂ), ಮಿಶ್ರತ್ವಾನ್ (ಸಿಆರ್.)"
মিশ্ৰত্ৱন,ಮಿಶ್ರತ್ವಾನ್
সৰ্বব্যাপী মাধ্যম,ಸರ್ವತ್ರ ಮಾಧ್ಯಮ
omni এন্টেনা,ಓಮ್ನಿ ಆಂಟೆನಾ
আলমানাক,ಪಂಚಾಂಗ
আলফা,ಆಲ್ಫಾ
আলফা-কাৰ্য্যকলাপ,ಆಲ್ಫಾ ಚಟುವಟಿಕೆ
