Odiya,Tamil
ଆବିୟୋଟିକ୍ ପ୍ରଜନନ |,உயிரற்ற இனப்பெருக்கம்
ପରମାନନ୍ଦ,அமானுஷ்ய
1. ଚତୁର୍ଥ ପେଟ 2. ଇଭୋମାସୋମ୍ |,1. நான்காவது வயிறு 2. எவோமாசோம்
ଷ୍ଟୋମାଟାଲ୍ ବୃଦ୍ଧି ଅଙ୍ଗ |,வயிற்று வளர்ச்சி உறுப்பு
ଷ୍ଟଣ୍ଟେଡ୍ ଅଭିବୃଦ୍ଧି ମଞ୍ଜି |,வளர்ச்சி குன்றிய விதை
1. ଗର୍ଭପାତ 2. ଗର୍ଭଧାରଣ 3. ଅଭିବୃଦ୍ଧି ପ୍ରତିରୋଧ |,1. கருக்கலைப்பு 2. கருச்சிதைவு 3. வளர்ச்சி எதிர்ப்பு
1. ଅବାଞ୍ଛିତ ତୃଣକ 2. ସଂପୂର୍ଣ୍ଣ ତୃଣକ |,1. தேவையற்ற களைகள் 2. முழுமையான களைகள்
ଅବଶୋଷିତ କ୍ୟାସନ୍ |,உறிஞ்சப்பட்ட கேஷன்
ଅବଶୋଷଣ,உறிஞ்சுதல்
ଅବିଶ୍ୱାସୀ ସୋରିଷ |,அபிசீனிய கடுகு
1. ଆକାରିସାଇଡ୍ |,1. காரக்கொல்லி
ସେଣ୍ଟ୍ରିପେଟାଲ୍ |,மையவிலக்கு
ବୃଦ୍ଧି (କକ୍ଷ),பெருக்கம் (செல்)
ଅନୁମୋଦିତ ସହନଶୀଳତା |,அனுமதிக்கப்பட்ட சகிப்புத்தன்மை
1. ଅତିରିକ୍ତ 2.accessory 3.accessory,1.கூடுதல் 2.துணை 3.துணை
ଆଡାପ୍ଟେସନ୍,தழுவல்
ଜମା,திரட்சி
1. ସଠିକତା 2. ସଠିକତା |,1.vacuracy 2. துல்லியம்
1. ଆକର୍ଭୁଲସ୍ 2. ସ୍ପୋରୋଫାଇଟ୍ |,1. அசெர்வலஸ் 2. ஸ்போரோஃபைட்
1. ଏସିଟାଇଜେସନ୍ 2. ଭିନେଗାର ତିଆରି କରିବା 3. ଆସେଟିଲିନ୍ |,1. அசிடைசேஷன் 2. வினிகர் தயாரித்தல் 3. அசிட்டிலின்
1. ଅମ୍ଳକରଣ 2. ଅମ୍ଳକରଣ |,1. அமிலமயமாக்கல் 2. அமிலமயமாக்கல்
1. ଏସିଡୋମିଟର 2. ଏସିଡିମିଟର |,1. அமிலமானி 2. அமிலமானி
ଅମ୍ଳତା |,அமிலத்தன்மை
ଏସିଡୋଫାଇଲ୍ |,அமிலத்தன்மை
ଅମ୍ଳଯୁକ୍ତ ପଥର ଫସଫେଟ୍ |,அமிலமாக்கப்பட்ட ராக் பாஸ்பேட்
ଅମ୍ଳଯୁକ୍ତ |,அமிலமாக்கப்பட்ட
ଜଳଜଳ,நீர்நிலை
ଅଧିଗ୍ରହଣ,கையகப்படுத்தல்
ଏକର,ஏக்கர்
1. କ୍ଷେତ୍ର 2. କ୍ଷେତ୍ର,1. பகுதி 2. பகுதி
ଶେଷ ପଏଣ୍ଟ କ୍ରୋମୋଜୋମ୍ |,இறுதி புள்ளி குரோமோசோம்
ଆଗକୁ ଦେଖିବା,முன்னோக்கு
ଆକ୍ରୋସୋମ୍ |,குரோசோம்
ଆକ୍ଟିନୋମାଇସେଟ୍ସ |,ஆக்டினோமைசீட்ஸ்
ସକ୍ରିୟ କୋର୍ |,செயலில் உள்ள மைய
1. କ୍ରୋଧିତ 2. ତୀବ୍ର,1. சீற்றம் 2. தீவிரம்
ଅନୁକୂଳତା,தழுவல்
କଷ୍ଟମାଇଜେସନ୍,தனிப்பயனாக்கம்
1. ଆଡେସିନ୍ 2. ଆଡେସିନ୍ |,1. ஒட்டுதல் 2. ஒட்டுதல்
sebaceous,செபாசியஸ்
