Kannada,Marathi
ಅಜೀವಕ ಸಂತಾನೋತ್ಪತ್ತಿ,अजैविक पुनरुत्पादन
ಅಧಿಸಾಮಾನ್ಯ,अलौकिक
1. ನಾಲ್ಕನೇ ಹೊಟ್ಟೆ 2. ಎವೋಮಾಸೋಮ್,1. चौथे पोट 2. इवोमासोम
ಸ್ಟೊಮಾಟಲ್ ಬೆಳವಣಿಗೆಯ ಅಂಗ,रंध्र वाढीचा अवयव
ಕುಂಠಿತ ಬೆಳವಣಿಗೆ ಬೀಜ,वाढ खुंटलेले बीज
1. ಗರ್ಭಪಾತ 2. ಗರ್ಭಪಾತ 3. ಬೆಳವಣಿಗೆಯ ಪ್ರತಿರೋಧ,1. गर्भपात 2. गर्भपात 3. वाढीचा प्रतिकार
1. ಅನಗತ್ಯ ಕಳೆಗಳು 2. ಸಂಪೂರ್ಣ ಕಳೆಗಳು,1. अवांछित तण 2. पूर्ण तण
ಹೀರಿಕೊಳ್ಳಲ್ಪಟ್ಟ ಕ್ಯಾಷನ್,शोषलेले केशन
ಹೀರಿಕೊಳ್ಳುವಿಕೆ,शोषण
ಅಬಿಸ್ಸಿನಿಯನ್ ಸಾಸಿವೆ,Abyssinian मोहरी
1. ಅಕಾರಿಸೈಡ್,1. ऍकेरिसाइड
ಕೇಂದ್ರಾಭಿಮುಖ,केंद्राभिमुख
ವರ್ಧನೆ (ಕೋಶ),प्रवर्धन (सेल)
ಸಹಿಷ್ಣುತೆಯನ್ನು ಅನುಮೋದಿಸಲಾಗಿದೆ,मंजूर सहिष्णुता
1.ಹೆಚ್ಚುವರಿ 2.ಪರಿಕರ 3.ಪರಿಕರ,1.अतिरिक्त 2.अॅक्सेसरी 3.अॅक्सेसरी
ರೂಪಾಂತರ,रुपांतर
ಶೇಖರಣೆ,जमा
1.ವಾಕ್ಯುರಸಿ 2. ನಿಖರತೆ,1. अचूकता 2. अचूकता
1. ಅಸೆರ್ವುಲಸ್ 2. ಸ್ಪೊರೊಫೈಟ್,1. एसरव्हुलस 2. स्पोरोफाइट
1. ಅಸಿಟೈಸೇಶನ್ 2. ವಿನೆಗರ್ ತಯಾರಿಸುವುದು 3. ಅಸಿಟಿಲಿನ್,1. एसिटायझेशन 2. व्हिनेगर बनवणे 3. एसिटिलीन
1. ಆಮ್ಲೀಕರಣ 2. ಆಮ್ಲೀಕರಣ,1. आम्लीकरण 2. आम्लीकरण
1. ಆಸಿಡೋಮೀಟರ್ 2. ಆಸಿಡಿಮೀಟರ್,1. ऍसिडोमीटर 2. ऍसिडीमीटर
ಆಮ್ಲೀಯತೆ,आंबटपणा
ಅಸಿಡೋಫೈಲ್,ऍसिडोफाइल
ಆಮ್ಲೀಕೃತ ರಾಕ್ ಫಾಸ್ಫೇಟ್,ऍसिडिफाइड रॉक फॉस्फेट
ಆಮ್ಲೀಕೃತ,आम्लीकृत
ಜಲಚರ,जलचर
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವಿಕೆ,संपादन
ಎಕರೆ,एकर
1. ಪ್ರದೇಶ 2. ಪ್ರದೇಶ,1. क्षेत्रफळ 2. क्षेत्रफळ
ಎಂಡ್ ಪಾಯಿಂಟ್ ಕ್ರೋಮೋಸೋಮ್,अंतिम बिंदू गुणसूत्र
ಮುಂದೆ ನೋಡುವ,पुढे दिसणारा
ಅಕ್ರೋಸೋಮ್,acrosome
ಆಕ್ಟಿನೊಮೈಸೆಟ್ಸ್,actinomycetes
ಸಕ್ರಿಯ ಕೋರ್,सक्रिय कोर
1. ಉಗ್ರ 2. ತೀವ್ರ,1. उग्र 2. तीव्र
