Marathi,Gujarati
गर्भपात,ગર્ભપાત
गर्भपात टाइमर,ગર્ભપાત સમય
परिपूर्ण पत्ता,અબાધિત સંબોધન
परिपूर्ण पत्ता,પૂર્ણ સંબોધન
परिपूर्ण असेंबलर,સંપૂર્ણ સંમેલન
परिपूर्ण कोड,પૂર્ણ સંહિતા
परिपूर्ण कोडिंग,પૂર્ણ સંહિતા
परिपूर्ण आज्ञा,પૂર્ણ આદેશ
परिपूर्ण समन्वय,સંપૂર્ણ સંકલન
परिपूर्ण डेटा,અબાધિત આંકડા
परिपूर्ण त्रुटी,નિરપેક્ષ ભૂલ
परिपूर्ण अभिव्यक्ती,પૂર્ણ અભિવ્યક્તિ
परिपूर्ण सूचना,અબાધિત સૂચના
परिपूर्ण लोडर,અબાધિત લોડર
परिपूर्ण ऑर्डर,સંપૂર્ણ
परिपूर्ण प्रोग्रामिंग,પૂર્ણ કાર્યક્રમ
परिपूर्ण संज्ञा,અબાધિત મુદત
परिपूर्ण मूल्य,અબાધિત મૂલ્ય
परिपूर्ण वेक्टर,અબાધિત વેક્ટર
गोषवारा,નિષ્ક્રિય
अमूर्त,યોગ્યતા
अमूर्त प्रतीक,સાર -સારાંશ
प्रवेग कालावधी,પ્રવેગશ ગાળો
प्रवेग वेळ,પ્રવેગકોનો સમય
उच्चारण,ઉચ્ચારણ
स्वीकृती चाचणी,સ્વીકૃતિ કસોટી
प्रवेश,પ્રવેશ
प्रवेश आर्म,પ્રવેશ હાથ
प्रवेश व्यवस्था,પ્રવેશ -વ્યવસ્થા
प्रवेश प्राधिकरण,પ્રવેશ સત્તાવાર
प्रवेश शुल्क,પ્રવેશ -ખર્ચ
प्रवेश वर्ग,પ્રવેશ -વર્ગ
प्रवेश डेटा बेस व्यवस्थापन,પ્રવેશ -આધાર વ્યવસ્થાપન
प्रवेश वातावरण,પર્યાવરણ
प्रवेश अंतर,પ્રવેશ અંતર
प्रवेश निर्देशांक,પ્રવેશ -સૂચિ
Line क्सेस लाइन,પ્રવેશ -રેખા
प्रवेश यंत्रणा,પ્રવેશ -પદ્ધતિ
प्रवेश पद्धत,પ્રવેશ પદ્ધતિ
प्रवेश पद्धत दिनचर्या,પ્રવેશ -પદ્ધતિ
प्रवेश मोड,પ્રવેશ -પદ્ધતિ
प्रवेश बरोबर,પ્રવેશ -હક
प्रवेश स्कॅन,પ્રવેશ -સ્કેન
प्रवेश वेळ,પ્રવેશ સમય
लेखा,નામું
लेखा वित्त प्रणाली,હિસાબ -પદ્ધતિ પદ્ધતિ
लेखा मशीन,હિસાબ -વ્યવસ્થા
खाते क्रमांक,ખાતા નંબર
पुनरुत्पादक संचय,સંચયી પ્રજનનકર્તા
संचयक,એકઠા કરનાર
संचयक नोंदणी,સંચિત રજિસ્ટર
संचयक शिफ्ट सूचना,સંચય -પાળી સૂચના
अचूकता,ચોકસાઈ
अचूकता नियंत्रण वर्ण,ચોકસાઈ નિયંત્રણ
अचूकता नियंत्रण प्रणाली,ચોકસાઈ નિયંત્રણ પદ્ધતિ
ऐस पायलट,પાસાનો પાસાનો પો
चरित्र कबूल करा,પાત્ર સ્વીકારવું
ध्वनिक कपलर,ધ્વનિકર્તા
ध्वनिक कपलिंग,ધ્વનિ -જોડાણ
ध्वनिक विलंब रेखा,ધ્વનિ વિલંબ રેખા
ध्वनिक मेमरी,ધ્વનિમૂર્તિ
ध्वनिक मॉडेम,ધ્વનિ -મોડેમ
ध्वनिक सिग्नल,ધ્વનિ સંકેત
ध्वनिक संचयन,ધ્વનિ સંગ્રહ
परिवर्णी शब्द,ટૂંકાક્ષર
क्रिया,ક્રિયા
कृती चक्र,કાર્ય -ચક્ર
कृती ओळ,ક્રિયા -રેખ
कृती संदेश,ક્રિયા
कृती तपशील,કાર્ય -સ્પષ્ટીકરણ
सक्रियकरण,સક્રિય
सक्रिय,સક્રિય
