Assamese,Tamil
এ চি সমতুল্য বৰ্তনী,ஏசி சமமான சுற்று
এনালগ টু সংখ্যাগত ৰূপান্তৰক,எண் மாற்றிக்கு ஒப்புமை
নিৰপেক্ষ শূন্য,முழுமையான பூஜ்ஜியம்
শোষণ সহগ,உறிஞ்சுதல் குணகம்
শোষণ বৰ্ণালী,உறிஞ்சுதல் நிறமாலை
ৰিচেপ্টৰ পৰমাণু,ஏற்பி அணு
বিকল্প বিদ্যুৎ প্ৰবাহ সংযোজন,மாற்று மின்னோட்ட இணைப்பு
ইলেক্ট্ৰন সংগ্ৰহ কৰা,எலக்ட்ரான் அறுவடை
ফুটা সংৰক্ষণ,துளை சேமிப்பு
সক্ৰিয়কৰণ শক্তি,செயல்படுத்தும் ஆற்றல்
সক্ৰিয় পৰিবৰ্ধক,செயலில் பெருக்கி
সক্ৰিয় ডাইঅ&#39;ড বৰ্তনী,செயலில் உள்ள டையோடு சுற்று
সক্ৰিয় ফিল্টাৰ,செயலில் வடிகட்டி
সক্ৰিয় উচ্চ কম্পাঙ্ক পাৰ্কেট ফিল্টাৰ,செயலில் உள்ள உயர் அதிர்வெண் பார்க்வெட் வடிகட்டி
সক্ৰিয় লোড,செயலில் சுமை
সক্ৰিয় কম কম্পাঙ্ক বিশ্লেষণ ফিল্টাৰ,செயலில் குறைந்த அதிர்வெண் பாகுபடுத்தும் வடிகட்டி
সক্ৰিয় অঞ্চল,செயலில் உள்ள பகுதி
অভিযোজিত ইলেক্ট্ৰনিক্স,தகவமைப்பு மின்னணுவியல்
adder,சேர்ப்பான்
এডজাষ্টেবল বেণ্ড এক্সটেনচন,சரிசெய்யக்கூடிய இசைக்குழு நீட்டிப்பு
ভেদ,ஊடுருவல்
এৰিয়েল,ஏரியல்
pep কম্পাঙ্ক,பெப் அதிர்வெண்
এয়াৰ কণ্ডিচনাৰ,காற்றுச்சீரமைப்பி
প্ৰান্তিককৰণ,சீரமைப்பு
এলগৰিদম,அல்காரிதம்
সকলো পাছ ফিল্টাৰ,அனைத்து பாஸ் வடிகட்டி
মিশ্ৰণ সংযোগ,அலாய் சந்திப்பு
ক্ষীণকৰণ,தணிவு
বিকল্প বিদ্যুৎ প্ৰবাহ,மாறுதிசை மின்னோட்டம்
পৰিৱেশৰ উষ্ণতা,சுற்றுப்புற வெப்பநிலை
বাইপোলাৰ,இருமுனை
এম্প্লিফিকেশন,பெருக்கம்
এম্প্লিফায়াৰ,பெருக்கி
এম্প্লিফায়াৰৰ কাৰ্যক্ষমতা,பெருக்கி செயல்திறன்
মাত্ৰাসমূহ,பரிமாணங்கள்
প্ৰসাৰণ ক্ষীণকৰণ,வீச்சு குறைதல்
প্ৰসাৰণ মডুলেটেড AM দোলক,அலைவீச்சு மாடுலேட்டட் AM ஆஸிலேட்டர்
প্ৰসাৰণ মডুলেচন,வீச்சு பண்பேற்றம்
প্ৰসাৰণ মডুলেটৰ,வீச்சு மாடுலேட்டர்
angstrom একক,angstrom அலகு
এনালগ বৰ্তনী,அனலாக் சுற்று
এনালগ কম্পিউটাৰ,அனலாக் கணினி
এনালগ ফিল্টাৰ,அனலாக் வடிகட்டி
এনালগ মাল্টিমিটাৰ,அனலாக் மல்டிமீட்டர்
এনালগ চুইচ,அனலாக் சுவிட்ச்
AND গেট,மற்றும் வாயில்
কৌণিক কম্পাঙ্ক,கோண அதிர்வெண்
"এনিয়ন, এনিয়ন","அயனி, அயனி"
এনিয়েলিং উষ্ণতা,அனீலிங் வெப்பநிலை
এনোড,நேர்மின்முனை
এনোড এম্প্লিফায়াৰ,அனோட் பெருக்கி
এনোডাইন,அனோடைன்
এন্টেনা,ஆண்டெனா
এন্টেনা উপাদান,ஆண்டெனா கூறு
এন্টি-ৰিফ্লেক্টিভ আৱৰণ,எதிர்ப்பு பிரதிபலிப்பு பூச்சு
এন্টিলগিন এম্প্লিফায়াৰ,ஆன்டிலோகின் பெருக்கி
এন্টিৰেজোনেণ্ট চাৰ্কিট,எதிரொலி சுற்று
দ্বাৰক যুগ,துவாரகர் காலம்
ভাৰ্চুৱেল শক্তি,மெய்நிகர் சக்தி
তাঁৰৰ সংযোগ,கம்பி இணைப்பு
আনুমানিক ভোল্টেজ লাভ,தோராயமான மின்னழுத்த ஆதாயம்
আৰ্মষ্ট্ৰং মডুলেটৰ,ஆர்ம்ஸ்ட்ராங் மாடுலேட்டர்
এন্টেনা এৰে,ஆண்டெனா வரிசை
"আকাৰৰ অনুপাত, দৃষ্টি অনুপাত","அளவு விகிதம், தோற்ற விகிதம்"
ভাসমান বৰ্তনী (মুক্ত অপাৰেটিং বৰ্তনী),மிதக்கும் சுற்று (இலவச இயக்க சுற்று)
স্বয়ংক্ৰিয় মাল্টিভাইব্ৰেটৰ,தானியங்கி மல்டிவிபிரேட்டர்
ভাসমান মাল্টিভাইব্ৰেটৰ,மிதக்கும் மல்டிவிபிரேட்டர்
অসমতাপূৰ্ণ সংযোগস্থল,சமச்சீரற்ற சந்திப்பு
এচিনক্ৰ&#39;নাছ কেলকুলেটৰ,ஒத்திசைவற்ற கால்குலேட்டர்
পাৰমাণৱিক,அணுக்கரு
পাৰমাণৱিক সংখ্যা,அணு எண்
পাৰমাণৱিক গঠন,அணு அமைப்பு
অডিঅ&#39; এম্প্লিফায়াৰ,ஒலி பெருக்கி
অডিঅ&#39; এম্প্লিফায়াৰ,ஒலி பெருக்கி
অডিঅ&#39; কেছেট,ஆடியோ கேசட்
অডিঅ&#39; বৰ্তনী,ஒலி சுற்று
শ্ৰৱণযোগ্য কম্পাঙ্ক,கேட்கக்கூடிய அதிர்வெண்
স্বয়ংক্ৰিয় ভল্টেজ নিয়ন্ত্ৰণ,தானியங்கி மின்னழுத்த கட்டுப்பாடு
হিমস্খলন,பனிச்சரிவு
গড় ডিটেক্টৰ,சராசரி கண்டுபிடிப்பான்
অক্ষীয় ধৰণ,அச்சு முறை
অক্ষীয় অনুপাত,அச்சு விகிதம்
এন্টেনা,ஆண்டெனா
পিছলৈ ইলেক্ট্ৰ&#39;ম&#39;টিভ বল,பின் மின்னோட்ட விசை
পিছফালৰ অঞ্চল,பின் பகுதி
পিছলৈ বিক্ষিপ্ততা,மீண்டும் சிதறல்
পটভূমি চাৰ্জ,பின்னணி கட்டணம்
কাষৰ শব্দ,பக்க சத்தம்
ৰেট্ৰ&#39;গ্ৰেছন,பின்னடைவு
পশ্চাৎ বিকিৰণ,பின்புற கதிர்வீச்சு
বেকৱাৰ্ড ডাইঅ&#39;ড / বেকৱাৰ্ড ডাইঅ&#39;ড,பின்னோக்கி டையோடு / பின்தங்கிய டையோடு
পিছলৈ তৰংগ দোলক,பின்னோக்கி அலை ஆஸிலேட்டர்
"বাধা, বাধা","தடை, தடை"
বাধাগ্ৰস্ততা,தடை
সুষম দলং,சீரான பாலம்
সুষম মডুলেটৰ,சமநிலை மாடுலேட்டர்
সুষম মডুলেটৰ,சமநிலை மாடுலேட்டர்
সুষম বৰ্তনী,சமநிலை சுற்று
ভাৰসাম্যপূৰ্ণ গ্ৰেডিয়েণ্ট ডিটেক্টৰ,சமச்சீர் சாய்வு கண்டறிதல்
কাৰেণ্ট ষ্টেবিলাইজাৰ ৰেজিষ্টেন্স,தற்போதைய நிலைப்படுத்தி எதிர்ப்பு
বলোমিটাৰ,போலோமீட்டர்
বলোমিটাৰ দলং,போலோமீட்டர் பாலம்
বেলুন,பலூன்
কল জেক,வாழை பலா
কল প্লাগ,வாழை பிளக்
"বেণ্ড, বেণ্ডেজ","பட்டை, கட்டு"
বেণ্ড ড্ৰাইভাৰ,இசைக்குழு இயக்கி
বেণ্ড শক্তি,இசைக்குழு ஆற்றல்
বেণ্ড গেপ,பட்டை இடைவெளியை
badpark এম্প্লিফায়াৰ,பேட்பார்க் பெருக்கி
বেণ্ড পাছ ফিল্টাৰ,பேண்ட் பாஸ் வடிகட்டி
বড হাৰ জেনেৰেটৰ,பாட் ரேட் ஜெனரேட்டர்
banddispersion,பட்டை பரவல்
বেণ্ড ৰেজিষ্টৰ,இசைக்குழு மின்தடை
বেণ্ড ব্ৰেকাৰ ফিল্টাৰ,பேண்ட் பிரேக்கர் வடிகட்டி
বেণ্ড সম্প্ৰসাৰণ,இசைக்குழு விரிவாக்கம்
বেণ্ড আঁতৰোৱা ফিল্টাৰ,பேண்ட் ரிமூவர் வடிகட்டி
বেণ্ড এক্সপান্সন ডিফ্লেকচন মাল্টিপ্লাইয়াৰ,பேண்ட் விரிவாக்கம் விலகல் பெருக்கி
বেণ্ড সম্প্ৰসাৰণ দূৰত্ব বহুগুণক,பேண்ட் நீட்டிப்பு தூரம் பெருக்கி
"ৰশ্মি কেপাচিটৰ, বেংক কেপাচিটৰ","பீம் மின்தேக்கி, வங்கி மின்தேக்கி"
"বাৰ্কাৰ কোড, বাৰ্কাৰ কোড","குரைக்கும் குறியீடு, குரைக்கும் குறியீடு"
barravaugen মাপকাঠী,barravaugen அளவுகோல்
বেৰেটৰ,பார்ப்பனர்
বাধা,தடை
ইনচুলেটিং কেপাচিটৰ,இன்சுலேடிங் மின்தேக்கி
বাধা শক্তি,தடை ஆற்றல்
ৰেজিষ্টৰ ভল্টেজ,மின்தடை மின்னழுத்தம்
বাৰ্টলেট উইণ্ড&#39;,பார்ட்லெட் ஜன்னல்
"ভিত্তি, ভিত্তি","அடிப்படை, அடிப்படை"
বেচ বেণ্ড,அடிப்படை இசைக்குழு
বেচ বেণ্ড ট্ৰেন্সমিছন,அடிப்படை இசைக்குழு பரிமாற்றம்
ভিত্তি চাৰ্জ,அடிப்படை கட்டணம்
বেচ কাৰেণ্ট,அடிப்படை மின்னோட்டம்
ভিত্তি বিদ্যুৎ প্ৰবাহৰ উৎস,அடிப்படை தற்போதைய ஆதாரம்
বেচ শ্বিয়াৰিং,அடிப்படை வெட்டுதல்
আধাৰ মদন,ஆதார் மதன்
বেচ এমিটাৰ ফিড,அடிப்படை உமிழ்ப்பான் ஊட்டம்
বেচ এমিটাৰ জংচন,அடிப்படை உமிழ்ப்பான் சந்திப்பு
বেচ ইনজেকচন,அடிப்படை ஊசி
গ্ৰাউণ্ড লাইন,தரை வரி
ভিত্তি ৰেজিষ্টেন্স,அடிப்படை எதிர்ப்பு
ভিত্তি উৎস,அடிப்படை ஆதாரம்
