Tamil,Malayalam
அபெலியன் குழு,അബെലിയൻ ഗ്രൂപ്പ്
அபிலியன் அரைகுழு,അബെലിയൻ സെമിഗ്രൂപ്പ്
abscissa,abscissa
அறுதி,കേവല
முழுமையான ஒருங்கிணைப்பு,കേവലമായ ഒത്തുചേരൽ
முழுமையான பிழை,സമ്പൂർണ്ണ പിശക്
முழுமையான அதிகபட்சம்,കേവല പരമാവധി
முழுமையான குறைந்தபட்சம்,സമ്പൂർണ്ണ മിനിമം
துல்லியமான மதிப்பு,യഥാർത്ഥ മൂല്യം
முழுமையான வேகம்,കേവല വേഗത
சுருக்க இயற்கணிதம்,അമൂർത്ത ബീജഗണിതം
சுருக்க குழு கோட்பாடு,അമൂർത്തമായ ഗ്രൂപ്പ് സിദ്ധാന്തം
முடுக்கம்,ത്വരണം
புவியீர்ப்பு காரணமாக முடுக்கம்,ഗുരുത്വാകർഷണം മൂലം ത്വരണം
ஏற்றுக்கொள்ளக்கூடிய தேர்வு தொகுப்பு,സ്വീകാര്യമായ ചോയ്സ് സെറ്റ്
ஏற்றுக்கொள்ளக்கூடிய தர நிலை,സ്വീകാര്യമായ നിലവാരം
ஏற்றுக்கொள்ளக்கூடிய வரம்பு,സ്വീകാര്യമായ ശ്രേണി
ஏற்றுக்கொள்ளக்கூடிய நம்பகத்தன்மை நிலை,സ്വീകാര്യമായ വിശ്വാസ്യത നില
ஏற்றுக்கொள்ளக்கூடிய மாதிரி,സ്വീകാര്യമായ സാമ്പിൾ
திரட்டப்பட்ட பிழை,സഞ്ചിത പിശക്
துல்லியம்,കൃത്യത
செயல்படும் சக்தி,പ്രവർത്തന ശക്തി
நடவடிக்கை,നടപടി
செயல் மற்றும் எதிர்வினை,പ്രവർത്തനവും പ്രതികരണവും
உண்மையான அறிவியல்,യഥാർത്ഥ ശാസ്ത്രം
கடுமையான கோண முக்கோணம்,നിശിത കോണുള്ള ത്രികോണം
அசைக்ளிக்,അസൈക്ലിക്
கூட்டு,ചേർക്കുക
சேர்ப்பான்,ചേർക്കുന്നയാൾ
கூடுதலாக,കൂട്ടിച്ചേർക്കൽ
கூட்டல் சூத்திரம்,കൂട്ടിച്ചേർക്കൽ സൂത്രവാക്യം
சிக்கலான எண்களைச் சேர்த்தல்,സങ്കീർണ്ണ സംഖ്യകളുടെ കൂട്ടിച്ചേർക്കൽ
செயல்பாடுகளைச் சேர்த்தல்,പ്രവർത്തനങ്ങളുടെ കൂട്ടിച്ചേർക്കൽ
மெட்ரிக்குகள் சேர்த்தல்,മെട്രിക്സുകളുടെ കൂട്ടിച്ചേർക്കൽ
பல்லுறுப்புக்கோவைகள் சேர்த்தல்,ബഹുപദങ്ങളുടെ കൂട്ടിച്ചേർക്കൽ
நிகழ்தகவுகளைச் சேர்த்தல்,സാധ്യതകളുടെ കൂട്ടിച്ചേർക്കൽ
திசையன்கள் சேர்த்தல்,വെക്റ്ററുകളുടെ കൂട്ടിച്ചേർക്കൽ
கூட்டல் தேற்றம்,കൂട്ടിച്ചേർക്കൽ സിദ്ധാന്തം
சேர்க்கை குழு,സങ്കലന ഗ്രൂപ്പ്
தலைகீழ் சேர்க்கை,വിപരീത വിപരീതം
சேர்க்கை சொத்து,അഡിറ്റീവ് പ്രോപ്പർട്ടി
சேர்க்கை,അഡിറ്റിവിറ്റി
அருகாமை அணி,തൊട്ടടുത്തുള്ള മാട്രിക്സ്
அருகில்,തൊട്ടടുത്തുള്ള
அருகில் உள்ள கோணங்கள்,അടുത്തുള്ള കോണുകൾ
அருகில் உள்ள உச்சி,തൊട്ടടുത്തുള്ള ശീർഷകം
இணை,ചേരുക
அருகில்,തൊട്ടടുത്തുള്ള
இணைந்த தீர்மானிப்பான்,അനുബന്ധ ഡിറ്റർമിനന്റ്
இணை வேறுபாடு சமன்பாடு,അനുബന്ധ ഡിഫറൻഷ്യൽ സമവാക്യം
இணைந்த சமன்பாடு,അനുബന്ധ സമവാക്യം
இணை அணி,അനുബന്ധ മാട്രിക്സ്
மேட்ரிக்ஸின் இணைப்பு,മാട്രിക്സിന്റെ അനുബന്ധം
adjugate matrix,അഡ്ജുഗേറ്റ് മാട്രിക്സ്
ஏற்றுக்கொள்ளக்கூடிய முடிவு செயல்பாடு,സ്വീകാര്യമായ തീരുമാന പ്രവർത്തനം
ஏற்றுக்கொள்ளக்கூடிய கருதுகோள்,അനുവദനീയമായ അനുമാനം
காற்றியக்க விசை,എയറോഡൈനാമിക് ശക്തി
காற்றியக்கவியல்,എയറോഡൈനാമിക്സ്
இணைப்பு வடிவியல்,അഫൈൻ ജ്യാമിതി
இணைப்பு மேப்பிங்,അഫൈൻ മാപ്പിംഗ്
இணைப்பு மாற்றம்,അഫൈൻ പരിവർത്തനം
ஒருங்கிணைக்கும் மாறிகள்,അഗ്രഗേറ്റിംഗ് വേരിയബിളുകൾ
இயற்கணிதம்,ബീജഗണിതം
இயற்கணிதப்படி மூடப்பட்டது,ബീജഗണിതപരമായി അടച്ചിരിക്കുന്നു
இயற்கணித சமன்பாடு,ബീജഗണിത സമവാക്യം
இயற்கணித வெளிப்பாடு,ബീജഗണിത പദപ്രയോഗം
இயற்கணித வடிவம்,ബീജഗണിത രൂപം
