English,Tamil
A C equivalent circuit,ஏசி சமமான சுற்று
A to D converter,எண் மாற்றிக்கு ஒப்புமை
Absolute zero,முழுமையான பூஜ்ஜியம்
Absorption coefficient,உறிஞ்சுதல் குணகம்
Absorption spectrum,உறிஞ்சுதல் நிறமாலை
Acceptor atom,ஏற்பி அணு
A C coupling,மாற்று மின்னோட்ட இணைப்பு
Accumulation of electron,எலக்ட்ரான் அறுவடை
Accumulation of holes,துளை சேமிப்பு
Activation energy,செயல்படுத்தும் ஆற்றல்
Active amplifier,செயலில் பெருக்கி
Active diode circuit,செயலில் உள்ள டையோடு சுற்று
Active filter,செயலில் வடிகட்டி
Active high pass filter,செயலில் உள்ள உயர் அதிர்வெண் பார்க்வெட் வடிகட்டி
Active load,செயலில் சுமை
Active low pass filter,செயலில் குறைந்த அதிர்வெண் பாகுபடுத்தும் வடிகட்டி
Active region,செயலில் உள்ள பகுதி
Adaptive electronics,தகவமைப்பு மின்னணுவியல்
Adder,சேர்ப்பான்
Adjustable band width,சரிசெய்யக்கூடிய இசைக்குழு நீட்டிப்பு
Admittance,ஊடுருவல்
Aerial,ஏரியல்
Agility frequency,பெப் அதிர்வெண்
Air conditioner,காற்றுச்சீரமைப்பி
Alignment,சீரமைப்பு
Algorithm,அல்காரிதம்
All pass filter,அனைத்து பாஸ் வடிகட்டி
Alloy junction,அலாய் சந்திப்பு
Attenuation,தணிவு
Alternating current (AC),மாறுதிசை மின்னோட்டம்
Ambient temperature,சுற்றுப்புற வெப்பநிலை
Ambipolar,இருமுனை
Amplification,பெருக்கம்
Amplifier,பெருக்கி
Amplifier efficiency,பெருக்கி செயல்திறன்
Amplitude,பரிமாணங்கள்
Amplitude altenuation,வீச்சு குறைதல்
Amplitude modulated oscillator,அலைவீச்சு மாடுலேட்டட் AM ஆஸிலேட்டர்
Amplitude modulation,வீச்சு பண்பேற்றம்
Amplitude modulator,வீச்சு மாடுலேட்டர்
Angstrom unit,angstrom அலகு
Analog circuit,அனலாக் சுற்று
Analog computer,அனலாக் கணினி
Analog filter,அனலாக் வடிகட்டி
Analog multimeter,அனலாக் மல்டிமீட்டர்
Analog switch,அனலாக் சுவிட்ச்
AND gate,மற்றும் வாயில்
Angular frequency,கோண அதிர்வெண்
Anion,"அயனி, அயனி"
Annealing temperature,அனீலிங் வெப்பநிலை
Anode,நேர்மின்முனை
Anode amplifier,அனோட் பெருக்கி
Anodization,அனோடைன்
Antenna,ஆண்டெனா
Antenna elements,ஆண்டெனா கூறு
Anti-reflection coating,எதிர்ப்பு பிரதிபலிப்பு பூச்சு
Anti-log amplifier,ஆன்டிலோகின் பெருக்கி
Anti-resonant circuit,எதிரொலி சுற்று
Aperture time,துவாரகர் காலம்
Apparent power,மெய்நிகர் சக்தி
Apparent wiring,கம்பி இணைப்பு
Approximate voltage gain,தோராயமான மின்னழுத்த ஆதாயம்
Armstrong modulator,ஆர்ம்ஸ்ட்ராங் மாடுலேட்டர்
Arrays of antenna,ஆண்டெனா வரிசை
Aspect ratio,"அளவு விகிதம், தோற்ற விகிதம்"
Astable circuit (free running circuit),மிதக்கும் சுற்று (இலவச இயக்க சுற்று)
Astable multivibrator,தானியங்கி மல்டிவிபிரேட்டர்
Astable multivibrator,மிதக்கும் மல்டிவிபிரேட்டர்
Asymmetrical junction,சமச்சீரற்ற சந்திப்பு
Asynchronous counters,ஒத்திசைவற்ற கால்குலேட்டர்
Atom,அணுக்கரு
Atomic number,அணு எண்
Atomic structure,அணு அமைப்பு
Audio amplifier,ஒலி பெருக்கி
Audio amplifier,ஒலி பெருக்கி
Audio cassette,ஆடியோ கேசட்
Audio circuit,ஒலி சுற்று
Audio frequency,கேட்கக்கூடிய அதிர்வெண்
Automatic voltage control,தானியங்கி மின்னழுத்த கட்டுப்பாடு
Avalanche,பனிச்சரிவு
Average detector,சராசரி கண்டுபிடிப்பான்
Axial mode,அச்சு முறை
Axial ratio,அச்சு விகிதம்
Antenna,ஆண்டெனா
Back e.m.f.,பின் மின்னோட்ட விசை
Back field,பின் பகுதி
Back scattering,மீண்டும் சிதறல்
Background charge,பின்னணி கட்டணம்
Background noise,பக்க சத்தம்
Backlash,பின்னடைவு
Backlobe radiation,பின்புற கதிர்வீச்சு
Backward diode,பின்னோக்கி டையோடு / பின்தங்கிய டையோடு
