Bengali,Tamil
অবসান,குறைப்பு
সংক্ষেপণ,சுருக்கம்
অপহরণ,கடத்தல்
অবসান,நிறுத்துதல்
ক্ষমতা,திறன்
অ্যাব initio,Ab initio
সক্ষম,முடியும்
অস্বাভাবিক,அசாதாரணமானது
বিলুপ্তি,ஒழிப்பு
বিলোপ পোস্ট,இடுகை ஒழிப்பு
উপর্যুক্ত,மேலே குறிப்பிட்டுள்ள
উপরে উদ্ধৃত,மேலே மேற்கோள் காட்டப்பட்டுள்ளது
উপরে বলেছেন,மேலே கூறினார்
অনুপস্থিতি,இல்லாதது
অনুপস্থিত,வராதவர்
অনুপস্থিতি,இல்லாதது
অনুপস্থিত বিবৃতি,இல்லாத அறிக்கை
পরম,அறுதி
পরম একচেটিয়া,முழுமையான ஏகபோகம்
পরম মালিকানা,முழுமையான உரிமை
শোষণ,உறிஞ்சுதல்
বিমূর্ত,சுருக்கம்
অ্যাবস্ট্রাক্টস্টেটমেন্ট,சுருக்கம்
অযৌক্তিক,அபத்தமான
প্রাচুর্য,ஏராளமாக
ক্ষমতার অপব্যবহার,அதிகார துஷ்பிரயோகம்
অবমাননাকর ভাষা,தவறான மொழி
একাডেমিক,கல்வி
একাডেমিক আলোচনা,கல்வி விவாதம்
একাডেমিক ছুটি,கல்வி விடுப்பு
শিক্ষাগত যোগ্যতা,கல்வி தகுதி
একাডেমিক রেকর্ড,கல்வி சாதனையை
প্রশংসা,ஏற்றுக்கொள்ளுங்கள்
গ্রহণ,ஏற்றுக்கொள்
গ্রহণযোগ্যতা,ஏற்றுக்கொள்ளல்
অফিস গ্রহণ,பதவியை ஏற்றுக்கொள்வது
দরপত্র গ্রহণ,டெண்டரை ஏற்றுக்கொள்வது
অ্যাক্সেস,அணுகல்
প্রবেশ,அணுகல்
আনুষঙ্গিক,துணை
দুর্ঘটনা,விபத்து
প্রশংসাপত্র,பழக்கவழக்கமயமாக்கல்
থাকার ব্যবস্থা,தங்குமிடம்
সহকারী,துணையுடன்
চুক্তি,உடன்பாடு
অ্যাকশন,ஒப்புதல்
তদনুসারে,அதன்படி
অ্যাকাউন্ট,கணக்கு
দায়িত্ব,பொறுப்புக்கூறல்
দায়ী,பொறுப்பு
হিসাবরক্ষণ,கணக்கியல்
হিসাবরক্ষক,கணக்காளர்
কি কারণে,கணக்கு
অ্যাকাউন্ট হেড,கணக்கு தலை
অর্জিত সুবিধা,திரட்டப்பட்ட நன்மை
পেনশন আদায়,திரட்டப்பட்ட ஓய்வூதியம்
জমা,குவிப்பு
সঠিকতা,துல்லியம்
নির্ভুল,துல்லியமானது
অভিযোগ,குற்றம்
অভিযুক্ত,குற்றம் சாட்டப்பட்டவர்
অর্জন,சாதனை
স্বীকৃতি,ஒப்புதல்
স্বীকৃতি বকেয়া,ஒப்புதல் காரணமாக
পরিচিত,அறிமுகம்
অধিগ্রহণ,கையகப்படுத்தல்
খালাস,விடுவித்தல்
