Malayalam,English
ശീതീകരണം,Abatement
ചുരുക്കല്,Abbreviation
പിടിച്ചുകൊണ്ടുപോകല്,Abduction
Aveyne,Abeyance
കഴിവ്,Ability
Ab initio,Ab initio
കഴിവുള്ള,Able
വിലക്ഷണമായ,Abnormal
നിർത്തലാക്കൽ,Abolition
നിർത്തലാക്കൽ പോസ്റ്റ്,Abolitionof post
മുകളിൽ സൂചിപ്പിച്ച,Above mentioned
മുകളിൽ ഉദ്ധരിച്ചത്,Above quoted
മുകളിൽ പറഞ്ഞത്,Above said
അസാന്നിദ്ധം,Absence
ഹാജരാകാത്ത,Absentee
ഹാജരാകാത്തീയത,Absenteeism
ഹാജരാകാതിരിക്കുക,Absentee statement
കേശവം,Absolute
കേവല കുത്തക,Absolute monopoly
കേവല ഉടമസ്ഥാവകാശം,Absolute ownership
ആഗിരണം,Absorption
വേര്പെട്ടുനില്ക്കുന്ന,Abstract
അനുഗമിക്കുന്നു,Abstractstatement
അസംബന്ധം,Absurd
സമൃദ്ധി,Abundance
അധികാര ദുരുപയോഗം,Abuse of power
അധിക്ഷേപകരമായ ഭാഷ,Abusive language
പണ്ഡിതോചിതമായ,Academic
അക്കാദമിക് ചർച്ച,Academic discussion
അക്കാദമിക് അവധി,Academic leave
വിദ്യാഭ്യാസ യോഗ്യത,Academic qualification
അക്കാദമിക് റെക്കോർഡ്,Academic record
നിര്വഹിക്കുക,Accede
അംഗീകരിക്കുക,Accept
കൈക്കൊള്ളല്,Acceptance
ഓഫീസിന്റെ സ്വീകാര്യത,Acceptance of office
ടെണ്ടർ സ്വീകാര്യത,Acceptance of tender
പ്രവേശനം,Access
അപേക്ഷ,Accession
ഉപസാധനം,Accessory
ആകസ്മികത,Accident
ACCLIMATIES,Acclimatization
സ്ഥലസൗകരം,Accommodation
അനുഗമിച്ചു,Accompanist
അക്കോര്,Accord
അഭാവം,Accordance
അക്കാരണത്താല്,Accordingly
കണക്ക്,Account
ഉത്തരവാദിത്തം,Accountability
ഉത്തരവാദിയായ,Accountable
അക്കൗണ്ടൻസി,Accountancy
കണക്കെഴുത്തുകാരി,Accountant
അക്കൗണ്ട്,Account for
അക്കൗണ്ട് തല,Account head
വർദ്ധിച്ച ആനുകൂല്യം,Accrued benefit
വർദ്ധിച്ച പെൻഷൻ,Accrued pension
കൂന്വാരം,Accumulation
കൃതത,Accuracy
സൂക്ഷ്മമായ,Accurate
ബോധിപ്പിക്കുന്ന,Accuse
കുറ്റക്കാരന്,Accused
നേട്ടം,Achievement
അംഗീകാരം,Acknowledgement
അംഗീകാരത്തിന്റെ,Acknowledgement due
പരിചയം,Acquaintance
കൈവശപ്പെടുത്തൽ,Acquisition
കുറ്റപാട്വിൽപ്പന,Acquittance
പവര്ത്തിക്കുക,Act
അഭിനയ അലവൻസ്,Acting allowance
പവര്ത്തി,Action
പ്രവർത്തന പദ്ധതി,Action plan
സജീവമായ,Active
സജീവമായി,Actively
ചുറുചുറുക്കുള്ളവള്,Activist
ദൈവിക പ്രവൃത്തി,Act of God
ദുരാചാരത്തിന്റെ പ്രവർത്തനം,Act of misconduct
കമ്മീഷന്റെയും ഒഴിവാക്കലിന്റെയും നിയമം,Act of commission and omission
യഥാര്ത്ഥത്തിലുള്ള,Actual
വാസ്തവങ്ങൾ,Actuals
പൊരുത്തപ്പെടുത്തൽ,Adaptation
കൂട്ടല്,Addition
അധിക നിരക്ക്,Additional charge
അധിക ഫണ്ട്,Additional fund
അധിക ഗ്രാന്റ്,Additional grant
അധിക വിവരം,Additional information
അധിക വേതനം,Additional pay
കൂട്ടിച്ചേർക്കലും മാറ്റവും,Addition and alteration
അഭിസംബോധന ചെയ്യുക,Address
വിലാസശാല,Addressee
സ്വാഗത വിലാസം,Address of welcome
പരാപ്തമായ,Adequate
ഇത് പാലിക്കുക,Adhere to
