Odiya,Bengali
ଆବଦ୍ଧ,অবসান
ସଂକ୍ଷିପ୍ତକରଣ,সংক্ষেপণ
ଅପହରଣ,অপহরণ
ଆବେରୀ,অবসান
ଦକ୍ଷତା,ক্ষমতা
Ab initio,অ্যাব initio
ସକ୍ଷମ,সক্ষম
ଅସ୍ୱାଭାବିକ |,অস্বাভাবিক
ଚତୁରତା,বিলুপ্তি
ଅବ ilt ଧ କିଜ୍ ପୋଷ୍ଟ |,বিলোপ পোস্ট
ଉପରେ ଉଲ୍ଲେଖ କରାଯାଇଛି |,উপর্যুক্ত
ଉଦ୍ଧୃତ ଉଦ୍ଧୃତ |,উপরে উদ্ধৃত
ଉପରେ କହିଲା,উপরে বলেছেন
ଅନୁପସ୍ଥିତି,অনুপস্থিতি
ଅଧ୍ୟାପୀ,অনুপস্থিত
ଅନୁପସ୍ଥିତତା,অনুপস্থিতি
ଅନୁପସ୍ଥିତ ବିବୃତ୍ତି,অনুপস্থিত বিবৃতি
ସଂପୂର୍ଣ୍ଣ,পরম
ସଂପୂର୍ଣ୍ଣ ଏକଚାଟିଆ |,পরম একচেটিয়া
ସଂପୂର୍ଣ୍ଣ ମାଲିକାନା,পরম মালিকানা
ଶୋଷଣ,শোষণ
ବିସ୍ତୃତ,বিমূর্ত
ବିସ୍ତୃତ,অ্যাবস্ট্রাক্টস্টেটমেন্ট
ଅବ urd ଧ |,অযৌক্তিক
ପ୍ରଚୁରତା,প্রাচুর্য
ଶକ୍ତିର ଅପବ୍ୟବହାର |,ক্ষমতার অপব্যবহার
ଅପମାନଜନକ ଭାଷା |,অবমাননাকর ভাষা
ଏକାଡେମିକ୍ |,একাডেমিক
ଏକାଡେମିକ୍ ଆଲୋଚନା,একাডেমিক আলোচনা
ଏକାଡେମିକ୍ ଛୁଟି |,একাডেমিক ছুটি
ଏକାଡେମିକ୍ ଯୋଗ୍ୟତା |,শিক্ষাগত যোগ্যতা
ଏକାଡେମିକ୍ ରେକର୍ଡ |,একাডেমিক রেকর্ড
ଧ୍ୟାନଦେଇ,প্রশংসা
ଗ୍ରହଣ କର,গ্রহণ
ଗ୍ରହଣ,গ্রহণযোগ্যতা
ଅଫିସ୍ ଗ୍ରହଣ,অফিস গ্রহণ
ଟେଣ୍ଡର ଗ୍ରହଣ,দরপত্র গ্রহণ
ପ୍ରବେଶ,অ্যাক্সেস
ପ୍ରବେଶ,প্রবেশ
ଆନୁଷଙ୍ଗିକ,আনুষঙ্গিক
ଦୁର୍ଘଟଣା,দুর্ঘটনা
ସୁକମ୍ଲାଇଜେସନ୍,প্রশংসাপত্র
ଆବାସ,থাকার ব্যবস্থা
ସାଥୀ,সহকারী
ଆକର୍ଡ,চুক্তি
ସମ୍ପତ୍ତୀ,অ্যাকশন
ସେହି ଅନୁଯାୟୀ |,তদনুসারে
ଖାତା,অ্যাকাউন্ট
ଉତ୍ତରଦାୟିତ୍ୱ,দায়িত্ব
ଉତ୍ତରଦାୟୀ |,দায়ী
ଆକାଉଣ୍ଟାଣ୍ଟି,হিসাবরক্ষণ
ଆକାଉଣ୍ଟାଣ୍ଟ,হিসাবরক্ষক
ଖାତା ପାଇଁ,কি কারণে
ଖାତା ହେଡ୍,অ্যাকাউন্ট হেড
ଅଭିଯୋଗ ଲାଭ,অর্জিত সুবিধা
ପେନ୍ ପେନ୍ସନ୍,পেনশন আদায়
ଜମା,জমা
ସଠିକତା,সঠিকতা
ସଠିକ୍,নির্ভুল
ଅଭିଯୋଗ,অভিযোগ
ଅଭିଯୁକ୍ତ,অভিযুক্ত
ସଫଳତା,অর্জন
ସ୍ୱୀକୃତି,স্বীকৃতি
ସ୍ୱୀକୃତି ଦେବାର |,স্বীকৃতি বকেয়া
ପରିଚୟ,পরিচিত
ଅଧିଗ୍ରହଣ,অধিগ্রহণ
ନିର୍ଦ୍ଦୋଷ,খালাস
କାର୍ଯ୍ୟ କର,আইন
ଅଭିନୟ ଭତ୍ତା,অভিনয় ভাতা
କାର୍ଯ୍ୟ,কর্ম
କ୍ରିୟା ଯୋଜନା,অ্যাকশন প্ল্যান
ସକ୍ରିୟ,সক্রিয়
ସକ୍ରିୟ ଭାବରେ |,সক্রিয়ভাবে
କାର୍ଯ୍ୟକର୍ତ୍ତା,কর্মী
God ଶ୍ୱରଙ୍କ କାର୍ଯ୍ୟ,Of শ্বরের আইন
ଦୁଷ୍କର୍ମ କାର୍ଯ୍ୟ,অসদাচরণের আইন
କମିଶନ ଏବଂ ଓସାସଙ୍କ କାର୍ଯ୍ୟ |,কমিশন ও বাদ দেওয়া আইন
ପ୍ରକୃତ,আসল
କାର୍ଯ୍ୟ,বাস্তব
ଆଡାପ୍ଟେସନ୍,অভিযোজন
ଯୋଗ,সংযোজন
ଅତିରିକ୍ତ ଚାର୍ଜ,অতিরিক্ত চার্জ
ଅତିରିକ୍ତ ପାଣ୍ଠି,অতিরিক্ত তহবিল
ଅତିରିକ୍ତ ଅନୁଦାନ,অতিরিক্ত অনুদান
ଅତିରିକ୍ତ ସୂଚନା,অতিরিক্ত তথ্য
ଅତିରିକ୍ତ ଦେୟ,অতিরিক্ত বেতন
ଯୋଗ ଏବଂ ପରିବର୍ତ୍ତନ,সংযোজন এবং পরিবর্তন
ଠିକଣା,ঠিকানা
ଆଡ୍ରେସେେ |,ঠিকানা
ସ୍ୱାଗତିବାର ଠିକଣା,স্বাগত ঠিকানা
ପର୍ଯ୍ୟାପ୍ତ,পর্যাপ্ত
ନିୟମ ପାଳନ,মেনে চলুন
ଅନୁପଚାରି,অ্যাডহক
ବିଜ୍ଞାପନ ହକ୍ ଦାବି |,অ্যাডহক দাবি
ବିଜ୍ଞାପନ ହକ୍ କମିଟି |,তদর্থক কমিটি
AD HOC ବୃଦ୍ଧି |,অ্যাডহক বৃদ্ধি
ବିଜ୍ଞାପନ ହକ୍ ଦେୟ |,অ্যাডহক পেমেন্ট
ସଂଲଗ୍ନ,সংলগ্ন
ସଂଲଗ୍ନ (= ସଂଲଗ୍ନ),সংলগ্ন (= সংহত)
ସ୍ଥଗିତତା,স্থগিতাদেশ
ଆଡଜାଇବା ଗତି,স্থগিতের গতি
ସମର୍ଥନ କର ଘର,রায়
ଗୁଚିଚୀନିକ,বিচারক
ସମର୍ଥନ,বিচার
ଆଦ୍ବ୍ରୀକରଣ,বিচারক
ଆଡଜଷ୍ଟମେଣ୍ଟ୍,সামঞ্জস্য
ପ୍ରଶାସକ,প্রশাসনিক
ଶପଥ କର,শপথ পরিচালনা করুন
ପ୍ରଶାସନ,প্রশাসন
ନ୍ୟାୟ ପ୍ରଶାସନ,বিচার প্রশাসন
ପ୍ରଶାସନିକ,প্রশাসনিক
ପ୍ରଶାସନିକ କାର୍ଯ୍ୟ,প্রশাসনিক ক্রিয়া
ପ୍ରଶାସନିକ ମୂଲ୍ୟାଙ୍କନ |,প্রশাসনিক মূল্যায়ন
ପ୍ରଶାସନିକ ଅନୁମୋଦନ |,প্রশাসনিক অনুমোদন
ପ୍ରଶାସନିକ ପ୍ରାଧିକରଣ,প্রশাসনিক কর্তৃপক্ষ
ପ୍ରଶାସନିକ ନିୟନ୍ତ୍ରଣ |,প্রশাসনিক নিয়ন্ত্রণ
ପ୍ରଶାସନିକ ନିଷ୍ପତ୍ତି,প্রশাসনিক সিদ্ধান্ত
ପ୍ରଶାସନିକ ବିଭାଗ,প্রশাসনিক দপ্তর
ପ୍ରଶାସନିକ ମୁଣ୍ଡ,প্রশাসনিক মাথা
ପ୍ରଶାସନିକ ମୁଖ୍ୟାଳୟ |,প্রশাসনিক সদর দফতর
ପ୍ରଶାସନିକ ପଦକ୍ଷେପ |,প্রশাসনিক ব্যবস্থা
ପ୍ରଶାସନିକ ଶକ୍ତି |,প্রশাসনিক শক্তি
ପ୍ରଶାସନିକ ମଞ୍ଜୁର |,প্রশাসনিক অনুমোদন
ପ୍ରଶାସନିକ କ techni ଶଳ |,প্রশাসনিক কৌশল
ପ୍ରଶାସନିକ ଟ୍ରିବ୍ୟୁନାଲ୍ |,প্রশাসনিক ট্রাইব্যুনাল
ଗ୍ରହଣୀୟତା |,প্রবেশযোগ্যতা
ଗ୍ରହଣଯୋଗ୍ୟ ଖର୍ଚ୍ଚ |,স্বীকৃত ব্যয়
ସ୍ୱୀକାର କର |,স্বীকার করুন
କାର୍ଡ ଆଡମିଟ୍ କରନ୍ତୁ |,ভর্তি কার্ড
ସ୍ୱୀକାର କରାଯାଇଛି |,ভর্তি
ଉପଦେଶ ଦିଅନ୍ତୁ |,উপদেশ
ଆଡେପିଟି |,গ্রহণ
ଆଡପୁଟର୍,গ্রহণকারী
ଗ୍ରହଣ,গ্রহণ
ବୟସ୍କ,প্রাপ্তবয়স্ক
ବ୍ୟଭିଚାର,ভেজাল
ବ୍ୟଭିଚାର,ব্যভিচার
ବୟସ୍କ ଫ୍ରାଞ୍ଚାଇଜ୍ |,প্রাপ্তবয়স্ক ভোটাধিকার
ବିଜ୍ଞାପନ ଭାଲୋରେମ୍ ଡ୍ୟୁଟି |,বিজ্ঞাপন ভ্যালোরেম ডিউটি
ଅଗ୍ରିମ,অগ্রিম
ଅଗ୍ରୀମ ବୁକିଂ,আগাম বুকিং
ଅଗ୍ରଶୀ ନକଲ,অগ্রিম অনুলিপি
ଅଗ୍ରଗତି ବୃଦ୍ଧି,অগ্রিম বৃদ্ধি
ଅଗ୍ରିମ ଦେୟ,অগ্রিম প্রদান
ପ୍ରତିକୂଳ ପ୍ରବେଶ,প্রতিকূল এন্ট্রি
ପ୍ରତିକୂଳ ଟିପ୍ପଣୀ |,বিরূপ মন্তব্য
ପ୍ରତିକୂଳ ରିପୋର୍ଟ,প্রতিকূল প্রতিবেদন
ବିଜ୍ଞାପନ,বিজ্ঞাপন
ପରାମର୍ଶ,পরামর্শ
ଦେୟର ପରାମର୍ଶ |,অর্থ প্রদানের পরামর্শ
ପରାମର୍ଶଦାତା କମିଟି |,উপদেষ্টা কমিটি
ପରାମର୍ଶଦାତା ପରିଷଦ |,উপদেষ্টা পরিষদ
ଓକିଲ,অ্যাডভোকেট
ସମ୍ପର୍କ,বিষয়
ପ୍ରମାଣପତ୍ର,হলফনামা
ଅନୁବନ୍ଧ,অধিভুক্তি
ନିଶ୍ଚିତତା,নিশ্চিতকরণ
ନିଶ୍ଚିତ,ইতিবাচক
ସୁଲଭ,সামর্থ্য
Aforesaid,উপরোক্ত
ଉପରୁବର୍ତ୍ତୀ,নতুন করে
ବିପକ୍ଷରେ,বিরুদ্ধে
ବୟସ,বয়স
ବୟସ ପ୍ରମାଣପତ୍ର,বয়স শংসাপত্র
ଯଥେଷ୍ଟ ସମୟ ପାଇଁ ବୟସ |,ভোটাধিকার জন্য বয়স
ବୟସ ସୀମା |,বয়স সীমা
ସଂସ୍ଥା,এজেন্সি
କାର୍ଯ୍ୟସୂଚୀ,আলোচ্যসূচি
ଅବସରର ବୟସ,অবসর বয়স
ସୁପରନୁଏସନ୍ ବୟସ,তদারকির বয়স
ମିଳନ,সমষ্টি
ବହୁଳ,আক্রান্ত
ଆଗ୍ରିଲେସନ୍,আন্দোলন
Agm,এজিএম
ଚୁକ୍ତିନାମା,চুক্তি
ଚୁକ୍ତି ଫର୍ମ,চুক্তি ফর্ম
କୃଷି,কৃষি
Agro-idustry,শস্য উৎপাদন কেন্দ্র
ସହାୟତା,সাহায্য
