English,Hindi
Aborted organ,रुद्ध-वृद्धि अंग
Aborted seed,रुद्ध वृद्धि बीज
Abortion,"गर्भपात, गर्भस्राव, वृद्धि विरोध"
Absolute weed,"अवांछित अपतृण, पूर्ण खरपतवार"
Absorbed cation,अवशोषित धनायन
Absorption,अवशोषण
Abyssinian mustard,ऐबिसिनी सरसों
Acaricide,"एकेरेसनाशी, चिचड़ीनाशी"
Accentric,अकेंद्री
Accentuate (cell),प्रवर्धन (कोशिका)
Accepted tolerance,स्वीकृत सहायता
Accessory,"अतिरिक्त, सहायक, गौण"
Acclimatization,पर्यनुकूलन
Accumulation,संचय
Accuracy,"यथार्थता, परिशुद्धता"
Acervulus,"एसर्वुलस, बीजाणुपात्र"
Acetification,"ऐसीटीकरण, सिरका बनाना"
Acidification,"अम्लीकरण, अम्लन"
Acidimeter,"अम्लतामापी, एसिडीमीटर"
Acidity,अम्लता
Acidophilic,अम्लरागी
Acidulated rock phosphate,अम्लीकृत रॉक फॉस्फेट
Aciduric,अम्लसह
Aquifer,जलभृत
Acquisition,अधिग्रहण
Acre,एकड़
Acreage,"क्षेत्रफल, रकबा"
Acrocentric chromosome,उपांत बिंदु क्रोमोसोम
Acropetal,अग्राभिसारी
Acrosome,ऐक्रोसोम
Actinomycetes,एक्टिनोमाइसिटीज
Active root zone,सक्रिय मूलक्षेत्र
Acute,"उग्र, तीव्र"
Adaptability,अनुकूलनशीलता
Adaptation,अनुकूलन
Adhesion,"आसंजन, अभिलाग, बन्ध"
Adipose,वसामय
Adjustment equation,समायोजन समीकरण
Adobe soil,ऐडोब मृदा
Adulterant,अपमिश्रक
Adventitious,अपस्थानिक
Aecidiospore,"एसीडियोस्पोर, एसीडियम बीजाणु"
Aeolian process,वातोढ़ प्रक्रिया
Aeolian,वातोढ़
Aerate,वातन करना
Aerial,"वायव, आकाशी"
Aerometer,"ऐरोमीटर, वायुमापी, वायुघनत्वमाप"
Aerosol,ऐरोसॉल
Aestivation,"पुष्पदलविन्यास, ग्रीष्मनिष्क्रियता"
Aetiology (etiology),"रोग हेतु विज्ञान, व्याधिनिदान विज्ञान"
Afforestation,वनरोपण
Agitation,"विलोडन, प्रक्षोभन"
Agmark,"ऐगमार्क, कृष्यंक"
Agrarian,"भूमी संबंधी, कृषि संबंधी"
Agricultural clinic,कृषि निदानालय
