Assamese,English
এচিড’ইড,Acidoid
ইঅ’লিয়ান মাটি,Aeolian soil
গোট খোৱা,Aggregate
সংগ্ৰহ,Aggregation
কৃষি বিজ্ঞান,Agrology
কৃষি বিজ্ঞান,Agronomy
এ-দিগন্ত,A-horizon
আও-দিগন্ত,Ao-horizon 
আও-দিগন্ত,Aoo-horizon
মাটিৰ বায়ু ক্ষমতা,Air capacity of soil
মাটিৰ বায়ুৰ পৰিমাণ,Air content of soil
এয়াৰ পিকনোমিটাৰ,Air picnometer
এলিটিক মাটি,Allitic soil
জলজ মাটি,Alluvial soil
এম্ফোলাইট’ইড,Ampholytoid
এনিয়ন,Anion
"আপাত নিৰ্দিষ্ট মাধ্যাকৰ্ষণৰ আয়তনৰ ওজন বা বাল্ক নিৰ্দিষ্ট মাধ্যাকৰ্ষণ,&quot;","Apparent specific gravity volume weight or bulk specific gravity,"""
আৰিছ,Arris
আছলাৰ মিহি শিলৰ কাম,Ashlar fine masonry
আছলাৰ শিলৰ কাম,Ashlar masonry
এজ’নেল মাটি,Azonal soil
পিঠিৰ অভিনেতা,Back acter 
পিছফালৰ খোলা,Back arch
বেক বেণ্ড,Back band
পিছফালৰ ব্ৰাছ,Back brush
বেক চেক,Back check
বেক কাউণ্টাৰ,Back counter
পিঠি কাটি থকা,Back cutting
বেক ড্ৰাফ্ট ডেম্পাৰ,Back draft damper
বেক ড্ৰেইন,Back drain
বেক ড্ৰপ,Back drop
বেক ফিল,Back fill
পিছফালৰ ফিলেট,Back fillet
বেক ফ্লেপ হিঞ্জ,Back flap hinge
বেক ফ্ল&#39; সংযোগ,Back flow connection
বেক ফ্ল’ প্ৰিভেণ্টাৰ,Back flow preventer
বেক গেজ,Back gauge 
পিছফালৰ নালা,Back gutter 
পিছফালৰ অগ্নিকুণ্ড,Back hearth
বেকিং,Backing
বেকিং বৰ্ড,Backing board
পিঠিৰ চাপ,Back pressure
বেক প্ৰপ,Back prop
পিছফালৰ দৃষ্টি,Back sight 
পিছফালৰ পানী,Back water
বেফেল,Baffle
বেগৱৰ্ক,Bagwork 
বেলেষ্ট,Ballast
বল মাটি,Ball clay
