Punjabi,Kannada
ਐਂਪੀਅਰ (ਯੂਨਿਟ),ಆಂಪಿಯರ್ (ಘಟಕ)
angstrum,ಆಂಗ್ಸ್ಟ್ರಮ್
ਏ-ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ,ಎ-ಕ್ಲಾಸ್ ಆಂಪ್ಲಿಫಯರ್
ਏਐਨ ਰੇਡੀਓ ਸਹਾਏ,ಎಎನ್ ರೇಡಿಯೋ ಸಹಾಯ್
ਇੱਕ-ਸਕੈਨਿੰਗ ਪੇਸ਼ਕਾਰੀ,ಎ-ಸ್ಕ್ಯಾನಿಂಗ್ ಪ್ರಸ್ತುತಿ
a-ਦਰਸ਼,a-ದರ್ಶ್
ਏ-ਸਕੋਪ ਪ੍ਰਦਰਸ਼ਨ,ಎ-ಸ್ಕೋಪ್ ಕಾರ್ಯಕ್ಷಮತೆ
A-T ਕਰਵਡ ਕ੍ਰਿਸਟਲ,A-T ಕರ್ವ್ಡ್ ಕ್ರಿಸ್ಟಲ್
"AC-DC ਲਾਭ, ਏ. ਸੀ.ਡੀ. ਸੀ.ਲਾਭੀ, ਏ. ਸੀ.ਡੀ. c. ਪ੍ਰਸਾਰਣ","ಎಸಿ ಡಿಸಿ ಪ್ರಯೋಜನಗಳು, ಎ. ಸಿಡಿ. ಸಿ.ಲಭಿ, ಎ. ಸಿಡಿ. c. ವರ್ಧನೆ"
am,ಬೆಳಗ್ಗೆ
ਏ.ਐੱਮ.ਯੂ (ਪਰਮਾਣੂ ਪੁੰਜ ਯੂਨਿਟ),AMU (ಪರಮಾಣು ದ್ರವ್ಯರಾಶಿ ಘಟಕ)
ਆਰਡ-ਵਰਕ*,aard-vark*
ਐਬ-ਐਂਪੀਅਰ,ಅಬ್-ಆಂಪಿಯರ್
ਏ-ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ,A-B ವರ್ಗ ಆಂಪ್ಲಿಫಯರ್
adah,ಅದಾ
