Tamil,Bengali
அபாகஸ்,অ্যাবাকাস
அசாதாரண நிறுத்தம்,অস্বাভাবিক সমাপ্তি
கருக்கலைப்பு,গর্ভপাত
அறுதி,পরম
முழுமையான முகவரி,পরম ঠিকানা
முழுமையான முகவரி,পরম ঠিকানা
முழுமையான அசெம்பிளர்,পরম সংযোজনকারী
முழுமையான குறியீடு,পরম কোড
முழுமையான கட்டளை,পরম আদেশ
முழுமையான தரவு,পরম তথ্য
முழுமையான அறிவுறுத்தல்,পরম নির্দেশ
முழுமையான பயன்முறை,পরম মোড
முழுமையான பாதை,পরম পথ
முழுமையான நிரலாக்கம்,পরম প্রোগ্রামিং
சுருக்க வர்க்கம்,বিমূর্ত ক্লাস
சுருக்க தரவு வகை,বিমূর্ত তথ্য প্রকার
சுருக்க இயந்திரம்,বিমূর্ত মেশিন
சுருக்க சின்னம்,বিমূর্ত প্রতীক
சுருக்க தொடரியல்,বিমূর্ত বাক্য গঠন
ஏற்றுக்கொள்ளும் சோதனை,স্বীকৃতি যাচাইকরণ
அணுகல் அங்கீகாரம்,অ্যাক্সেস প্রমাণীকরণ
அணுகல் குறியீடு,প্রবেশাধিকার কোড
நுழைவு கட்டுப்பாடு,প্রবেশাধিকার নিয়ন্ত্রণ
அணுகல் ஸ்கேன்,অ্যাক্সেস স্ক্যান
துணை,আনুষঙ্গিক
கணக்கு,অ্যাকাউন্ট
கணக்கு ஐடி,অ্যাকাউন্ট আইডি
திரட்டி,সঞ্চয়কারী
துல்லியம்,সঠিকতা
அணுகல்,অ্যাক্সেস
அணுகல் கட்டுப்பாட்டு பைட்,অ্যাক্সেস নিয়ন্ত্রণ বাইট
அணுகல் குறியீடு,অ্যাক্সেস সূচক
அணுகல் விசை,অ্যাক্সেস কী
அணுகல் அணி,অ্যাক্সেস ম্যাট্রিক্স
அணுகல் முறை,অ্যাক্সেস মোড
அணுகல் சலுகை,প্রবেশাধিকার
அணுகல் பாதுகாப்பு,অ্যাক্সেস নিরাপত্তা
அணுகல் சேவையகம்,অ্যাক্সেস সার্ভার
அணுகல் நேரம்,অ্যাক্সেস সময়
ஒப்புகை,স্বীকৃতি
ஒலியியல்,ধ্বনিবিদ্যা
சுருக்கம்,সংক্ষিপ্ত রূপ
செயல் செய்தி,কর্ম বার্তা
செயல்படுத்துதல்,সক্রিয়করণ
செயலில் உள்ள சர்வர் பக்கம் (ASP),সক্রিয় সার্ভার পৃষ্ঠা (এএসপি)
செயலில் உள்ள பதிப்பு,সক্রিয় সংস্করণ
அசைக்ளிக்,অ্যাসাইক্লিক
அசைக்ளிக் வரைபடம்,অ্যাসাইক্লিক গ্রাফ
அட மொழி,অ্যাডা ভাষা
அடாப்டர்,অ্যাডাপ্টার
கூட்டு,যোগ করুন
கோப்பை சேர்க்க,ফাইল যুক্ত কর
செயல்பாட்டைச் சேர்க்கவும்,অপারেশন যোগ করুন
சேர்ப்பான்,যোগকারী
முகவரி,ঠিকানা
முகவரி பேருந்து,ঠিকানা বাস
முகவரி கோப்பு,ঠিকানা ফাইল
முகவரி வடிவம்,ঠিকানা বিন্যাস
முகவரி ஜெனரேட்டர்,ঠিকানা জেনারেটর
முகவரி வரி,ঠিকানা লাইন
முகவரி மேப்பிங்,ঠিকানা ম্যাপিং
முகவரி சுட்டி,ঠিকানা নির্দেশক
முகவரி பதிவு,ঠিকানা রেজিস্টার
முகவரி தீர்மானம்,ঠিকানা রেজোলিউশন
முகவரி மொழிபெயர்ப்பு,ঠিকানা অনুবাদ
நினைவாற்றலை உரையாற்றினார்,ঠিকানাযুক্ত স্মৃতি
உரையாற்றுவது,সম্বোধন
போதுமான அளவுகோல்கள்,পর্যাপ্ততার মানদণ্ড
இணைந்த,সংলগ্ন
நிர்வாகம்,প্রশাসন
நிர்வாகி,প্রশাসক
அடோப் அக்ரோபேட்,অ্যাডোবি অ্যাক্রোব্যাট
அடோ போட்டோஷாப்,অ্যাডোবি ফটোশপ
அட்வான்ஸ் பிசினஸ் அப்ளிகேஷன் புரோகிராமிங் (ஏபிஏபி),অ্যাডভান্স বিজনেস অ্যাপ্লিকেশন প্রোগ্রামিং (ABAP)
மேம்பட்ட தரவு,উন্নত তথ্য
மேம்பட்ட தகவல் அமைப்பு,উন্নত তথ্য সিস্টেম
மேம்பட்ட தொழில்நுட்பம் (AT),উন্নত প্রযুক্তি (AT)
முகவர்,প্রতিনিধি
திரட்டுதல்,সমষ্টি
வான்வழி கணினி அமைப்பு,বায়ুবাহিত কম্পিউটার সিস্টেম
அல்டஸ் பக்க தயாரிப்பாளர்,aldus পেজ মেকার
எச்சரிக்கை பெட்டி,সতর্কতা বাক্স
அல்கோல்,algol
அல்காரிதம்,অ্যালগরিদম
அல்காரிதம் பகுப்பாய்வு,অ্যালগরিদম বিশ্লেষণ
அல்காரிதம் திறன்,অ্যালগরিদম দক্ষতা
மாற்றுப்பெயர்,উপনাম
சீரமைப்பு,প্রান্তিককরণ
ஒதுக்கீடு,বরাদ্দ
அகரவரிசை,বর্ণানুক্রমিক
எண்ணெழுத்து,আলফানিউমেরিক
எண்ணெழுத்து விசைப்பலகை,আলফানিউমেরিক কী বোর্ড
ஆல்பா-சோதனை,আলফা-পরীক্ষা
ஆல்பா பதிப்பு,আলফা-সংস্করণ
alt விசை,alt কী
அல்டாவிஸ்டா,আলতাভিস্তা
தெளிவின்மை,অস্পষ্টতা
தெளிவற்ற இலக்கணம்,অস্পষ্ট ব্যাকরণ
அமெரிக்க தேசிய தரநிலை நிறுவனம் (ANSI),আমেরিকান ন্যাশনাল স্ট্যান্ডার্ড ইনস্টিটিউট (ANSI)
தகவல் பரிமாற்றத்திற்கான அமெரிக்க தரநிலை குறியீடு (ASCII),আমেরিকান স্ট্যান্ডার্ড কোড ফর ইনফরমেশন ইন্টারচেঞ্জ (ASCII)
அனலாக்,এনালগ
அனலாக் கணினி,এনালগ কম্পিউটার
அனலாக் சாதனம்,এনালগ ডিভাইস
அனலாக் மோடம்,এনালগ মডেম
அனலாக் டு டிஜிட்டல் மாற்றி (ADC),এনালগ থেকে ডিজিটাল কনভার্টার (ADC)
மற்றும்,এবং
மற்றும் சுற்று,এবং সার্কিট
மற்றும் வாயில்,এবং গেট
மற்றும் செயல்பாடு அல்ல (விலக்கு),এবং অপারেশন নয় (বর্জন)
இயங்குபடம்,অ্যানিমেশন
சிறுகுறிப்பு,টীকা
ஒழுங்கின்மை,ব্যতিক্রম
முன்னோடி,পূর্ববর্তী
முன்கூட்டிய பேஜிங்,প্রত্যাশিত পেজিং
எதிர்ப்பு சமச்சீர்,বিরোধী প্রতিসম
வைரஸ் தடுப்பு நிரல்,অ্যান্টিভাইরাস প্রোগ্রাম
ஆப்லெட்,অ্যাপলেট
பயன்பாட்டு டெவலப்பர்,অ্যাপ্লিকেশন ডেভেলপার
பயன்பாட்டு நிரலாக்கம்,অ্যাপ্লিকেশন প্রোগ্রামিং
பயன்பாட்டு நிரலாக்க இடைமுகம் (API),অ্যাপ্লিকেশন প্রোগ্রামিং ইন্টারফেস (API)
பயன்பாட்டு மென்பொருள்,অ্যাপ্লিকেশন সফ্টওয়্যার
பயன்பாட்டு மொழி,প্রয়োগমূলক ভাষা
தோராயக் கோட்பாடு,আনুমানিক তত্ত্ব
கட்டிடக்கலை,স্থাপত্য
பகுதி பரிமாற்றம்,এলাকা স্থানান্তর
வாதம்,যুক্তি
எண்கணித மற்றும் தர்க்க அலகு,গাণিতিক এবং যুক্তিবিদ্যা ইউনিট
எண்கணித சரிபார்ப்பு,গাণিতিক চেক
எண்கணித மாறிலி,গাণিতিক ধ্রুবক
எண்கணித தரவு,গাণিতিক তথ্য
எண்கணித அறிவுரை,গাণিতিক নির্দেশনা
எண்கணிதம் மற்றும் தருக்க அலகு (ALU),পাটিগণিত এবং যুক্তি ইউনিট (ALU)
அர்பானெட்,আরপানেট
வரிசை,অ্যারে
வரிசை கேச்,অ্যারে ক্যাশে
வரிசை கணினி,অ্যারে কম্পিউটার
வரிசை உறுப்பு,অ্যারে উপাদান
வரிசை பெயர்,অ্যারের নাম
வரிசை செயலி,অ্যারে প্রসেসর
அம்புக்குறி விசைகள்,তীর চিহ্ন
உச்சரிப்பு,উচ্চারণ
உச்சரிப்பு புள்ளி,উচ্চারণ বিন্দু
செயற்கை சுருக்கம்,কৃত্রিম কম্প্যাকশন
செயற்கை கட்டுப்பாடு,কৃত্রিম নিয়ন্ত্রণ
செயற்கை நுண்ணறிவு,কৃত্রিম বুদ্ধিমত্তা
ஏறுபவர்,আরোহী
ஏறும் வகை,আরোহী সাজানোর
ASCII betical order,ASCII বেটিকাল অর্ডার
ASCII கட்டுப்பாட்டு எழுத்து,ASCII নিয়ন্ত্রণ চরিত্র
ASCII கோப்பு,ASCII ফাইল
ASCII எழுத்துரு,ASCII ফন্ট
ASCII பரிமாற்றம்,ASCII স্থানান্তর
விகிதம்,আনুমানিক অনুপাত
ASPI,এএসপিআই
ASR டைமர்,ASR টাইমার
கூடி,একত্রিত করা
அசெம்பிளர்,সংযোজনকারী
சட்டசபை,সমাবেশ
சட்டசபை மொழி,এসেম্বলি
வலியுறுத்தல்,দাবী
பணி நியமனம்,নিয়োগ
சங்கம்,সংঘ
துணை முகவரி,সহযোগী ঠিকানা
துணை நினைவகம்,সহযোগী স্মৃতি
ஆஸ்டிரிக்,asteric
சமச்சீரற்ற,অপ্রতিসম
ஒத்திசைவற்ற,অ্যাসিঙ্ক্রোনাস
ஒத்திசைவற்ற டிஜிட்டல் சந்தாதாரர் வரி (ADSL),অ্যাসিঙ্ক্রোনাস ডিজিটাল সাবস্ক্রাইবার লাইন (ADSL)
ஒத்திசைவற்ற நேரப் பிரிவு மல்டிபிளெக்சிங் (ATDM),অ্যাসিঙ্ক্রোনাস টাইম ডিভিশন মাল্টিপ্লেক্সিং (ATDM)
ஒத்திசைவற்ற பரிமாற்றம்,অ্যাসিঙ্ক্রোনাস স্থানান্তর
ஒத்திசைவற்ற பரிமாற்ற முறை (ATM),অ্যাসিঙ্ক্রোনাস ট্রান্সফার মোড (এটিএম)
அணு,পরমাণু
இணைக்கப்பட்ட ஆவணம்,সংযুক্ত নথি
இணைக்கப்பட்டுள்ள கோப்பு,সংযুক্ত ফাইল
இணைப்பு,সংযুক্তি
பண்பு,বৈশিষ্ট্য
ஆடியோ,শ্রুতি
தணிக்கை நிரலாக்கம்,অডিট প্রোগ্রামিং
தணிக்கை சோதனை,নিরীক্ষা পথ
பெருக்குதல்,বৃদ্ধি
அங்கீகார நெறிமுறை,প্রমাণীকরণ প্রোটোকল
ஆசிரியர் அமைப்பு,অথরিং সিস্টেম
அங்கீகாரம்,অনুমোদন
தானியங்கு சுருக்கம்,স্বয়ংক্রিয় বিমূর্ত
தானாக துவக்குதல்,অটোবুটিং
ஆட்டோகேட்,অটোক্যাড
ஆட்டோலாக் ஆன்,অটোলগ চালু
தானியங்கி,স্বয়ংক্রিয়
தானியங்கு கோட்பாடு,স্বয়ংক্রিয় তত্ত্ব
தானியங்கி கணினி,স্বয়ংক্রিয় কম্পিউটিং
தானியங்கி தரவு செயலாக்கம்,স্বয়ংক্রিয় তথ্য প্রক্রিয়াকরণ
தானியங்கி பிழை திருத்தம்,স্বয়ংক্রিয় ত্রুটি সংশোধন
தானியங்கி செயல்பாடு,স্বয়ংক্রিয় ফাংশন
தானியங்கி அட்டவணைப்படுத்தல்,স্বয়ংক্রিয় সূচীকরণ
தானியங்கி நூலக அழைப்பு,স্বয়ংক্রিয় লাইব্রেরি কল
தானியங்கி நிரலாக்க,স্বয়ংক্রিয় প্রোগ্রামিং
தானியங்கி மீட்பு திட்டம்,স্বয়ংক্রিয় পুনরুদ্ধার প্রোগ্রাম
தானியங்கி வழக்கம்,স্বয়ংক্রিয় রুটিন
தானியங்கி கணினி மீட்பு,স্বয়ংক্রিয় সিস্টেম পুনরুদ্ধার
தானியங்கி பணம் செலுத்தும் இயந்திரம் (ATM),স্বয়ংক্রিয় টেলার মেশিন (এটিএম)
தானியங்கி,অটোমেশন
தானியங்கி,স্বয়ংক্রিয় চালু
தானாக சேமிக்கவும்,অটোসেভ
துணை,সহায়ক
துணை நினைவகம்,অক্জিলিয়ারী মেমরি
துணை சேமிப்பு,অক্জিলিয়ারী স্টোরেজ
கிடைக்கும் பட்டியல்,প্রাপ্তিসাধ্য তালিকা
கிடைக்கும் நேரம்,উপলব্ধ সময়
சராசரி,গড়
awk (மொழி),awk (ভাষা)
பின்தளம்,ব্যাকএন্ড
பின்தள செயலி,ব্যাকএন্ড প্রসেসর
பின்முகத்தை அகற்றுதல்,ব্যাকফেস অপসারণ
பின்னணி செயலாக்கம்,পটভূমি প্রক্রিয়াকরণ
பேக்கிங் கடை,ব্যাকিং স্টোর
