Tamil,Hindi
"1.அபாகஸ், 2. எண்ணும்","1.एबेकस, 2. गिनतारा"
அசாதாரண முடிவு,असामान्य समापन
இடைமறிக்கவும்,अवरोधन
"1. முழுமையான, 2. உச்சம்","1. निरपेक्ष, 2. परम"
முழுமையான முகவரி,निरपेक्ष पता
முழுமையான முகவரித்திறன்,निरपेक्ष पताभिगमन
முழுமையான அசெம்பிளர்,निरपेक्ष कोडांतरक
"1. முழுமையான குறியீடு, 2. முழுமையான குறியீடு","1. निरपेक्ष कूट, 2. निरपेक्ष कोड"
முழுமையான கட்டளை,निरपेक्ष समादेश
"1. முழுமையான புள்ளிவிவரங்கள், 2. முழுமையான தரவு","1.निरपेक्ष आंकडे, 2. निरपेक्ष डाटा"
முழுமையான அறிவுறுத்தல்,निरपेक्ष अनुदेश
முழுமையான பயன்முறை,निरपेक्ष विधा
முழுமையான பாதை,निरपेक्ष पथ
"1. முழுமையான நிரலாக்கம், 2. முழுமையான நிரலாக்கம்","1. निरपेक्ष क्रमादेशन, 2. निरपेक्ष प्रोग्रामन"
சுருக்க வர்க்கம்,अमूर्त वर्ग
சுருக்க தரவு வகை,अमूर्त आंकड़ा प्रकार
சுருக்க இயந்திரம்,अमूर्त मशीन
சுருக்க சின்னம்,अमूर्त प्रतीक
சுருக்க தொடரியல்,अमूर्त वाक्य विन्यास
ஏற்பு சோதனை,स्वीकृति परीक्षण
அணுகல் சான்றிதழ்,अभिगम प्रमाणन
"1. அணுகல் குறியீடு, 2. அணுகல் குறியீடு","1. अभिगम कूट, 2. अभिगम कोड"
நுழைவு கட்டுப்பாடு,अभिगम नियंत्रण
அணுகல் ஸ்கேனிங்,अभिगम क्रमवीक्षण
பாகங்கள்,सहयंत्र
கணக்கியல்,लेखा
"1. கணக்கு ஐடி, 2. கணக்கியல் அடையாளம்","1. एकाउंट आई डी, 2. लेखा पहचान"
திரட்டி,संचायक
"1. துல்லியம், 2. துல்லியம்","1. विशुद्धता, 2. यर्थाथता"
அணுகல்,अभिगम
அணுகல் கட்டுப்பாட்டு பைட்டுகள்,अभिगम नियंत्रण बाइट
அணுகல் காட்டி,अभिगम सूचक
அணுகல் விசை,अभिगम कुंजी
"1. அணுகல் அணி, 2. அணுகல் அணி","1.अभिगम आव्यूह, 2. अभिगम मैट्रिक्स"
அணுகல் முறை,अभिगम विधा
அணுகல் சலுகைகள்,अभिगम विशेषाधिकार
அணுகல் பாதுகாப்பு,अभिगम सुरक्षा
"1. அணுகல் சேவையகம், 2. அணுகல் சர்வர்","1. अभिगम परिसेवक, 2. अभिगम सर्वर"
அணுகல் நேரம்,अभिगम काल
ஒப்புகை,अभिस्वीकृति
ஒலியியல்,ध्वनिकी
"1. சுருக்கம், 2. சுருக்கம், 3. இருந்து குறுகிய","1. परिवर्णी शब्द, 2. संक्षिप्त रूप, 3. लघु रूप"
செயல் செய்தி,क्रिया संदेश
செயல்படுத்துதல்,सक्रियण
