Hindi,Telugu
विफलन,అబార్ట్
विफलन कालद,అబార్ట్ టైమర్
निरपेक्ष पता,సంపూర్ణ చిరునామా
निरपेक्ष पताभिगमन,సంపూర్ణ చిరునామా
निरपेक्ष कोडांतरक,సంపూర్ణ సమీకరించేవాడు
निरपेक्ष कूट,సంపూర్ణ కోడ్
निरपेक्ष कूटलेखन,సంపూర్ణ కోడింగ్
निरपेक्ष समादेश,సంపూర్ణ ఆదేశం
निरपेक्ष निर्देशांक,సంపూర్ణ కోఆర్డినేట్
निरपेक्ष आंकड़े,సంపూర్ణ డేటా
निरपेक्ष त्रुटि,సంపూర్ణ లోపం
निरपेक्ष व्यंजक,సంపూర్ణ వ్యక్తీకరణ
निरपेक्ष अनुदेश,సంపూర్ణ సూచన
निरपेक्ष भारक,సంపూర్ణ లోడర్
निरपेक्ष आदेश,సంపూర్ణ క్రమం
निरपेक्ष क्रमादेशन,సంపూర్ణ ప్రోగ్రామింగ్
निरपेक्ष पद,సంపూర్ణ పదం
निरपेक्ष मान,సంపూర్ణ విలువ
निरपेक्ष सदिश,సంపూర్ణ వెక్టర్
"सारांश, अमूर्त",నైరూప్య
"सारांशन, अमूर्तकरण, साराहरण",సంగ్రహించడం
अमूर्त प्रतीक,నైరూప్య చిహ్నం
त्वरण अवधि,త్వరణం కాలం
त्वरण काल,త్వరణం సమయం
उच्चारण चिह्न,యాస
स्वीकरण परीक्षण,అంగీకార పరీక్ష
अभिगम,యాక్సెస్
अभिगम बाहु,యాక్సెస్ ఆర్మ్
अभिगम व्यवस्था,యాక్సెస్ అమరిక
अभिगम प्राधिकारक,యాక్సెస్ అథారిటీ
अभिगम शुल्क,యాక్సెస్ ఛార్జ్
अभिगम वर्ग,యాక్సెస్ క్లాస్
अभिगम आँकड़ासंचय प्रबंध,డేటా బేస్ మేనేజ్‌మెంట్ యాక్సెస్
अभिगम परिवेश,యాక్సెస్ ఎన్విరాన్మెంట్
अभिगम अंतराल,యాక్సెస్ గ్యాప్
अभिगम सूचक,ప్రాప్యత సూచిక
अभिगम लाइन,యాక్సెస్ లైన్
अभिगम यांत्रिकत्व,యాక్సెస్ మెకానిజం
अभिगम विधि,యాక్సెస్ పద్ధతి
