Tamil,Hindi
அபாகஸ்,"1.एबेकस ,2. गिनतारा"
அசாதாரண நிறுத்தம்,असामान्य समापन
கருக்கலைப்பு,अवरोधन
அறுதி,"1. निरपेक्ष ,2. परम"
முழுமையான முகவரி,निरपेक्ष पता
முழுமையான முகவரி,निरपेक्ष पताभिगमन
முழுமையான அசெம்பிளர்,निरपेक्ष कोडांतरक
முழுமையான குறியீடு,"1. निरपेक्ष कूट ,2. निरपेक्ष कोड"
முழுமையான கட்டளை,निरपेक्ष समादेश
முழுமையான தரவு,"1.निरपेक्ष आंकडे ,2. निरपेक्ष डाटा"
முழுமையான அறிவுறுத்தல்,निरपेक्ष अनुदेश
முழுமையான பயன்முறை,निरपेक्ष विधा
முழுமையான பாதை,निरपेक्ष पथ
முழுமையான நிரலாக்கம்,"1. निरपेक्ष क्रमादेशन ,2. निरपेक्ष प्रोग्रामन"
சுருக்க வர்க்கம்,अमूर्त वर्ग
சுருக்க தரவு வகை,अमूर्त आंकड़ा प्रकार
சுருக்க இயந்திரம்,अमूर्त मशीन
சுருக்க சின்னம்,अमूर्त प्रतीक
சுருக்க தொடரியல்,अमूर्त वाक्य विन्यास
ஏற்றுக்கொள்ளும் சோதனை,स्वीकृति परीक्षण
அணுகல் அங்கீகாரம்,अभिगम प्रमाणन
அணுகல் குறியீடு,"1. अभिगम कूट ,2. अभिगम कोड"
நுழைவு கட்டுப்பாடு,अभिगम नियंत्रण
அணுகல் ஸ்கேன்,अभिगम क्रमवीक्षण
துணை,सहयंत्र
கணக்கு,लेखा
கணக்கு ஐடி,"1. एकाउंट आई डी ,2. लेखा पहचान"
திரட்டி,संचायक
துல்லியம்,"1. विशुद्धता ,2. यर्थाथता"
அணுகல்,अभिगम
அணுகல் கட்டுப்பாட்டு பைட்,अभिगम नियंत्रण बाइट
அணுகல் குறியீடு,अभिगम सूचक
அணுகல் விசை,अभिगम कुंजी
அணுகல் அணி,"1.अभिगम आव्यूह ,2. अभिगम मैट्रिक्स"
அணுகல் முறை,अभिगम विधा
அணுகல் சலுகை,अभिगम विशेषाधिकार
அணுகல் பாதுகாப்பு,अभिगम सुरक्षा
அணுகல் சேவையகம்,"1. अभिगम परिसेवक ,2. अभिगम सर्वर"
அணுகல் நேரம்,अभिगम काल
ஒப்புகை,अभिस्वीकृति
ஒலியியல்,ध्वनिकी
சுருக்கம்,"1. परिवर्णी शब्द, 2. संक्षिप्त रूप ,3. लघु रूप"
செயல் செய்தி,क्रिया संदेश
செயல்படுத்துதல்,सक्रियण
செயலில் உள்ள சர்வர் பக்கம் (ASP),सक्रिय सर्वर पृष्ठ
செயலில் உள்ள பதிப்பு,सक्रिय वर्जन
