Kannada,Marathi
ಸ್ಥಗಿತಗೊಂಡ ಅಂಗ,गर्भपात केलेला अवयव
ಸ್ಥಗಿತಗೊಂಡ ಬೀಜ,गर्भपात बियाणे
ಗರ್ಭಪಾತ,गर्भपात
ಸಂಪೂರ್ಣ ಕಳೆ,परिपूर्ण तण
ಹೀರಿಕೊಳ್ಳುವ ಕ್ಯಾಷನ್,शोषून घेतलेले केशन
ಹೀರುವಿಕೆ,शोषण
ಪ್ರಪಾತದ ಸಾಸಿವೆ,अ‍ॅबिसिनियन मोहरी
ಉಜ್ಜೆ,एकरिसाइड
ಉಪನಾಮದ,उच्चारण
ಎದ್ದು ಕಾಣುವುದು (ಕೋಶ),उच्चारण (सेल)
ಅಂಗೀಕರಿಸಿದ ಸಹಿಷ್ಣುತೆ,स्वीकारलेले सहिष्णुता
ಪರಿಕರ,Ory क्सेसरी
ಒಗ್ಗೂಡಿಸುವಿಕೆ,सहनशीलता
ಸಂಗ್ರಹಣೆ,संचय
ನಿಖರತೆ,अचूकता
ಕಸಚೂಕು,अ‍ॅसर्व्हुलस
ಸಮಗ್ರೀಕರಣ,एसीटिफिकेशन
ಆಮ್ಲೀಕರಣ,आम्लता
ಆಚಿಮೀಟರ್ ಚೀಟಿ,अ‍ॅसिडिमीटर
ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ,आंबटपणा
ಸಿಹಿನೀರಿನ,अ‍ॅसिडोफिलिक
ಆಮ್ಲೀಯ,अ‍ॅसिड्युलेटेड रॉक फॉस्फेट
ಸಂಚೇಮದ,अ‍ॅसिड्यूरिक
ಜಲಚರಗಳು,जलचर
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು,संपादन
ಎಕರೆ,एकर
ಎಕರೆ,एकर क्षेत्र
ಅಕ್ರೊಸೆಂಟ್ರಿಕ್ ವರ್ಣತಂತು,अ‍ॅक्रोसेन्ट्रिक गुणसूत्र
ಖುಷಿಯ,अ‍ॅक्रोपेटल
ಸುಣ್ಣ,अ‍ॅक्रोसोम
ಅಂಧ,अ‍ॅक्टिनोमाइसेट्स
ಸಕ್ರಿಯ ಮೂಲ ವಲಯ,सक्रिय रूट झोन
ತೀವ್ರ,तीव्र
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,अनुकूलता
ರೂಪಾಂತರ,रुपांतर
ಅಂಟಿಕೊಳ್ಳುವಿಕೆ,आसंजन
ಅಡಿ,Ip डिपोज
ಹೊಂದಾಣಿಕೆ ಸಮೀಕರಣ,समायोजन समीकरण
ಮಣ್ಣು,अ‍ॅडोब माती
ವ್ಯಭಿಚಾರಮಾಡುವ,व्यभिचारी
ಸಾಹಸದ,साहसी
ಅಕ್ಸಿಯೊಸ್ಪೋರ್,एसीडिओस्पोर
ಅಯೋಲಿಯನ್ ಪ್ರಕ್ರಿಯೆ,आयओलियन प्रक्रिया
ಅಯೋಲಿಯನ್,आयओलियन
ಗಾಳಿಗೊಡ್ಡು,वायुवीजन
ವೈಮಾನಿಕ,हवाई
ವಾಯುಮಾಪಕ,एरोमीटर
ವಾಯುಪಾವತಿ,एरोसोल
ಅಸ್ವಸ್ಥತೆ,एस्टिवेशन
ಏಟಿಯಾಲಜಿ (ಎಟಿಯಾಲಜಿ),एटिओलॉजी (एटिओलॉजी)
ಸಂಯಮ,वनीकरण
ಆಂದೋಲನ,आंदोलन
ಅಣಕೇಡು,अ‍ॅगमार्क
ಕೃಷಿ,कृषी
ಕೃಷಿ ಚಿಕಿತ್ಸಾಲಯ,कृषी क्लिनिक
ಕೃಷಿ ದುಡಿಮೆ,कृषी कामगार
ಕೃಷಿ ಮಾರಾಟ,कृषी विपणन
ಕೃಷಿ ತಂತ್ರಜ್ಞಾನ,कृषी तंत्रज्ञान
ಕೃಷಿ,शेती
ಕೃಪಣಸಾಮರಿ,कृषी सांस्कृतिक
ಕೃಷಿ -ವೈವಿಧ್ಯತೆ,अ‍ॅग्रोबायोडिव्हर्सिटी
ಕೃಷಿ ಜೀವವಿಜ್ಞಾನದ ದೋಷಗಳು,अ‍ॅग्रोबायोलॉजिकल दोष
ಕೃಷಿ ಜೀವವಿಜ್ಞಾನ,कृषीशास्त्र
ಕೃಷಿ -ವೈವಿಧ್ಯತೆ,अ‍ॅग्रोक्लिमॅटिक विविधता
ಕೃಷಿ ವಲಯ,अ‍ॅग्रोक्लिमॅटिक झोनिंग
ಕೃಚಾರಕ,अ‍ॅग्रोफोरेस्ट्री
ಕೃಷಿ ಶಾಸ್ತ್ರ,कृषीशास्त्र
ಕೃಷಿ ವಿಜ್ಞಾನ,अ‍ॅग्रोनॉमी
ಅಬ್ವಿಶರ,अ‍ॅग्रोपास्टोरल
ಕೃಷಿಪ್ರೊಸೆಸಿಂಗ್,अ‍ॅग्रोप्रोसेसिंग
Agrostology,अ‍ॅग्रोस्टोलॉजी
ಕೃಪೆ,अ‍ॅग्रोटाइप
ಗಾಳಿ ಸಸ್ಯ,एअर प्लांट
ಅಕೋಚಿ ಮಣ್ಣು,अकिओची माती
ಆಲ್ಬೋ,अल्बिनिझम
ಆಲ್ಫಿಸೋಲ್ಸ್,अल्फिसोल
ಪಾಚಿ,एकपेशीय वनस्पती
ಪಾಚಿಯ ಕಾಯಿಲೆ,अल्गल रोग
ಕ್ಷಾರ ನೀರು,अल्कली पाणी
ಕ್ಷಾರೀಯ,अल्कधर्मी
ಇಳಿಜಾರು,अ‍ॅलेल
ಆಲಿನೋಕೆಮಿಕಲ್ಸ್,Lel लोकेमिकल्स
ಅನನುಕಣ,Lel लोमॉर्फ
ಅಲಲೋಪತಿ,Lel लेलोपॅथी
ಅಲ್ಲೆ ಕ್ರಾಪಿಂಗ್,गल्ली पीक
ನಿಯೋಜಕ,वाटप
ಅಲೋಗಮಿ,अ‍ॅलोगॅमी
ಮಾಪಕ,अ‍ॅलोमेट्री
ಸೂತ್ರ,Ol लोपोलिपॉइड
ಅಲೋಸೈನಾಪ್ಸಿಸ್ (ಅಲೋಸಿಂಡೆಸಿಸ್),Os लोसिनॅप्सिस (os लोसिंडेसिस)
ಪರ್ಯಾಯ ಬೇರಿಂಗ್,वैकल्पिक बेअरिंग
ಪರ್ಯಾಯ ಭೂ ಬಳಕೆ,वैकल्पिक जमीन वापर
ಸುತ್ತುವರಿಯುವ,सभोवतालचे
ಅಚಲ,Meliorant
ಅಮೀಟಾಸಿ,अमिटोसिस
ಕಸಚುಗಾರ,अमृत
ಅಮೋನೀಕರಣ,अमोनिफिकेशन
ಅಮೋನಿಗೆ ಮಾಡುವವ,अमोनिफायर
ಅಬ್ಬರಿಸು,अमॉर्फ
ಉಭಯಮತ್ರ,अ‍ॅम्फिमिक्सिस
ಉದ್ದವಾದ,अ‍ॅम्फोटेरिक
ಅನಾಬಾಲಿಸಂ,अ‍ॅनाबोलिझम
ಬಯೆರೋಲೆ,अनरोब
ಅನೆಲಾಯ್ಡ್,Eneuploid
ಕೋನ ನೆಡುವುದು,कोन लागवड
ಪಶುಸಂಗೋಪನೆ,पशुसंवर्धन
ಪ್ರಾಣಿಗಳ ನಿರಾಕರಣೆ,प्राणी नकार
ಅನಿಮೇಟ್ ಎನರ್ಜಿ,एनिमेट एनर्जी
ಹದಮೆರಗಿ,एनिसोप्लॉइड
ವಾರ್ಷಿಕ ಸಸ್ಯ,वार्षिक वनस्पती
ವಾರ್ಷಿಕ,वार्षिक
ಸ ೦ ಗೀತ,अँथेसिस
ಆಂಥ್ರಾಕ್ಸ್,अँथ्रॅक्स
ಮಾನವಜನ್ಯದ ಅಂಶ,मानववंशिक घटक
ಪ್ರತಿಜೀವಕ,प्रतिजैविक
ಪ್ರತಿಜೀವಕ,प्रतिजैविक
ಪ್ರತಿವಿಷ,प्रतिजैविक
ಆವರಣಕಾರಕ,अँटीऑक्सिडेंट्स
ಪ್ರತಿಚರಣ,अँटीटॉक्सिन
ಉಚ್ಚಾರಣಾ,अ‍ॅनुलस
ಮುನಸು,Ph फिड
ಸುಲಿಯ ಮೊಗ್ಗು,एपिकल अंकुर
ಅಪಿಕಲ್ ಪ್ರಾಬಲ್ಯ,एपिकल वर्चस्व
ಅಪಿಕಲ್ಚರ್ (ಬೀ ಕೀಪಿಂಗ್),एपिकल्चर (मधमाशी पाळणे)
ತಿಕ್ಕಲು,अपोमिक्सिस
ಅಪಶೂನ್ಯತೆ,अ‍ॅपॉप्टोसिस
ಅನುಬಂಧ,परिशिष्ट
ಜೀರ್ಣಕಾರಕವಾಗಿ,भूक
ಅನ್ವಯಿಕ,लागू
ಜಲಚರಗಳು,जलीय तण
ಆಕ್ಷರ,आर्बोरियल
ಗುಂಡಿನ ಕವಚ,आर्बोरायझेशन
ಪುರಾತತ್ವ-ಬೊಟಾನಿಕಲ್ ದಾಖಲೆಗಳು,आर्चीओ-बॉटॅनिकल रेकॉर्ड
ಪ್ರದೇಶದ ಅಂಕಿಅಂಶಗಳು,क्षेत्र आकडेवारी
ಪ್ರದೇಶ,क्षेत्र
ಶುಷ್ಕ ಪರಿಸರ ವ್ಯವಸ್ಥೆ,शुष्क इकोसिस्टम
ಹದಮೆರಗಿ,एरिल
ಸುವಾಸನೆ,सुगंध
ಆರ್ಯ ಸಸ್ಯ,सुगंधित वनस्पती
ಆರೊಮ್ಯಾಟಿಕ್ ಅಕ್ಕಿ,सुगंधित तांदूळ
ಬಾಣ,बाण
ಕಸ ರೋಗಿಗಳು,Asepsis
ಅಸೆಪ್ಟ್,Se सेप्टिक
ಅಲೈಂಗಿಕ ಪ್ರಸಾರ,अलौकिक प्रसार
ಪರಾಕ್ರಮ,परख
ಸ್ವಸಮಾನಗಳು,मालमत्ता
ಏಕೀಕರಣ,आत्मसात
ಸಂಘ,असोसिएशन
ತಗ್ಗು,तुरट
ಕಸ ರೋಗ,एसिनॅप्सिस
ಅಟಾವ್ ವಾದ,अटाविझम
ವ್ಯಭಿಚಾರಿ,अ‍ॅटोमायझर
ಕ್ಷೀಣತೆ,अ‍ॅट्रोफी
ಸ್ವಯಂಚಾಲಿತ,ऑटोगॅमी
ಆಟೊಲಿಸಿಸ್,ऑटोलिसिस
ದಾಟುವಿಕೆ,ऑटोक्सिडेशन
ಸ್ವಯಂಚಾಲನ ಫಲಕ,ऑटोपॉलिपॉइड
ಸಮಶೀತ,ऑक्सिन
AWN (ಬಿರುಗೂದಲುಗಳು),ओएन (ब्रिस्टल)
ಬಾದು,बदाम
ಅಡೆ,कोरफड
ಹುಳಿ,अमरॅन्थस
ಅಮ್ಮ,अम्मी
ಅಂಜಾನ್ ಹುಲ್ಲು,अंजान गवत
ಆಧಿವಾತ,अँथुरियम
"ಅಯಾನ್ಲಾ, ಭಾರತೀಯ ಗೂಸ್ಬೆರ್ರಿ","अणला, भारतीय हंसबेरी"
ಸೇಬು,Apple पल
ಏಪ್ರಲಿ,जर्दाळू
ಆರ್ಬಿಯಾನ್ ಜಾಸ್ಮಿನ್,अरबियन चमेली
ಅರೆನಗವ,अरेका नट
ಹಳ್ಳ,अर्जुन
ಅಸ್ಫೊಟಿಡಾ,असफोएटिडा
ಬೂದಿ ಸೋರೆಕಾಯಿ,राख लबाडी
ಅಶೋಕ ಮರ,अशोका वृक्ष
ಆಶ್ಥಮಾ ವೀಡ್ (ಯುಫೋರ್ಬಿಯಾ),अश्थमा तण (युफोर्बिया)
ಶತಾವರಿ,शतावरी
ಆವಕಾಡು,एवोकॅडो
ಅಲ್ಫಾಲ್ಫಾ (ಲುಸೆರ್ನ್),अल्फाल्फा (ल्युसर्न)
ಇರುವೆಗಳು,मुंग्या
ಗಿಡಹೇನುಗಳು,Ph फिडस्
ಸೈನ್ಯದ ಹುಳು,आर्मी जंत
ಕೃಷಿ ಅರ್ಥಶಾಸ್ತ್ರಜ್ಞ,कृषी अर्थशास्त्रज्ञ
ಕೃಷಿ ವಿಸ್ತರಣಾವಾದಿ,कृषी विस्तारवादी
ಕೃಷಿ ವಿಜ್ಞಾನಿ,कृषी वैज्ञानिक
ಕೃಷಿ ಎಂಜಿನಿಯರ್,कृषी अभियंता
ಕೃಷಿ ವಿಜ್ಞಾನಿ,अ‍ॅग्रोबायोलॉजिस्ट
ಕೃಷಿವಾದಿ,कृषीशास्त्रज्ञ
ಕೃಷಿ ಭೌತ,अ‍ॅग्रोफिसिकस्ट
ಪ್ರಾಣಿ ತಳಿಗಾರ,प्राणी ब्रीडर
ಬ್ಯಾಸಿಲಸ್ ವೈರಸ್,बॅसिलस विषाणू
ಗಾಡಿ,बॅसिलस
ಬ್ಯಾಕ್ಟೀರಿಯಾ,जिवाणू
ಬ್ಯಾಕ್ಟೀರಿಯೊಕ್ಸಿನ್,बॅक्टेरियोटॉक्सिन
ಬಜಾಸ್ಸೆ,बागसे
ಸಮತೋಲನ,शिल्लक पत्रक
ಸಮತೋಲನೀಕರಣ,संतुलित फर्टिलायझेशन
ಗಿರಣಿ ರೇಖೆ,बार आकृती
ತೊಗಟೆ,साल
ಮಾಪಕ,बॅरोमीटर
ಬಂಜೆ,वांझ
ಬೇನೆ,पाया
ಜಲಾನಯನ ಪ್ರದೇಶ,बेसिन
ಸ್ವಲ್ಪ,बासिपेटल
ಬಾಸದ,बासेस्टर्नम
ಕೊಂಬೆ ಮಾನ್ಸುನ್,बे मॉन्सून
ಹೊಳಪಿನ,बेअरिंग प्लांट
ಹಾಸಿಗೆ,बेड
ದಟ್ಟಕಾರ,बेडर
ಹಾಸಿಗೆ,बेडिंग
ಬೀಟ್ ಮೊಲಾಸಸ್,बीट गुळ
ಬೆನ್ನೆಲುಬು,धनुष्य
ಪಟ್ಟಿಗೆ,बेल्ट
ಲಾಭ-ವೆಚ್ಚ ವಿಶ್ಲೇಷಣೆ,लाभ-खर्च विश्लेषण
ಪಕ್ಷಪಾತ (ಮಾದರಿ),पक्षपाती (सॅम्पलिंग)
ದ್ವೈವಾರ್ಷಿಕ,द्विवार्षिक
ದ್ವಿಪದೀಯ,द्विपक्षीय
ಜೈವಿಕ ವ್ಯಾಪ್ತಿಯ,बायोएजेन्ट
ಜೈ ಜೈವಿಕ ಗ್ರಂಥಾಲಯ,बायोक्लीमेट
ಜೈವಿಕ ಕರ್ತವ್ಯ,बायोएनर्जी
ಜೈವಿಕಶಾಸ್ತ್ರ,बायोनोमिक्स
ಜೈವಿಕ ರಿಯಾಯಿತಿ,बायोरिएक्टर
ಜೀವಗೋಳ,जीवशास्त्र
ಜೈವಿಕ,बायोटिक
ಬಯೋಟೈತನ,बायोटाइप
ದ್ವಿಲಿಂಗಿ,उभयलिंगी
ಚಿರತೆ,ब्लान्चिंग
ಹರಡು,ब्लास्ट
