Gujarati,Tamil
ખર્ચ,குறைப்பு
સંક્ષેપ,சுருக்கம்
અપહરણ,கடத்தல்
સ્થગ,நிறுத்துதல்
ક્ષમતા,திறன்
આરંભ,Ab initio
કઠોર,முடியும்
અસામાન્ય,அசாதாரணமானது
નાબૂદી,ஒழிப்பு
નાબૂદી પોસ્ટ,இடுகை ஒழிப்பு
ઉપર ઉલ્લેખ કર્યો છે,மேலே குறிப்பிட்டுள்ள
ઉપર જણાવેલ,மேலே மேற்கோள் காட்டப்பட்டுள்ளது
ઉપર જણાવ્યું હતું કે,மேலே கூறினார்
ગેરહાજરી,இல்லாதது
ગેરહાજર,வராதவர்
ગેરહાજરી,இல்லாதது
અનુપસ્થિત નિવેદનો,இல்லாத அறிக்கை
અબાધિત,அறுதி
અબાધિત ઈજારો,முழுமையான ஏகபோகம்
અબાધિત માલિકી,முழுமையான உரிமை
સમાવેશ,உறிஞ்சுதல்
નિષ્ક્રિય,சுருக்கம்
અખબારો,சுருக்கம்
વાહિયાત,அபத்தமான
વિપુલતા,ஏராளமாக
સત્તાનો દુરુપયોગ,அதிகார துஷ்பிரயோகம்
અપશબ્દો,தவறான மொழி
શૈક્ષણિક,கல்வி
શૈક્ષણિક ચર્ચા,கல்வி விவாதம்
શૈક્ષણિક રજા,கல்வி விடுப்பு
શૈક્ષણિક લાયકાત,கல்வி தகுதி
વિદ્યા,கல்வி சாதனையை
સહયોગ કરવો,ஏற்றுக்கொள்ளுங்கள்
સ્વીકારવું,ஏற்றுக்கொள்
સ્વીકૃતિ,ஏற்றுக்கொள்ளல்
પદની સ્વીકૃતિ,பதவியை ஏற்றுக்கொள்வது
પ્રતિજ્ ofા,டெண்டரை ஏற்றுக்கொள்வது
પ્રવેશ,அணுகல்
સંચાર,அணுகல்
સહાયક,துணை
અકસ્માત,விபத்து
સ્વાર્થીકરણ,பழக்கவழக்கமயமாக்கல்
આવાસ,தங்குமிடம்
સંલગ્ન,துணையுடன்
સંલગ્ન,உடன்பாடு
અનુસાર,ஒப்புதல்
તદનુસાર,அதன்படி
હિસાબ,கணக்கு
જવાબદારી,பொறுப்புக்கூறல்
જવાબદાર,பொறுப்பு
હિસાબની સંખ્યા,கணக்கியல்
હિસાબ રાખનાર,கணக்காளர்
માટે એકાઉન્ટ,கணக்கு
હિસાબનું માથું,கணக்கு தலை
ઉપાર્જિત લાભ,திரட்டப்பட்ட நன்மை
ઉપાર્જિત પેન્શન,திரட்டப்பட்ட ஓய்வூதியம்
સંચય,குவிப்பு
ચોકસાઈ,துல்லியம்
ચોક્કસ,துல்லியமானது
આક્ષેપ કરવો,குற்றம்
આરોપી,குற்றம் சாட்டப்பட்டவர்
સિદ્ધિ,சாதனை
સ્વીકૃતિ,ஒப்புதல்
સ્વીકૃતિ,ஒப்புதல் காரணமாக
પરિચય,அறிமுகம்
સંપાદન,கையகப்படுத்தல்
મુક્તિ,விடுவித்தல்
કૃત્ય,நாடகம்
કાર્યકારી ભથ્થું,நடிப்பு கொடுப்பனவு
ક્રિયા,செயல்
કાર્ય યોજના,செயல் திட்டம்
સક્રિય,செயலில்
સક્રિયપણે,சுறுசுறுப்பாக
સક્રિયકાર્ય,ஆர்வலர்
ભગવાનનો કૃત્ય,கடவுளின் செயல்
ગેરવર્તન,தவறான நடத்தை செயல்
કમિશન અને કમિશન અને બાદબાકી,கமிஷன் மற்றும் விடுபடுதல் சட்டம்
વાસ્તવિક,உண்மையான
વાસ્તવિક,உண்மையான
અનુકૂલન,தழுவல்
વધારા,கூடுதலாக
વધારાનો ખર્ચ,கூடுதல் கட்டணம்
વધારાના નિધિ,கூடுதல் நிதி
વધારાની અનુદાન,கூடுதல் மானியம்
વધારાની માહિતી,கூடுதல் தகவல்
વધારાનો પગાર,கூடுதல் ஊதியம்
ઉમેરો અને ફેરફાર,கூட்டல் மற்றும் மாற்றம்
સંબોધન,முகவரி
સંબોધન કરનાર,முகவரி
સ્વાગતનું સરનામું,வரவேற்பின் முகவரி
પૂરતું,போதுமானது
ને અનુરૂપ બનાવવું,பின்பற்றவும்
તદર્થ,தற்காலிக
તદર્થપત્ર,தற்காலிக உரிமைகோரல்
તદર્થ સમિતિ,தற்காலிக குழு
તદર્થ વધારો,தற்காலிக அதிகரிப்பு
તદ્દન ચુકવણી,தற்காலிக கட்டணம்
અડીને,அருகில்
અડીને (= સુસંગત),அருகிலுள்ள (= தொடர்ச்சியான)
મોકૂફી,ஒத்திவைப்பு
મોકૂફીની દરખાસ્ત,ஒத்திவைப்பு இயக்கம்
ન્યાયનિર્ણય કરવો,தீர்ப்பளிக்கவும்
ન્યાયનિર્ણય કરવો,தீர்ப்பளிக்கவும்
ન્યાયનિર્ણય,தீர்ப்பு
ન્યાયનિધીકરણ કરનાર,தீர்ப்பாளர்
સમાયોજન,சரிசெய்தல்
સંચાલન કરવું,நிர்வாகி
સોગંદ કરવો,சத்தியப்பிரமாணத்தை நிர்வகிக்கவும்
વહીવટ,நிர்வாகம்
ન્યાય પ્રણાલી,நீதி நிர்வாகம்
વહીવટી,நிர்வாக
વહીવટી પગલાં,நிர்வாக நடவடிக்கை
વહીવટી મૂલ્યાંકન,நிர்வாக மதிப்பீடு
વહીવટી મંજૂરી,நிர்வாக ஒப்புதல்
વહીવટી સત્તા,நிர்வாக அதிகாரம்
વહીવટી નિયંત્રણ,நிர்வாக கட்டுப்பாடு
વહીવટી નિર્ણય,நிர்வாக முடிவு
વહીવટી વિભાગ,நிர்வாகத் துறை
વહીવટી વડા,நிர்வாகத் தலைவர்
વહીવટી મથક,நிர்வாக தலைமையகம்
વહીવટી પગલાં,நிர்வாக நடவடிக்கைகள்
વહીવટી સત્તા,நிர்வாக சக்தி
વહીવટી મંજૂરી,நிர்வாக அனுமதி
વહીવટી તકનીક,நிர்வாக நுட்பம்
વહીવટી પંચ,நிர்வாக தீர்ப்பாயம்
સ્વીકાર્યતા,ஒப்புதல்
સ્વીકાર્ય ખર્ચ,ஏற்றுக்கொள்ளக்கூடிய செலவு
કબૂલવું,அனுமதிக்கவும்
પ્રવેશ કાર્ડ,அட்டை சேர்க்கவும்
સ્વીકૃત,ஒப்புக்கொள்ளப்பட்டது
સલાહ આપવી,அறிவுறுத்துங்கள்
દત્તક,தத்தெடுப்பவர்
અપનાવનાર,தத்தெடுப்பவர்
દત્તક,தத்தெடுப்பு
પુખ્ત,வயது வந்தோர்
ભેગ,கலப்படம்
વ્યભિચાર,விபச்சாரம்
પુખ્ત મતાધિકાર,வயதுவந்தோர் உரிமை
બહાનું,விளம்பர மதிப்பீட்டு கடமை
આગળ વધવું,முன்கூட்டியே
