Tamil,Hindi
குறைப்பு,"उपशमन, कमी"
சுருக்கம்,संक्षिप्‍ति
கடத்தல்,अपहरण
நிறுத்துதல்,प्रास्थगन
திறன்,योग्यता
Ab initio,"आदित:, आरंभ से"
முடியும்,योग्य
அசாதாரணமானது,अपसामान्य
ஒழிப்பு,"उन्मूलन, समाप्‍ति"
இடுகை ஒழிப்பு,पद समाप्‍ति
மேலே குறிப்பிட்டுள்ள,"ऊपर उल्लिखित, उपर्युक्‍त"
மேலே மேற்கோள் காட்டப்பட்டுள்ளது,ऊपर उद्‍धृत
மேலே கூறினார்,उपर्युक्‍त
இல்லாதது,"अनुपस्थिति, गैरहाजि़री, अभाव"
வராதவர்,"अनुपस्थित, ग़ैरहाजि़र"
இல்லாதது,"अनुपस्थिति-प्रवृत्‍ति, अन्यत्रवासिता"
இல்லாத அறிக்கை,अनुपस्थिति-विवरण
அறுதி,"पूर्ण, निरपेक्ष"
முழுமையான ஏகபோகம்,पूर्ण एकाधिकार
முழுமையான உரிமை,पूर्ण स्वामित्व
உறிஞ்சுதல்,"आमेलन, अवशोषण"
சுருக்கம்,सार
சுருக்கம்,सार-विवरण
அபத்தமான,"अर्थहीन, बेतुका"
ஏராளமாக,प्रचुरता
அதிகார துஷ்பிரயோகம்,शक्‍ति का दुरुपयोग
தவறான மொழி,गाली-गलौज
கல்வி,"अकादमिक, शैक्षणिक, विद्‌यासंबंधी, शास्त्रीय"
கல்வி விவாதம்,शास्त्रीय चर्चा
கல்வி விடுப்பு,अकादमिक छुट्टी
கல்வி தகுதி,शैक्षिणिक अर्हता
கல்வி சாதனையை,"शैक्षिक रिकार्ड, शैक्षिक अभिलेख"
ஏற்றுக்கொள்ளுங்கள்,"मान लेना, अधिमिलन होना"
ஏற்றுக்கொள்,"स्वीकार करना, मानना"
ஏற்றுக்கொள்ளல்,"स्वीकृति, प्रतिग्रहण"
பதவியை ஏற்றுக்கொள்வது,पद-स्वीकृति
டெண்டரை ஏற்றுக்கொள்வது,निविदा की स्वीकृति
அணுகல்,पहुंच
அணுகல்,"राज्यारोहण, पदारोहण, परिग्रहण"
துணை,"अनुषंगी, उपसाधन"
விபத்து,"दुर्घटना, संयोग"
பழக்கவழக்கமயமாக்கல்,पर्यनुकूलन
தங்குமிடம்,"आवास, निर्वाह, समंजन"
துணையுடன்,संगकार
உடன்பாடு,"समझौता, प्रदान करना, देना"
ஒப்புதல்,"अनुरूपता, संगति"
அதன்படி,तदनुसार
கணக்கு,"लेखा, खाता, हिसाब"
பொறுப்புக்கூறல்,जवाबदेही
பொறுப்பு,"जवाबदेह, देनदार"
கணக்கியல்,"लेखा विधि, लेखा कार्य"
கணக்காளர்,लेखाकार
கணக்கு,"कारण बताना, लेखा-जोखा देना"
கணக்கு தலை,लेखा-शीर्ष
திரட்டப்பட்ட நன்மை,प्रोद्‌भूत हितलाभ
திரட்டப்பட்ட ஓய்வூதியம்,प्रोद्‌भूत पेन्शन
குவிப்பு,"संचय, संचयन"
