Kannada,Tamil
"1.ಅಬ್ಯಾಕಸ್, 2. ಎಣಿಕೆ","1.அபாகஸ், 2. எண்ணும்"
ಅಸಹಜ ಅಂತ್ಯ,அசாதாரண முடிவு
ತಡೆಹಿಡಿಯಿರಿ,இடைமறிக்கவும்
"1. ಸಂಪೂರ್ಣ, 2. ಸುಪ್ರೀಂ","1. முழுமையான, 2. உச்சம்"
ಸಂಪೂರ್ಣ ವಿಳಾಸ,முழுமையான முகவரி
ಸಂಪೂರ್ಣ ವಿಳಾಸ ಸಾಮರ್ಥ್ಯ,முழுமையான முகவரித்திறன்
ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್,முழுமையான அசெம்பிளர்
"1. ಸಂಪೂರ್ಣ ಕೋಡ್, 2. ಸಂಪೂರ್ಣ ಕೋಡ್","1. முழுமையான குறியீடு, 2. முழுமையான குறியீடு"
ಸಂಪೂರ್ಣ ಆಜ್ಞೆ,முழுமையான கட்டளை
"1. ಸಂಪೂರ್ಣ ಅಂಕಿಅಂಶಗಳು, 2. ಸಂಪೂರ್ಣ ಡೇಟಾ","1. முழுமையான புள்ளிவிவரங்கள், 2. முழுமையான தரவு"
ಸಂಪೂರ್ಣ ಸೂಚನೆ,முழுமையான அறிவுறுத்தல்
ಸಂಪೂರ್ಣ ಮೋಡ್,முழுமையான பயன்முறை
ಸಂಪೂರ್ಣ ಮಾರ್ಗ,முழுமையான பாதை
"1. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್, 2. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್","1. முழுமையான நிரலாக்கம், 2. முழுமையான நிரலாக்கம்"
ಅಮೂರ್ತ ವರ್ಗ,சுருக்க வர்க்கம்
ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ,சுருக்க தரவு வகை
ಅಮೂರ್ತ ಯಂತ್ರ,சுருக்க இயந்திரம்
ಅಮೂರ್ತ ಚಿಹ್ನೆ,சுருக்க சின்னம்
ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್,சுருக்க தொடரியல்
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,ஏற்பு சோதனை
ಪ್ರವೇಶ ಪ್ರಮಾಣೀಕರಣ,அணுகல் சான்றிதழ்
"1. ಪ್ರವೇಶ ಕೋಡ್, 2. ಪ್ರವೇಶ ಕೋಡ್","1. அணுகல் குறியீடு, 2. அணுகல் குறியீடு"
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ,நுழைவு கட்டுப்பாடு
ಪ್ರವೇಶ ಸ್ಕ್ಯಾನಿಂಗ್,அணுகல் ஸ்கேனிங்
ಬಿಡಿಭಾಗಗಳು,பாகங்கள்
ಲೆಕ್ಕಪತ್ರ,கணக்கியல்
"1. ಖಾತೆ ಐಡಿ, 2. ಲೆಕ್ಕಪತ್ರ ಗುರುತಿಸುವಿಕೆ","1. கணக்கு ஐடி, 2. கணக்கியல் அடையாளம்"
ಸಂಚಯಕ,திரட்டி
"1. ನಿಖರತೆ, 2. ನಿಖರತೆ","1. துல்லியம், 2. துல்லியம்"
