Marathi,Assamese
abeli गट,abeli গ্ৰুপ
अबेली गट,abeli গ্ৰুপ
हात,হাত
"निरपेक्ष, निरपेक्ष, स्थिर, अचूक","নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত"
परिपूर्ण अभिसरण,নিৰপেক্ষ অভিসৰণ
परिपूर्ण त्रुटी,নিৰপেক্ষ ভুল
सर्वोच्च सर्वोच्च,পৰম পৰম
परिपूर्ण सर्वात कमी,নিৰপেক্ষ সৰ্বনিম্ন
परिपूर्ण मूल्य,নিৰপেক্ষ মূল্য
परिपूर्ण वेग,নিৰপেক্ষ বেগ
अमूर्त बीजगणित,বিমূৰ্ত বীজগণিত
अमूर्त गट सिद्धांत,বিমূৰ্ত গোট তত্ত্ব
प्रवेग,বেগ বৃদ্ধি
गुरुत्वाकर्षण प्रवेग,মহাকৰ্ষণীয় ত্বৰণ
स्वीकार्य निवडकर्ता,গ্ৰহণযোগ্য নিৰ্বাচক
स्वीकार्य गुणवत्ता पातळी,গ্ৰহণযোগ্য গুণগত মানৰ স্তৰ
स्वीकार्य परिसर,গ্ৰহণযোগ্য চৌহদ
वैध विश्वसनीयता पातळी,বৈধ নিৰ্ভৰযোগ্যতা স্তৰ
स्वीकृती नमुना,গ্ৰহণযোগ্যতা নমুনা সংগ্ৰহ কৰা
संचित त्रुटी,সঞ্চিত ভুল
अचूकता,শুদ্ধতা
शक्ती लागू,প্ৰয়োগ কৰা বল
"कृती, कृती","কাৰ্য্য, কাৰ্য্য"
क्रिया आणि प्रतिक्रिया,ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া
विमा विज्ञान,বীমা বিজ্ঞান
तीव्र त्रिकोण,তীব্ৰ ত্ৰিভুজ
अॅसायक्लिक,অচক্ৰীয়
बेरीज करणे,সামৰণিত
जोडणारा,adder
"बेरीज, बेरीज, बेरीज (c.), बेरीज (v.)","যোগফল, যোগ, যোগফল (c.), যোগ (v.)"
योगाचे सूत्र,যোগৰ সূত্ৰ
जटिल संख्यांची बेरीज,জটিল সংখ্যাৰ যোগফল
कार्यांची बेरीज,ফলনৰ যোগফল
मॅट्रिक्सची बेरीज,মেট্ৰিক্সৰ যোগফল
बहुपदांची बेरीज,বহুপদৰ যোগফল
संभाव्यतेची बेरीज,সম্ভাৱনাৰ যোগফল
वेक्टरची बेरीज,ভেক্টৰৰ যোগফল
"बेरीज प्रमेय, बेरी सिद्धांत,","যোগ উপপাদ্য, বেৰী তত্ত্ব"
मिश्रित गट,যোগকৰণ গোট
additive inverse,যোগকৰণৰ বিপৰীত
जोडणी,যোগযোগ্যতা
जोडणी,যোগযোগ্যতা
संलग्नता मॅट्रिक्स,সংলগ্নতা মেট্ৰিক্স
"समीप, समीप, समीप","কাষৰীয়া, কাষৰীয়া, কাষৰীয়া"
समीप कोन,কাষৰীয়া কোণ
समीप शिरोबिंदू,কাষৰীয়া শিখৰ
संबद्ध करणे,to associate
"संलग्न संलग्न,",সংযুক্ত আবৃত
सामान्य निर्धारक,সাধাৰণ নিৰ্ণায়ক
संलग्न विभेदक समीकरण,সংযুক্ত অৱভেদ্য সমীকৰণ
संलग्न समीकरण,সংলগ্ন সমীকৰণ
एकसंध मॅट्रिक्स,সহসমঞ্জস্যপূৰ্ণ মেট্ৰিক্স
मॅट्रिक्स सहप्रसरण,মেট্ৰিক্স সহাৱস্থান
एकसंध मॅट्रिक्स,সহসমঞ্জস্যপূৰ্ণ মেট্ৰিক্স
स्वीकार्य निर्णय कार्य,গ্ৰহণযোগ্য সিদ্ধান্ত কাৰ্য্য
स्वीकार्य गृहीतक,গ্ৰহণযোগ্য অনুমান
वायुगतिकीय शक्ती,বায়ুগতিবিদ্যা বল
वायुगतिकी,বায়ুগতিবিদ্যা
एकसंध भूमिती,সমজাতীয় জ্যামিতি
एकसंध मॅपिंग,সমজাতীয় মেপিং
एकसंध परिवर्तन,সমজাতীয় ৰূপান্তৰ
एकूण चल,এগ্ৰিগেট ভেৰিয়েবল
"बीजगणित, बीजगणित, बीजगणित, बीजगणित","বীজগণিত, বীজগণিত, বীজগণিত, বীজগণিত"
"बियाणे बंद, बीजारोपण","বীজযুক্ত বন্ধ, বীজযুক্ত"
बीजगणितीय समीकरण,বীজগণিতীয় সমীকৰণ
बीजगणितीय अभिव्यक्ती,বীজগণিতীয় প্ৰকাশ
बीजगणितीय एकरूपता,বীজগণিতীয় একাকাৰীতা
बीजगणितीय कार्य,বীজগণিতীয় ফলন
बीजगणितीय भूमिती,বীজগণিতীয় জ্যামিতি
बीजगणितीय बहुलता,বীজগণিতীয় বহুত্ব
बीजगणितीय प्रणाली,বীজগণিতীয় ব্যৱস্থা
सर्व-पूर्णांक समस्या,সকলো-পূৰ্ণসংখ্যা সমস্যা
"असाइनमेंट समस्या वॅट प्रश्न,",নিযুক্তিৰ সমস্যা watt প্ৰশ্ন
वर्णक्रमानुसार नोटेशन,বৰ্ণানুক্ৰমিক সংকেত
वर्णमाला वर्ण,বৰ্ণানুক্ৰমিক আখৰ
पर्यायी कोन,বিকল্প কোণ
"पर्यायी एकसंध पर्यायी फॉर्म,",বিকল্প সমজাতীয় বিকল্প ৰূপ
पर्यायी गट,বিকল্প গোট
पर्यायी मॅट्रिक्स,বিকল্প মেট্ৰিক্স
पर्यायी मालिका,বিকল্প শৃংখলা
वैकल्पिक गृहीतक,বিকল্প অনুমান
पर्यायी इष्टतम,বিকল্প অনুকূল
पर्यायी परिणाम,বিকল্প ফলাফল
अॅनालॉग-अंकी कनवर्टर,এনালগ-ডিজিট ৰূপান্তৰক
"अॅनालॉग संगणक,",এনালগ কম্পিউটাৰ
विश्लेषण,বিশ্লেষণ
सहप्रसरण विश्लेषण,সহাৱস্থান বিশ্লেষণ
गणन-डेटा विश्लेषण,গণনা-তথ্য বিশ্লেষণ
भिन्नता विश्लेषण,ভ্যাৰিয়েন্স বিশ্লেষণ
विश्लेषणात्मक भूमिती,বিশ্লেষণাত্মক জ্যামিতি
विश्लेषणात्मक कार्य,বিশ্লেষণাত্মক কাৰ্য্য
कोन,কোণ
स्पर्शिका कोन,স্পৰ্শক কোণ
विक्षेपण कोन,বিক্ষেপণ কোণ
उदासीनता कोन,ডিপ্ৰেছন এংগেল
विचलन कोन,বিচ্যুতি কোণ
विवर्तन कोन,বিবৰ্তন কোণ
उंची कोन,উচ্চতা কোণ
घटनेचा कोन,প্ৰাদুৰ্ভাৱৰ কোণ
प्रक्षेपण कोन,প্ৰক্ষেপণৰ কোণ
प्रतिबिंब कोन,প্ৰতিফলনৰ কোণ
अपवर्तन कोन,বিবৰ্তনৰ কোণ
रोटेशन कोन,ঘূৰ্ণন কোণ
परावर्तनाचा परिपूर्ण कोन,প্ৰতিফলনৰ নিৰপেক্ষ কোণ
कोनीय प्रवेग,কৌণিক ত্বৰণ
कोनीय गती,কৌণিক বেগ
कोनीय गती,কৌণিক গতি
कोनीय गती,কৌণিক বেগ
अनामिका,ৰিং ফিংগাৰ
उत्तर द्या,উত্তৰদিশ
काउंटर व्युत्पन्न,কাউণ্টাৰ ডেৰাইভেটিভ
आयसोमेट्रिक फंक्शन,সমমিতি ফলন
"कव्हर करण्यायोग्य, लागू, लागू","আবৃত, প্ৰযোজ্য, প্ৰযোজ্য"
"अर्ज अर्ज,",আবেদন আবেদন
लागू डायनॅमिक प्रोग्रामिंग,ডাইনামিক প্ৰগ্ৰেমিং প্ৰয়োগ কৰা হৈছে
लागू भूमिती,প্ৰয়োগ কৰা জ্যামিতি
लागू गणित,প্ৰয়োগ কৰা গণিত
लागू आकडेवारी,প্ৰয়োগ কৰা পৰিসংখ্যা
"अंदाजे, अंदाजे","আনুমানিক, আনুমানিক"
अंदाजे सतत कार्य,প্ৰায় অবিৰত ফলন
"मॅक्रो पद्धत, अंदाजे पद्धत","মেক্ৰ&#39; পদ্ধতি, আনুমানিক পদ্ধতি"
अंदाजे उपाय,আনুমানিক সমাধান
अंदाजे समस्या,আনুমানিক সমস্যা
अंदाजे मालमत्ता,আনুমানিক বৈশিষ্ট্য
योग्यता चाचणी,যোগ্যতা পৰীক্ষা
आर्गॉन आकृती,আৰ্গন ডায়েগ্ৰাম
ऐच्छिक,স্বেচ্ছামূলক
"यादृच्छिक, यादृच्छिक","random, যাদৃচ্ছিক"
अनियंत्रित स्थिरांक,ইচ্ছাকৃত ধ্ৰুৱক
मुक्त घटक,মুক্ত মৌল
अनियंत्रित बिंदू,ইচ্ছাকৃত বিন্দু
आर्किमिडीजचा कायदा,আৰ্কিমিডিছৰ নিয়ম
आर्किमिडीजचा कायदा,আৰ্কিমিডিছৰ নিয়ম
"चाप-लांबी, चाप-लांबी","চাপ-দৈৰ্ঘ্য, চাপ-দৈৰ্ঘ্য"
वर्तुळ चाप,বৃত্ত চাপ
व्यस्त साइन वितरण,বিপৰীত চাইন বিতৰণ
व्यस्त साइन रूपांतरण,বিপৰীত চাইন ৰূপান্তৰ
"क्षेत्र, क्षेत्र","এলেকা, এলেকা"
प्रादेशिक कॉन्फिगरेशन,আঞ্চলিক সংৰূপ
जटिल संख्येचा कोन,এটা জটিল সংখ্যাৰ কোণ
अंकगणित सरासरी,গাণিতিক গড়
डिजिटल ऑपरेशन,ডিজিটেল অপাৰেচন
डिजिटल युनिट,ডিজিটেল ইউনিট
"कॉन्फिगरेशन, व्यवस्था","কনফিগাৰেচন, ব্যৱস্থা"
"अॅरे, अॅरे","এৰে, এৰে"
कृत्रिम उपग्रह,কৃত্ৰিম উপগ্ৰহ
कृत्रिम व्हेरिएबल,কৃত্ৰিম চলক
चढणे,বগাবলৈ
चढत्या,আৰোহী
परिमाणाचा चढता क्रम,মাত্ৰাৰ আৰোহী ক্ৰম
चढत्या श्रेणी,আৰোহী গ্ৰেড
असेंबलर भाषा,এছেম্বলাৰ ভাষা
"असाइनमेंट समस्या असाइनमेंट प्रश्न,",নিযুক্তি সমস্যা নিযুক্তি প্ৰশ্ন
सहयोगी नियम,সহযোগী নিয়ম
ऑपरेटर्सचा सहयोगी नियम,অপাৰেটৰৰ এছ&#39;চিয়েটিভ নিয়ম
सहयोगी ऑपरेशन,এছ&#39;চিয়েটিভ অপাৰেচন
सहवास,সংগীত্ব
सरासरी गृहीत धरले,ধৰি লোৱা গড়
