Bengali,Tamil
"1.অ্যাবাকাস, 2. গণনা","1.அபாகஸ், 2. எண்ணும்"
অস্বাভাবিক সমাপ্তি,அசாதாரண முடிவு
পথিমধ্যে রোধ করা,இடைமறிக்கவும்
"1. পরম, 2. সর্বোচ্চ","1. முழுமையான, 2. உச்சம்"
পরম ঠিকানা,முழுமையான முகவரி
পরম ঠিকানাযোগ্যতা,முழுமையான முகவரித்திறன்
পরম সংযোজনকারী,முழுமையான அசெம்பிளர்
"1. পরম কোড, 2. পরম কোড","1. முழுமையான குறியீடு, 2. முழுமையான குறியீடு"
পরম আদেশ,முழுமையான கட்டளை
"1. পরম পরিসংখ্যান, 2. পরম তথ্য","1. முழுமையான புள்ளிவிவரங்கள், 2. முழுமையான தரவு"
পরম নির্দেশ,முழுமையான அறிவுறுத்தல்
পরম মোড,முழுமையான பயன்முறை
পরম পথ,முழுமையான பாதை
"1. পরম প্রোগ্রামিং, 2. পরম প্রোগ্রামিং","1. முழுமையான நிரலாக்கம், 2. முழுமையான நிரலாக்கம்"
বিমূর্ত ক্লাস,சுருக்க வர்க்கம்
বিমূর্ত তথ্য প্রকার,சுருக்க தரவு வகை
বিমূর্ত মেশিন,சுருக்க இயந்திரம்
বিমূর্ত প্রতীক,சுருக்க சின்னம்
বিমূর্ত বাক্য গঠন,சுருக்க தொடரியல்
স্বীকৃতি পরীক্ষা,ஏற்பு சோதனை
অ্যাক্সেস সার্টিফিকেশন,அணுகல் சான்றிதழ்
"1. অ্যাক্সেস কোড, 2. প্রবেশাধিকার কোড","1. அணுகல் குறியீடு, 2. அணுகல் குறியீடு"
প্রবেশাধিকার নিয়ন্ত্রণ,நுழைவு கட்டுப்பாடு
অ্যাক্সেস স্ক্যানিং,அணுகல் ஸ்கேனிங்
আনুষাঙ্গিক,பாகங்கள்
অ্যাকাউন্টিং,கணக்கியல்
"1. অ্যাকাউন্ট আইডি, 2। অ্যাকাউন্টিং সনাক্তকরণ","1. கணக்கு ஐடி, 2. கணக்கியல் அடையாளம்"
সঞ্চয়কারী,திரட்டி
"1. নির্ভুলতা, 2. সঠিকতা","1. துல்லியம், 2. துல்லியம்"
অ্যাক্সেস,அணுகல்
অ্যাক্সেস নিয়ন্ত্রণ বাইট,அணுகல் கட்டுப்பாட்டு பைட்டுகள்
অ্যাক্সেস সূচক,அணுகல் காட்டி
অ্যাক্সেস কী,அணுகல் விசை
"1. অ্যাক্সেস ম্যাট্রিক্স, 2. অ্যাক্সেস ম্যাট্রিক্স","1. அணுகல் அணி, 2. அணுகல் அணி"
অ্যাক্সেস মোড,அணுகல் முறை
সুযোগ সুবিধা,அணுகல் சலுகைகள்
অ্যাক্সেস নিরাপত্তা,அணுகல் பாதுகாப்பு
"1. অ্যাক্সেস সার্ভার, 2. অ্যাক্সেস সার্ভার","1. அணுகல் சேவையகம், 2. அணுகல் சர்வர்"
প্রবেশাধিকার সময়,அணுகல் நேரம்
স্বীকৃতি,ஒப்புகை
ধ্বনিবিদ্যা,ஒலியியல்
"1. আদ্যক্ষর, 2. সংক্ষিপ্ত রূপ, 3. থেকে সংক্ষিপ্ত","1. சுருக்கம், 2. சுருக்கம், 3. இருந்து குறுகிய"
কর্ম বার্তা,செயல் செய்தி
সক্রিয়করণ,செயல்படுத்துதல்
সক্রিয় সার্ভার পৃষ্ঠা,செயலில் உள்ள சர்வர் பக்கம்
সক্রিয় সংস্করণ,செயலில் உள்ள பதிப்பு
অ্যাসাইক্লিক,அசைக்ளிக்
"1. অ্যাসাইক্লিক গ্রাফ, 2. অ্যাসাইক্লিক গ্রাফ","1. அசைக்ளிக் வரைபடம், 2. அசைக்ளிக் வரைபடம்"
অ্যাডা কম্পিউটার ল্যাঙ্গুয়েজ,அட கணினி மொழி
"1. অপ্টিমাইজার, 2. অপ্টিমাইজার","1. ஆப்டிமைசர், 2. உகப்பாக்கி"
যোগ করা),மொத்தத்தில்)
সমষ্টি ফাইল,தொகை கோப்பு
"1. সংযোজন অপারেশন, 2. যোগফল অপারেশন","1. கூட்டல் செயல்பாடு, 2. மொத்த செயல்பாடு"
যোগকারী,சேர்ப்பான்
জানি,தெரியும்
ঠিকানা বাস,முகவரி பேருந்து
ঠিকানা ফাইল,முகவரி கோப்பு
ঠিকানা বিন্যাস,முகவரி வடிவம்
ঠিকানা জেনারেটর,முகவரி ஜெனரேட்டர்
ঠিকানা লাইন,முகவரி வரி
ঠিকানা ম্যাপিং,முகவரி மேப்பிங்
ঠিকানা নির্দেশক,முகவரி காட்டி
ঠিকানা রেজিস্টার,முகவரி பதிவு
ঠিকানা ভাঙ্গন,முகவரி முறிவு
ঠিকানা অনুবাদ,முகவரி மொழிபெயர்ப்பு
"1. ঠিকানাযোগ্য স্মৃতি, 2. ঠিকানাযোগ্য মেমরি","1. முகவரி நினைவகம், 2. முகவரியிடக்கூடிய நினைவகம்"
সম্বোধন,உரையாற்றுதல்
"1. পর্যাপ্ততার মানদণ্ড, 2. পর্যাপ্ততার মানদণ্ড","1. போதுமான அளவுகோல்கள், 2. போதுமான அளவுகோல்"
সংযুক্তি,இணைப்பு
"1. ব্যবস্থাপনা, 2. নিয়ন্ত্রণ","1. மேலாண்மை, 2. கட்டுப்பாடு"
"1. ম্যানেজার, 2. নিয়ামক","1. மேலாளர், 2. கட்டுப்படுத்தி"
অ্যাডোবি অ্যাক্রোব্যাট,அடோப் அக்ரோபேட்
অ্যাডোবি ফটোশপ,அடோ போட்டோஷாப்
ABAP (অ্যাডভান্সড বিজনেস প্রোগ্রামিং),ABAP (மேம்பட்ட வணிக நிரலாக்கம்)
"1. উন্নত তথ্য, 2. উন্নত তথ্য","1. மேம்பட்ட தரவு, 2. மேம்பட்ட தரவு"
উন্নত তথ্য সিস্টেম,மேம்பட்ட தகவல் அமைப்பு
উন্নত প্রযুক্তি (AT),மேம்பட்ட தொழில்நுட்பம் (AT)
কর্ম,நடவடிக்கை
সমষ্টি,திரட்டுதல்
বায়ুবাহিত কম্পিউটার সিস্টেম,வான்வழி கணினி அமைப்பு
aldus পৃষ্ঠা তৈরি,அல்டஸ் பக்கம்-தயாரிப்பு
সতর্কতা বাক্স,எச்சரிக்கை பெட்டி
আলগোল (কম্পিউটার ভাষা),அல்கோல் (கணினி மொழி)
"1. অ্যালগরিদম, 2. অ্যালগরিদম","1. அல்காரிதம், 2. அல்காரிதம்"
"1. অ্যালগরিদম বিশ্লেষণ, 2. অ্যালগরিদম বিশ্লেষণ","1. அல்காரிதம் பகுப்பாய்வு, 2. அல்காரிதம் பகுப்பாய்வு"
অ্যালগরিদম দক্ষতা,அல்காரிதம் திறன்
"1. ইলিয়াস, 2। ডাকনাম, ৩. ওরফে","1. எலியாஸ், 2. புனைப்பெயர், 3. aka"
প্রান্তিককরণ,சீரமைப்பு
"1. বরাদ্দ, 2. বরাদ্দ","1. ஒதுக்கீடு, 2. ஒதுக்கீடு"
"1. বর্ণানুক্রমিক, 2. বর্ণা ক্রমানুসারে","1. அகரவரிசை, 2. அகரவரிசையில்"
আলফানিউমেরিক,எண்ணெழுத்து
"1. আলফানিউমেরিক কীবোর্ড, 2. আলফানিউমেরিক কীবোর্ড","1. எண்ணெழுத்து விசைப்பலகை, 2. எண்ணெழுத்து விசைப்பலகை"
আলফা-পরীক্ষা (প্রথম স্তরের পরীক্ষা),ஆல்பா-சோதனை (1 வது நிலை சோதனை)
"1. আলফা সংস্করণ, 2। আলফা ফর্ম","1. ஆல்பா பதிப்பு, 2. ஆல்பா வடிவம்"
alt কী,alt விசை
আলতাভিস্তা,அல்டாவிஸ்டா
বহুগুণ,பன்முகத்தன்மை
অস্পষ্ট ব্যাকরণ,தெளிவற்ற இலக்கணம்
আমেরিকান ন্যাশনাল স্ট্যান্ডিস ইনস্টিটিউট (ANSI),அமெரிக்க தேசிய ஸ்டேண்டீஸ் நிறுவனம் (ANSI)
আমেরিকান স্ট্যান্ডার্ড কাট (ascii),அமெரிக்கன் ஸ்டாண்டர்ட் கட் (ascii)
"1. সাদৃশ্যপূর্ণ, 2. এনালগ","1. ஒத்த, 2. அனலாக்"
"1. এনালগ কম্পিউটার, 2. এনালগ কম্পিউটার","1. அனலாக் கணினி, 2. அனலாக் கணினி"
"1. এনালগ ডিভাইস, 2. এনালগ ডিভাইস","1. அனலாக் சாதனம், 2. அனலாக் சாதனம்"
"1. এনালগ মডেম, 2. এনালগ মডেম","1. அனலாக் மோடம், 2. அனலாக் மோடம்"
এনালগ থেকে ডিজিটাল কনভার্টার,டிஜிட்டல் மாற்றிக்கு அனலாக்
শেষ (ডিজিটাল/প্লেন লজিক &#39;এবং&#39; ব্যবহৃত),முடிவு (டிஜிட்டல்/பிளேன் லாஜிக் &#39;மற்றும்&#39; பயன்படுத்தப்பட்டது)
শেষ সার্কিট,இறுதி சுற்று
শেষ গেট এবং গেট,இறுதி வாயில் மற்றும் வாயில்
শেষ নয় অপারেশন (বর্জন),செயல்பாடு அல்ல (விலக்கு)
"1. অ্যানিমেশন, 2. কম্পন","1. அனிமேஷன், 2. அதிர்வு"
বিঃদ্রঃ,குறிப்பு
অসঙ্গতি,முரண்பாடு
আগে,முந்தைய
প্রত্যাশিত পেজিং,முன்கூட்டிய பேஜிங்
কাউন্টার-সিমেট্রিক,எதிர்-சமச்சீர்
অ্যান্টিভাইরাল প্রোগ্রাম,வைரஸ் தடுப்பு திட்டம்
"1. অ্যাপলেট, 2। আবেদন","1. ஆப்லெட், 2. விண்ணப்பம்"
অ্যাপ্লিকেশন ডেভেলপার,பயன்பாட்டு டெவலப்பர்
অ্যাপ্লিকেশন প্রোগ্রামিং,பயன்பாட்டு நிரலாக்கம்
"1. অ্যাপ্লিকেশন প্রোগ্রামিং ইন্টারফেস, 2. অ্যাপ্লিকেশন প্রোগ্রামিং ইন্টারফেস (API)","1. பயன்பாட்டு நிரலாக்க இடைமுகம், 2. பயன்பாட்டு நிரலாக்க இடைமுகம் (API)"
অ্যাপ্লিকেশন সফ্টওয়্যার,பயன்பாட்டு மென்பொருள்
অ্যাপ্লিকেশন ভাষা,பயன்பாட்டு மொழி
আনুমানিক নীতি,தோராயக் கொள்கை
গঠন,கட்டமைப்பு
ক্ষেত্র স্থানান্তর,புல பரிமாற்றம்
"1. প্যারামিটার, স্বাধীন পরিবর্তনশীল, 2. কোণ","1. அளவுரு, சுயாதீன மாறி, 2. கோணம்"
"1. পাটিগণিত এবং যুক্তি ইউনিট, 2. পাটিগণিত এবং যুক্তি ইউনিট","1. எண்கணிதம் மற்றும் தர்க்கவியல் அலகு, 2. எண்கணிதம் மற்றும் தர்க்கவியல் அலகு"
পাটিগণিত পরীক্ষা,எண்கணித சரிபார்ப்பு
গাণিতিক ধ্রুবক,எண்கணித மாறிலி
গাণিতিক তথ্য,எண்கணித தரவு
গাণিতিক নির্দেশ,எண்கணித அறிவுரை
গাণিতিক ও লজিক্যাল ইউনিট (ALU),கணிதம் மற்றும் தருக்க அலகு (ALU)
ARPA নেট (RPNet),ARPA Net (RPNet)
অ্যারে,வரிசை
"1. অ্যারে ক্যাশে, 2. অ্যারের গতি, 3. অ্যারে মেমরি","1. வரிசை கேச், 2. வரிசை வேகம், 3. வரிசை நினைவகம்"
অ্যারে কম্পিউটার,வரிசை கணினி
অ্যারে উপাদান,வரிசை உறுப்பு
অ্যারের নাম,வரிசை பெயர்
অ্যারে প্রসেসর,வரிசை செயலி
তীর কী,அம்புக்குறி விசை
সন্ধি,ஒப்பந்தம்
সংযোগ বিন্দু,சந்திப்பு முனை
কৃত্রিম কম্প্যাকশন,செயற்கை சுருக்கம்
কৃত্রিম নিয়ন্ত্রণ,செயற்கை கட்டுப்பாடு
কৃত্রিম অনুভূতি,செயற்கை உணர்வு
মাউন্ট,ஏற்ற
আরোহী সাজানোর,ஏறும் வகை
ascii বর্ণমালা,ascii எழுத்துக்கள்
ascii নিয়ন্ত্রণ প্রতীক,ascii கட்டுப்பாட்டு சின்னம்
ascii ফাইল,ascii கோப்பு
ascii ফন্ট,ascii எழுத்துரு
ASCII স্থানান্তর,ASCII பரிமாற்றம்
আনুমানিক অনুপাত,விகிதம்
"1. Aspy, 2. এএসপিআই","1. ஆஸ்பி, 2. ASPI"
এ এস আর কালাদ,ஏ எஸ் ஆர் கலாட்
"1. স্মরণ, 2. সমাবেশ, 3. জড় করা","1. நினைவாற்றல், 2. அசெம்பிளிங், 3. ஒன்று சேர்க்க"
"1. অ্যাসেম্বলার, 2. অনুস্মারক","1. அசெம்பிளர், 2. நினைவூட்டல்"
"1. সমাবেশ, 2. স্মরণ","1. அசெம்பிளிங், 2. நினைவு"
"1. মুখস্থ ভাষা, 2. একত্রিত ভাষা","1. மனப்பாடம் மொழி, 2. ஒருங்கிணைக்கும் மொழி"
সংকল্প,உறுதியை
"1. নির্দিষ্ট কাজ, 2. বরাদ্দ","1. குறிப்பிட்ட வேலை, 2. ஒதுக்கீடு"
সাহচর্য,தோழமை
সহযোগী ঠিকানা,துணை முகவரி
"1. সহযোগী স্মৃতি, 2. সহযোগী স্মৃতি","1. துணை நினைவகம், 2. துணை நினைவகம்"
তারকাচিহ্ন (* চিহ্ন),நட்சத்திரம் (* அடையாளம்)
অপ্রতিসম,சமச்சீரற்ற
"1. অ্যাসিঙ্ক্রোনাস, 2. অ্যাসিঙ্ক্রোনাস","1. ஒத்திசைவற்ற, 2. ஒத்திசைவற்ற"
অ্যাসিঙ্ক্রোনাস ডিজিটাল সাবস্ক্রাইবার লাইন (ADSL),ஒத்திசைவற்ற டிஜிட்டல் சந்தாதாரர் வரி (ADSL)
অ্যাসিঙ্ক্রোনাস টাইম ডিভিশন মাল্টিপ্লেক্সিং (ATDM),ஒத்திசைவற்ற நேரப் பிரிவு மல்டிபிளெக்சிங் (ATDM)
অ্যাসিঙ্ক্রোনাস স্থানান্তর,ஒத்திசைவற்ற பரிமாற்றம்
অ্যাসিঙ্ক্রোনাস ট্রান্সফার মোড (এটিএম),ஒத்திசைவற்ற பரிமாற்ற முறை (ATM)
"1. পরমাণু, 2. পরমণ","1. அணு, 2. பரமன்"
সংযুক্ত নথি,இணைக்கப்பட்ட ஆவணம்
"1. সংযুক্ত ফাইল/মিসিল, 2. সংযুক্ত ফাইল","1. இணைக்கப்பட்ட கோப்பு/ஏவுகணை, 2. இணைக்கப்பட்டுள்ள கோப்பு"
"1. ঘের, 2. সম্বন্ধযুক্ত","1. அடைப்பு, 2. இணைந்த"
"1. বৈশিষ্ট্য, 2. বিশেষত্ব","1. பண்புகள், 2. சிறப்பு"
শ্রবণযোগ্য,கேட்கக்கூடிய
"1. অডিট প্রোগ্রামিং, 2. অডিট প্রোগ্রামিং","1. தணிக்கை நிரலாக்கம், 2. தணிக்கை நிரலாக்கம்"
অ্যাকাউন্ট পরীক্ষা,கணக்கு சரிபார்ப்பு
পদোন্নতি,பதவி உயர்வு
সার্টিফিকেশন প্রোটোকল,சான்றிதழ் நெறிமுறை
রচনা পদ্ধতি,எழுதும் முறை
"1. কর্তৃপক্ষ, 2. কর্তৃপক্ষ, 3. ট্রাইব্যুনাল","1. அதிகாரம், 2. அதிகாரம், 3. தீர்ப்பாயம்"
স্বয়ংক্রিয় বিমূর্ত,தானியங்கு சுருக்கம்
"1. অটো বুটিং, 2. স্ব বুট","1. ஆட்டோ பூட்டிங், 2. சுய துவக்கம்"
অটোক্যাড (একটি কম্পিউটার ভাষা),ஆட்டோகேட் (ஒரு கணினி மொழி)
স্বয়ংক্রিয় লগ-অন,தானாக உள்நுழைவு
স্বয়ংক্রিয়,தானியங்கி
স্বয়ংক্রিয় তত্ত্ব,தானியங்கு கோட்பாடு
স্বয়ংক্রিয় গণনা,தானியங்கி கணக்கீடு
স্বয়ংক্রিয় তথ্য প্রক্রিয়াকরণ,தானியங்கி தரவு செயலாக்கம்
স্বয়ংক্রিয় ত্রুটি সংশোধন,தானியங்கி பிழை திருத்தம்
স্বয়ংক্রিয় ফাংশন,தானியங்கு செயல்பாடு
"1. স্বয়ংক্রিয় সূচীকরণ, 2. স্বয়ংক্রিয় তালিকা","1. தானியங்கி அட்டவணைப்படுத்தல், 2. தானியங்கி பட்டியல்"
স্বয়ংক্রিয় সংগ্রহ কল,தானியங்கு சேகரிப்பு அழைப்பு
"1. স্বয়ংক্রিয় প্রোগ্রামিং, 2. স্বয়ংক্রিয় প্রোগ্রামিং","1. தானியங்கி நிரலாக்கம், 2. தானியங்கி நிரலாக்க"
"1. স্বয়ংক্রিয় পুনরুদ্ধার প্রোগ্রাম, 2. স্বয়ংক্রিয় পুনরুদ্ধার প্রোগ্রাম","1. தானியங்கி மீட்பு திட்டம், 2. தானியங்கி மீட்பு திட்டம்"
স্বয়ংক্রিয় রুটিন,தானியங்கி வழக்கம்
স্বয়ংক্রিয় সিস্টেম পুনরুদ্ধার,தானியங்கி கணினி மீட்பு
"1. অটোমেটিক টেলার মেশিন (ATM), 2. নিজে তোলার জন্য ব্যাঙ্ক এটিএম","1. தானியங்கி பணம் செலுத்தும் இயந்திரங்கள் (ATM), 2. வங்கி ஏ.டி.எம்"
অটোমেশন,தானியங்கி
"1. অটোপ্লে, 2. স্বয়ংক্রিয় হাঁটা","1. ஆட்டோபிளே, 2. ஆட்டோ நடை"
কণ্ঠস্বর,குரல் கொடுத்தல்
সহকারী,உதவியாளர்
অক্জিলিয়ারী মেমরি,துணை நினைவகம்
অক্জিলিয়ারী স্টোরেজ,துணை சேமிப்பு
প্রাপ্তিসাধ্য তালিকা,கிடைக்கும் பட்டியல்
উপলব্ধ সময়,கிடைக்கும் நேரம்
গড়,சராசரி
AWK (একটি কম্পিউটার কমান্ড),AWK (ஒரு கணினி கட்டளை)
পরে,பிறகு
পোস্ট প্রসেসর,பின் செயலி
পোস্টেরিয়র ফাংশন মুছে ফেলা,பின்புற செயல்பாடு நீக்கம்
পটভূমি প্রক্রিয়াকরণ,பின்னணி செயலாக்கம்
আনুষঙ্গিক দোকান,துணை கடைகள்
ব্যাক প্যাচিং,மீண்டும் ஒட்டுதல்
"1. পশ্চিম, 2. ব্যাকস্পেস","1. மேற்கு, 2. பின்வெளி"
ব্যাকট্র্যাকিং,பின்வாங்குதல்
"1. ব্যাক আপ, 2. প্রতিদান","1. காப்புப்பிரதி, 2. கொடுக்கப்படுவதுடன்"
"1. পরিপূরক স্মৃতি, 2. ব্যাক আপ মেমরি","1. நிரப்பு நினைவகம், 2. காப்பு நினைவகம்"
পিছনে ত্রুটি সংশোধন,மீண்டும் பிழை திருத்தம்
(আয়-ব্যয়) ব্যালেন্স শীট,(வருமானம்-செலவு) இருப்புநிலை
ব্যান্ডেজ,கட்டு
"1. ব্যান্ড প্রস্থ, 2. ব্যান্ডউইথ/ক্ষমতা","1. பேண்ட் அகலம், 2. அலைவரிசை/திறன்"
ব্যাংকারের অ্যালগরিদম,வங்கியாளர் வழிமுறை
"1. বার কোড, 2. বার কোড","1. பார் குறியீடு, 2. பார் குறியீடு"
বারকোড স্ক্যানার,பட்டை குறி படிப்பான் வருடி
বার গ্রাফ,சட்ட வரைபடம்
ভিত্তি ঠিকানা,அடிப்படை முகவரி
বেস ব্যান্ড,அடிப்படை இசைக்குழு
আধার নম্বর,ஆதார் எண்
ভিত্তি টেবিল,அடிப்படை அட்டவணை
বেসিক (একটি কম্পিউটার ভাষা),அடிப்படை (ஒரு கணினி மொழி)
"1. মৌলিক নিয়ন্ত্রণ, 2. ভিত্তি নিয়ন্ত্রণ","1. அடிப்படை கட்டுப்பாடு, 2. அடிப்படை கட்டுப்பாடு"
"1. মূল বিনিয়োগ, 2. ভিত্তি বিনিয়োগ","1. அசல் முதலீடு, 2. அடிப்படை முதலீடு"
মৌলিক নির্দেশ,அடிப்படை அறிவுறுத்தல்
ভিত্তি সমস্যা,அடிப்படை பிரச்சினை
মৌলিক পর্যায়,அடிப்படை நிலை
"1. ব্যাচ, 2। গ্রুপ, 3। বিপর্যয়","1. தொகுதி, 2. குழு, 3. பேரழிவு"
"1. ব্যাচ ফাইল, 2. ব্যাচ ফাইল","1. தொகுதி கோப்பு, 2. தொகுதி கோப்பு"
ব্যাচ অবস্থা,தொகுதி நிலை
"1. ব্যাচ প্রসেসিং, 2. গ্রুপ প্রক্রিয়াকরণ","1. தொகுதி செயலாக்கம், 2. குழு செயலாக்கம்"
"1. ব্যাচ সিস্টেম, 2. ক্যাটাপল্ট সিস্টেম","1. தொகுதி அமைப்பு, 2. கவண் அமைப்பு"
বউড,பாட்
বড হার,பாட் விகிதம்
মরীচি মরীচি,கற்றை கற்றை
"1. নির্দেশিকা, 2. ব্যাচ চিহ্ন","1. வழிகாட்டுதல்கள், 2. தொகுதி குறி"
দ্বিমুখী যোগাযোগ,இருதரப்பு தொடர்பு
সরাসরি লিঙ্ক,நேரடி இணைப்பு
বাইনারি কোড,பைனரி குறியீடு
বাইনারি সংখ্যা,பைனரி இலக்கங்கள்
বাইনারি ইনভেস্টমেন্ট আউটপুট সিস্টেম (BIOS),பைனரி இன்வெஸ்ட்மென்ட் அவுட்புட் சிஸ்டம் (பயாஸ்)
বাইনারি সংখ্যা,பைனரி எண்
বাইনারি অপারেটর,பைனரி ஆபரேட்டர்
বাইনারি সম্পর্ক,பைனரி உறவு
বাইনারি অনুসন্ধান,பைனரி தேடல்
বাইনারি এক্সপ্লোরেশন ট্রি (বিএসটি),பைனரி ஆய்வு மரம் (BST)
"1. বাইনারি ট্রান্সফার ট্রি, 2. বাইনারি স্থানান্তর","1. பைனரி பரிமாற்ற மரம், 2. பைனரி பரிமாற்றம்"
বাইনারি গাছ,பைனரி மரம்
"1. বাইপোলার মেমরি, 2. বাইপোলার মেমরি","1. இருமுனை நினைவகம், 2. இருமுனை நினைவகம்"
"1. জন্ম ও মৃত্যু মডেল, 2. জন্ম মৃত্যু মডেল","1. பிறப்பு மற்றும் இறப்பு மாதிரி, 2. பிறப்பு இறப்பு மாதிரி"
জন্ম মৃত্যু প্রক্রিয়া,பிறப்பு இறப்பு செயல்முறை
"1. ডুয়েক, 2। বিট","1. டூக், 2. பிட்"
বিট দোষ,சிறிய தவறு
বিট মানচিত্র,பிட் வரைபடம்
