Bengali,Assamese
এসি সমতুল্য সার্কিট,এ চি সমতুল্য বৰ্তনী
এনালগ থেকে সাংখ্যিক রূপান্তরকারী,এনালগ টু সংখ্যাগত ৰূপান্তৰক
পরম শূন্য,নিৰপেক্ষ শূন্য
শোষণ গুণাঙ্ক,শোষণ সহগ
শোষণ বর্ণালী,শোষণ বৰ্ণালী
রিসেপ্টর পরমাণু,ৰিচেপ্টৰ পৰমাণু
বিকল্প বর্তমান যুগল,বিকল্প বিদ্যুৎ প্ৰবাহ সংযোজন
ইলেক্ট্রন সংগ্রহ,ইলেক্ট্ৰন সংগ্ৰহ কৰা
গর্ত স্টোরেজ,ফুটা সংৰক্ষণ
অ্যাক্টিভেশন শক্তি,সক্ৰিয়কৰণ শক্তি
সক্রিয় পরিবর্ধক,সক্ৰিয় পৰিবৰ্ধক
সক্রিয় ডায়োড সার্কিট,সক্ৰিয় ডাইঅ&#39;ড বৰ্তনী
সক্রিয় ফিল্টার,সক্ৰিয় ফিল্টাৰ
সক্রিয় উচ্চ ফ্রিকোয়েন্সি Parquet ফিল্টার,সক্ৰিয় উচ্চ কম্পাঙ্ক পাৰ্কেট ফিল্টাৰ
সক্রিয় লোড,সক্ৰিয় লোড
সক্রিয় নিম্ন ফ্রিকোয়েন্সি পার্স ফিল্টার,সক্ৰিয় কম কম্পাঙ্ক বিশ্লেষণ ফিল্টাৰ
সক্রিয় এলাকা,সক্ৰিয় অঞ্চল
অভিযোজিত ইলেকট্রনিক্স,অভিযোজিত ইলেক্ট্ৰনিক্স
যোগকারী,adder
সামঞ্জস্যযোগ্য ব্যান্ড এক্সটেনশন,এডজাষ্টেবল বেণ্ড এক্সটেনচন
অনুপ্রবেশ,ভেদ
এরিয়েল,এৰিয়েল
পিপ ফ্রিকোয়েন্সি,pep কম্পাঙ্ক
এয়ার কন্ডিশনার,এয়াৰ কণ্ডিচনাৰ
প্রান্তিককরণ,প্ৰান্তিককৰণ
অ্যালগরিদম,এলগৰিদম
সমস্ত পাস ফিল্টার,সকলো পাছ ফিল্টাৰ
খাদ জংশন,মিশ্ৰণ সংযোগ
ক্ষয়,ক্ষীণকৰণ
বিবর্তিত বিদ্যুৎ,বিকল্প বিদ্যুৎ প্ৰবাহ
পরিবেষ্টিত তাপমাত্রা,পৰিৱেশৰ উষ্ণতা
বাইপোলার,বাইপোলাৰ
পরিবর্ধন,এম্প্লিফিকেশন
পরিবর্ধক,এম্প্লিফায়াৰ
পরিবর্ধক দক্ষতা,এম্প্লিফায়াৰৰ কাৰ্যক্ষমতা
মাত্রা,মাত্ৰাসমূহ
প্রশস্ততা ক্ষয়,প্ৰসাৰণ ক্ষীণকৰণ
প্রশস্ততা মডুলেটেড এএম অসিলেটর,প্ৰসাৰণ মডুলেটেড AM দোলক
প্রশস্ততা মড্যুলেশন,প্ৰসাৰণ মডুলেচন
প্রশস্ততা মডুলেটর,প্ৰসাৰণ মডুলেটৰ
অ্যাংস্ট্রম ইউনিট,angstrom একক
এনালগ সার্কিট,এনালগ বৰ্তনী
এনালগ কম্পিউটার,এনালগ কম্পিউটাৰ
এনালগ ফিল্টার,এনালগ ফিল্টাৰ
এনালগ মাল্টিমিটার,এনালগ মাল্টিমিটাৰ
এনালগ সুইচ,এনালগ চুইচ
এবং গেট,AND গেট
কৌণিক কম্পাংক,কৌণিক কম্পাঙ্ক
"anion, anion","এনিয়ন, এনিয়ন"
অ্যানিলিং তাপমাত্রা,এনিয়েলিং উষ্ণতা
অ্যানোড,এনোড
অ্যানোড পরিবর্ধক,এনোড এম্প্লিফায়াৰ
anodyne,এনোডাইন
অ্যান্টেনা,এন্টেনা
অ্যান্টেনা উপাদান,এন্টেনা উপাদান
বিরোধী প্রতিফলিত আবরণ,এন্টি-ৰিফ্লেক্টিভ আৱৰণ
অ্যান্টিলগইন পরিবর্ধক,এন্টিলগিন এম্প্লিফায়াৰ
অ্যান্টিরেজোন্যান্ট সার্কিট,এন্টিৰেজোনেণ্ট চাৰ্কিট
দ্বারক যুগ,দ্বাৰক যুগ
ভার্চুয়াল শক্তি,ভাৰ্চুৱেল শক্তি
তারের সংযোগ,তাঁৰৰ সংযোগ
আনুমানিক ভোল্টেজ লাভ,আনুমানিক ভোল্টেজ লাভ
আর্মস্ট্রং মডুলেটর,আৰ্মষ্ট্ৰং মডুলেটৰ
অ্যান্টেনা অ্যারে,এন্টেনা এৰে
"সাইজ রেশিও, অ্যাসপেক্ট রেশিও","আকাৰৰ অনুপাত, দৃষ্টি অনুপাত"
ভাসমান সার্কিট (ফ্রি অপারেটিং সার্কিট),ভাসমান বৰ্তনী (মুক্ত অপাৰেটিং বৰ্তনী)
স্বয়ংক্রিয় মাল্টিভাইব্রেটর,স্বয়ংক্ৰিয় মাল্টিভাইব্ৰেটৰ
ভাসমান মাল্টিভাইব্রেটর,ভাসমান মাল্টিভাইব্ৰেটৰ
অপ্রতিসম জংশন,অসমতাপূৰ্ণ সংযোগস্থল
অ্যাসিঙ্ক্রোনাস ক্যালকুলেটর,এচিনক্ৰ&#39;নাছ কেলকুলেটৰ
পারমাণবিক,পাৰমাণৱিক
পারমাণবিক সংখ্যা,পাৰমাণৱিক সংখ্যা
পারমাণবিক গঠন,পাৰমাণৱিক গঠন
অডিও পরিবর্ধক,অডিঅ&#39; এম্প্লিফায়াৰ
অডিও পরিবর্ধক,অডিঅ&#39; এম্প্লিফায়াৰ
অডিও ক্যাসেট,অডিঅ&#39; কেছেট
অডিও সার্কিট,অডিঅ&#39; বৰ্তনী
শ্রবণযোগ্য ফ্রিকোয়েন্সি,শ্ৰৱণযোগ্য কম্পাঙ্ক
স্বয়ংক্রিয় ভোল্টেজ নিয়ন্ত্রণ,স্বয়ংক্ৰিয় ভল্টেজ নিয়ন্ত্ৰণ
তুষারপাত,হিমস্খলন
গড় আবিষ্কারক,গড় ডিটেক্টৰ
অক্ষীয় মোড,অক্ষীয় ধৰণ
অক্ষীয় অনুপাত,অক্ষীয় অনুপাত
অ্যান্টেনা,এন্টেনা
ব্যাক ইলেক্ট্রোমোটিভ ফোর্স,পিছলৈ ইলেক্ট্ৰ&#39;ম&#39;টিভ বল
পিছনের এলাকা,পিছফালৰ অঞ্চল
ব্যাক স্ক্যাটার,পিছলৈ বিক্ষিপ্ততা
ব্যাকগ্রাউন্ড চার্জ,পটভূমি চাৰ্জ
পার্শ্ব গোলমাল,কাষৰ শব্দ
পশ্চাদপসরণ,ৰেট্ৰ&#39;গ্ৰেছন
পোস্টেরিয়র বিকিরণ,পশ্চাৎ বিকিৰণ
ব্যাকওয়ার্ড ডায়োড / ব্যাকওয়ার্ড ডায়োড,বেকৱাৰ্ড ডাইঅ&#39;ড / বেকৱাৰ্ড ডাইঅ&#39;ড
ব্যাকওয়ার্ড ওয়েভ অসিলেটর,পিছলৈ তৰংগ দোলক
"বাধা, বাধা","বাধা, বাধা"
বাধা,বাধাগ্ৰস্ততা
সুষম সেতু,সুষম দলং
সুষম মডুলেটর,সুষম মডুলেটৰ
সুষম মডুলেটর,সুষম মডুলেটৰ
সুষম সার্কিট,সুষম বৰ্তনী
সুষম গ্রেডিয়েন্ট ডিটেক্টর,ভাৰসাম্যপূৰ্ণ গ্ৰেডিয়েণ্ট ডিটেক্টৰ
বর্তমান স্টেবিলাইজার প্রতিরোধের,কাৰেণ্ট ষ্টেবিলাইজাৰ ৰেজিষ্টেন্স
বোলোমিটার,বলোমিটাৰ
বোলোমিটার সেতু,বলোমিটাৰ দলং
বেলুন,বেলুন
কলা জ্যাক,কল জেক
কলা প্লাগ,কল প্লাগ
"ব্যান্ড, ব্যান্ডেজ","বেণ্ড, বেণ্ডেজ"
ব্যান্ড ড্রাইভার,বেণ্ড ড্ৰাইভাৰ
ব্যান্ড শক্তি,বেণ্ড শক্তি
ব্যান্ড ফাঁক,বেণ্ড গেপ
ব্যাডপার্ক পরিবর্ধক,badpark এম্প্লিফায়াৰ
ব্যান্ড পাস ফিল্টার,বেণ্ড পাছ ফিল্টাৰ
বড রেট জেনারেটর,বড হাৰ জেনেৰেটৰ
banddispersion,banddispersion
ব্যান্ড প্রতিরোধক,বেণ্ড ৰেজিষ্টৰ
ব্যান্ড ব্রেকার ফিল্টার,বেণ্ড ব্ৰেকাৰ ফিল্টাৰ
ব্যান্ড সম্প্রসারণ,বেণ্ড সম্প্ৰসাৰণ
ব্যান্ড রিমুভার ফিল্টার,বেণ্ড আঁতৰোৱা ফিল্টাৰ
ব্যান্ড এক্সপেনশন ডিফ্লেকশন মাল্টিপ্লায়ার,বেণ্ড এক্সপান্সন ডিফ্লেকচন মাল্টিপ্লাইয়াৰ
ব্যান্ড এক্সটেনশন দূরত্ব গুণক,বেণ্ড সম্প্ৰসাৰণ দূৰত্ব বহুগুণক
"বিম ক্যাপাসিটর, ব্যাংক ক্যাপাসিটর","ৰশ্মি কেপাচিটৰ, বেংক কেপাচিটৰ"
"বার্কার কোড, বার্কার কোড","বাৰ্কাৰ কোড, বাৰ্কাৰ কোড"
barravaugen মানদণ্ড,barravaugen মাপকাঠী
বাধাদানকারী,বেৰেটৰ
বাধা,বাধা
অন্তরক ক্যাপাসিটর,ইনচুলেটিং কেপাচিটৰ
বাধা শক্তি,বাধা শক্তি
প্রতিরোধক ভোল্টেজ,ৰেজিষ্টৰ ভল্টেজ
বার্টলেট উইন্ডো,বাৰ্টলেট উইণ্ড&#39;
"ভিত্তি, ভিত্তি","ভিত্তি, ভিত্তি"
বেস ব্যান্ড,বেচ বেণ্ড
বেস ব্যান্ড ট্রান্সমিশন,বেচ বেণ্ড ট্ৰেন্সমিছন
বেস চার্জ,ভিত্তি চাৰ্জ
ভিত্তি বর্তমান,বেচ কাৰেণ্ট
ভিত্তি বর্তমান উৎস,ভিত্তি বিদ্যুৎ প্ৰবাহৰ উৎস
বেস শিয়ারিং,বেচ শ্বিয়াৰিং
আধার মদন,আধাৰ মদন
বেস ইমিটার ফিড,বেচ এমিটাৰ ফিড
বেস ইমিটার জংশন,বেচ এমিটাৰ জংচন
বেস ইনজেকশন,বেচ ইনজেকচন
স্থল লাইন,গ্ৰাউণ্ড লাইন
বেস প্রতিরোধের,ভিত্তি ৰেজিষ্টেন্স
ভিত্তি উৎস,ভিত্তি উৎস
বেস সম্প্রসারণ প্রতিরোধের,ভিত্তি প্ৰসাৰণ প্ৰতিৰোধ ক্ষমতা
বেস সম্প্রসারণ প্রতিরোধের,ভিত্তি প্ৰসাৰণ প্ৰতিৰোধ ক্ষমতা
ভিত্তি বেধ,ভিত্তিৰ বেধ
বেস অ্যাক্সেস,ভিত্তি অভিগম
"বেস উইথ মডুলেশন, বেস এক্সপেনশন মডুলেশন","ভিত্তি প্ৰস্থ মডুলেচন, ভিত্তি সম্প্ৰসাৰণ মডুলেচন"
বেস কালেক্টর চুক্তি,ভিত্তি সংগ্ৰাহক চুক্তি
গন্ধ,গোন্ধ
খাদ ফ্রিকোয়েন্সি,বেছ ফ্ৰিকুৱেন্সি
ব্যাটারি,বেটাৰি
বউড,baud
বড হার,বড হাৰ
বড রেট জেনারেটর,বড হাৰ জেনেৰেটৰ
বোডো কোড,বডো ক&#39;ড
"সংকেত, বীকন","সংকেত, বিকন"
"মানিকা, বিড","মণিকা, বিড"
ম্যানিক ক্যাপাসিটর,মেনিক কেপাচিটৰ
মানিকর্তপি প্রতিরোধক,মণিকাৰতাপি ৰেজিষ্টৰ
"মরীচি অ্যান্টেনা, মরীচি অ্যান্টেনা","ৰশ্মি এন্টেনা, ৰশ্মি এন্টেনা"
মরীচি আবিষ্কারক,ৰশ্মি ডিটেক্টৰ
মরীচি পাওয়ার পায়ের পাতার মোজাবিশেষ,ৰশ্মি শক্তিৰ নলী
মরীচি সুইচিং অগ্রভাগ,ৰশ্মি চুইচিং নজেল
মরীচি সম্প্রসারণ,ৰশ্মি প্ৰসাৰণ
বীট ফ্রিকোয়েন্সি,বিট ফ্ৰিকুৱেন্সি
বীট-ফ্রিকোয়েন্সি অসিলেটর,বিট-ফ্ৰিকুৱেন্সি অচিলেটৰ
পালস অসিলেটর,পালছ দোলক
বেল,বেল
নমন ক্ষতি,বেণ্ডিং লছ
বেসেল ফিল্টার,বেচেল ফিল্টাৰ
বেটা,বিটা
b-h বক্ররেখা,খ-হ বক্ৰ
"পক্ষপাত, পক্ষপাত","bias, পক্ষপাতিত্ব"
পক্ষপাত বর্তমান,বায়াছ কাৰেণ্ট
পক্ষপাত প্রতিরোধ,বায়াছ ৰেজিষ্টেন্স
ডবল অ্যান্টেনা,ডাবল এন্টেনা
দ্বিমুখী লোড বর্তমান,দ্বিমুখী লোড কাৰেণ্ট
দ্বিমুখী অ্যান্টেনা,দ্বিমুখী এন্টেনা
দ্বিমুখী আলো নির্গত ডায়োড,দ্বিমুখী পোহৰ নিৰ্গত কৰা ডাইঅ&#39;ড
দ্বিমুখী থাইরিস্টর,দ্বিমুখী থাইৰিষ্টৰ
bi FET প্রযুক্তি,bi FET প্ৰযুক্তি
দ্বি-বিন্দু ট্রান্সফরমার,বাই পইণ্ট ট্ৰেন্সফৰ্মাৰ
ডবল ফিউশন,ডাবল ফিউজন
দ্বিপাক্ষিক সার্কিট,দ্বিপাক্ষিক বৰ্তনী
বাইনারি,বাইনাৰী
বাইনারি যোগফল,বাইনাৰী যোগফল
বাইনারি সার্কিট,বাইনাৰী বৰ্তনী
বাইনারি কোডেড দশমিক,বাইনাৰী ক&#39;ড কৰা দশমিক
বাইনারি কোডেড দশমিক সিস্টেম,বাইনাৰী ক&#39;ড কৰা দশমিক ব্যৱস্থা
বাইনারি ডাইপোল ক্যাপাসিটর,বাইনাৰী ডাইপোল কেপাচিটৰ
বাইনারি ক্যালকুলেটর,বাইনাৰী কেলকুলেটৰ
বাইনারি ক্যালকুলেটর,বাইনাৰী কেলকুলেটৰ
বাইনারি ডিকোডার,বাইনাৰী ডিকোডাৰ
