Marathi,Malayalam
अँपिअर (युनिट),ആമ്പിയർ (യൂണിറ്റ്)
angstrum,ആംഗ്സ്ട്രം
ए-क्लास अॅम्प्लिफायर,എ-ക്ലാസ് ആംപ്ലിഫയർ
एएन रेडिओ सहाय,എഎൻ റേഡിയോ സഹായ്
एक-स्कॅनिंग सादरीकरण,a-സ്കാനിംഗ് അവതരണം
a-darsh,ഒരു-ദർശ്
ए-स्कोप कामगिरी,എ-സ്കോപ്പ് പ്രകടനം
A-T वक्र क्रिस्टल,എ-ടി വളഞ്ഞ ക്രിസ്റ്റൽ
"एसी डीसी फायदे, ए. सीडी. सी.लाभी, ए. सीडी. c. प्रवर्धन","എസി-ഡിസി ആനുകൂല്യങ്ങൾ, എ. സി.ഡി. സി.ലാബി, എ. സി.ഡി. c. ആംപ്ലിഫിക്കേഷൻ"
आहे,രാവിലെ
AMU (अणु वस्तुमान एकक),എഎംയു (ആറ്റോമിക് മാസ് യൂണിറ്റ്)
आर्ड-वार्क*,aard-vark*
ab-ampere,എബി-ആമ്പിയർ
A-B वर्ग अॅम्प्लिफायर,എ-ബി ക്ലാസ് ആംപ്ലിഫയർ
adah,അദാ
A-B शक्ती पिटक,എ-ബി ശക്തി പിടക
abc = संरेखन चार्ट = nomograph,abc = വിന്യാസ ചാർട്ട് = നോമോഗ്രാഫ്
अबे क्रमांक (अबे स्थिरांक),അബെ നമ്പർ (അബെ സ്ഥിരാങ്കം)
abe refractometer,അബെ റിഫ്രാക്റ്റോമീറ്റർ
अबे साइन राज्य,അബെ സൈൻ സംസ്ഥാനം
स्वयंचलित पूर्वाग्रह भरपाई,ഓട്ടോമാറ്റിക് ബയസ് നഷ്ടപരിഹാരം
abcoulom,abcoulom
विकृती,"അപഭ്രംശം, അപഭ്രംശം"
विकृती सुधारक लेन्स,വ്യതിയാനം തിരുത്തുന്ന ലെൻസ്
आकाश विकृती,ആകാശ വ്യതിയാനം
abfarad,abfarad
एबेनरी,എബൻറി
इबोनी प्रभाव,എബോണി പ്രഭാവം
असामान्य ध्रुवीकरण,അസാധാരണ ധ്രുവീകരണം
असामान्य प्रसार,അസാധാരണമായ സംക്രമണം
अलौकिक प्रतिबिंब,അസാധാരണമായ പ്രതിഫലനം
असामान्य अपवर्तन*,അസാധാരണ അപവർത്തനം*
अलौकिक प्रतिकार,അസാധാരണമായ പ്രതിരോധം
ab-om,ab-om
"प्राबल्य, अपयश","മുൻതൂക്കം, പരാജയം"
"संलग्न, सहसा, उभे, विभक्त, खंडित","ഘടിപ്പിച്ച, സാധാരണയായി, നിൽക്കുന്ന, വിച്ഛേദിക്കപ്പെട്ട, വിഘടിച്ച"
अनेकदा उडी मारते,പലപ്പോഴും ചാടുന്നു
हात*,കൈ*
हरवलेले प्रतिबिंब,പ്രതിഫലനം നഷ്ടപ്പെട്ടു
गहाळ स्पेक्ट्रम,സ്പെക്ട്രം കാണുന്നില്ല
"निरपेक्ष, निरपेक्ष, स्थिर, परिपूर्ण","കേവല, കേവല, സ്ഥിരം, തികഞ്ഞ"
परिपूर्ण प्रवेग,സമ്പൂർണ്ണ ത്വരണം
परिपूर्ण वास्तव,കേവല യാഥാർത്ഥ്യം
परिपूर्ण पत्ता,സമ്പൂർണ്ണ വിലാസം
भौगोलिक उच्चांक,ജിയോ റിലേറ്റീവ് ആൾട്ടിമീറ്റർ
भौगोलिक उंची,ഭൂമിശാസ്ത്രപരമായ ഉയരം
परिपूर्ण अँपिअर,കേവല ആമ്പിയർ
परिपूर्ण उकळत्या बिंदू,സമ്പൂർണ്ണ തിളനില
परिपूर्ण प्रकाश,കേവല പ്രകാശം
परिपूर्ण क्षमता,കേവല കപ്പാസിറ്റൻസ്
परिपूर्ण उंची,കേവല ഉയരം
परिपूर्ण रंगद्रव्य,കേവല പിഗ്മെന്റ്
"परिपूर्ण कॉन्फिगरेशन, अस्पष्ट कॉन्फिगरेशन","സമ്പൂർണ്ണ കോൺഫിഗറേഷൻ, അവ്യക്തമായ കോൺഫിഗറേഷൻ"
परिपूर्ण कूलॉम्ब,കേവല കൂലം
पूर्ण अंधार,പൂർണ്ണമായ ഇരുട്ട്
परिपूर्ण वेळापत्रक,സമ്പൂർണ്ണ ഷെഡ്യൂളിംഗ്
परिपूर्ण घनता*,കേവല സാന്ദ്രത*
पूर्ण निचरा,സമ്പൂർണ്ണ ഡ്രെയിനേജ്
संपूर्ण EMU (विद्युत चुंबकीय एकक),സമ്പൂർണ്ണ ഇഎംയു (വൈദ്യുതകാന്തിക യൂണിറ്റ്)
संपूर्ण ESU (स्थिर एकक),സമ്പൂർണ്ണ ESU (സ്റ്റാറ്റിക് യൂണിറ്റ്)
परिपूर्ण कार्यक्षमता,സമ്പൂർണ്ണ കാര്യക്ഷമത
परिपूर्ण इलेक्ट्रोमीटर,കേവല ഇലക്ട്രോമീറ്റർ
परिपूर्ण वारंवारता परिपूर्ण वारंवारता,കേവല ആവൃത്തി കേവല ആവൃത്തി
