Assamese,Kannada
"১.এবাকাছ, ২. গণনা কৰি আছে","1.ಅಬ್ಯಾಕಸ್, 2. ಎಣಿಕೆ"
অস্বাভাৱিক অন্ত,ಅಸಹಜ ಅಂತ್ಯ
ইন্টাৰচেপ্ট,ತಡೆಹಿಡಿಯಿರಿ
"১.নিৰপেক্ষ, ২. পৰম","1. ಸಂಪೂರ್ಣ, 2. ಸುಪ್ರೀಂ"
নিৰপেক্ষ ঠিকনা,ಸಂಪೂರ್ಣ ವಿಳಾಸ
নিৰপেক্ষ ঠিকনাযোগ্যতা,ಸಂಪೂರ್ಣ ವಿಳಾಸ ಸಾಮರ್ಥ್ಯ
নিৰপেক্ষ এছেম্বলাৰ,ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್
"১.নিৰপেক্ষ ক&#39;ড, ২. নিৰপেক্ষ ক&#39;ড","1. ಸಂಪೂರ್ಣ ಕೋಡ್, 2. ಸಂಪೂರ್ಣ ಕೋಡ್"
নিৰপেক্ষ আদেশ,ಸಂಪೂರ್ಣ ಆಜ್ಞೆ
"১.নিৰপেক্ষ চিত্ৰ, ২. নিৰপেক্ষ তথ্য","1. ಸಂಪೂರ್ಣ ಅಂಕಿಅಂಶಗಳು, 2. ಸಂಪೂರ್ಣ ಡೇಟಾ"
নিৰপেক্ষ নিৰ্দেশনা,ಸಂಪೂರ್ಣ ಸೂಚನೆ
নিৰপেক্ষ ধৰণ,ಸಂಪೂರ್ಣ ಮೋಡ್
নিৰপেক্ষ পথ,ಸಂಪೂರ್ಣ ಮಾರ್ಗ
"1. নিৰপেক্ষ প্ৰগ্ৰেমিং, 2. নিৰপেক্ষ প্ৰগ্ৰেমিং","1. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್, 2. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್"
বিমূৰ্ত শ্ৰেণী,ಅಮೂರ್ತ ವರ್ಗ
বিমূৰ্ত তথ্যৰ ধৰণ,ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ
বিমূৰ্ত মেচিন,ಅಮೂರ್ತ ಯಂತ್ರ
বিমূৰ্ত চিহ্ন,ಅಮೂರ್ತ ಚಿಹ್ನೆ
বিমূৰ্ত বাক্যবিন্যাস,ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್
গ্ৰহণযোগ্যতা পৰীক্ষা,ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ
প্ৰৱেশ প্ৰমাণীকৰণ,ಪ್ರವೇಶ ಪ್ರಮಾಣೀಕರಣ
"1. প্ৰৱেশ ক&#39;ড, 2. প্ৰৱেশ ক&#39;ড","1. ಪ್ರವೇಶ ಕೋಡ್, 2. ಪ್ರವೇಶ ಕೋಡ್"
প্ৰৱেশ নিয়ন্ত্ৰণ,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ
অভিগম স্কেনিং,ಪ್ರವೇಶ ಸ್ಕ್ಯಾನಿಂಗ್
আনুষংগিক বস্তু,ಬಿಡಿಭಾಗಗಳು
হিচাপ-নিকাচ,ಲೆಕ್ಕಪತ್ರ
"1. একাউণ্ট আইডি, 2. একাউণ্টিং চিনাক্তকৰণ","1. ಖಾತೆ ಐಡಿ, 2. ಲೆಕ್ಕಪತ್ರ ಗುರುತಿಸುವಿಕೆ"
এক্যুলেটৰ,ಸಂಚಯಕ
"১/ সঠিকতা, ২. শুদ্ধতা","1. ನಿಖರತೆ, 2. ನಿಖರತೆ"
প্ৰৱেশাধিকাৰ,ಪ್ರವೇಶ
অভিগম নিয়ন্ত্ৰণ বাইটসমূহ,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ ಬೈಟ್‌ಗಳು
প্ৰৱেশ সূচক,ಪ್ರವೇಶ ಸೂಚಕ
অভিগম কি&#39;,ಪ್ರವೇಶ ಕೀ
"1. অভিগম মেট্ৰিক্স, 2. অভিগম মেট্ৰিক্স","1. ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್, 2. ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್"
অভিগম ধৰণ,ಪ್ರವೇಶ ಮೋಡ್
অভিগম বিশেষাধিকাৰসমূহ,ಪ್ರವೇಶ ಸವಲತ್ತುಗಳು
অভিগম সুৰক্ষা,ಪ್ರವೇಶ ಭದ್ರತೆ
"1. অভিগম চাৰ্ভাৰ, 2. অভিগম চাৰ্ভাৰ","1. ಪ್ರವೇಶ ಸರ್ವರ್, 2. ಪ್ರವೇಶ ಸರ್ವರ್"
প্ৰৱেশ সময়,ಪ್ರವೇಶ ಸಮಯ
স্বীকৃতি,ಸ್ವೀಕೃತಿ
শব্দবিজ্ঞান,ಅಕೌಸ್ಟಿಕ್ಸ್
"১. সংক্ষিপ্ত ৰূপ, ২. সংক্ষিপ্ত ৰূপ, ৩. ৰ পৰা চুটি","1. ಸಂಕ್ಷಿಪ್ತ ರೂಪ, 2. ಸಂಕ್ಷೇಪಣ, 3. ನಿಂದ ಚಿಕ್ಕದಾಗಿದೆ"
কাৰ্য্য বাৰ্তা,ಕ್ರಿಯೆಯ ಸಂದೇಶ
সক্ৰিয়কৰণ,ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ
সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা,ಸಕ್ರಿಯ ಸರ್ವರ್ ಪುಟ
সক্ৰিয় সংস্কৰণ,ಸಕ್ರಿಯ ಆವೃತ್ತಿ
অচক্ৰীয়,ಅಸೈಕ್ಲಿಕ್
"১.অচক্ৰীয় গ্ৰাফ, ২. অচক্ৰীয় গ্ৰাফ","1. ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್, 2. ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್"
আদা কম্পিউটাৰ ভাষা,ಅದಾ ಕಂಪ್ಯೂಟರ್ ಭಾಷೆ
"১.অপ্টিমাইজাৰ, ২. অপ্টিমাইজাৰ","1. ಆಪ್ಟಿಮೈಜರ್, 2. ಆಪ್ಟಿಮೈಜರ್"
to sum),ಒಟ್ಟು)
যোগফল নথিপত্ৰ,ಮೊತ್ತದ ಕಡತ
"1. যোগ কাৰ্য্য, 2. যোগফল কাৰ্য্য","1. ಸೇರ್ಪಡೆ ಕಾರ್ಯಾಚರಣೆ, 2. ಮೊತ್ತದ ಕಾರ್ಯಾಚರಣೆ"
adder,ಸೇರಿಸುವವನು
ঠিকনা,ಗೊತ್ತು
ঠিকনা বাছ,ವಿಳಾಸ ಬಸ್
ঠিকনা নথিপত্ৰ,ವಿಳಾಸ ಫೈಲ್
ঠিকনা বিন্যাস,ವಿಳಾಸ ಸ್ವರೂಪ
ঠিকনা উৎপাদক,ವಿಳಾಸ ಜನರೇಟರ್
ঠিকনা ৰেখা,ವಿಳಾಸ ಸಾಲು
ঠিকনা মেপিং,ವಿಳಾಸ ಮ್ಯಾಪಿಂಗ್
ঠিকনা সূচক,ವಿಳಾಸ ಸೂಚಕ
ঠিকনা পঞ্জীয়ন,ವಿಳಾಸ ರಿಜಿಸ್ಟರ್
ঠিকনা ভাঙি যোৱা,ವಿಳಾಸ ಸ್ಥಗಿತ
ঠিকনা অনুবাদ,ವಿಳಾಸ ಅನುವಾದ
"1. ঠিকনাযোগ্য স্মৃতিশক্তি, 2. ঠিকনাযোগ্য মেমৰি","1. ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸ್ಮರಣೆ, 2. ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸ್ಮರಣೆ"
সম্বোধন কৰা,ಉದ್ದೇಶಿಸಿ
"১.পৰ্যাপ্ততাৰ মাপকাঠী, ২. পৰ্যাপ্ততাৰ মাপকাঠী","1. ಸಮರ್ಪಕತೆಯ ಮಾನದಂಡ, 2. ಸಮರ್ಪಕತೆಯ ಮಾನದಂಡ"
সংলগ্ন কৰা হৈছে,ಬಾಂಧವ್ಯ
"1. ব্যৱস্থাপনা , 2. নিয়ন্ত্ৰণ","1. ನಿರ್ವಹಣೆ, 2. ನಿಯಂತ್ರಣ"
"১.পৰিচালক, ২. নিয়ন্ত্ৰক","1. ಮ್ಯಾನೇಜರ್, 2. ನಿಯಂತ್ರಕ"
এডোব এক্ৰ&#39;বেট,ಅಡೋಬ್ ಅಕ್ರೋಬ್ಯಾಟ್
এডোব ফটোশ্বপ,ಅಡೋಬ್ ಫೋಟೋಶಾಪ್
ABAP (উন্নত ব্যৱসায়িক প্ৰগ্ৰেমিং),ABAP (ಸುಧಾರಿತ ವ್ಯಾಪಾರ ಪ್ರೋಗ್ರಾಮಿಂಗ್)
"1. উন্নত তথ্য, 2. উন্নত তথ্য","1. ಸುಧಾರಿತ ಡೇಟಾ, 2. ಸುಧಾರಿತ ಡೇಟಾ"
উন্নত তথ্য ব্যৱস্থা,ಸುಧಾರಿತ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆ
উন্নত প্ৰযুক্তি (AT),ಸುಧಾರಿತ ತಂತ್ರಜ್ಞಾನ (AT)
কাৰ্য কৰা,ಕ್ರಮ
একত্ৰীকৰণ,ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ
