Malayalam,Kannada
എ.സി തുല്യമായ സർക്യൂട്ട്,ಎಸಿ ಸಮಾನ ಸರ್ಕ್ಯೂಟ್
അനലോഗ് ടു ന്യൂമെറിക് കൺവെർട്ടർ,ಸಂಖ್ಯಾ ಪರಿವರ್ತಕಕ್ಕೆ ಅನಲಾಗ್
കേവല പൂജ്യം,ಸಂಪೂರ್ಣ ಶೂನ್ಯ
ആഗിരണം ഗുണകം,ಹೀರಿಕೊಳ್ಳುವ ಗುಣಾಂಕ
ആഗിരണം സ്പെക്ട്രം,ಹೀರಿಕೊಳ್ಳುವ ವರ್ಣಪಟಲ
റിസപ്റ്റർ ആറ്റം,ಗ್ರಾಹಕ ಪರಮಾಣು
ആൾട്ടർനേറ്റിംഗ് കറന്റ് കപ്ലിംഗ്,ಪರ್ಯಾಯ ವಿದ್ಯುತ್ ಜೋಡಣೆ
ഇലക്ട്രോൺ വിളവെടുപ്പ്,ಎಲೆಕ್ಟ್ರಾನ್ ಕೊಯ್ಲು
ദ്വാര സംഭരണം,ರಂಧ್ರ ಸಂಗ್ರಹಣೆ
സജീവമാക്കൽ ഊർജ്ജം,ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ
സജീവ ആംപ്ലിഫയർ,ಸಕ್ರಿಯ ಆಂಪ್ಲಿಫಯರ್
സജീവ ഡയോഡ് സർക്യൂട്ട്,ಸಕ್ರಿಯ ಡಯೋಡ್ ಸರ್ಕ್ಯೂಟ್
സജീവ ഫിൽട്ടർ,ಸಕ್ರಿಯ ಫಿಲ್ಟರ್
സജീവമായ ഉയർന്ന ഫ്രീക്വൻസി പാർക്ക്വെറ്റ് ഫിൽട്ടർ,ಸಕ್ರಿಯ ಹೈ ಫ್ರೀಕ್ವೆನ್ಸಿ ಪ್ಯಾರ್ಕ್ವೆಟ್ ಫಿಲ್ಟರ್
സജീവ ലോഡ്,ಸಕ್ರಿಯ ಲೋಡ್
സജീവമായ ലോ ഫ്രീക്വൻസി പാഴ്സ് ഫിൽട്ടർ,ಸಕ್ರಿಯ ಕಡಿಮೆ ಆವರ್ತನ ಪಾರ್ಸ್ ಫಿಲ್ಟರ್
സജീവമായ പ്രദേശം,ಸಕ್ರಿಯ ಪ್ರದೇಶ
അഡാപ്റ്റീവ് ഇലക്ട്രോണിക്സ്,ಹೊಂದಾಣಿಕೆಯ ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್
ചേർക്കുന്നയാൾ,ಸೇರಿಸುವವನು
ക്രമീകരിക്കാവുന്ന ബാൻഡ് വിപുലീകരണം,ಹೊಂದಾಣಿಕೆ ಬ್ಯಾಂಡ್ ವಿಸ್ತರಣೆ
നുഴഞ്ഞുകയറ്റം,ನುಗ್ಗುವಿಕೆ
ഏരിയൽ,ಏರಿಯಲ್
പെപ് ആവൃത്തി,ಪೆಪ್ ಆವರ್ತನ
എയർ കണ്ടീഷണർ,ಹವಾ ನಿಯಂತ್ರಣ ಯಂತ್ರ
വിന്യാസം,ಜೋಡಣೆ
അൽഗോരിതം,ಅಲ್ಗಾರಿದಮ್
എല്ലാ പാസ് ഫിൽട്ടറും,ಎಲ್ಲಾ ಪಾಸ್ ಫಿಲ್ಟರ್
അലോയ് ജംഗ്ഷൻ,ಮಿಶ್ರಲೋಹ ಜಂಕ್ಷನ್
ശോഷണം,ಕ್ಷೀಣತೆ
ആൾട്ടർനേറ്റിംഗ് കറന്റ്,ಪರ್ಯಾಯ ಪ್ರವಾಹ
അന്തരീക്ഷ ഊഷ്മാവ്,ಹೊರಗಿನ ತಾಪಮಾನ
ബൈപോളാർ,ಬೈಪೋಲಾರ್
ആംപ്ലിഫിക്കേഷൻ,ವರ್ಧನೆ
ആംപ്ലിഫയർ,ಆಂಪ್ಲಿಫಯರ್
ആംപ്ലിഫയർ കാര്യക്ഷമത,ಆಂಪ್ಲಿಫಯರ್ ದಕ್ಷತೆ
അളവുകൾ,ಆಯಾಮಗಳು
ആംപ്ലിറ്റ്യൂഡ് അറ്റൻവേഷൻ,ವೈಶಾಲ್ಯ ಕ್ಷೀಣತೆ
ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റഡ് AM ഓസിലേറ്റർ,ಆಂಪ್ಲಿಟ್ಯೂಡ್ ಮಾಡ್ಯುಲೇಟೆಡ್ AM ಆಂದೋಲಕ
ആംപ്ലിറ്റ്യൂഡ് മോഡുലേഷൻ,ವೈಶಾಲ್ಯ ಮಾಡ್ಯುಲೇಶನ್
ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റർ,ವೈಶಾಲ್ಯ ಮಾಡ್ಯುಲೇಟರ್
angstrom യൂണിറ്റ്,ಆಂಗ್ಸ್ಟ್ರಾಮ್ ಘಟಕ
അനലോഗ് സർക്യൂട്ട്,ಅನಲಾಗ್ ಸರ್ಕ್ಯೂಟ್
അനലോഗ് കമ്പ്യൂട്ടർ,ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್
അനലോഗ് ഫിൽട്ടർ,ಅನಲಾಗ್ ಫಿಲ್ಟರ್
അനലോഗ് മൾട്ടിമീറ്റർ,ಅನಲಾಗ್ ಮಲ್ಟಿಮೀಟರ್
അനലോഗ് സ്വിച്ച്,ಅನಲಾಗ್ ಸ್ವಿಚ್
ഒപ്പം ഗേറ്റും,ಮತ್ತು ಗೇಟ್
കോണീയ ആവൃത്തി,ಕೋನೀಯ ಆವರ್ತನ
"അയോൺ, അയോൺ","ಅಯಾನ್, ಅಯಾನ್"
അനീലിംഗ് താപനില,ಅನೆಲಿಂಗ್ ತಾಪಮಾನ
ആനോഡ്,ಆನೋಡ್
ആനോഡ് ആംപ്ലിഫയർ,ಆನೋಡ್ ಆಂಪ್ಲಿಫಯರ್
അനോഡൈൻ,ಅನೋಡೈನ್
ആന്റിന,ಆಂಟೆನಾ
ആന്റിന ഘടകം,ಆಂಟೆನಾ ಘಟಕ
ആന്റി-റിഫ്ലക്ടീവ് കോട്ടിംഗ്,ವಿರೋಧಿ ಪ್ರತಿಫಲಿತ ಲೇಪನ
ആന്റിലോഗിൻ ആംപ്ലിഫയർ,ಪ್ರತಿಲೋಜಿನ್ ಆಂಪ್ಲಿಫಯರ್
antiresonant സർക്യൂട്ട്,ಆಂಟಿರೆಸೋನೆಂಟ್ ಸರ್ಕ್ಯೂಟ್
ദ്വാരക കാലഘട്ടം,ದ್ವಾರಕ ಕಾಲ
വെർച്വൽ പവർ,ವರ್ಚುವಲ್ ಶಕ್ತಿ
വയർ കണക്ഷൻ,ತಂತಿ ಸಂಪರ್ಕ
ഏകദേശ വോൾട്ടേജ് നേട്ടം,ಅಂದಾಜು ವೋಲ್ಟೇಜ್ ಲಾಭ
ആംസ്ട്രോങ് മോഡുലേറ്റർ,ಆರ್ಮ್ಸ್ಟ್ರಾಂಗ್ ಮಾಡ್ಯುಲೇಟರ್
ആന്റിന അറേ,ಆಂಟೆನಾ ರಚನೆ
"വലുപ്പ അനുപാതം, വീക്ഷണ അനുപാതം","ಗಾತ್ರ ಅನುಪಾತ, ಆಕಾರ ಅನುಪಾತ"
ഫ്ലോട്ടിംഗ് സർക്യൂട്ട് (സ്വതന്ത്ര ഓപ്പറേറ്റിംഗ് സർക്യൂട്ട്),ತೇಲುವ ಸರ್ಕ್ಯೂಟ್ (ಉಚಿತ ಆಪರೇಟಿಂಗ್ ಸರ್ಕ್ಯೂಟ್)
ഓട്ടോമാറ്റിക് മൾട്ടിവൈബ്രേറ്റർ,ಸ್ವಯಂಚಾಲಿತ ಮಲ್ಟಿವೈಬ್ರೇಟರ್
ഫ്ലോട്ടിംഗ് മൾട്ടിവൈബ്രേറ്റർ,ತೇಲುವ ಮಲ್ಟಿವೈಬ್ರೇಟರ್
അസമമായ ജംഗ്ഷൻ,ಅಸಮಪಾರ್ಶ್ವದ ಜಂಕ್ಷನ್
അസിൻക്രണസ് കാൽക്കുലേറ്റർ,ಅಸಮಕಾಲಿಕ ಕ್ಯಾಲ್ಕುಲೇಟರ್
ആണവ,ಪರಮಾಣು
ആറ്റോമിക നമ്പർ,ಪರಮಾಣು ಸಂಖ್ಯೆ
ആറ്റോമിക് ഘടന,ಪರಮಾಣು ರಚನೆ
ഓഡിയോ ആംപ്ലിഫയർ,ಆಡಿಯೋ ಆಂಪ್ಲಿಫಯರ್
ഓഡിയോ ആംപ്ലിഫയർ,ಆಡಿಯೋ ಆಂಪ್ಲಿಫಯರ್
ഓഡിയോ കാസറ്റ്,ಆಡಿಯೋ ಕ್ಯಾಸೆಟ್
ഓഡിയോ സർക്യൂട്ട്,ಆಡಿಯೋ ಸರ್ಕ್ಯೂಟ್
കേൾക്കാവുന്ന ആവൃത്തി,ಶ್ರವ್ಯ ಆವರ್ತನ
