Odiya,Tamil
AC ସମାନ ସର୍କିଟ |,ஏசி சமமான சுற்று
ସାଂଖ୍ୟିକ ରୂପାନ୍ତରକାରୀ ସହିତ ଅନୁରୂପ |,எண் மாற்றிக்கு ஒப்புமை
ସଂପୂର୍ଣ୍ଣ ଶୂନ,முழுமையான பூஜ்ஜியம்
ଶୋଷଣ ଗୁଣବତ୍ତା,உறிஞ்சுதல் குணகம்
ଅବଶୋଷଣ ସ୍ପେକ୍ଟ୍ରମ୍ |,உறிஞ்சுதல் நிறமாலை
ରିସେପ୍ଟର ପରମାଣୁ |,ஏற்பி அணு
ବ current କଳ୍ପିକ ସାମ୍ପ୍ରତିକ ଯୋଡି |,மாற்று மின்னோட்ட இணைப்பு
ଇଲେକ୍ଟ୍ରନ୍ ଅମଳ,எலக்ட்ரான் அறுவடை
ଗର୍ତ୍ତ ସଂରକ୍ଷଣ,துளை சேமிப்பு
ସକ୍ରିୟ ଶକ୍ତି,செயல்படுத்தும் ஆற்றல்
ସକ୍ରିୟ ଏମ୍ପ୍ଲିଫାୟର୍ |,செயலில் பெருக்கி
ସକ୍ରିୟ ଡାୟୋଡ୍ ସର୍କିଟ୍ |,செயலில் உள்ள டையோடு சுற்று
ସକ୍ରିୟ ଫିଲ୍ଟର୍ |,செயலில் வடிகட்டி
ସକ୍ରିୟ ହାଇ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍କେଟ୍ ଫିଲ୍ଟର୍ |,செயலில் உள்ள உயர் அதிர்வெண் பார்க்வெட் வடிகட்டி
ସକ୍ରିୟ ଭାର,செயலில் சுமை
ସକ୍ରିୟ ନିମ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍ସ ଫିଲ୍ଟର୍ |,செயலில் குறைந்த அதிர்வெண் பாகுபடுத்தும் வடிகட்டி
ସକ୍ରିୟ କ୍ଷେତ୍ର |,செயலில் உள்ள பகுதி
ଆଡାପ୍ଟିଭ୍ ଇଲେକ୍ଟ୍ରୋନିକ୍ସ |,தகவமைப்பு மின்னணுவியல்
ଆଡର୍,சேர்ப்பான்
ଆଡଜଷ୍ଟେବଲ୍ ବ୍ୟାଣ୍ଡ ଏକ୍ସଟେନ୍ସନ୍ |,சரிசெய்யக்கூடிய இசைக்குழு நீட்டிப்பு
ଅନୁପ୍ରବେଶ,ஊடுருவல்
ଆରିଏଲ,ஏரியல்
ପେପ୍ ଫ୍ରିକ୍ୱେନ୍ସି |,பெப் அதிர்வெண்
ଶିତତାପ ନିୟନ୍ତ୍ରଣକାରି,காற்றுச்சீரமைப்பி
ଶ୍ରେଣୀବଦ୍ଧତା |,சீரமைப்பு
ଆଲଗୋରିଦମ |,அல்காரிதம்
ସମସ୍ତ ପାସ୍ ଫିଲ୍ଟର୍ |,அனைத்து பாஸ் வடிகட்டி
ମିଶ୍ରିତ ଜଙ୍କସନ |,அலாய் சந்திப்பு
ଆଘାତ,தணிவு
ବ current କଳ୍ପିକ କରେଣ୍ଟ୍ |,மாறுதிசை மின்னோட்டம்
ପରିବେଶର ତାପମାତ୍ରା |,சுற்றுப்புற வெப்பநிலை
ଦ୍ୱିପାକ୍ଷିକ,இருமுனை
ବୃଦ୍ଧି,பெருக்கம்
ଏମ୍ପ୍ଲିଫାୟର୍,பெருக்கி
ଏମ୍ପ୍ଲିଫାୟର୍ ଦକ୍ଷତା |,பெருக்கி செயல்திறன்
ପରିମାପ,பரிமாணங்கள்
ପ୍ରଶସ୍ତତା ଆଘାତ,வீச்சு குறைதல்
ବିସ୍ତାର ମଡ୍ୟୁଲେଡ୍ ଏମ୍ ଓସିଲେଟର,அலைவீச்சு மாடுலேட்டட் AM ஆஸிலேட்டர்
ପ୍ରଶସ୍ତିକରଣ ମୋଡ୍ୟୁଲେସନ,வீச்சு பண்பேற்றம்
ପ୍ରଶସ୍ତିକରଣ ମଡ୍ୟୁଲେଟର,வீச்சு மாடுலேட்டர்
ଆଙ୍ଗଷ୍ଟ୍ରମ୍ ୟୁନିଟ୍ |,angstrom அலகு
ଆନାଗଲ୍ ସର୍କିଟ୍ |,அனலாக் சுற்று
ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |,அனலாக் கணினி
ଆନାଲଗ୍ ଫିଲ୍ଟର୍ |,அனலாக் வடிகட்டி
ଆନାଗଲ୍ ମଲ୍ଟିମିଟର |,அனலாக் மல்டிமீட்டர்
ଆନାଗଲ୍ ସୁଇଚ୍ |,அனலாக் சுவிட்ச்
ଏବଂ ଫାଟକ |,மற்றும் வாயில்
କୋଣ ଅନୁକୋଣ,கோண அதிர்வெண்
"ଆୟନ, ଆୟନ","அயனி, அயனி"
ଆନ୍ନାଲିଙ୍ଗ୍ ତାପମାତ୍ରା |,அனீலிங் வெப்பநிலை
anode,நேர்மின்முனை
ଆନାଡ୍ ଏମ୍ପ୍ଲିଫାୟର୍ |,அனோட் பெருக்கி
anodyne,அனோடைன்
ଆଣ୍ଟେନା |,ஆண்டெனா
ଆଣ୍ଟେନା ଉପାଦାନ |,ஆண்டெனா கூறு
ଆଣ୍ଟି-ପ୍ରତିଫଳିତ ଆବରଣ |,எதிர்ப்பு பிரதிபலிப்பு பூச்சு
ଆଣ୍ଟିଲୋଜିନ ଏମ୍ପ୍ଲିଫାୟର୍ |,ஆன்டிலோகின் பெருக்கி
ଆଣ୍ଟିରେସୋନାଣ୍ଟ ସର୍କିଟ |,எதிரொலி சுற்று
ଦ୍ୱାରକ ଅବଧି |,துவாரகர் காலம்
ଭର୍ଚୁଆଲ୍ ଶକ୍ତି |,மெய்நிகர் சக்தி
ତାର ସଂଯୋଗ,கம்பி இணைப்பு
ଆନୁମାନିକ ଭୋଲଟେଜ୍ ଲାଭ |,தோராயமான மின்னழுத்த ஆதாயம்
ବାହୁବଳୀ ମଡ୍ୟୁଲେଟର,ஆர்ம்ஸ்ட்ராங் மாடுலேட்டர்
ଆଣ୍ଟେନା ଆରେ |,ஆண்டெனா வரிசை
"ଆକାର ଅନୁପାତ, ଆସପେକ୍ଟ ଅନୁପାତ |","அளவு விகிதம், தோற்ற விகிதம்"
ଭାସମାନ ସର୍କିଟ (ମାଗଣା ଅପରେଟିଂ ସର୍କିଟ),மிதக்கும் சுற்று (இலவச இயக்க சுற்று)
ସ୍ୱୟଂଚାଳିତ ମଲ୍ଟିଭାଇବ୍ରେଟର |,தானியங்கி மல்டிவிபிரேட்டர்
ଭାସମାନ ମଲ୍ଟିଭାଇବ୍ରେଟର |,மிதக்கும் மல்டிவிபிரேட்டர்
ଅସୀମିତ ଜଙ୍କସନ,சமச்சீரற்ற சந்திப்பு
ଅସନ୍ତୁଳିତ କାଲକୁଲେଟର |,ஒத்திசைவற்ற கால்குலேட்டர்
