English,Gujarati
Abnormal,અસામાન્ય
Abort,ગર્ભપાત
Abrasion,ઘર્ષણ
Abrupt,અચાનક
Absolute field strength,સંપૂર્ણ ક્ષેત્ર શક્તિ
Absolute temperature,સંપૂર્ણ તાપમાન
Absolute value,અબાધિત મૂલ્ય
Absorb,શોષવું
Absorption co-efficient,સહ-કાર્યક્ષમ
Absorption loss,શોષણ
Abstract,નિષ્ક્રિય
Accelerometer,પ્રવેગમાપક
Acceptance test,સ્વીકૃતિ કસોટી
Access,પ્રવેશ
Access control,વપરાશ નિયંત્રણ
Access point,પ્રવેશ -બિંદુ
Access time,પ્રવેશ સમય
Accessibility,ઉપલ્બધતા
Accumulator cell,સંકુચિત સેલી
Accuracy,ચોકસાઈ
Accurate,ચોક્કસ
Achromatic lens,ઘેટાંના લેન્સ
Acid,તેજાબ
Acid proof,એસિડ પ્રૂફ
Acidity,અમલ્ય
Acknowledgement bit,સ્વીકૃતિ
Acoustic,ધ્વનિશાસ્ત્ર
Acoustic communication,ધ્વનિશાસ્ત્ર
Acoustic diffusion,ધ્વનિ -પ્રસરણ
Acoustic equalizer,ધ્વનિ -બરાબરી
Acoustic feedback,ધ્વનિ -પ્રતિસાદ
Acoustic filter,ધ્વનિ ફિલ્ટર
Acoustic impedance,ધ્વનિ અવરોધ
Acoustic masking,ધ્વનિ -માસ્કીંગ
Acoustic power,ધ્વનિની શક્તિ
Acoustic property,ધ્વનિપક્ષીય મિલકત
Acoustic reactance,ધ્વનિની પ્રતિક્રિયા
Acoustic reflex,ધ્વનિ -પ્રતિબિંબ
Acoustic tile,ધ્વનિ ટાઇલ
Acoustic wave,ધ્વનિ તરંગ
Acoustical absorption,શ્રવ -શોષણ
Acoustical attenuation constant,શ્રવણશક્તિ એટેન્યુએશન
Acoustical damping,શ્રવણની ભીનાશ
Acoustical delay line,ધ્વનિ વિલંબ રેખા
Acoustical distortion,ધ્વનિની વિકૃતિ
Acoustical duct,શ્રવણ નલિક
Acoustical energy,શ્રવણશક્તિ
Acoustical feedback,શ્રવણશક્તિ
Acoustical filter,શ્રદ્ધ ફિલ્ટર
Acoustical impedance,શ્રવણનો અવરોધ
Acoustical propagation constant,ધ્વનિ -પ્રચાર
Acoustical resistance,શ્રવણ પ્રતિકાર
Acoustically insulated,ધ્વનિભ્રમણાથી ઇન્સ્યુલેટેડ
Acoustics,ધ્વનિશાસ્ત્ર
Acquisition,સંપાદન
Acronym,ટૂંકાક્ષર
Action area,કાર્યવાહી ક્ષેત્ર
Activated filament,સક્રિય ફિલામેન્ટ
Active,સક્રિય
Active area,સક્રિય ક્ષેત્ર
Active window,સક્રિય બારી
Adaptability,અનુકૂલનક્ષમતા
Adapter (adaptor),એડેપ્ટર (એડેપ્ટર)
Adaptive differential pulse code modulation,અનુકૂલનશીલ વિભેદક પલ્સ મોડ્યુલેશન
Address book,સરનામા પુસ્તિકા
Address bus,સરનાવ બસ
Address resolution,ઠરાવ
Adjacent channel interference,સંલગ્ન ચેનલ દખલ
Adjacent channel selectivity,સંલગ્ન ચેનલ પસંદગી
Adjacent frequency,સંલગ્ન આવર્તન
Adjacent frequency channel,સંલગ્ન આવર્તન ચેનલ
Adjacent picture carrier,અડીને ચિત્ર વાહક
Adjacent sound carrier,અડીને ધ્વનિ વાહક
Adjacent station,સંલગ્ન મથક
Adjustable,ગોઠવણપાત્ર
Adjustable condenser,ગોઠવણપાત્ર કન્ડેન્સર
Adjusting pressure,ગોઠવણ
Adjusting wrench,સમાયોજન
Adjustment,સમાયોજન
Administrator,વહીવટકર્તા
Advanced technology,અદ્યતન ટેકનોલોજી
Aerial,હવાઈ
Aerial array,હવાઈ ​​એરે
Aerial booster,હવાઈ ​​બૂસ્ટર
Aerial current,હવાઈ ​​પ્રવાહ
Aerial earthing switch,હવાઈ ​​કમાણી સ્વીચ
Aerial efficiency,હવાઈ ​​કાર્યક્ષમતા
Aerial impedance,હવાઈ ​​અવરોધ
Aerial inductance,હવાઈ ​​લિટક્શન
Aerial insulator,હવાઈ ​​ઇન્સ્યુલેટર
Aerial loading coil,હવાઈ ​​લોડિંગ કોઇલ
Aerial photography,હવાઈ ​​ફોટોગ્રાફી
Aerial power,હવાઈ ​​શક્તિ
Aerial radiation reistance,હવાઈ ​​કિરણોત્સર્ગ
Aerial reactance,હવાઈ ​​પ્રતિક્રિયા
Aerodynamics,વાયુમિશ્રણશાસ્ત્ર
Agency,સંસ્થા
Air compressor,હવાઈ ​​સંકોચન
Air condenser,હવાઈ ​​કન્ડેન્સર
Air cooled,હવાઈ ​​ઠંડુ
Air cored coil,હવાઈ ​​બાંધેલી કોથળી
Airconditioning,વાતાનુકૂલન
Albedo,અલ્બેડો
Algorithm,અલ્ગોરિધમનો
Aliasing,પરવાના
Aligning,સંલગ્ન
Alignment,ગોઠવણી
All wave aerial,બધા તરંગ હવાઈ
Allocation,ફાળવણી
Alphabetic,વર્ણાનુક્રમ
Alphanumeric,મૂર્તિમંત
Alphanumeric character,વર્ણ -અક્ષર
Alphanumeric information,વર્ણ -મૂર્તિમંત માહિતી
Alternating current (a.c.),વૈકલ્પિક વર્તમાન (એ.સી.)
Alternation,એકાંતરણ
Alternator,પરાકારી
Altitude,Altંચાઈ
Altitude of the apogee,અનુગામી alt ંચાઇ
Altitude of the perigee,પેરગીની alt ંચાઇ
Amateur radio communication,કલાપ્રેમી રેડિયો સંચાર
Ambience,વાતાવરણ
Ambience microphone,આજુબાજુના માઇક્રોફોન
Ambient condition,આસપાસની શરત
Ambient lighting,આસપાસની આજુબાજુની પ્રકાશ
Ambient noise,આજુબાજુનો અવાજ
Ambient temperature,આસપાસનું તાપમાન
American standard code,અમેરિકન માનક સંહિતા
Ampere,ષડયંત્ર
Ampere meter,Amાંદું મીટર
Amplification,વિસ્તૃત કરવું તે
Amplification factor,વિસ્તૃત પરિબળ
Amplifier,પ્રવેધક
Amplifier gain,વિપુલ લાભ
Amplifier noise,એમ્પ્લીફાયર અવાજ
Amplifying equipment,વિસ્તૃત સાધનસામગ્રી
Amplifying klystron,ક્લીસ્ટ્રોનને વિસ્તૃત કરવું
Amplifying unit,વિસ્તૃત એકમ
Amplitude,કંપનવિસ્તાર
Amplitude distortion,કંપનવિસ્તારની વિકૃતિ
Amplitude excursion,કંપનવિસ્તાર
Amplitude factor,કંપનવિસ્તાર પરિબળ
Amplitude limiter,મર્યાદિત મર્યાદા
Amplitude modulated,કંપનવિસ્તાર -મોડ્યુલેટેડ
Amplitude modulation,કંપનલી -મોડ્યુલેશન
Analog (analogue),એનાલોગ (એનાલોગ)
Analog circuit,એનાશ
Analog computer,એનાલોગ કમ્પ્યુટર
Analog radio frequency channel,એનાલોગ રેડિયો આવર્તન ચેનલ માટે એનાલોગ રેડિયો આવર્તન ચેનલ
Analog representation,મનોલોગ પ્રતિનિધિત્વ
Analog signal,એનાલોગ સંકેત
Analog to digital,ડિજિટલથી એનાલોગ
Analog to digital converter,ડિજિટલ કન્વર્ટર માટે એનાલોગ
Analog video,એટાલી -વિડિઓ
Analogous,સમાન
Analogy,સાદ્રશ્ય
Analysis,વિશ્લેષણ
Analysis of data,આંકડા
Analytical density,વિશ્લેષણાત્મક ઘનતા
Analyze,વિશ્લેષણ કરવું
Analyzer,વિશ્લેષક
Ancilliary equipment,સૌધિતિક સાધનસામગ્રી
AND Gate,અને દરવાજો
Angle of collimation,ખાત્ય ખૂણા
Angle of polarization,ધ્રુવીકરણ ખૂણા
Angle of rotation,પરિભ્રમણ
Angstrom (Å),એંગસ્ટ્રોમ (Å)
Angular,કોણીય
Angular acceleration,કોતરણી પ્રવેગક
Angular co-ordinates,કોતરણી સમન્વય
Angular deflection,કોતરણી
Angular dispersion,કોમણ -ફેલાવો
Angular displacement,કોણીય વિસ્થાપન
Angular error,કોણીય ભૂલ
Angular frequency,કોણીય આવર્તન
Angular momentum,કોતરણી ગતિ
Angular motion,કોણીય ગતિ
Angular velocity,કોતરણી વેગ
Animation,પ્રસન્નતા
Anode,એનોડ
Anode battery,એનોડ બ batteryણ
Anode characteristic,એનોડ લાક્ષણિકતા
Anode circuit,એનોડ સર્કિટ
Anode dissipation,એનોડ વિઘટન
Anode efficiency,એનોડ કાર્યક્ષમતા
Anode input power,એનોડ ઇનપુટ પાવર
Anode modulation,એનોડ મોડ્યુલેશન
Antenna,એન્ટેના
Antenna beamwidth,એન્ટેના બીમવિડ્થ
Antenna booster,એન્ટેના
Antenna changeover switch,એન્ટેના ચેન્જઓવર સ્વીચ
Antenna coil,કોઇ
Antenna configuration,એન્ટેના રૂપરેખાંકન
Antenna coupler,એન્ટેના કપડા
Antenna cross polar pattern,એન્ટેના ક્રોસ ધ્રુવીય પદ્ધતિ
Antenna current,એન્ટેના પ્રવાહ
Antenna directivity gain,એન્ટેના નિર્દેશન લાભ
Antenna duplexer,એન્ટેના ડુપ્લેક્સર
Antenna effective area,એન્ટેના અસરકારક ક્ષેત્ર
Antenna efficiency,વૈશ્વિક કાર્યક્ષમતા
Antenna feed,એન્ટેના ફીડ
Antenna foot print,એન્ટેના પગની છાપ
Antenna gain,એન્ટેના લાભ
Antenna height,એન્ટેના height ંચાઇ
Antenna impedance,એન્ટેના અવરોધ
Antenna inductance,એન્ટેના
Antenna pattern,એન્ટેનાનો દાખલો
Antenna plexer,એન્ટેના નાવિક
Antenna polarization,એન્ટેના ધ્રુવીકરણ
Antenna power,એન્ટેના શક્તિ
Antenna power gain,એન્ટેના વીજળી લાભ
Antenna radiation resistance,એન્ટેના રેડિયેશન પ્રતિકાર
Antenna reactance,એન્ટેના પ્રતિક્રિયા
Antenna reflector,એન્ટેના પરાવર્તક
Antenna resistance,એન્ટેના પ્રતિકાર
Antenna resonant frequency,એન્ટેના પડઘો આવર્તન
Antenna spacing,એન્ટેના અંતર
Antenna switching room,એન્ટેના સ્વિચિંગ રૂમ
Antenna tuning coil,એન્ટેના ટ્યુનિંગ કોઇલ
Antenna tuning hut,એન્ટેના ટ્યુનિંગ ઝૂંપડી
Aperture,છિદ્ર
Apogee,પ્રાણઘાતક
Apogee rocket,અજેતા રોકેટ
Apparatus,ઉપકરણ
Apparent,સ્પષ્ટ
Applet,સાદડી
Application,નિયમ
Approximate,આશરે
Aquous solution,જળસ
Arc,ચાપ
Architecture,સ્થાપત્ય
Archival transfer of sound recording,ધ્વનિ રેકોર્ડિંગનું આર્કાઇવલ ટ્રાન્સફર
Archives,દફ્તર
Arithmetic coding,અંકગણિત કોડિંગ
Armature,હાથ
Armature winding,આર્મચર વિન્ડિંગ
Array,કળ
Arrester,કરચલો
Articulation,સ્પષ્ટીકરણ
Artifact (=artefact),આર્ટિફેક્ટ (= આર્ટિફેક્ટ)
Ascending,ચડતું
Aspect ratio,પાસા ગુણોત્તર
Assembler,ભેગા કરનાર
Assertion,નિશ્ચય
Assignment,સોંપણી
Assignment channel,નાબૂદ
Asymmetrical,અસમપ્રમાણ
Asynchronous,અસુમેળવાળું
Atmosphere,વાતાવરણ
Atmospheric loss,વાતાવરણીય નુકસાન
Atmospheric noise,વાતાવરણીય અવાજ
Atmospheric pressure,વાતાવરણ નુ દબાણ
Atmospheric propagation,વાતાવરણીય પ્રચાર
Atmospheric radio-wave,વાતાવરણીય તરંગ
Atmospherics,વાતાવરણીય
Atom,અણુ
Atomic structure,અણુનું માળખું
Attachment,જોડાણ
Attenuation,વ્યવહાલ
Attenuation loss,અંતરચળી
Attenuation of sound waves,ધ્વનિ તરંગો
Attenuator,હલકાઈ કરનાર
Attenuator-pad,વિકેન્દ્ર
Audibility threshold,શ્રદ્ધાળુ થ્રેશોલ્ડ
Audible,શ્રાવ્ય
Audible frequency,શ્રાવ્ય આવર્તન
Audible tone,શિરદર્શક સ્વર
Audible-spectrum,શિરદર્શક
Audience,શ્રોતા
Audio,Audડિસ
Audio amplifier,Audio ડિઓ એમ્પ્લીફાયર
Audio analyzer,Audio ડિઓ વિશ્લેષક
Audio broadcasting,Audio ડિઓ બ્રોડકાસ્ટિંગ
Audio cable,Audષધિસનું aution ડિઓબલ
Audio chain,શાસ્ત્ર
Audio codec,કડકા
Audio compression,Audતુ)
Audio compressor,કોમ્પ્રેસર
Audio console,Audio ડિઓ કન્સોલ
Audio distortion,Audio ડિઓની વિકૃતિ
Audio dynamic range,Dynamડિસ
Audio file format,Audio ડિઓ ફાઇલ ફોર્મેટ
Audio frame format,Audio ડિઓ ફ્રેમ ફોર્મેટ
Audio frequency amplifier,Audio ડિઓ આવર્તન એમ્પ્લીફાયર
Audio frequency generator,Audio ડિઓ આવર્તન જનરેટર
