Punjabi,Tamil
ਵੈਸਟਮਿੰਸਟਰ ਦੇ ਅਬੇ,வெஸ்ட்மின்ஸ்டர் அபே
ਨਿਮਰਤਾ,துறவு
ਗੁਲਾਮੀ ਦਾ ਖਾਤਮਾ,அடிமைத்தனத்தை ஒழித்தல்
ਆਦਿਵਾਸੀ,பழங்குடியினர்
ਅਬਰਾਹਮ ਯੁੱਗ,ஆபிரகாம் சகாப்தம்
ਗੈਰਹਾਜ਼ਰ ਮਕਾਨ ਮਾਲਕ,இல்லாத நில உரிமையாளர்கள்
ਅਕੈਡਮੀ,கலைக்கூடம்
ਅਕਰਾ ਕਾਨਫਰੰਸ,அக்ரா மாநாடு
ਪ੍ਰਾਪਤੀ,திரட்டல்கள்
ਐਕਲਚਰੇਸ਼ਨ,வளர்ப்பு
ਐਸੇਲਡਾਮਾ,அசெல்டாமா
ਅਚੀਅਨ (=ਅਚੀਅਨ),அச்சேயன் (=ஆச்சியன்)
ਅਚੀਅਨ ਲੀਗ (=ਅਚੀਅਨ ਲੀਗ),அச்சேயன் லீக் (=ஆச்சியன் லீக்)
ਐਕ੍ਰੋਪੋਲਿਸ,அக்ரோபோலிஸ்
ਐਕਟਾ ਦਿਉਰਨਾ,ஆக்டா டைர்னா
ਐਕਟਾ ਸੇਨੇਟਸ,ஆக்டா செனடஸ்
ਐਕਟ ਐਡੀਸ਼ਨਲ,Acte Additionel
ਕਿਰਿਆਸ਼ੀਲ ਰਿਕਾਰਡ (=ਮੌਜੂਦਾ ਰਿਕਾਰਡ),செயலில் உள்ள பதிவு (=தற்போதைய பதிவு)
ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲੇ ਦਾ ਕੰਮ,அடையும் செயல்
ਮੁਆਵਜ਼ੇ ਅਤੇ ਭੁੱਲ ਦਾ ਕੰਮ,இழப்பீடு மற்றும் மறதியின் செயல்
ਸੈਟਲਮੈਂਟ ਦਾ ਐਕਟ,தீர்வு சட்டம்
ਵਿਗਿਆਪਨ ਇਕਰਾਰਨਾਮੇ ਦੀ ਮੋਹਰ,விளம்பர ஒப்பந்த முத்திரை
