Odiya,Kannada
ଆବିୟୋଟିକ୍ ପ୍ରଜନନ |,ಅಜೀವಕ ಸಂತಾನೋತ್ಪತ್ತಿ
ପରମାନନ୍ଦ,ಅಧಿಸಾಮಾನ್ಯ
1. ଚତୁର୍ଥ ପେଟ 2. ଇଭୋମାସୋମ୍ |,1. ನಾಲ್ಕನೇ ಹೊಟ್ಟೆ 2. ಎವೋಮಾಸೋಮ್
ଷ୍ଟୋମାଟାଲ୍ ବୃଦ୍ଧି ଅଙ୍ଗ |,ಸ್ಟೊಮಾಟಲ್ ಬೆಳವಣಿಗೆಯ ಅಂಗ
ଷ୍ଟଣ୍ଟେଡ୍ ଅଭିବୃଦ୍ଧି ମଞ୍ଜି |,ಕುಂಠಿತ ಬೆಳವಣಿಗೆ ಬೀಜ
1. ଗର୍ଭପାତ 2. ଗର୍ଭଧାରଣ 3. ଅଭିବୃଦ୍ଧି ପ୍ରତିରୋଧ |,1. ಗರ್ಭಪಾತ 2. ಗರ್ಭಪಾತ 3. ಬೆಳವಣಿಗೆಯ ಪ್ರತಿರೋಧ
1. ଅବାଞ୍ଛିତ ତୃଣକ 2. ସଂପୂର୍ଣ୍ଣ ତୃଣକ |,1. ಅನಗತ್ಯ ಕಳೆಗಳು 2. ಸಂಪೂರ್ಣ ಕಳೆಗಳು
ଅବଶୋଷିତ କ୍ୟାସନ୍ |,ಹೀರಿಕೊಳ್ಳಲ್ಪಟ್ಟ ಕ್ಯಾಷನ್
ଅବଶୋଷଣ,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
ଅବିଶ୍ୱାସୀ ସୋରିଷ |,ಅಬಿಸ್ಸಿನಿಯನ್ ಸಾಸಿವೆ
1. ଆକାରିସାଇଡ୍ |,1. ಅಕಾರಿಸೈಡ್
ସେଣ୍ଟ୍ରିପେଟାଲ୍ |,ಕೇಂದ್ರಾಭಿಮುಖ
ବୃଦ୍ଧି (କକ୍ଷ),ವರ್ಧನೆ (ಕೋಶ)
ଅନୁମୋଦିତ ସହନଶୀଳତା |,ಸಹಿಷ್ಣುತೆಯನ್ನು ಅನುಮೋದಿಸಲಾಗಿದೆ
1. ଅତିରିକ୍ତ 2.accessory 3.accessory,1.ಹೆಚ್ಚುವರಿ 2.ಪರಿಕರ 3.ಪರಿಕರ
ଆଡାପ୍ଟେସନ୍,ರೂಪಾಂತರ
ଜମା,ಶೇಖರಣೆ
1. ସଠିକତା 2. ସଠିକତା |,1.ವಾಕ್ಯುರಸಿ 2. ನಿಖರತೆ
1. ଆକର୍ଭୁଲସ୍ 2. ସ୍ପୋରୋଫାଇଟ୍ |,1. ಅಸೆರ್ವುಲಸ್ 2. ಸ್ಪೊರೊಫೈಟ್
1. ଏସିଟାଇଜେସନ୍ 2. ଭିନେଗାର ତିଆରି କରିବା 3. ଆସେଟିଲିନ୍ |,1. ಅಸಿಟೈಸೇಶನ್ 2. ವಿನೆಗರ್ ತಯಾರಿಸುವುದು 3. ಅಸಿಟಿಲಿನ್
1. ଅମ୍ଳକରଣ 2. ଅମ୍ଳକରଣ |,1. ಆಮ್ಲೀಕರಣ 2. ಆಮ್ಲೀಕರಣ
1. ଏସିଡୋମିଟର 2. ଏସିଡିମିଟର |,1. ಆಸಿಡೋಮೀಟರ್ 2. ಆಸಿಡಿಮೀಟರ್
ଅମ୍ଳତା |,ಆಮ್ಲೀಯತೆ
ଏସିଡୋଫାଇଲ୍ |,ಅಸಿಡೋಫೈಲ್
ଅମ୍ଳଯୁକ୍ତ ପଥର ଫସଫେଟ୍ |,ಆಮ್ಲೀಕೃತ ರಾಕ್ ಫಾಸ್ಫೇಟ್
ଅମ୍ଳଯୁକ୍ତ |,ಆಮ್ಲೀಕೃತ
ଜଳଜଳ,ಜಲಚರ
ଅଧିଗ୍ରହଣ,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವಿಕೆ
ଏକର,ಎಕರೆ
1. କ୍ଷେତ୍ର 2. କ୍ଷେତ୍ର,1. ಪ್ರದೇಶ 2. ಪ್ರದೇಶ
ଶେଷ ପଏଣ୍ଟ କ୍ରୋମୋଜୋମ୍ |,ಎಂಡ್ ಪಾಯಿಂಟ್ ಕ್ರೋಮೋಸೋಮ್
ଆଗକୁ ଦେଖିବା,ಮುಂದೆ ನೋಡುವ
ଆକ୍ରୋସୋମ୍ |,ಅಕ್ರೋಸೋಮ್
ଆକ୍ଟିନୋମାଇସେଟ୍ସ |,ಆಕ್ಟಿನೊಮೈಸೆಟ್ಸ್
ସକ୍ରିୟ କୋର୍ |,ಸಕ್ರಿಯ ಕೋರ್
1. କ୍ରୋଧିତ 2. ତୀବ୍ର,1. ಉಗ್ರ 2. ತೀವ್ರ
ଅନୁକୂଳତା,ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ
କଷ୍ଟମାଇଜେସନ୍,ಗ್ರಾಹಕೀಕರಣ
1. ଆଡେସିନ୍ 2. ଆଡେସିନ୍ |,1. ಅಂಟಿಕೊಳ್ಳುವಿಕೆ 2. ಅಂಟಿಕೊಳ್ಳುವಿಕೆ
sebaceous,ಮೇದಸ್ಸಿನ
ଆଡଜଷ୍ଟେସନ୍ ସମୀକରଣ,ಹೊಂದಾಣಿಕೆ ಸಮೀಕರಣ
ଆଡୋବ ମାଟି |,ಅಡೋಬ್ ಮಣ್ಣು
ବ୍ୟଭିଚାର,ಕಲಬೆರಕೆ
ଏକ୍ଟୋପିକ୍,ಅಪಸ್ಥಾನೀಯ
Isidiospore Isidium Spore |,ಇಸಿಡಿಯೋಸ್ಪೋರ್ ಐಸಿಡಿಯಮ್ ಸ್ಪೋರ್
ଏରୋଡାଇନାମିକ୍ ପ୍ରକ୍ରିୟା |,ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಪ್ರಕ್ರಿಯೆ
ଭେଣ୍ଟ୍ରାଲ୍ |,ಕುಹರದ
ବିମାନକୁ,ಗಾಳಿ ಹಾಕಲು
1. ବାୟୁ 2. ଆକାଶୀ |,1. ಗಾಳಿ 2. ಆಕಾಶಿ
1. ଏରୋମିଟର 2. ଏରୋମିଟର 3. ଏରୋମିଟର |,1. ಏರೋಮೀಟರ್ 2. ಏರೋಮೀಟರ್ 3. ಏರೋಮೀಟರ್
ଏରୋସୋଲ୍ |,ಏರೋಸಾಲ್
1. ପୁଷ୍ପମାଲ୍ୟ 2. ଗ୍ରୀଷ୍ମ ଶୋଇବା |,1. ಹೂಗೊಂಚಲು 2. ಬೇಸಿಗೆ ಸುಪ್ತ
ରୋଗ ବିଜ୍ଞାନ,ರೋಗದ ವಿಜ್ಞಾನ
ବୃକ୍ଷରୋପଣ,ಅರಣ್ಯೀಕರಣ
1. ଉତ୍ତେଜନା 2. ଅଶାନ୍ତିରତା |,1. ತಳಮಳ 2. ಪ್ರಕ್ಷುಬ್ಧತೆ
ଆଗମାର୍କ |,ಅಗ್ಮಾರ್ಕ್
1. ଜମି ସମ୍ବନ୍ଧୀୟ 2. କୃଷି,1. ಭೂಮಿಗೆ ಸಂಬಂಧಿಸಿದ 2. ಕೃಷಿ
କୃଷି ଚିକିତ୍ସାଳୟ,ಕೃಷಿ ಕ್ಲಿನಿಕ್
