Marathi,Hindi
A B वर्ग अॅम्प्लीफायर,ए बी वर्ग प्रवर्धक
विकृती,"विपथन, अपेरण"
असामान्य प्रसार,असामान्य संचरण
"जोडलेले, सहसा, खड्डे पडलेले, विच्छेदन केलेले, फ्रॅक्चर केलेले","असंलग्न, सहसा, खड़आ, विच्छिन्न, खंडित"
गहाळ स्पेक्ट्रम,लुप्त स्पेक्ट्रम
"निरपेक्ष, निरपेक्ष, स्थिर, परिपूर्ण","निरपेक्ष, परम, अचर, परिशुद्ध"
परिपूर्ण आर्द्रता,निरपेक्ष आर्द्रता
परिपूर्ण गती,निरपेक्ष गति
परिपूर्ण निरीक्षण,निरपेक्ष प्रेक्षण
परिपूर्ण तापमान,परम ताप
पूर्ण शून्य,परम शून्य
शोषून घेणे,अवशोषण करना
"शोषक, शोषक","अवशोषक, अवशोषी"
शोषण क्षमता,अवशोषण सामर्थ्य
शोषण,अवशोषणांश
शोषक,अवशोषी
शोषकता,अवशोषकता
गुणोत्तर गुणोत्तर,बाहुल्य अनुपात
गती वाढवणे,त्वरित करना
घाई केली,त्वरित
प्रवेग,त्वरण
गुरुत्वाकर्षणाचा प्रवेग,गुरुत्व त्वरण
प्रवेगक,त्वरक
प्रवेगक,"त्वरित्र, त्वरक"
प्रवेगमापक,त्वरणमापी
prestresser,प्राक्प्रबलक
स्वीकार्य चाचणी,स्वीकारी परीक्षण
स्वीकारणारा,"ग्राही, स्वीकारी"
दाता रेणू,आदाता अणु
"प्रवेश, प्रतीक्षा, प्रवेशयोग्यता","अभिगम, प्रतीक्षा, अभिगम्यता"
प्रवेशयोग्यता,अभिगम्यता
"सुटे, ऍक्सेसरी, ऍक्सेसरी (v.), ऍक्सेसरी (सं.)","अतिरिक्त, सहायक, गौण (वि.), उपसाधन (सं.)"
प्रवेश वेळ,अभिगम काल
अभ्यागत त्रुटी,आगन्तुक त्रुटि
समायोजन,समंजन
जमा,संचित
"जमा करणे, जमा करणे","संचय, संचयन"
संचयक,संचायक
अचूकता,यथार्थता
वास्तव,यथार्थ
अॅक्रोमॅटिक लेन्स,अवर्णक लेन्स
अक्रोमॅटिक,अवर्णक
अक्रोमॅटिकता,अवर्णकता
ध्वनिक,ध्वानिक
ध्वनीरोधक,ध्वनिरुद्ध
ध्वनिक फोनन,ध्वानिक फ़ओनॉन
ध्वनी युनिट,ध्वनि-मात्रक
ध्वनिक,ध्वानिक
ध्वनी जनरेटर,ध्वनि जनित्र
क्रिया आणि प्रतिक्रिया,क्रिया और प्रतिक्रिया
सक्रियकरण,सक्रियण
सक्रियता ऊर्जा,सक्रियण उर्जा
"सक्रिय करणारा, सक्रिय करणारा","सक्रियकारक, सक्रियक"
सक्रिय,सक्रिय
सक्रियता,सक्रियता
वास्तविक ताण,वास्तविक प्रतिबल
कुजबुजणे,क्षिप्र उद्भासन
बेरीज करणे,"योग करना, जोड़ना"
