English,Hindi,Gujarati,Marathi,Punjabi,Bengali,Konkani,Kannada,Malayalam,Tamil,Telugu,Urdu,Assamese,Odiya,Nepali
Absolute pitch,निरपेक्ष तारता,નિરપેક્ષ તારતા,निरपेक्ष तारता,ਨਿਰਪੇਕ੍਷ ਤਾਰਤਾ,নিরপেক্ষ তারতা,निरपेक्ष तारता,ನಿರಪೇಕ್ಷ ತಾರತಾ,നിരപേക്ഷ താരതാ,நிரபேக்ஷ தாரதா,నిరపేక్ష తారతా,نرپیکش تارتا,নিরপক্ষ তারতা,ନିରପେକ୍ଷ ତାରତା,निरपेक्ष तारता
Accelerando,लयवर्धन (निर्देश),લયવર્ધન (નિર્દેશ),लयवर्धन (निर्देश),ਲਯਵਰ੍ਧਨ (ਨਿਰ੍ਦੇਸ਼),লযবর্ধন (নির্দেশ),लयवर्धन (निर्देश),ಲಯವರ್ಧನ (ನಿರ್ದೇಶ),ലയവര്ധന (നിര്ദേശ),லயவர்தந (நிர்தேச),లయవర్ధన (నిర్దేశ),لیوردھن (نردیش),লযর্ধন (নির্দশ),ଲଯବର୍ଧନ (ନିର୍ଦେଶ),लयवर्धन (निर्देश)
Accent,आघात,આઘાત,आघात,ਉਚਾਰਣ ਉੱਤੇ ਜੋਰ,আঘাত,आघात,ಆಘಾತ,ആഘാത,ஆகாத,ఆఘాత,آگھات,আঘাত,ଆଘାତ,आघात
Accidental,आकस्मिक,આકસ્મિક,आकस्मिक,"ਇਤਫਾਕੀਆ, ਰੱਬ ਸਬੱਬੀ",আকস্মিক,आकस्मिक,ಆಕಸ್ಮಿಕ,ആകസ്മിക,ஆகஸ்மிக,ఆకస్మిక,اتفاقیہ,আকস্মিক,ଆକସ୍ମିକ,आकस्मिक
Accompaniment,"संगत, संगति","સંગત, સંગતિ","संगत, संगति","ਸਂਗਤ, ਸਂਗਤਿ","সংগত, সংগতি","संगत, संगति","ಸಂಗತ, ಸಂಗತಿ",അകമ്പടി,"ஸங்கத, ஸங்கதி","సంగత, సంగతి",سنگت، سنگتی,"সংগত, সংগতি","ସଂଗତ, ସଂଗତି","संगत, संगति"
Adagio,"अदाजिओ, विलंबित","અદાજિઓ, વિલંબિત","अदाजिओ, विलंबित","ਅਦਾਜਿਓ, ਵਿਲਂਬਿਤ","অদাজিও, বিলংবিত","अदाजिओ, विलंबित","ಅದಾಜಿಓ, ವಿಲಂಬಿತ","അദാജിഓ, വിലംബിത","அதாஜிஓ, விலங்பித","అదాజిఓ, విలంబిత",اداجیو، ولمبت,"অদাজি, িলংবিত","ଅଦାଜିଓ, ବିଲଂବିତ","अदाजिओ, विलंबित"
Ad libitum (ad lib),यथेच्छ,યથેચ્છ,यथेच्छ,ਯਥੇਚ੍ਛ,যথেচ্ছ,यथेच्छ,ಯಥೇಚ್ಛ,യഥേച്ഛ,யதேச்ச,యథేచ్ఛ,یتھیچھ,যথচ্ছ,ଯଥେଚ୍ଛ,यथेच्छ
Aeolian harp,एओलिअन हार्प,એઓલિઅન હાર્પ,एओलिअन हार्प,ਏਓਲਿਅਨ ਹਾਰ੍ਪ,এলিঅন হার্প,एओलिअन हार्प,ಏಓಲಿಅನ ಹಾರ್ಪ,ഏഓലിഅന ഹാര്പ,ஏஓலிஅந ஹார்ப,ఏఓలిఅన హార్ప,ایولین ہارپ,লিঅন হার্প,ଏଓଲିଅନ ହାର୍ପ,एओलिअन हार्प
Affettuoso,"एफ़ेतुओसी, सुकुमार","એફ઼ેતુઓસી, સુકુમાર","एफ़ेतुओसी, सुकुमार","ਏਫ਼ੇਤੁਓਸੀ, ਸੁਕੁਮਾਰ","এফ়েতুওসী, সুকুমার","एफ़ेतुओसी, सुकुमार","ಏೞೇತುಓಸೀ, ಸುಕುಮಾರ","ഏഫേതുഓസീ, സുകുമാര","ஏபேதுஓஸீ, ஸுகுமார","ఏఫేతుఓసీ, సుకుమార",ایفیتؤسی، سکمار,"ফ়তুসী, সুকুমার","ଏଫ଼େତୁଓସୀ, ସୁକୁମାର","एफ़ेतुओसी, सुकुमार"
Affrettando,त्वरण (निर्देश),ત્વરણ (નિર્દેશ),त्वरण (निर्देश),ਤ੍ਵਰਣ (ਨਿਰ੍ਦੇਸ਼),ত্বরণ (নির্দেশ),त्वरण (निर्देश),ತ್ವರಣ (ನಿರ್ದೇಶ),ത്വരണ (നിര്ദേശ),த்வரண (நிர்தேச),త్వరణ (నిర్దేశ),تورن (نردیش),ত্রণ (নির্দশ),ତ୍ବରଣ (ନିର୍ଦେଶ),त्वरण (निर्देश)
Agitato,उत्तेजन,ઉત્તેજન,उत्तेजन,ਉਤ੍ਤੇਜਨ,উত্তেজন,उत्तेजन,ಉತ್ತೇಜನ,ഉത്തേജന,உத்தேஜந,ఉత్తేజన,اتیجن,উত্তজন,ଉତ୍ତେଜନ,उत्तेजन
"Agogic accent
 (=dynamic accent)",कालाघात,કાલાઘાત,कालाघात,ਕਾਲਾਘਾਤ,কালাঘাত,कालाघात,ಕಾಲಾಘಾತ,കാലാഘാത,காலாகாத,కాలాఘాత,کالاگھات,কালাঘাত,କାଲାଘାତ,कालाघात
Air,धुन,ધુન,धुन,"ਹਵਾ,ਸੁਰ,ਵਰਤਾਉ,ਹਵਾ ਵਿਚ ਰੱਖਣਾ",ধুন,धुन,"ವಾಯು, ಗಾಳಿ",വായു,துந,ధున,ہوا,ধুন,ଧୁନ,धुन
Allargando,लयमंदन (निर्देश),લયમંદન (નિર્દેશ),लयमंदन (निर्देश),ਲਯਮਂਦਨ (ਨਿਰ੍ਦੇਸ਼),লযমংদন (নির্দেশ),लयमंदन (निर्देश),ಲಯಮಂದನ (ನಿರ್ದೇಶ),ലയമംദന (നിര്ദേശ),லயமங்தந (நிர்தேச),లయమందన (నిర్దేశ),لیمندن (نردیش),লযমংদন (নির্দশ),ଲଯମଂଦନ (ନିର୍ଦେଶ),लयमंदन (निर्देश)
Allegro,मध्यद्रुत,મધ્યદ્રુત,मध्यद्रुत,ਮਧ੍ਯਦ੍ਰੁਤ,মধ্যদ্রুত,मध्यद्रुत,ಮಧ್ಯದ್ರುತ,മധ്യദ്രുത,மத்யத்ருத,మధ్యద్రుత,مدھیدرت,মধ্যদ্রুত,ମଧ୍ଯଦ୍ରୁତ,मध्यद्रुत
Al rovescio,प्रतिलोमीकरण,પ્રતિલોમીકરણ,प्रतिलोमीकरण,ਪ੍ਰਤਿਲੋਮੀਕਰਣ,প্রতিলোমীকরণ,प्रतिलोमीकरण,ಪ್ರತಿಲೋಮೀಕರಣ,പ്രതിലോമീകരണ,ப்ரதிலோமீகரண,ప్రతిలోమీకరణ,پرتلومیکرن,প্রতিলমীকরণ,ପ୍ରତିଲୋମୀକରଣ,प्रतिलोमीकरण
Al segno,देo segno,દેo segno,देo segno,ਦੇo segno,দo segno,देo segno,ದೇo segno,ദേo segno,தேo segno,దేo segno,دیکھو segno,দo segno,ଦେo segno,देo segno
Alto,स्त्रीमंद्रक,સ્ત્રીમંદ્રક,स्त्रीमंद्रक,ਸ੍ਤ੍ਰੀਮਂਦ੍ਰਕ,স্ত্রীমংদ্রক,स्त्रीमंद्रक,ಸ್ತ್ರೀಮಂದ್ರಕ,സ്ത്രീമംദ്രക,ஸ்த்ரீமங்த்ரக,స్త్రీమంద్రక,ستریمندرک,স্ত্রীমংদ্রক,ସ୍ତ୍ରୀମଂଦ୍ରକ,स्त्रीमंद्रक
Andante,मध्य विलंबित,મધ્ય વિલંબિત,मध्य विलंबित,ਮਧ੍ਯ ਵਿਲਂਬਿਤ,মধ্য বিলংবিত,मध्य विलंबित,ಮಧ್ಯ ವಿಲಂಬಿತ,മധ്യ വിലംബിത,மத்ய விலங்பித,మధ్య విలంబిత,مدھیہ ولمبت,মধ্য িলংবিত,ମଧ୍ଯ ବିଲଂବିତ,मध्य विलंबित
Anglican chant,आंग्ल गिरजा गीत,આંગ્લ ગિરજા ગીત,आंग्ल गिरजा गीत,ਆਂਗ੍ਲ ਗਿਰਜਾ ਗੀਤ,আংগ্ল গিরজা গীত,आंग्ल गिरजा गीत,ಆಂಗ್ಲ ಗಿರಜಾ ಗೀತ,ആംഗ്ല ഗിരജാ ഗീത,ஆங்க்ல கிரஜா கீத,ఆంగ్ల గిరజా గీత,آنگل گرجا گیت,আংগ্ল গিরজা গীত,ଆଂଗ୍ଲ ଗିରଜା ଗୀତ,आंग्ल गिरजा गीत
Animato,"ऊर्जस्वित, जोशीला","ઊર્જસ્વિત, જોશીલા","ऊर्जस्वित, जोशीला","ਊਰ੍ਜਸ੍ਵਿਤ, ਜੋਸ਼ੀਲਾ","ঊর্জস্বিত, জোশীলা","ऊर्जस्वित, जोशीला","ಊರ್ಜಸ್ವಿತ, ಜೋಶೀಲಾ","ഊര്ജസ്വിത, ജോശീലാ","ஊர்ஜஸ்வித, ஜோசீலா","ఊర్జస్విత, జోశీలా",اورجسوت، جوشیلا,"ঊর্জস্িত, জশীলা","ଊର୍ଜସ୍ବିତ, ଜୋଶୀଲା","ऊर्जस्वित, जोशीला"
Answer,जवाब,જવાબ,जवाब,"ਜਵਾਬ, ਉੱਤਰ",জবাব,जवाब,ಜವಾಬ,ഉത്തരം,ஜவாப,జవాబ,جواب,জাব,ଜବାବ,जवाब
Anthem,वन्दना,વન્દના,वन्दना,ਭਜਨ,বন্দনা,वन्दना,ವನ್ದನಾ,വന്ദനാ,வந்தநா,వన్దనా,وندنا,ন্দনা,ବନ୍ଦନା,वन्दना
Anticipation,प्रत्याशा,"ધારણા, અપેક્ષા","प्रत्याशा, अपेक्षा","ਪੂਰਵਾਨੁਮਾਨ, ਪੂਰਵ ਆਸ਼","পূর্বানুমান,পূর্বজ্ঞান,প্রত্যাশা",1. अदमास 2. पुर्वानुमान,ನಿರೀಕ್ಷೆ,"പ്രത്യാശ, പൂര്‍വജ്ഞാനം",எதிர்பார்த்தல்,"ఆశాభావం,ముందుగా ఊహించేది",متوقع ۔ پیش بندی,1.প্রত্যাশা 2. পূর্বানুমান,ପ୍ରତ୍ୟାଶା,"पूर्वानुमान, लख, अड़कल"
Antiphon,"प्रतिगान, एंटिफ़ोन","પ્રતિગાન, એંટિફ઼ોન","प्रतिगान, एंटिफ़ोन","ਪ੍ਰਤਿਗਾਨ, ਏਂਟਿਫ਼ੋਨ","প্রতিগান, এংটিফ়োন","प्रतिगान, एंटिफ़ोन","ಪ್ರತಿಗಾನ, ಏಂಟಿೞೋನ","പ്രതിഗാന, ഏംടിഫോന","ப்ரதிகாந, ஏங்டிபோந","ప్రతిగాన, ఏంటిఫోన",پرتگان، اینٹفون,"প্রতিগান, ংটিফ়ন","ପ୍ରତିଗାନ, ଏଂଟିଫ଼ୋନ","प्रतिगान, एंटिफ़ोन"
Arco,गज से (निर्देश),ગજ સે (નિર્દેશ),गज से (निर्देश),ਗਜ ਸੇ (ਨਿਰ੍ਦੇਸ਼),গজ সে (নির্দেশ),गज से (निर्देश),ಗಜ ಸೇ (ನಿರ್ದೇಶ),ഗജ സേ (നിര്ദേശ),கஜ ஸே (நிர்தேச),గజ సే (నిర్దేశ),گج سے (نردیش),গজ স (নির্দশ),ଗଜ ସେ (ନିର୍ଦେଶ),गज से (निर्देश)
Aria,आरिया,આરિયા,आरिया,ਆਰਿਯਾ,আরিযা,आरिया,ಆರಿಯಾ,ആരിയാ,ஆரியா,ఆరియా,عاریا,আরিযা,ଆରିଯା,आरिया
Arietta,आरियेटा,આરિયેટા,आरियेटा,ਆਰਿਯੇਟਾ,আরিযেটা,आरियेटा,ಆರಿಯೇಟಾ,ആരിയേടാ,ஆரியேடா,ఆరియేటా,آرییٹا,আরিযটা,ଆରିଯେଟା,आरियेटा
