Marathi,Malayalam
असामान्य,വിലക്ഷണമായ
गर्भपात,ഉപേക്ഷിക്കുക
घर्षण,വധനം
अचानक,ആകസ്മികമായ
परिपूर्ण फील्ड सामर्थ्य,കേവല ഫീൽഡ് ശക്തി
परिपूर्ण तापमान,കേവല താപനില
परिपूर्ण मूल्य,യഥാർത്ഥ മൂല്യം
शोषून घ्या,ഉള്ക്കൊള്ളുക
शोषण सह-कार्यक्षम,ആഗിരണം കോ-കാര്യക്ഷമമാണ്
शोषण तोटा,ആഗിരണം നഷ്ടം
गोषवारा,വേര്പെട്ടുനില്ക്കുന്ന
एक्सेलरोमीटर,ആക്സിലറോമീറ്റർ
स्वीकृती चाचणी,സ്വീകാര്യത പരിശോധന
प्रवेश,പ്രവേശനം
प्रवेश नियंत्रण,പ്രവേശന നിയന്ത്രണം
प्रवेश बिंदू,പ്രവേശന പോയിന്റ്
प्रवेश वेळ,ആക്സസ് സമയം
प्रवेशयोग्यता,പ്രവേശനക്ഷമത
संचयक सेल,സഞ്ചിത സെൽ
अचूकता,കൃതത
अचूक,സൂക്ഷ്മമായ
अ‍ॅक्रोमॅटिक लेन्स,അച്രോമാറ്റിക് ലെൻസ്
आम्ल,പുളിപ്പുള്ള
आम्ल पुरावा,ആസിഡ് തെളിവ്
आंबटपणा,അസിഡിറ്റി
पावती बिट,അംഗീകാര ബിറ്റ്
ध्वनिक,അക്കോസ്റ്റിക്
ध्वनिक संप्रेषण,അക്കോസ്റ്റിക് ആശയവിനിമയം
ध्वनिक प्रसार,അക്കോസ്റ്റിക് ഡിഫ്യൂഷൻ
ध्वनिक समतुल्य,അക്കോസ്റ്റിക് ഇക്വൈസർ
ध्वनिक अभिप्राय,അക്കോസ്റ്റിക് ഫീഡ്ബാക്ക്
ध्वनिक फिल्टर,അക്ക ou സ്റ്റിക് ഫിൽട്ടർ
ध्वनिक प्रतिबाधा,അക്കോസ്റ്റിക് ഇംപാസ്
ध्वनिक मास्किंग,അക്കോസ്റ്റിക് മാസ്കിംഗ്
ध्वनिक शक्ती,അക്കോസ്റ്റിക് പവർ
ध्वनिक मालमत्ता,അക്കോസ്റ്റിക് പ്രോപ്പർട്ടി
ध्वनिक प्रतिक्रिया,അക്കോട്ടിക് റിയാൻസ്
ध्वनिक प्रतिक्षेप,അക്ക ou സ്റ്റിക് റിഫ്ലെക്സ്
ध्वनिक टाइल,അക്കോസ്റ്റിക് ടൈൽ
ध्वनिक लाट,അക്ക ou സ്റ്റിക് തരംഗം
ध्वनिक शोषण,ശബ്ദ ആഗിരണം
ध्वनीविषयक क्षीणन स्थिर,അക്കോസ്റ്റിക്കൽ അറ്റൻയൂട്ടിന്റെ സ്ഥിരാങ്കം
ध्वनिकी ओलसर,അക്കോസ്റ്റിക്കൽ നനവ്
ध्वनिक विलंब रेखा,അക്കോസ്റ്റിക്കൽ കാലതാമസം
ध्वनिक विकृती,അക്കോസ്റ്റിക്കൽ വക്രമാനം
ध्वनिक नलिका,അക്കോസ്റ്റിക്കൽ നാളം
ध्वनिक ऊर्जा,അക്കോസ്റ്റിക്കൽ എനർജി
ध्वनिक अभिप्राय,അക്കോസ്റ്റിക്കൽ ഫീഡ്ബാക്ക്
ध्वनिक फिल्टर,അക്കോസ്റ്റിക്കൽ ഫിൽട്ടർ
ध्वनीविषयक प्रतिबाधा,അക്കോസ്റ്റിക്കൽ ഇംപെഡൻസ്
ध्वनीविषयक प्रसार स्थिर,അക്കോസ്റ്റിക്കൽ പ്രചരണം സ്ഥിരാങ്കം
ध्वनिक प्रतिकार,അക്കോസ്റ്റിക്കൽ റെസിസ്റ്റൻസ്
ध्वनिकरित्या इन्सुलेटेड,ശബ്ദപരമായി ഇൻസുലേറ്റ്
ध्वनिकी,അക്കോസ്റ്റിക്സ്
संपादन,കൈവശപ്പെടുത്തൽ
परिवर्णी शब्द,സംക്ഷേപം
कृती क्षेत्र,പ്രവർത്തന മേഖല
सक्रिय फिलामेंट,സജീവമാക്കിയ ഫിലമെന്റ്
सक्रिय,സജീവമായ
सक्रिय क्षेत्र,സജീവ ഏരിയ
सक्रिय विंडो,സജീവ വിൻഡോ
अनुकूलता,പൊരുത്തപ്പെടലി
अ‍ॅडॉप्टर (अ‍ॅडॉप्टर),അഡാപ്റ്റർ (അഡാപ്റ്റർ)
अ‍ॅडॉप्टिव्ह डिफरेंशनल पल्स कोड मॉड्यूलेशन,അഡാപ്റ്റീവ് ഡിഫറൻഷ്യൽ പൾസ് കോഡ് മോഡുലേഷൻ
अॅड्रेस बुक,മേൽവിലാസ പുസ്തകം
अ‍ॅड्रेस बस,വിലാസ ബസ്
पत्ता ठराव,വിലാസ മിഴിവ്
लगतच चॅनेल हस्तक्षेप,തൊട്ടടുത്തുള്ള ചാനൽ ഇടപെടൽ
लगतच चॅनेल निवड,തൊട്ടടുത്തുള്ള ചാനൽ സെലക്ടീവി
समीप वारंवारता,അടുത്തുള്ള ആവൃത്തി
समीप फ्रिक्वेन्सी चॅनेल,തൊട്ടടുത്തുള്ള ഫ്രീക്വൻസി ചാനൽ
लगतचे चित्र वाहक,തൊട്ടടുത്തുള്ള ചിത്ര കാരിയർ
समीप ध्वनी वाहक,തൊട്ടടുത്തുള്ള ശബ്ദ കാരിയർ
समीप स्टेशन,അടുത്തുള്ള സ്റ്റേഷൻ
समायोज्य,കമീകരിക്കുന്ന
समायोज्य कंडेन्सर,ക്രമീകരിക്കാവുന്ന കണ്ടൻസർ
दबाव समायोजित करणे,സമ്മർദ്ദം ക്രമീകരിക്കുന്നു
पाना समायोजित करणे,റെഞ്ച് ക്രമീകരിക്കുന്നു
समायोजन,കമപ്പെടുത്തല്
प्रशासक,ഭരണാധിപന്
आधुनिक तंत्रज्ञान,നൂതന സാങ്കേതികവിദ്യ
हवाई,ഏരിയൽ
एरियल अ‍ॅरे,ഏരിയൽ അറേ
एरियल बूस्टर,ഏരിയൽ ബൂസ്റ്റർ
एरियल करंट,ഏരിയൽ കറന്റ്
एरियल अर्थिंग स्विच,എയറൽ ഇയർത്തിംഗ് സ്വിച്ച്
हवाई कार्यक्षमता,ഏരിയൽ കാര്യക്ഷമത
हवाई प्रतिबाधा,ഏരിയൽ ഇതര
एरियल इंडक्टन्स,ഏരിയൽ ഉൾപ്പെടുത്തൽ
एरियल इन्सुलेटर,ഏരിയൽ ഇൻസുലേറ്റർ
एरियल लोडिंग कॉइल,ഏരിയൽ ലോഡിംഗ് കോയിൽ
एरियल फोटोग्राफी,ഏരിയൽ ഫോട്ടോഗ്രഫി
हवाई शक्ती,ഏരിയൽ പവർ
एरियल रेडिएशन रीस्टन्स,ആകാശ വികിരണ ഏലിസ്റ്റൻസ്
हवाई प्रतिक्रिया,ഏരിയൽ റിപ്രീൻസ്
एरोडायनामिक्स,എയറോഡൈനാമിക്സ്
एजन्सी,നിര്വ്വഹണം
एअर कॉम्प्रेसर,എയർ കംപ്രസ്സർ
एअर कंडेन्सर,എയർ കണ്ടൻസർ
वातानुकूलित,വായു തണുപ്പിച്ചു
एअर कोर्ड कॉइल,എയർ കോർഡ് കോയിൽ
वातानुकुलीत,എയർ കണ്ടീഷനിംഗ്
अल्बेडो,ആൽബിഡോ
अल्गोरिदम,അൽഗോരിതം
अलियासिंग,അപരനാത്മകം
संरेखित,വിന്യസിക്കുന്നു
संरेखन,വിന്യാപകമായ
सर्व वेव्ह एरियल,എല്ലാ തരംഗ ഏരിയലും
वाटप,പങ്കുവയ്ക്കല്
वर्णमाला,അക്ഷരകമായ
अल्फान्यूमेरिक,ആൽഫാന്യൂമെറിക്
अल्फान्यूमेरिक वर्ण,ആൽഫാന്യൂമെറിക് പ്രതീകം
अल्फान्यूमेरिक माहिती,ആൽഫാന്യൂമെറിക് വിവരങ്ങൾ
वैकल्पिक चालू (ए.सी.),ഇതര കറന്റ് (A.C.)
वैकल्पिक,ഒന്നിടവിട്ടമ്മ
