Assamese,Punjabi
ৱেষ্টমিনিষ্টাৰৰ এবে,ਵੈਸਟਮਿੰਸਟਰ ਦੇ ਅਬੇ
এবডিটৰী,ਨਿਮਰਤਾ
দাসত্ব বিলুপ্ত কৰা,ਗੁਲਾਮੀ ਦਾ ਖਾਤਮਾ
আদিবাসী,ਆਦਿਵਾਸੀ
আব্ৰাহাম যুগ,ਅਬਰਾਹਮ ਯੁੱਗ
অনুপস্থিত ঘৰৰ মালিক,ਗੈਰਹਾਜ਼ਰ ਮਕਾਨ ਮਾਲਕ
একাডেমী,ਅਕੈਡਮੀ
আক্ৰা সন্মিলন,ਅਕਰਾ ਕਾਨਫਰੰਸ
এক্ৰুৱেল,ਪ੍ਰਾਪਤੀ
সংস্কৃতিকৰণ,ਐਕਲਚਰੇਸ਼ਨ
এচেলডামা,ਐਸੇਲਡਾਮਾ
আখিয়ান (=আচিয়ান),ਅਚੀਅਨ (=ਅਚੀਅਨ)
আচায়ান লীগ (=আচিয়ান লীগ),ਅਚੀਅਨ ਲੀਗ (=ਅਚੀਅਨ ਲੀਗ)
এক্ৰ&#39;পলিছ,ਐਕ੍ਰੋਪੋਲਿਸ
এক্টা ডিউৰ্না,ਐਕਟਾ ਦਿਉਰਨਾ
এক্টা চেনেটাছ,ਐਕਟਾ ਸੇਨੇਟਸ
এক্টে এডিচনেল,ਐਕਟ ਐਡੀਸ਼ਨਲ
সক্ৰিয় ৰেকৰ্ড (=বৰ্তমান ৰেকৰ্ড),ਕਿਰਿਆਸ਼ੀਲ ਰਿਕਾਰਡ (=ਮੌਜੂਦਾ ਰਿਕਾਰਡ)
প্ৰাপ্তিৰ কাৰ্য্য,ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲੇ ਦਾ ਕੰਮ
ক্ষতিপূৰণ আৰু বিস্মৃতিৰ আইন,ਮੁਆਵਜ਼ੇ ਅਤੇ ਭੁੱਲ ਦਾ ਕੰਮ
বন্দোবস্তৰ আইন,ਸੈਟਲਮੈਂਟ ਦਾ ਐਕਟ
এড কন্ট্ৰেক্টাছ ছীল,ਵਿਗਿਆਪਨ ਇਕਰਾਰਨਾਮੇ ਦੀ ਮੋਹਰ
এডুলামাইটছ,ਅਦੁਲਾਮਾਈਟਸ
বিৰোধী,ਵਿਰੋਧੀ
বিৰোধী,ਵਿਰੋਧੀ
ইয়ন,ਏਯੋਨ
এৰেৰিয়াম,ਏਰੈਰੀਅਮ
আকাশী যুদ্ধ,ਹਵਾਈ ਜੰਗ
এটলিয়ান লীগ,ਏਟੋਲੀਅਨ ਲੀਗ
বয়স,ਉਮਰ
