English,Marathi
A C equivalent circuit,एसी समतुल्य सर्किट
A to D converter,एनालॉग ते अंकीय कनवर्टर
Absolute zero,पूर्ण शून्य
Absorption coefficient,शोषण गुणांक
Absorption spectrum,शोषण स्पेक्ट्रम
Acceptor atom,रिसेप्टर अणू
A C coupling,पर्यायी वर्तमान जोडणी
Accumulation of electron,इलेक्ट्रॉन कापणी
Accumulation of holes,भोक संचयन
Activation energy,सक्रियता ऊर्जा
Active amplifier,सक्रिय अॅम्प्लीफायर
Active diode circuit,सक्रिय डायोड सर्किट
Active filter,सक्रिय फिल्टर
Active high pass filter,सक्रिय उच्च वारंवारता पर्केट फिल्टर
Active load,सक्रिय भार
Active low pass filter,सक्रिय कमी वारंवारता पार्स फिल्टर
Active region,सक्रिय क्षेत्र
Adaptive electronics,अनुकूली इलेक्ट्रॉनिक्स
Adder,जोडणारा
Adjustable band width,समायोज्य बँड विस्तार
Admittance,प्रवेश
Aerial,एरियल
Agility frequency,pep वारंवारता
Air conditioner,एअर कंडिशनर
Alignment,संरेखन
Algorithm,अल्गोरिदम
All pass filter,सर्व पास फिल्टर
Alloy junction,मिश्र धातु जंक्शन
Attenuation,क्षीणन
Alternating current (AC),पर्यायी प्रवाह
Ambient temperature,वातावरणीय तापमान
Ambipolar,द्विध्रुवीय
Amplification,प्रवर्धन
Amplifier,अॅम्प्लिफायर
Amplifier efficiency,एम्पलीफायर कार्यक्षमता
Amplitude,परिमाण
Amplitude altenuation,मोठेपणा क्षीणन
Amplitude modulated oscillator,अॅम्प्लिट्यूड मॉड्युलेटेड एएम ऑसिलेटर
Amplitude modulation,मोठेपणा मॉड्यूलेशन
Amplitude modulator,मोठेपणा मॉड्युलेटर
Angstrom unit,अँग्स्ट्रोम युनिट
Analog circuit,अॅनालॉग सर्किट
Analog computer,अॅनालॉग संगणक
Analog filter,अॅनालॉग फिल्टर
Analog multimeter,अॅनालॉग मल्टीमीटर
Analog switch,अॅनालॉग स्विच
AND gate,आणि गेट
Angular frequency,कोनीय वारंवारता
Anion,"anion, anion"
Annealing temperature,एनीलिंग तापमान
Anode,एनोड
Anode amplifier,एनोड अॅम्प्लिफायर
Anodization,anodyne
Antenna,अँटेना
Antenna elements,अँटेना घटक
Anti-reflection coating,विरोधी परावर्तक कोटिंग
Anti-log amplifier,अँटिलॉगिन अॅम्प्लिफायर
Anti-resonant circuit,अँटीरेझोनंट सर्किट
Aperture time,द्वारक काळ
Apparent power,आभासी शक्ती
Apparent wiring,वायर कनेक्शन
Approximate voltage gain,अंदाजे व्होल्टेज वाढ
Armstrong modulator,आर्मस्ट्राँग मॉड्युलेटर
