Odiya,Tamil
"1. ଆବାକସ୍, ୨। ଗଣନା","1.அபாகஸ், 2. எண்ணும்"
ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |,அசாதாரண முடிவு
ବାଧା,இடைமறிக்கவும்
"1. ସଂପୂର୍ଣ୍ଣ, 2 ସର୍ବୋଚ୍ଚ","1. முழுமையான, 2. உச்சம்"
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,முழுமையான முகவரி
ସଂପୂର୍ଣ୍ଣ ଠିକଣା ଯୋଗ୍ୟତା |,முழுமையான முகவரித்திறன்
ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |,முழுமையான அசெம்பிளர்
"1. ସଂପୂର୍ଣ୍ଣ କୋଡ୍, 2 ସଂପୂର୍ଣ୍ଣ କୋଡ୍","1. முழுமையான குறியீடு, 2. முழுமையான குறியீடு"
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |,முழுமையான கட்டளை
"1. ସଂପୂର୍ଣ୍ଣ ସଂଖ୍ୟା, 2 ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |","1. முழுமையான புள்ளிவிவரங்கள், 2. முழுமையான தரவு"
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ,முழுமையான அறிவுறுத்தல்
ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |,முழுமையான பயன்முறை
ସଂପୂର୍ଣ୍ଣ ପଥ,முழுமையான பாதை
"1. ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ, 2 ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |","1. முழுமையான நிரலாக்கம், 2. முழுமையான நிரலாக்கம்"
ବିସ୍ତୃତ ଶ୍ରେଣୀ |,சுருக்க வர்க்கம்
ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |,சுருக்க தரவு வகை
ବିସ୍ତୃତ ମେସିନ୍ |,சுருக்க இயந்திரம்
ବିସ୍ତୃତ ପ୍ରତୀକ |,சுருக்க சின்னம்
ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |,சுருக்க தொடரியல்
ଗ୍ରହଣ ପରୀକ୍ଷା,ஏற்பு சோதனை
ପ୍ରବେଶ ପ୍ରମାଣପତ୍ର,அணுகல் சான்றிதழ்
"1. ପ୍ରବେଶ ସଂକେତ, 2 ପ୍ରବେଶ କୋଡ୍","1. அணுகல் குறியீடு, 2. அணுகல் குறியீடு"
