Tamil,Kannada
குறைப்பு,ದಾಟುವುದು
சுருக்கம்,ಸಂಕ್ಷಿಪ್ತ ರೂಪ
கடத்தல்,ಅಪಹರಣ
நிறுத்துதல்,ನಿರುತ್ಸಾಹಗೊಳಿಸುವಿಕೆ
திறன்,ಸಾಮರ್ಥ್ಯ
Ab initio,ಎಬಿ ಇನಿಶಿಯೋ
முடியும்,ಸಮರ್ಥ
அசாதாரணமானது,ಅಸಹಜ
ஒழிப்பு,ನಿರ್ಮೂಲನ
இடுகை ஒழிப்பு,ರದ್ದುಮಾಡುವಿಕೆ
மேலே குறிப்பிட்டுள்ள,ಮೇಲೆ ತಿಳಿಸಿದ
மேலே மேற்கோள் காட்டப்பட்டுள்ளது,ಮೇಲೆ ಉಲ್ಲೇಖಿಸಲಾಗಿದೆ
மேலே கூறினார்,ಮೇಲೆ ಹೇಳಿದರು
இல்லாதது,ಅನುಪಸ್ಥಿತಿ
வராதவர்,ಗೈರುಹಾಜರಿ
இல்லாதது,ಗೈರುಹಾಜರಿ
இல்லாத அறிக்கை,ಗೈರುಹಾಜರಿ ಹೇಳಿಕೆ
அறுதி,ಸಂಪೂರ್ಣ
முழுமையான ஏகபோகம்,ಸಂಪೂರ್ಣ ಏಕಸ್ವಾಮ್ಯ
முழுமையான உரிமை,ಸಂಪೂರ್ಣ ಮಾಲೀಕತ್ವ
உறிஞ்சுதல்,ಹೀರುವಿಕೆ
சுருக்கம்,ಅಮೂರ್ತ
சுருக்கம்,ಅಮೂರ್ತತೆ
அபத்தமான,ಅಸಂಬದ್ಧ
ஏராளமாக,ಹೇರಳವಾಗಿರುವುದು
அதிகார துஷ்பிரயோகம்,ಅಧಿಕಾರದ ದುರುಪಯೋಗ
தவறான மொழி,ನಿಂದಕ ಭಾಷೆ
கல்வி,ಶೈಕ್ಷಣಿಕ
கல்வி விவாதம்,ಶೈಕ್ಷಣಿಕ ಚರ್ಚೆ
கல்வி விடுப்பு,ಶೈಕ್ಷಣಿಕ ರಜೆ
கல்வி தகுதி,ಶೈಕ್ಷಣಿಕ ಅರ್ಹತೆ
கல்வி சாதனையை,ಶೈಕ್ಷಣಿಕ ದಾಖಲೆ
ஏற்றுக்கொள்ளுங்கள்,ತಪ್ಪೊಟ್ಟು
ஏற்றுக்கொள்,ಒಪ್ಪಿಕೊಳ್ಳಿ
ஏற்றுக்கொள்ளல்,ಸ್ವೀಕಾರಾರ್ಹತೆ
பதவியை ஏற்றுக்கொள்வது,ಕಚೇರಿಯ ಸ್ವೀಕಾರ
டெண்டரை ஏற்றுக்கொள்வது,ಟೆಂಡರ್ ಸ್ವೀಕಾರ
அணுகல்,ಪ್ರವೇಶ
அணுகல்,ಪ್ರವೇಶ
துணை,ಪರಿಕರ
விபத்து,ಅಪಘಾತ
பழக்கவழக்கமயமாக்கல்,ಒಗ್ಗೂಡಿಸುವಿಕೆ
தங்குமிடம்,ಸೌಕರ್ಯ
துணையுடன்,ಜೊತೆಗಾರ
உடன்பாடு,ಸ ೦ ಗೀತ
ஒப்புதல்,ಪ್ರೇಕ್ಷಕ
அதன்படி,ಹಾಗೆಯೇ
கணக்கு,ಖಾತೆ
பொறுப்புக்கூறல்,ಹೊಣೆಗಾರಿಕೆ
பொறுப்பு,ಹೊಣೆಗಾರ
கணக்கியல்,ಹೊಣೆ
கணக்காளர்,ಲೆಕ್ಕಪರಿಶೋಧಕ
கணக்கு,ಇದಕ್ಕೆ ಖಾತೆ
கணக்கு தலை,ಖಾತೆ
திரட்டப்பட்ட நன்மை,ಸಂಚಿತ ಲಾಭ
திரட்டப்பட்ட ஓய்வூதியம்,ಸಂಚಿತ ಪಿಂಚಣಿ
குவிப்பு,ಸಂಗ್ರಹಣೆ
துல்லியம்,ನಿಖರತೆ
துல்லியமானது,ನಿಖರವಾದ
குற்றம்,ಆರೋಪಿಸು
குற்றம் சாட்டப்பட்டவர்,ಆರೋಪಿ
சாதனை,ಸಾಧನೆ
ஒப்புதல்,ಸ್ವೀಕೃತಿ
ஒப்புதல் காரணமாக,ಸ್ವೀಕೃತಿ ಕಾರಣ
அறிமுகம்,ಪರಿಚಯ
கையகப்படுத்தல்,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು
விடுவித்தல்,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು
நாடகம்,ಕಯ
நடிப்பு கொடுப்பனவு,ನಟನಾ ಭತ್ಯೆ
செயல்,ಕ್ರಿಯಾಶೀಲತೆ
செயல் திட்டம்,ಕಾರ್ಯ ತಂತ್ರ
செயலில்,ಸಕ್ರಿಯ
சுறுசுறுப்பாக,ಸಕ್ರಿಯವಾಗಿ
ஆர்வலர்,ಕಾರ್ಯಕರ್ತ
கடவுளின் செயல்,ಭಗವಂತನ ಆಟ
தவறான நடத்தை செயல்,ದುಷ್ಕೃತ್ಯದ ಕ್ರಿಯೆ
கமிஷன் மற்றும் விடுபடுதல் சட்டம்,ಆಯೋಗ ಮತ್ತು ಲೋಪದ ಕ್ರಿಯೆ
உண்மையான,ನಿಜವಾದ
உண்மையான,ವಾಸ್ತವಿಕ
தழுவல்,ರೂಪಾಂತರ
கூடுதலாக,ಸೇರ್ಪಡೆ
கூடுதல் கட்டணம்,ಹೆಚ್ಚುವರಿ ಶುಲ್ಕ
கூடுதல் நிதி,ಹೆಚ್ಚುವರಿ ನಿಧಿ
கூடுதல் மானியம்,ಹೆಚ್ಚುವರಿ ಅನುದಾನ
கூடுதல் தகவல்,ಹೆಚ್ಚುವರಿ ಮಾಹಿತಿ
கூடுதல் ஊதியம்,ಹೆಚ್ಚುವರಿ ವೇತನ
கூட்டல் மற்றும் மாற்றம்,ಸೇರ್ಪಡೆ ಮತ್ತು ಬದಲಾವಣೆ
முகவரி,ಭಾಷಣ
முகவரி,ವಿಳಾಸದಾರ
வரவேற்பின் முகவரி,ಸ್ವಾಗತದ ವಿಳಾಸ
போதுமானது,ಸಮರ್ಪಕ
பின்பற்றவும்,ಅಂಟಿಕೊಳ್ಳಿ
தற்காலிக,ತಾತ್ಕಾಲಿಕ
தற்காலிக உரிமைகோரல்,ತಾತ್ಕಾಲಿಕ ಹಕ್ಕು
தற்காலிக குழு,ತಾತ್ಕಾಲಿಕ ಸಮಿತಿ
தற்காலிக அதிகரிப்பு,ತಾತ್ಕಾಲಿಕ ಹೆಚ್ಚಳ
தற்காலிக கட்டணம்,ತಾತ್ಕಾಲಿಕ ಪಾವತಿ
அருகில்,ಪಕ್ಕದ
அருகிலுள்ள (= தொடர்ச்சியான),ಪಕ್ಕದ (= ಸಮೀಪ)
ஒத்திவைப்பு,ಮುಂದೂಡಿಕೆ
ஒத்திவைப்பு இயக்கம்,ಮುಂದೂಡುವ ಚಲನೆ
தீர்ப்பளிக்கவும்,ತೀರ್ಪು
தீர்ப்பளிக்கவும்,ತೀರ್ಮಾನಿಸು
தீர்ப்பு,ಯಜಮಾನ
தீர்ப்பாளர்,ತೀರ್ಪುಗಾರ
சரிசெய்தல்,ಹೊಂದಾಣಿಕೆ
நிர்வாகி,ನಿರ್ವಹಿಸು
சத்தியப்பிரமாணத்தை நிர்வகிக்கவும்,ಪ್ರಮಾಣವಚನ ಸ್ವೀಕರಿಸಿ
நிர்வாகம்,ಆಡಳಿತ
நீதி நிர்வாகம்,ನ್ಯಾಯದ ಆಡಳಿತ
நிர்வாக,ಆಡಳಿತಕಾರಿಯಾದ
நிர்வாக நடவடிக்கை,ಆಡಳಿತಾಧಿಕಾರಿ ಕ್ರಿಯೆ
நிர்வாக மதிப்பீடு,ಆಡಳಿತಾಧಿಕಾರಿ ಮೌಲ್ಯಮಾಪನ
நிர்வாக ஒப்புதல்,ಆಡಳಿತಾಧಿಕಾರಿ ಅನುಮೋದನೆ
நிர்வாக அதிகாரம்,ಆಡಳಿತ ಪ್ರಾಧಿಕಾರದ
நிர்வாக கட்டுப்பாடு,ಆಡಳಿತ ನಿಯಂತ್ರಣ
நிர்வாக முடிவு,ಆಡಳಿತಾತ್ಮಕ ನಿರ್ಧಾರ
நிர்வாகத் துறை,ಆಡಳಿತ ಇಲಾಖೆ
நிர்வாகத் தலைவர்,ಆಡಳಿತಾಧಿಕಾರಿ
நிர்வாக தலைமையகம்,ಆಡಳಿತ ಕೇಂದ್ರ ಕಚೇರಿ
நிர்வாக நடவடிக்கைகள்,ಆಡಳಿತಾತ್ಮಕ ಕ್ರಮಗಳು
நிர்வாக சக்தி,ಆಡಳಿತ ಅಧಿಕಾರ
நிர்வாக அனுமதி,ಆಡಳಿತಾಧಿಕಾರಿ ಅನುಮೋದನೆ
நிர்வாக நுட்பம்,ಆಡಳಿತ ತಂತ್ರ
நிர்வாக தீர்ப்பாயம்,ಆಡಳಿತ ನ್ಯಾಯಸಮ್ಮತ
ஒப்புதல்,ಪ್ರವೇಶಸಾಧ್ಯತೆ
ஏற்றுக்கொள்ளக்கூடிய செலவு,ಸ್ವೀಕಾರಾರ್ಹ ಖರ್ಚು
அனுமதிக்கவும்,ಒಪ್ಪಿಸು
அட்டை சேர்க்கவும்,ಪ್ರವೇಶ ಕಾರ್ಡ್
ஒப்புக்கொள்ளப்பட்டது,ಒಪ್ಪಿಕೊಂಡ
அறிவுறுத்துங்கள்,ಕವಲೊಡೆಯು
தத்தெடுப்பவர்,ಅಳವಡಿಕೆದಾರ
தத்தெடுப்பவர்,ರೋಗಿ
தத்தெடுப்பு,ದತ್ತು
வயது வந்தோர்,ವಯಸ್ಕ
கலப்படம்,ವ್ಯಭಿಚಾರ
விபச்சாரம்,ವ್ಯಭಿಚಾರ
வயதுவந்தோர் உரிமை,ವಯಸ್ಕರ ಫ್ರ್ಯಾಂಚೈಸ್
விளம்பர மதிப்பீட்டு கடமை,ಜಾಹೀರಾತು ಶೌರ್ಯ ಕರ್ತವ್ಯ
முன்கூட்டியே,ಮುನ್ನಡೆ
முன்கூட்டியே முன்பதிவு,ಮುಂಗಡ ಬುಕಿಂಗ್
முன்கூட்டியே நகல்,ಮುನ್ನಡೆ
அட்வான்ஸ் அதிகரிப்பு,ಮುಂಗಡ ಹೆಚ್ಚಳ
முன் பணம்,ಮುಂಗಡ ಪಾವತಿ
பாதகமான நுழைவு,ಪ್ರತಿಕೂಲ ಪ್ರವೇಶ
பாதகமான கருத்துக்கள்,ಪ್ರತಿಕೂಲ ಟೀಕೆಗಳು
பாதகமான அறிக்கை,ಪ್ರತಿಕೂಲ ವರದಿ
விளம்பரம்,ಆಯ್ಕೆ
ஆலோசனை,ಸಲಹೆ
கட்டண ஆலோசனை,ಪಾವತಿಯ ಸಲಹೆ
ஆலோசனை குழு,ಸಲಹಾ ಸಮಿತಿ
ஆலோசனை கவுன்சில்,ಸಲಹಾ ಮಂಡಳಿ
வக்கீல்,ಪ್ರತಿಪಾದಿಸು
விவகாரங்கள்,ವ್ಯವಹಾರ
பிரமாணப் பத்திரம்,ಅಫಿಡವಿಟ್
இணைப்பு,ಉಪಶಮನ
உறுதிப்படுத்தல்,ದೃ ir ೀಕರಣ
உறுதியான,ದೃ irf ೀಕರಣದ
வாங்க,ಆತುರಿಸು
மேற்கூறிய,ಈನಟ
புதிதாக,ಹೊಸದಾಗಿ
எதிராக,ವಿರುದ್ಧವಾಗಿ
வயது,ವಯಸ್ಸು
வயது சான்றிதழ்,ವಯಸ್ಸಾದ ಪ್ರಮಾಣಪತ್ರ
வாக்குரிமைக்கான வயது,ಮತದಾರರ ವಯಸ್ಸು
வயது எல்லை,ವಯಸ್ಸಿಗೆ
ஏஜென்சி,ವಾಗ್ದಾನ
நிகழ்ச்சி நிரல்,ಕಾಗಾರ
ஓய்வூதிய வயது,ನಿವೃತ್ತಿಯ ವಯಸ್ಸು
மேலதிக வயது,ಮೇಲ್ವಿಚಾರಣೆಯ ವಯಸ್ಸು
திரட்டுதல்,ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ
வேதனைக்குள்ளானது,ದುಃಖಿಸಿದ
கிளர்ச்சி,ಆಂದೋಲನ
ஏஜிஎம்,ಅವಾತ
ஒப்பந்தம்,ಒಪ್ಪಂದ
ஒப்பந்த படிவம்,ಒಪ್ಪಂದದ ರೂಪ
வேளாண்மை,ಕೃಷಿ
வேளாண் தொழில்,ಕೃಷಿ ಉದ್ಯಮ
உதவி,ನೆರವು
அலாரம்,ಎಚ್ಚರಿಕೆ
விழிப்புணர்வு,ಜಾಗರೂಕತೆ
மாற்றுப்பெயர்,ಅಲಿಯಾಸ್
குற்றச்சாட்டு,ಆರೋಪಣೆ
விசுவாசம்,ನಿಷ್ಠೆ
கூட்டணி,ಮೈತ್ರಿ
தொடர்புடைய சேவைகள்,ಮಿತ್ರ ಸೇವೆಗಳು
அனைத்து உள்ளடக்கிய செலவு,ಎಲ್ಲಾ ಅಂತರ್ಗತ ವೆಚ್ಚ
அகில இந்திய சேவைகள்,ಅಖಿಲ ಭಾರತ ಸೇವೆಗಳು
ஒதுக்கீடு,ಮನವಸಿಕೆ
ஒதுக்கீடு,ಹಂಚಿಕೆ
ஒதுக்கீட்டு கடிதம்,ಹಂಚಿಕೆ ಪತ್ರ
ஒதுக்கீடு,ಹಂಚುವವ
அனுமதிக்கக்கூடியது,ಅನುಮತಿಸುವ
அனுமதிக்கக்கூடிய செலவுகள்,ಅನುಮತಿಸುವ ವೆಚ್ಚಗಳು
மேல்முறையீட்டை அனுமதிக்கவும்,ಮನವಿಯನ್ನು ಅನುಮತಿಸಿ
கொடுப்பனவு,ಭತ್ಯೆ
அனைத்து உரிமைகளும் பாதுகாக்கப்பட்டவை,ಎಲ್ಲ ಹಕ್ಕುಗಳನ್ನು ಕಾಯ್ದಿರಿಸಲಾಗಿದೆ
அகரவரிசை வரிசை,ವರ್ಣಮಾಲೆ
வாக்குவாதம்,ವಾಗ್ವಾದ
மாற்று,ಪರ್ಯಾಯ
மாற்று,ಬದಲಕ
ஒருங்கிணைப்பு,ಸಂಯೋಗ
திருத்தப்பட்ட வரைவு,ತಿದ್ದುಪಡಿ ಮಾಡಿದ ಕರಡು
திருத்தம்,ತಿದ್ದುಪಡಿ
வசதி,ಸೌಕರ್ಯ
இணக்கமான,ಸೌಹಾರ್ದಯುತ
வெடிமருந்து,ಮದ್ದುಗುಂಡು
கடனின் கடன்தொகை,ಸಾಲದ ಭೋಗ್ಯ
தொகை,ಮೊತ್ತ
ஓய்வூதியத்தின் அளவு,ಪಿಂಚಣಿ ಪ್ರಮಾಣ
ஒப்பீட்டு இடுகை,ಸಾದೃಶ್ಯದ ಹುದ್ದೆ
பகுப்பாய்வு,ವಿಶ್ಲೇಷಣೆ
பகுப்பாய்வு ஆய்வு,ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಅಧ್ಯಯನ
மூதாதையர்,ಪೂರ್ವಜ
துணை தொழில்,ಪೂರಕ ಉದ್ಯಮ
பகை,ದ್ವೇಷ
இணைப்பு,ಅನುಬಂಧ
ஆண்டு,ವಾರ್ಷಿಕೋತ್ಸವ
அறிவிப்பு,ಪ್ರಕಟಿಸುವುದು
எரிச்சல்,ಕಿರಿಕಿರಿಯ
ஆண்டு நிதி அறிக்கை,ವಾರ್ಷಿಕ ಹಣಕಾಸು ಹೇಳಿಕೆ
ஆண்டு அறிக்கை,ವಾರ್ಷಿಕ ವರದಿ
ஆண்டு,ವರ್ಷಾಶನ
அநாமதேய,ಅನಾಮಿಕ
அநாமதேய புகார்,ಅನಾಮಧೇಯ ದೂರು
பதில்,ಉತ್ತರಾಧಿಕಾರಿಯಾಗದಿರುವಿಕೆ
விடைத்தாள்,ಉತ್ತರ ಪತ್ರಿಕೆ
எதிரி,ವಿರೋಧಿ
முன்னோடிகள்,ಪೂರ್ವಸಿದ್ಧತೆಗಳು
எதிர்பார்க்கப்பட்ட செலவு,ನಿರೀಕ್ಷಿತ ಖರ್ಚು
எதிர்பார்க்கப்பட்ட வருமானம்,ನಿರೀಕ್ಷಿತ ಆದಾಯ
எதிர்பார்ப்பு,ನಿರೀಕ್ಷಣೆ
எதிர்பார்ப்பு ஜாமீன்,ನಿರೀಕ್ಷಿತ ಜಾಮೀನು
ஊழல் எதிர்ப்பு நடவடிக்கை,ಭ್ರಷ್ಟಾಚಾರ ವಿರೋಧಿ
டம்பிங் எதிர்ப்பு,ಡಂಪಿಂಗ್ ವಿರೋಧಿ
பழங்கால,ಪ್ರಾಚೀನ
நிறவெறி,ವರ್ಣಭೇದ
அக்கறையின்மை,ನಿರಾಸಕ್ತಿ
உச்ச உடல்,ತುದಿ ದೇಹ
மன்னிப்பு,ಕ್ಷಮೆ
மேல்முறையீடு,ಮನವಿಯನ್ನು
தோற்றம்,ಗೋಚರತೆ
திருப்தி,ಸಮಾಧಾನ
மேல்முறையீட்டு தீர்ப்பாயம்,ಮೊದಲೇ ನ್ಯಾಯಮಂಡಣಿ
பின் இணைப்பு,ಅನುಬಂಧ
சாதனம்,ಉಪಕರಣ
பொருந்தும்,ಅನ್ವಯಿಸುವ
விண்ணப்பதாரர்,ಅರ್ಜಿದಾರ
விண்ணப்பம்,ಅನ್ವಯಿಸು
விண்ணப்ப படிவம்,ಅರ್ಜಿ
பயன்படுத்தப்பட்டது,ಅನ್ವಯಿಕ
விண்ணப்பிக்கவும்,ಅನ್ವಯಿಸು
நியமிக்கப்பட்டவர்,ನೇಮಕಾತಿ
அதிகாரத்தை நியமித்தல்,ಅಧಿಕಾರವನ್ನು ನೇಮಿಸುವುದು
நியமனம்,ನೇಮಕ
நியமனம் கடிதம்,ನೇಮಕಾತಿ ಪತ್ರ
அமைச்சரவையின் நியமனங்கள் குழு,ಕ್ಯಾಬಿನೆಟ್ನ ನೇಮಕಾತಿ ಸಮಿತಿ
ஊதியப் பகிர்வு,ವೇತನದ ಹಂಚಿಕೆ
மதிப்பீடு,ಮೌಲ್ಯಮಾಪಕ
மதிப்பீட்டாளர்,ಮೌಲ್ಯಮಾಪಕ
பாராட்டு,ಮೆಚ್ಚುಗೆ
அச்சம்,ಭಯ
பயிற்சி,ಅಪ್ರೆಂಟಿಸ್
அணுகுமுறை,ಸಮೀಪಿಸು
பொருத்தமானது,ಸೂಕ್ತ
பொருத்தமான நடவடிக்கை,ಸೂಕ್ತ ಕ್ರಮ
பொருத்தமான தலை,ಸೂಕ್ತ ತಲೆ
ஒதுக்கீடு,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು
ஒப்புதல்,ಅನುಮೋದನೆ
தோராயமான,ಅಂದಾಜು
ஆப்டிட்யூட் சோதனை,ಆಪ್ಟಿಟ್ಯೂಡ್ ಪರೀಕ್ಷೆ
தன்னிச்சையானது,ಅನಿಯಂತ್ರಿತ
