Bengali,Malayalam
অস্বাভাবিক,വിലക്ഷണമായ
গর্ভপাত,ഉപേക്ഷിക്കുക
ঘর্ষণ,വധനം
আকস্মিক,ആകസ്മികമായ
পরম ক্ষেত্র শক্তি,കേവല ഫീൽഡ് ശക്തി
পরম তাপমাত্রা,കേവല താപനില
পরম মান,യഥാർത്ഥ മൂല്യം
শোষণ,ഉള്ക്കൊള്ളുക
শোষণ গুণাঙ্ক,ആഗിരണം കോ-കാര്യക്ഷമമാണ്
শোষণ ক্ষতি,ആഗിരണം നഷ്ടം
বিমূর্ত,വേര്പെട്ടുനില്ക്കുന്ന
অ্যাক্সিলোমিটার,ആക്സിലറോമീറ്റർ
স্বীকৃতি পরীক্ষা,സ്വീകാര്യത പരിശോധന
অ্যাক্সেস,പ്രവേശനം
প্রবেশাধিকার নিয়ন্ত্রণ,പ്രവേശന നിയന്ത്രണം
এক্সেস পয়েন্ট,പ്രവേശന പോയിന്റ്
প্রবেশাধিকার সময়,ആക്സസ് സമയം
অ্যাক্সেসযোগ্যতা,പ്രവേശനക്ഷമത
একুমুলেটর সেল,സഞ്ചിത സെൽ
সঠিকতা,കൃതത
নির্ভুল,സൂക്ഷ്മമായ
অ্যাক্রোমেটিক লেন্স,അച്രോമാറ്റിക് ലെൻസ്
অ্যাসিড,പുളിപ്പുള്ള
অ্যাসিড প্রুফ,ആസിഡ് തെളിവ്
অম্লতা,അസിഡിറ്റി
স্বীকৃতি বিট,അംഗീകാര ബിറ്റ്
অ্যাকোস্টিক,അക്കോസ്റ്റിക്
অ্যাকোস্টিক যোগাযোগ,അക്കോസ്റ്റിക് ആശയവിനിമയം
অ্যাকোস্টিক প্রসারণ,അക്കോസ്റ്റിക് ഡിഫ്യൂഷൻ
অ্যাকোস্টিক ইকুয়ালাইজার,അക്കോസ്റ്റിക് ഇക്വൈസർ
অ্যাকোস্টিক প্রতিক্রিয়া,അക്കോസ്റ്റിക് ഫീഡ്ബാക്ക്
অ্যাকোস্টিক ফিল্টার,അക്ക ou സ്റ്റിക് ഫിൽട്ടർ
শব্দের সংরোধ,അക്കോസ്റ്റിക് ഇംപാസ്
অ্যাকোস্টিক মাস্কিং,അക്കോസ്റ്റിക് മാസ്കിംഗ്
অ্যাকোস্টিক শক্তি,അക്കോസ്റ്റിക് പവർ
অ্যাকোস্টিক সম্পত্তি,അക്കോസ്റ്റിക് പ്രോപ്പർട്ടി
অ্যাকোস্টিক রিঅ্যাক্ট্যান্স,അക്കോട്ടിക് റിയാൻസ്
অ্যাকোস্টিক রিফ্লেক্স,അക്ക ou സ്റ്റിക് റിഫ്ലെക്സ്
অ্যাকোস্টিক টাইল,അക്കോസ്റ്റിക് ടൈൽ
অ্যাকোস্টিক তরঙ্গ,അക്ക ou സ്റ്റിക് തരംഗം
শাব্দিক শোষণ,ശബ്ദ ആഗിരണം
শাব্দিক মনোযোগ ধ্রুবক,അക്കോസ്റ്റിക്കൽ അറ്റൻയൂട്ടിന്റെ സ്ഥിരാങ്കം
শাব্দিক স্যাঁতসেঁতে,അക്കോസ്റ്റിക്കൽ നനവ്
শাব্দিক বিলম্ব লাইন,അക്കോസ്റ്റിക്കൽ കാലതാമസം
শাব্দিক বিকৃতি,അക്കോസ്റ്റിക്കൽ വക്രമാനം
শাব্দিক নালী,അക്കോസ്റ്റിക്കൽ നാളം
শাব্দিক শক্তি,അക്കോസ്റ്റിക്കൽ എനർജി
শাব্দিক প্রতিক্রিয়া,അക്കോസ്റ്റിക്കൽ ഫീഡ്ബാക്ക്
শাব্দিক ফিল্টার,അക്കോസ്റ്റിക്കൽ ഫിൽട്ടർ
শাব্দিক প্রতিবন্ধকতা,അക്കോസ്റ്റിക്കൽ ഇംപെഡൻസ്
শাব্দিক প্রচার ধ্রুবক,അക്കോസ്റ്റിക്കൽ പ്രചരണം സ്ഥിരാങ്കം
শাব্দিক প্রতিরোধের,അക്കോസ്റ്റിക്കൽ റെസിസ്റ്റൻസ്
শাব্দিকভাবে অন্তরক,ശബ്ദപരമായി ഇൻസുലേറ്റ്
অ্যাকোস্টিকস,അക്കോസ്റ്റിക്സ്
অধিগ্রহণ,കൈവശപ്പെടുത്തൽ
সংক্ষিপ্ত বিবরণ,സംക്ഷേപം
অ্যাকশন এরিয়া,പ്രവർത്തന മേഖല
সক্রিয় ফিলামেন্ট,സജീവമാക്കിയ ഫിലമെന്റ്
সক্রিয়,സജീവമായ
সক্রিয় এলাকা,സജീവ ഏരിയ
সক্রিয় উইন্ডো,സജീവ വിൻഡോ
অভিযোজনযোগ্যতা,പൊരുത്തപ്പെടലി
অ্যাডাপ্টার (অ্যাডাপ্টার),അഡാപ്റ്റർ (അഡാപ്റ്റർ)
অভিযোজিত ডিফারেনশিয়াল পালস কোড মড্যুলেশন,അഡാപ്റ്റീവ് ഡിഫറൻഷ്യൽ പൾസ് കോഡ് മോഡുലേഷൻ
ঠিকানা বই,മേൽവിലാസ പുസ്തകം
ঠিকানা বাস,വിലാസ ബസ്
ঠিকানা রেজোলিউশন,വിലാസ മിഴിവ്
সংলগ্ন চ্যানেল হস্তক্ষেপ,തൊട്ടടുത്തുള്ള ചാനൽ ഇടപെടൽ
সংলগ্ন চ্যানেল নির্বাচন,തൊട്ടടുത്തുള്ള ചാനൽ സെലക്ടീവി
সংলগ্ন ফ্রিকোয়েন্সি,അടുത്തുള്ള ആവൃത്തി
সংলগ্ন ফ্রিকোয়েন্সি চ্যানেল,തൊട്ടടുത്തുള്ള ഫ്രീക്വൻസി ചാനൽ
সংলগ্ন ছবি ক্যারিয়ার,തൊട്ടടുത്തുള്ള ചിത്ര കാരിയർ
সংলগ্ন সাউন্ড ক্যারিয়ার,തൊട്ടടുത്തുള്ള ശബ്ദ കാരിയർ
সংলগ্ন স্টেশন,അടുത്തുള്ള സ്റ്റേഷൻ
সামঞ্জস্যযোগ্য,കമീകരിക്കുന്ന
সামঞ্জস্যযোগ্য কনডেন্সার,ക്രമീകരിക്കാവുന്ന കണ്ടൻസർ
সামঞ্জস্য চাপ,സമ്മർദ്ദം ക്രമീകരിക്കുന്നു
সামঞ্জস্য করা রেঞ্চ,റെഞ്ച് ക്രമീകരിക്കുന്നു
সামঞ্জস্য,കമപ്പെടുത്തല്
প্রশাসক,ഭരണാധിപന്
উন্নত প্রযুক্তি,നൂതന സാങ്കേതികവിദ്യ
এরিয়াল,ഏരിയൽ
এরিয়াল অ্যারে,ഏരിയൽ അറേ
এরিয়াল বুস্টার,ഏരിയൽ ബൂസ്റ്റർ
এরিয়াল কারেন্ট,ഏരിയൽ കറന്റ്
এরিয়াল আর্থিং সুইচ,എയറൽ ഇയർത്തിംഗ് സ്വിച്ച്
বায়বীয় দক্ষতা,ഏരിയൽ കാര്യക്ഷമത
বায়বীয় প্রতিবন্ধকতা,ഏരിയൽ ഇതര
এরিয়াল ইন্ডাক্ট্যান্স,ഏരിയൽ ഉൾപ്പെടുത്തൽ
এরিয়াল ইনসুলেটর,ഏരിയൽ ഇൻസുലേറ്റർ
এরিয়াল লোডিং কয়েল,ഏരിയൽ ലോഡിംഗ് കോയിൽ
আকাশ থেকে ছবি তোলা,ഏരിയൽ ഫോട്ടോഗ്രഫി
বায়বীয় শক্তি,ഏരിയൽ പവർ
বায়বীয় বিকিরণ পুনর্নির্মাণ,ആകാശ വികിരണ ഏലിസ്റ്റൻസ്
বায়বীয় বিক্রিয়া,ഏരിയൽ റിപ്രീൻസ്
এয়ারোডাইনামিক্স,എയറോഡൈനാമിക്സ്
এজেন্সি,നിര്വ്വഹണം
বায়ু সংকোচকারী,എയർ കംപ്രസ്സർ
এয়ার কনডেন্সার,എയർ കണ്ടൻസർ
ঠান্ডা বাতাস,വായു തണുപ്പിച്ചു
বায়ু কর্ড কয়েল,എയർ കോർഡ് കോയിൽ
এয়ারকন্ডিশনিং,എയർ കണ്ടീഷനിംഗ്
আলবেডো,ആൽബിഡോ
অ্যালগরিদম,അൽഗോരിതം
এলিয়াসিং,അപരനാത്മകം
সারিবদ্ধ,വിന്യസിക്കുന്നു
প্রান্তিককরণ,വിന്യാപകമായ
সমস্ত তরঙ্গ বিমান,എല്ലാ തരംഗ ഏരിയലും
বরাদ্দ,പങ്കുവയ്ക്കല്
বর্ণমালা,അക്ഷരകമായ
বর্ণমালা,ആൽഫാന്യൂമെറിക്
আলফানিউমেরিক চরিত্র,ആൽഫാന്യൂമെറിക് പ്രതീകം
আলফানিউমেরিক তথ্য,ആൽഫാന്യൂമെറിക് വിവരങ്ങൾ
বিকল্প বর্তমান (এ.সি.),ഇതര കറന്റ് (A.C.)
বিকল্প,ഒന്നിടവിട്ടമ്മ
বিকল্প,പകര്പ്പ്
উচ্চতা,ഉയരം
অপোজির উচ্চতা,അപ്പോഗിയുടെ ഉയരം
পেরিগির উচ্চতা,പെരിജിയുടെ ഉയരം
অপেশাদার রেডিও যোগাযোগ,അമേച്വർ റേഡിയോ ആശയവിനിമയം
পরিবেশ,അന്തരീതം
পরিবেশ মাইক্রোফোন,അന്തരീക്ഷ മൈക്രോഫോൺ
পরিবেষ্টিত অবস্থা,അന്തരീക്ഷ അവസ്ഥ
পরিবেষ্টনকারী আলো,ആംബിയന്റ് ലൈറ്റിംഗ്
পরিবেষ্টিত শব্দ,ആംബിയന്റ് ശബ്ദം
পরিবেষ্টিত তাপমাত্রা,ആംബിയന്റ് താപനില
আমেরিকান স্ট্যান্ডার্ড কোড,അമേരിക്കൻ സ്റ്റാൻഡേർഡ് കോഡ്
অ্যাম্পিয়ার,Ampere
অ্যাম্পের মিটার,ആമ്പിയർ മീറ്റർ
