Assamese,Bengali
এবেলিয়ান গোট,আবেলিয়ান গ্রুপ
abelian অৰ্ধগোট,আবেলিয়ান সেমিগ্রুপ
abscissa,abscissa
নিৰপেক্ষ,পরম
নিৰপেক্ষ অভিসৰণ,পরম মিলন
নিৰপেক্ষ ভুল,পরম ত্রুটি
নিৰপেক্ষ সৰ্বোচ্চ,পরম সর্বোচ্চ
নিৰপেক্ষ নূন্যতম,পরম সর্বনিম্ন
নিৰপেক্ষ মূল্য,পরম মান
নিৰপেক্ষ বেগ,পরম বেগ
বিমূৰ্ত বীজগণিত,বিমূর্ত বীজগণিত
বিমূৰ্ত গোট তত্ত্ব,বিমূর্ত গ্রুপ তত্ত্ব
বেগ বৃদ্ধি,ত্বরণ
মাধ্যাকৰ্ষণৰ ফলত হোৱা ত্বৰণ,মাধ্যাকর্ষণ বলের প্রভাবে গতি বৃদ্ধি
গ্ৰহণযোগ্য পছন্দৰ ছেট,গ্রহণযোগ্য পছন্দ সেট
গ্ৰহণযোগ্য গুণগত মানৰ স্তৰ,গ্রহণযোগ্য মানের স্তর
গ্ৰহণযোগ্য পৰিসৰ,গ্রহণযোগ্য পরিসীমা
গ্ৰহণযোগ্য নিৰ্ভৰযোগ্যতা স্তৰ,গ্রহণযোগ্য নির্ভরযোগ্যতা স্তর
গ্ৰহণযোগ্য নমুনা সংগ্ৰহ কৰা,গ্রহণযোগ্য নমুনা
সঞ্চিত ভুল,সঞ্চিত ত্রুটি
শুদ্ধতা,সঠিকতা
ক্ৰিয়াশীল শক্তি,অভিনয় শক্তি
কাৰ্য কৰা,কর্ম
ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া,কর্ম এবং প্রতিক্রিয়া
কৃষি বিজ্ঞান,বাস্তব বিজ্ঞান
তীব্ৰ কোণীয়া ত্ৰিভুজ,তীব্র কোণযুক্ত ত্রিভুজ
অচক্ৰীয়,অ্যাসাইক্লিক
যোগ কৰা,যোগ করুন
adder,যোগকারী
যোগ,সংযোজন
যোগ সূত্ৰ,সংযোজন সূত্র
জটিল সংখ্যাৰ সংযোজন,জটিল সংখ্যার সংযোজন
ফলনসমূহৰ সংযোজন,ফাংশন সংযোজন
মেট্ৰিক্সৰ সংযোজন,ম্যাট্রিক্সের সংযোজন
বহুপদ যোগ কৰা,বহুপদ সংযোজন
সম্ভাৱনাৰ সংযোজন,সম্ভাবনার সংযোজন
ভেক্টৰৰ সংযোজন,ভেক্টর সংযোজন
যোগ উপপাদ্য,সংযোজন উপপাদ্য
যোগকৰণ গোট,সংযোজনকারী গ্রুপ
যোগকৰণৰ বিপৰীত,সংযোজন বিপরীত
যোগসূত্ৰৰ বৈশিষ্ট্য,সংযোজক সম্পত্তি
যোগকৰণ,সংযোজন
সংলগ্নতা মেট্ৰিক্স,অন্তিক ম্যাট্রিক্স
পাৰ্শ্বৱৰ্তী,সংলগ্ন
কাষৰীয়া কোণ,সন্নিহিত কোণ
কাষৰীয়া শিখৰ,সংলগ্ন শীর্ষবিন্দু
adjoin,সংলগ্ন
সংলগ্ন,সংলগ্ন
সংযুক্ত নিৰ্ণায়ক,সংলগ্ন নির্ধারক
সংযুক্ত অৱভেদ্য সমীকৰণ,সন্নিহিত ডিফারেনশিয়াল সমীকরণ
সংযুক্ত সমীকৰণ,সংলগ্ন সমীকরণ
সংলগ্ন মেট্ৰিক্স,সংলগ্ন ম্যাট্রিক্স
মেট্ৰিক্সৰ সংযুক্ত,ম্যাট্রিক্সের সংলগ্ন
এডজুগেট মেট্ৰিক্স,সামঞ্জস্যপূর্ণ ম্যাট্রিক্স
গ্ৰহণযোগ্য সিদ্ধান্ত কাৰ্য্য,গ্রহণযোগ্য সিদ্ধান্ত ফাংশন
গ্ৰহণযোগ্য অনুমান,গ্রহণযোগ্য অনুমান
বায়ুগতিবিদ্যা বল,এরোডাইনামিক বল
বায়ুগতিবিদ্যা,বায়ুগতিবিদ্যা
affine জ্যামিতি,affine জ্যামিতি
affine মেপিং,affine ম্যাপিং
affine ৰূপান্তৰ,affine রূপান্তর
চলকসমূহ একত্ৰিত কৰা,একত্রিত ভেরিয়েবল
বীজগণিত,বীজগণিত
বীজগণিতীয়ভাৱে বন্ধ কৰা হৈছে,বীজগণিতভাবে বন্ধ
বীজগণিতীয় সমীকৰণ,বীজগণিত সমীকরণ
বীজগণিতীয় প্ৰকাশ,বীজগাণিতিক এক্সপ্রেশন
বীজগণিতীয় ৰূপ,বীজগাণিতিক ফর্ম
বীজগণিতীয় ফলন,বীজগণিতীয় ফাংশন
বীজগণিতীয় জ্যামিতি,বীজগণিত জ্যামিতি
বীজগণিতীয় বহুগুণতা,বীজগণিতের বহুত্ব
বীজগণিতীয় ব্যৱস্থা,বীজগণিত ব্যবস্থা
সকলো-পূৰ্ণসংখ্যা সমস্যা,সমস্ত পূর্ণসংখ্যা সমস্যা
আবণ্টনৰ সমস্যা,বরাদ্দ সমস্যা
বৰ্ণানুক্ৰমিক সংকেত,বর্ণানুক্রমিক স্বরলিপি
বৰ্ণানুক্ৰমিক আখৰ,বর্ণানুক্রমিক অক্ষর
বিকল্প কোণ,বিকল্প কোণ
বিকল্প ৰূপ,বিকল্প ফর্ম
বিকল্প গোট,বিকল্প গোষ্ঠী
বিকল্প মেট্ৰিক্স,বিকল্প ম্যাট্রিক্স
বিকল্প শৃংখলা,বিকল্প সিরিজ
বিকল্প অনুমান,বিকল্প অনুমান
বিকল্প optima,বিকল্প অপটিমা
বিকল্প ফলাফল,বিকল্প ফলাফল
এনালগ-টু-ডিজিটেল ৰূপান্তৰক,এনালগ থেকে ডিজিটাল রূপান্তরকারী
এনালগ কম্পিউটাৰ,অ্যানালগ কম্পিউটার
বিশ্লেষণ,বিশ্লেষণ
সহাৱস্থানৰ বিশ্লেষণ,সহভক্তির বিশ্লেষণ
গণনা তথ্যৰ বিশ্লেষণ,গণনা তথ্য বিশ্লেষণ
ভ্যাৰিয়েন্সৰ বিশ্লেষণ,বৈচিত্র্যের বিশ্লেষণ
বিশ্লেষণাত্মক জ্যামিতি,বিশ্লেষণাত্মক জ্যামিতি
বিশ্লেষণাত্মক কাৰ্য্য,বিশ্লেষণমূলক ফাংশন
কোণ,কোণ
সংস্পৰ্শৰ কোণ,যোগাযোগের কোণ
বিচ্যুতিৰ কোণ,বিচ্যুতি কোণ
বিষণ্ণতাৰ কোণ,বিষণ্নতা কোণ
বিচ্যুতিৰ কোণ,বিচ্যুতি কোণ
বিবৰ্তনৰ কোণ,বিবর্তন কোণ
উচ্চতাৰ কোণ,উচ্চতা কোণ
প্ৰাদুৰ্ভাৱৰ কোণ,ঘটনার কোণ
প্ৰক্ষেপণৰ কোণ,অভিক্ষেপ কোণ
প্ৰতিফলনৰ কোণ,প্রতিফলন কোণ
বিবৰ্তনৰ কোণ,প্রতিসরণ কোণ
ঘূৰ্ণনৰ কোণ,ঘূর্ণন কোণ
মুঠ প্ৰতিফলনৰ কোণ,মোট প্রতিফলনের কোণ
কৌণিক ত্বৰণ,কৌণিক ত্বরণ
কৌণিক গতি,কৌণিক গতি
কৌণিক গতি,কৌণিক গতি
কৌণিক বেগ,কৌণিক বেগ
annulus,অ্যানুলাস
উত্তৰ,উত্তর
এন্টি – ডেৰাইভেটিভ,বিরোধী – ডেরিভেটিভ
এন্টিচিমেট্ৰিক ফাংচন,অপ্রতিসম ফাংশন
প্ৰযোজ্য,প্রযোজ্য
দৰ্খাস্ত,আবেদন
ডাইনামিক প্ৰগ্ৰেমিং প্ৰয়োগ কৰা হৈছে,প্রয়োগকৃত গতিশীল প্রোগ্রামিং
প্ৰয়োগ কৰা জ্যামিতি,প্রয়োগ করা জ্যামিতি
প্ৰয়োগ কৰা গণিত,ফলিত গণিত
প্ৰয়োগ কৰা পৰিসংখ্যা,ফলিত পরিসংখ্যান
অনুমানিক,আন্দাজ
প্ৰায় অবিৰত ফলন,প্রায় একটানা ফাংশন
আনুমানিক পদ্ধতি,আনুমানিক পদ্ধতি
আনুমানিক সমাধান,আনুমানিক সমাধান
আনুমানিক সমস্যা,আনুমানিক সমস্যা
আনুমানিক বৈশিষ্ট্য,আনুমানিক সম্পত্তি
aptitude পৰীক্ষাৰ বেটাৰী,যোগ্যতা পরীক্ষার ব্যাটারি
আৰ্গাণ্ড ডায়েগ্ৰাম,Argand ডায়াগ্রাম
ইচ্ছাকৃতভাৱে বাছি লোৱা,নির্বিচারে নির্বাচিত
স্বেচ্ছাচাৰী,ইচ্ছামত
ইচ্ছাকৃত ধ্ৰুৱক,নির্বিচারে ধ্রুবক
ইচ্ছাকৃত উপাদান,নির্বিচারে উপাদান
ইচ্ছাকৃত বিন্দু,নির্বিচারে পয়েন্ট
আৰ্কিমিডিয়ান আইন,আর্কিমিডিয়ান আইন
আৰ্কিমিডিছ নীতি,আর্কিমিডিসের নীতি
চাপৰ দৈৰ্ঘ্য,চাপ দৈর্ঘ্য
বৃত্তৰ চাপ,বৃত্তের চাপ
চাপ চাইন বিতৰণ,আর্ক সাইন ডিস্ট্রিবিউশন
চাপ চাইন ৰূপান্তৰ,চাপ সাইন রূপান্তর
এলাকা,এলাকা
এৰিয়াল টেক্সচাৰ,আঞ্চলিক টেক্সচার
জটিল সংখ্যাৰ যুক্তি,জটিল সংখ্যার যুক্তি
গাণিতিক গড়,গাণিতিক গড়
গাণিতিক কাৰ্য্য,গাণিতিক অপারেশন
গাণিতিক একক,পাটিগণিত একক
ব্যৱস্থা,ব্যবস্থা
এৰে,অ্যারে
কৃত্ৰিম উপগ্ৰহ,কৃত্রিম উপগ্রহ
কৃত্ৰিম চলক,কৃত্রিম পরিবর্তনশীল
আৰোহণ কৰা,আরোহণ
আৰোহী,আরোহী
মাত্ৰাৰ আৰোহী ক্ৰম,মাত্রার আরোহী ক্রম
আৰোহী শৃংখলা,আরোহী সিরিজ
এছেম্বলাৰ ভাষা,সংযোজনকারী ভাষা
নিযুক্তিৰ সমস্যা,নিয়োগ সমস্যা
সহযোগী আইন,সহযোগী আইন
অপাৰেটৰৰ এছ&#39;চিয়েটিভ ল&#39;,অপারেটরদের সহযোগী আইন
এছ&#39;চিয়েটিভ অপাৰেচন,সহযোগী অপারেশন
সহযোগিতা,সহযোগীতা
ধৰি লোৱা গড়,ধরে নেওয়া গড়
ধাৰণা কৰা সম্ভাৱনা বিতৰণ,অনুমান সম্ভাব্যতা বন্টন
ধাৰণা,ধৃষ্টতা
জ্যোতিষ,জ্যোতিষশাস্ত্র
মহাকাশ অভিযন্তা,মহাকাশচারী প্রকৌশলী
জ্যোতিৰ্বিজ্ঞানী,জ্যোতির্বিজ্ঞানী
জ্যোতিৰ্বিজ্ঞানৰ ঘড়ী,জ্যোতির্বিদ্যা ঘড়ি
জ্যোতিৰ্বিজ্ঞান,জ্যোতির্বিদ্যা
অসমতাপূৰ্ণ বক্ৰ,অপ্রতিসম বক্ররেখা
বিষমতা,অসমতা
asymptote,উপসর্গ
এছিম্পটটিক,অ্যাসিম্পোটিক
asymptotically দক্ষ অনুমানক,লক্ষণগতভাবে দক্ষ অনুমানকারী
asymptotically নিৰপেক্ষ অনুমানক,asymptotically নিরপেক্ষ অনুমানকারী
asymptotic আচৰণ,অ্যাসিম্পোটিক আচরণ
এছিম্পটটিক বিতৰণ ফলন,অ্যাসিম্পোটিক ডিস্ট্রিবিউশন ফাংশন
এছিম্পটটিক প্ৰসাৰণ,অ্যাসিম্পোটিক সম্প্রসারণ
বায়ুমণ্ডলীয় চাপ,বায়ুমণ্ডলীয় চাপ
যাদৃচ্ছিকভাৱে,এলোমেলোভাবে
বৈশিষ্ট্য,বৈশিষ্ট্য
বৈশিষ্ট্যসমূহৰ নমুনা সংগ্ৰহ পদ্ধতি,বৈশিষ্ট্য নমুনা পদ্ধতি
বৰ্ধিত মেট্ৰিক্স,অগমেন্টেড ম্যাট্রিক্স
স্ব-সম্বন্ধ সহগ,স্বয়ংক্রিয় সম্পর্ক সহগ
স্বয়ংসম্বন্ধ কাৰ্য্য,স্বয়ংক্রিয় সম্পর্ক ফাংশন
অটোকোভেৰিয়েন্স,স্বয়ংক্রিয়তা
স্বয়ংক্ৰিয় কম্পিউটাৰ,স্বয়ংক্রিয় কম্পিউটার
অটোৰিগ্ৰেছন,অটোরিগ্রেশন
সহায়ক সমীকৰণ,সহায়ক সমীকরণ
গড় নমুনা সংখ্যা বক্ৰ (ASN বক্ৰ),গড় নমুনা সংখ্যা বক্ররেখা (ASN কার্ভ)
axiom,স্বতঃসিদ্ধ
স্বতন্ত্ৰীয় পদ্ধতি,স্বতঃসিদ্ধ পদ্ধতি
সম্ভাৱনাৰ স্বতন্ত্ৰতা,সম্ভাব্যতার স্বতঃসিদ্ধ
অক্ষ,অক্ষ
abscissa ৰ অক্ষ,আবসিসার অক্ষ
পৃথিৱীৰ অক্ষ,পৃথিবীর অক্ষ
বিপ্লৱৰ অক্ষ,বিপ্লবের অক্ষ
ঘূৰ্ণনৰ অক্ষ,ঘূর্ণনের অক্ষ
স্পিনৰ অক্ষ,ঘূর্ণনের অক্ষ
বেক-বিকল্প,ফিরে প্রতিস্থাপন
পিছপৰা পাৰ্থক্য,পশ্চাদপদ পার্থক্য
বেকৱাৰ্ড-ইন্টাৰপলেচন সূত্ৰ,পশ্চাদগামী-ইন্টারপোলেশন সূত্র
ভাৰসাম্যতা বজাই ৰখা,ভারসাম্য
সুষম ডিজাইন,সুষম নকশা
বেলেন্স শ্বীট,ব্যালেন্স শীট
বেলিষ্টিক মিছাইল,ক্ষেপণাস্ত্র
বেলিষ্টিকছ,ব্যালিস্টিক
বাৰ,বার
ভেঁটি,ভিত্তি
ভিত্তি কোণ,ভিত্তি কোণ
লগাৰিদমৰ ভিত্তি,লগারিদমের ভিত্তি
প্ৰাথমিক,মৌলিক
মূল সম্ভৱপৰ সমাধান,মৌলিক সম্ভাব্য সমাধান
মূল সমাধান,মৌলিক সমাধান
মূল চলক,মৌলিক পরিবর্তনশীল
ভিত্তিত,ভিত্তি
ভিত্তি উপাদান,ভিত্তি উপাদান
ভিত্তি মেট্ৰিক্স,ভিত্তি ম্যাট্রিক্স
এটা ভেক্টৰ স্থানৰ ভিত্তি,একটি ভেক্টর স্থান ভিত্তি
উপস্থানৰ ভিত্তি,সাবস্পেস ভিত্তি
বেইছিয়ান অনুমান,Bayesian অনুমান
বেইছৰ নিয়ম,বেইস আইন
বেইছৰ উপপাদ্য,বেইসের উপপাদ্য
বাৰ্নৌলি বিতৰণ,বার্নোলি বিতরণ
বাৰ্নৌলি নম্বৰ,বার্নোলি নম্বর
বাৰ্নৌলি সম্ভাৱনা ফলন,Bernoulli সম্ভাব্যতা ফাংশন
বাৰ্নৌলিৰ সমীকৰণ,বার্নউলির সমীকরণ
বেৰী ফাংচন,বেরি ফাংশন
বেষ্ট ফিট,শ্রেষ্ঠ মিল
শ্ৰেষ্ঠ - ফিট লাইন,সেরা - ফিট লাইন
উত্তম সমাধান,সেরা সমাধান
শ্ৰেষ্ঠ কৌশলসমূহ,সেরা কৌশল
বিটা বিতৰণ,বিটা বিতরণ
পক্ষপাত,পক্ষপাত
পক্ষপাতমূলক অনুমান,পক্ষপাতমূলক অনুমান
বিহাৰমনিক সমীকৰণ,বিহারমোনিক সমীকরণ
bijection,দ্বিখণ্ডন
bijective মানচিত্ৰ,দ্বিমুখী মানচিত্র
bijective মেপিং,দ্বিমুখী ম্যাপিং
দ্বিৰৈখিক ৰূপ,বাইলিনিয়ার ফর্ম
দ্বিৰৈখিক ফলন,বাইলিনিয়ার ফাংশন
দ্বিৰৈখিক হাৰ্মিটিয়ান ৰূপ,বাইলিনিয়ার হারমিটিয়ান ফর্ম
বাইনাৰী,বাইনারি
বাইনাৰী ক&#39;ড,বাইনারি কোড
বাইনাৰী ক&#39;ড কৰা দশমিক,বাইনারি কোডেড দশমিক
বাইনাৰী ক&#39;ডিং,বাইনারি কোডিং
বাইনাৰী কম্পিউটাৰ,বাইনারি কম্পিউটার
বাইনাৰী অংক,বাইনারি সংখ্যা
বাইনাৰী অপাৰেচন,বাইনারি অপারেশন
বাইনাৰী ব্যৱস্থা,বাইনারি সিস্টেম
বাইনাৰী চলক,বাইনারি পরিবর্তনশীল
দ্বিপদ সহগ,দ্বিপদ সহগ
দ্বিপদ বিতৰণ,দ্বিপদ ডিস্ট্রিবিউশন
দ্বিপদ সমীকৰণ,দ্বিপদ সমীকরণ
দ্বিপদ সম্প্ৰসাৰণ,দ্বিপদ সম্প্রসারণ
দ্বিপদ অভিব্যক্তি,দ্বিপদ অভিব্যক্তি
দ্বিপদ ৰেণ্ডম চলক,দ্বিপদী র্যান্ডম পরিবর্তনশীল
দ্বিপদ উপপাদ্য,দ্বিপদ উপপাদ্য
