Hindi,Bengali
विफलन,গর্ভপাত
विफलन कालद,গর্ভপাত টাইমার
निरपेक्ष पता,পরম ঠিকানা
निरपेक्ष पताभिगमन,পরম ঠিকানা
निरपेक्ष कोडांतरक,পরম এসেম্বলার
निरपेक्ष कूट,পরম কোড
निरपेक्ष कूटलेखन,পরম কোডিং
निरपेक्ष समादेश,পরম কমান্ড
निरपेक्ष निर्देशांक,পরম সমন্বয়
निरपेक्ष आंकड़े,পরম ডেটা
निरपेक्ष त्रुटि,পরম ত্রুটি
निरपेक्ष व्यंजक,পরম অভিব্যক্তি
निरपेक्ष अनुदेश,পরম নির্দেশ
निरपेक्ष भारक,পরম লোডার
निरपेक्ष आदेश,পরম আদেশ
निरपेक्ष क्रमादेशन,পরম প্রোগ্রামিং
निरपेक्ष पद,পরম শব্দ
निरपेक्ष मान,পরম মান
निरपेक्ष सदिश,পরম ভেক্টর
"सारांश, अमूर्त",বিমূর্ত
"सारांशन, अमूर्तकरण, साराहरण",বিমূর্ত
अमूर्त प्रतीक,বিমূর্ত প্রতীক
त्वरण अवधि,ত্বরণ সময়কাল
त्वरण काल,ত্বরণের সময়
उच्चारण चिह्न,অ্যাকসেন্ট
स्वीकरण परीक्षण,স্বীকৃতি পরীক্ষা
अभिगम,অ্যাক্সেস
अभिगम बाहु,অ্যাক্সেস আর্ম
अभिगम व्यवस्था,অ্যাক্সেস ব্যবস্থা
अभिगम प्राधिकारक,অ্যাক্সেস কর্তৃপক্ষ
अभिगम शुल्क,অ্যাক্সেস চার্জ
अभिगम वर्ग,অ্যাক্সেস ক্লাস
अभिगम आँकड़ासंचय प्रबंध,অ্যাক্সেস ডেটা বেস ম্যানেজমেন্ট
अभिगम परिवेश,অ্যাক্সেস পরিবেশ
अभिगम अंतराल,অ্যাক্সেস ফাঁক
अभिगम सूचक,অ্যাক্সেস সূচক
अभिगम लाइन,অ্যাক্সেস লাইন
अभिगम यांत्रिकत्व,অ্যাক্সেস প্রক্রিয়া
अभिगम विधि,অ্যাক্সেস পদ্ধতি
अभिगम विधि नेमका,অ্যাক্সেস পদ্ধতির রুটিন
अभिगम विधा,অ্যাক্সেস মোড
अभिगम अधिकार,এক্সেস অধিকার
अभिगम क्रमवीक्षण,অ্যাক্সেস স্ক্যান
अभिगम काल,প্রবেশাধিকার সময়
लेखा कार्य,অ্যাকাউন্টিং
लेखाकार्य वित्त तंत्र,অ্যাকাউন্টিং ফিনান্স সিস্টেম
लेखा यंत्र,অ্যাকাউন্টিং মেশিন
खाता संख्या,হিসাব নাম্বার
संचयी पुनरुत्पादक,প্রজননকারী জমে
संचायक,জমে
संचायक पंजी,সংগ্রহকারী রেজিস্টার
संचायक विस्थापन अनुदेश,সংগ্রহকারী শিফট নির্দেশনা
परिशुद्धता,সঠিকতা
परिशुद्धता नियंत्रण संप्रतीक,নির্ভুলতা নিয়ন্ত্রণ চরিত্র
परिशुद्धता नियंत्रण तंत्र,নির্ভুলতা নিয়ন্ত্রণ ব্যবস্থা
उत्कृष्ठ मार्गदर्शी,এস পাইলট
पावती संप्रतीक,চরিত্র স্বীকৃতি
ध्वनिक युग्मक,অ্যাকোস্টিক কাপলার
ध्वनिक युग्मन,অ্যাকোস্টিক কাপলিং
ध्वनिक विलंब लाइन,অ্যাকোস্টিক বিলম্ব লাইন
ध्वनिक स्मृति,অ্যাকোস্টিক মেমরি
ध्वनिक मोडेम,অ্যাকোস্টিক মডেম
ध्वनिक संकेत,অ্যাকোস্টিক সিগন্যাল
ध्वनिक भंडारण,অ্যাকোস্টিক স্টোরেজ
परिवर्णी शब्द,সংক্ষিপ্ত বিবরণ
क्रिया,কর্ম
क्रिया चक्र,অ্যাকশন চক্র
क्रिया लाइन,অ্যাকশন লাইন
क्रिया संदेश,অ্যাকশন বার্তা
क्रिया विनिर्देश,ক্রিয়া স্পেসিফিকেশন
सक्रियण,অ্যাক্টিভেশন
सक्रिय,সক্রিয়
सक्रिय संचिका,সক্রিয় ফাইল
सक्रिय लाइन,সক্রিয় লাইন
सक्रिय कड़ी,সক্রিয় লিঙ্ক
सक्रिय प्रधान संचिका,সক্রিয় মাস্টার ফাইল
सक्रिय प्रधान मद,সক্রিয় মাস্টার আইটেম
सक्रिय उपग्रह,সক্রিয় স্যাটেলাইট
सक्रिय केन्द्र,সক্রিয় স্টেশন
सक्रिय भंडारण,সক্রিয় স্টোরেজ
सक्रियता,ক্রিয়াকলাপ
सक्रियता स्तर,কর্মকান্ডের পর্যায়
सक्रियता भारण,ক্রিয়াকলাপ লোড হচ্ছে
सक्रियता अनुपात,ক্রিয়াকলাপ অনুপাত
निरपेक्ष पता,আসল ঠিকানা (= পরম ঠিকানা)
निरपेक्ष कूट,আসল কোড (= পরম কোড)
वास्तविक आँकडा स्थानांतरण दर,প্রকৃত ডেটা স্থানান্তর হার
वास्तविक दशमलव बिन्दु,আসল দশমিক পয়েন্ট
प्रभावी अनुदेश,প্রকৃত নির্দেশ (= কার্যকর নির্দেশ)
वास्तविक कुंजी,আসল কী
वास्तविक काल,প্রকৃত সময়
वास्तविक कार्य काल,আসল কাজের সময়
प्रवर्तक संकेत,অ্যাকিউটিং সিগন্যাল
अनुकूलनीयता,অভিযোজনযোগ্যতা
अनुकूलित्र,অ্যাডাপ্টার
अनुकूली प्रणाल नियतन,অভিযোজিত চ্যানেল বরাদ্দ
अनुकूली समाकलन,অভিযোজিত সংহতকরণ
अनुकूली अनुप्रस्थ तुल्यकारक,অভিযোজিত ট্রান্সভার্সাল ইকুয়ালাইজার
योजित प्रविष्ट,যুক্ত এন্ট্রি
योज्य,সংযোজন
योजक,সংযোজন
योजक व्यवकलक,অ্যাডার সাবট্র্যাক্টর
योजी संचिका,ফাইল যুক্ত কর
विशिष्ट संप्रतीक,অতিরিক্ত চরিত্র (= বিশেষ চরিত্র)
योग अभिलेख,সংযোজন রেকর্ডার
योग सारणी,সংযোজন টেবিল
योज्य गुण,সংযোজন বৈশিষ্ট্য
योग विधा,মোড যুক্ত করুন
योग संक्रिया,অপারেশন যুক্ত করুন
पता,ঠিকানা
पतायोग्यता माप,ঠিকানা পরিমাপ
पतायोग्य क्षौतिज स्थिति,ঠিকানাযোগ্য অনুভূমিক অবস্থান
पतायोग्य बिन्दु,ঠিকানাযোগ্য পয়েন্ট
पतायोग्य स्थिति,ঠিকানাযোগ্য অবস্থান
पतायोग्य पंजी,ঠিকানাযোগ্য নিবন্ধ
पतायोग्य भंडारण,ঠিকানাযোগ্য স্টোরেজ
पतायोग्य ऊर्ध्वाधर स्थिति,ঠিকানাযোগ্য উল্লম্ব অবস্থান
पता बस,ঠিকানা বাস
पता कूट,ঠিকানা কোড
पता तुलनित्र,ঠিকানা তুলনামূলক
पता अभिकलन,ঠিকানা গণনা
पता अचर,ধ্রুবক ঠিকানা
पता रूपांतरण,ঠিকানা রূপান্তর
पता आँकड़े,ঠিকানা ডেটা
पतायुक्त स्मृति,সম্বোধন স্মৃতি
प्रभावी पता,ঠিকানা কার্যকর
पता क्षेत्र,ঠিকানা ক্ষেত্র
पता संरूप,ঠিকানা ফর্ম্যাট
पता निरपेक्ष क्रमादेश,ঠিকানা বিনামূল্যে প্রোগ্রাম
पताभिगमन,সম্বোধন
पताभिगमन संप्रतीक,"সম্বোধন
 চরিত্র"
पताभिगमन अंतरायन,বাধা সম্বোধন
पताभिगमन पाश,লুপ সম্বোধন
पताभिगमन आभासी स्मृति,ভার্চুয়াল মেমরি সম্বোধন
पता अंतर्ग्रथन,ঠিকানা ইন্টারল্যাকিং
पतारहित अनुदेश संरुप,ঠিকানাহীন নির্দেশাবলী ফর্ম্যাট
पता लाइन,ঠিকানা লাইন
पता प्रतिचित्रण,ঠিকানা ম্যাপিং
पता चिह्न,ঠিকানা চিহ্ন
पता आपरिवर्तन,ঠিকানা পরিবর্তন
पता भाग,ঠিকানা অংশ
