Kannada,Gujarati
ಅಬೆಲಿ ಗುಂಪು,અબેલી જૂથ
ಅಬೆಲಿ ಗುಂಪು,અબેલી જૂથ
ಕೈ,હાથ
"ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ಸ್ಥಿರ, ನಿಖರ","નિરપેક્ષ, નિરપેક્ષ, અચળ, ચોક્કસ"
ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ,સંપૂર્ણ સંકલન
ಸಂಪೂರ್ಣ ದೋಷ,સંપૂર્ણ ભૂલ
ಸರ್ವೋಚ್ಚ ಸರ್ವೋಚ್ಚ,સર્વોચ્ચ સર્વોચ્ચ
ಸಂಪೂರ್ಣ ಕಡಿಮೆ,એકદમ નીચું
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,સંપૂર્ણ મૂલ્ય
ಸಂಪೂರ್ಣ ವೇಗ,સંપૂર્ણ વેગ
ಅಮೂರ್ತ ಬೀಜಗಣಿತ,અમૂર્ત બીજગણિત
ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ,અમૂર્ત જૂથ સિદ્ધાંત
ವೇಗವರ್ಧನೆ,પ્રવેગ
ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ,ગુરુત્વાકર્ષણ પ્રવેગક
ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆಗಾರ,સ્વીકાર્ય પસંદગીકાર
ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ,સ્વીકાર્ય ગુણવત્તા સ્તર
ಸ್ವೀಕಾರಾರ್ಹ ಆವರಣ,સ્વીકાર્ય જગ્યા
ಮಾನ್ಯವಾದ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ,માન્ય વિશ્વસનીયતા સ્તર
ಸ್ವೀಕಾರ ಮಾದರಿ,સ્વીકૃતિ નમૂના
ಸಂಚಿತ ದೋಷ,સંચિત ભૂલ
ನಿಖರತೆ,ચોકસાઈ
ಅನ್ವಯಿಸಿದ ಬಲ,બળ લાગુ કર્યું
"ಕ್ರಿಯೆ, ಕಾರ್ಯ","ક્રિયા, ખત"
ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ,ક્રિયા અને પ્રતિક્રિયા
ವಿಮಾ ವಿಜ್ಞಾನ,વીમા વિજ્ઞાન
ತೀವ್ರ ತ್ರಿಕೋನ,તીવ્ર ત્રિકોણ
ಅಸೈಕ್ಲಿಕ್,એસાયક્લિક
ಒಟ್ಟುಗೂಡಿಸಲು,સારાંશ માટે
ಸೇರಿಸುವವನು,ઉમેરનાર
"ಮೊತ್ತ, ಸಂಕಲನ, ಸಂಕಲನ (ಸಿ.), ಸಂಯೋಜಕ (ವಿ.)","સરવાળો, ઉમેરો, સરવાળો (c.), ઉમેરણ (v.)"
ಯೋಗದ ಸೂತ್ರ,યોગનું સૂત્ર
ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳ ಮೊತ್ತ,જટિલ સંખ્યાઓનો સરવાળો
ಕಾರ್ಯಗಳ ಮೊತ್ತ,કાર્યોનો સરવાળો
ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಮೊತ್ತ,મેટ્રિસિસનો સરવાળો
ಬಹುಪದಗಳ ಮೊತ್ತ,બહુપદીનો સરવાળો
ಸಂಭವನೀಯತೆಗಳ ಮೊತ್ತ,સંભાવનાઓનો સરવાળો
ವಾಹಕಗಳ ಮೊತ್ತ,વેક્ટરનો સરવાળો
"ಯೋಗ ಪ್ರಮೇಯ, ಬೆರ್ರಿ ಸಿದ್ಧಾಂತ,","સરવાળો પ્રમેય, બેરી સિદ્ધાંત"
ಸಂಯೋಜಕ ಗುಂಪು,ઉમેરણ જૂથ
ಸಂಯೋಜಕ ವಿಲೋಮ,ઉમેરણ વ્યસ્ત
ಸೇರಿಸುವಿಕೆ,ઉમેરણ
ಸೇರಿಸುವಿಕೆ,ઉમેરણ
ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್,સંલગ્નતા મેટ્રિક્સ
"ಪಕ್ಕದ, ಪಕ್ಕದ, ಪಕ್ಕದ","અડીને, અડીને, અડીને"
ಪಕ್ಕದ ಕೋನ,અડીને કોણ
ಪಕ್ಕದ ಶೃಂಗ,અડીને શિરોબિંદુ
ಸಂಯೋಜಿಸಲು,સાંકળવું
"ಲಗತ್ತಿಸಲಾದ ಸುತ್ತುವರಿದ,",જોડાયેલ બંધ
ಸಾಮಾನ್ಯ ನಿರ್ಣಾಯಕ,સામાન્ય નિર્ણાયક
ಲಗತ್ತಿಸಲಾದ ಭೇದಾತ್ಮಕ ಸಮೀಕರಣ,જોડાયેલ વિભેદક સમીકરણ
ಲಗತ್ತಿಸಲಾದ ಸಮೀಕರಣ,જોડાયેલ સમીકરણ
ಏಕರೂಪದ ಮ್ಯಾಟ್ರಿಕ್ಸ್,કોહોમોજીનીયસ મેટ્રિક્સ
ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಒಗ್ಗಟ್ಟು,મેટ્રિક્સ સહપ્રવૃત્તિ
ಏಕರೂಪದ ಮ್ಯಾಟ್ರಿಕ್ಸ್,કોહોમોજીનીયસ મેટ્રિક્સ
ಸ್ವೀಕಾರಾರ್ಹ ನಿರ್ಧಾರ ಕಾರ್ಯ,સ્વીકાર્ય નિર્ણય કાર્ય
ಸ್ವೀಕಾರಾರ್ಹ ಊಹೆ,સ્વીકાર્ય પૂર્વધારણા
ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಶಕ್ತಿ,એરોડાયનેમિક બળ
ವಾಯುಬಲವಿಜ್ಞಾನ,એરોડાયનેમિક્સ
ಏಕರೂಪದ ಜ್ಯಾಮಿತಿ,સજાતીય ભૂમિતિ
ಏಕರೂಪದ ಮ್ಯಾಪಿಂಗ್,સજાતીય મેપિંગ
ಏಕರೂಪದ ರೂಪಾಂತರ,સજાતીય પરિવર્તન
ಒಟ್ಟು ವೇರಿಯಬಲ್,એકંદર ચલ
"ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ","બીજગણિત, બીજગણિત, બીજગણિત, બીજગણિત"
"ಬೀಜದ ಮುಚ್ಚಿದ, ಬೀಜದ","સીડી બંધ, બીજરૂપે"
ಬೀಜಗಣಿತದ ಸಮೀಕರಣ,બીજગણિતીય સમીકરણ
ಬೀಜಗಣಿತದ ಅಭಿವ್ಯಕ್ತಿ,બીજગણિતીય અભિવ્યક્તિ
ಬೀಜಗಣಿತದ ಏಕರೂಪತೆ,બીજગણિત એકરૂપતા
ಬೀಜಗಣಿತದ ಕಾರ್ಯ,બીજગણિત કાર્ય
ಬೀಜಗಣಿತದ ರೇಖಾಗಣಿತ,બીજગણિત ભૂમિતિ
ಬೀಜಗಣಿತದ ಬಹುತ್ವ,બીજગણિત બહુમતી
ಬೀಜಗಣಿತ ವ್ಯವಸ್ಥೆ,બીજગણિત સિસ્ટમ
ಎಲ್ಲಾ ಪೂರ್ಣಾಂಕ ಸಮಸ್ಯೆ,તમામ પૂર્ણાંક સમસ્યા
"ನಿಯೋಜನೆ ಸಮಸ್ಯೆ ವ್ಯಾಟ್ ಪ್ರಶ್ನೆ,",સોંપણી સમસ્યા વોટ પ્રશ્ન
ವರ್ಣಮಾಲೆಯ ಸಂಕೇತ,આલ્ફાબેટીકલ નોટેશન
ವರ್ಣಮಾಲೆಯ ಅಕ್ಷರ,આલ્ફાબેટીક અક્ષર
ಪರ್ಯಾಯ ಕೋನಗಳು,વૈકલ્પિક ખૂણા
"ಪರ್ಯಾಯ ಏಕರೂಪದ ಪರ್ಯಾಯ ರೂಪ,",વૈકલ્પિક સજાતીય વૈકલ્પિક સ્વરૂપ
ಪರ್ಯಾಯ ಗುಂಪು,વૈકલ્પિક જૂથ
ಪರ್ಯಾಯ ಮ್ಯಾಟ್ರಿಕ್ಸ್,વૈકલ્પિક મેટ્રિક્સ
ಪರ್ಯಾಯ ಸರಣಿ,વૈકલ્પિક શ્રેણી
ಪರ್ಯಾಯ ಕಲ್ಪನೆ,વૈકલ્પિક પૂર્વધારણા
ಪರ್ಯಾಯ ಆಪ್ಟಿಮಮ್,વૈકલ્પિક શ્રેષ્ઠ
ಪರ್ಯಾಯ ಫಲಿತಾಂಶ,વૈકલ્પિક પરિણામ
ಅನಲಾಗ್-ಅಂಕಿಯ ಪರಿವರ್ತಕ,એનાલોગ-અંક કન્વર્ટર
"ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್,",એનાલોગ કમ્પ્યુટર
ವಿಶ್ಲೇಷಣೆ,વિશ્લેષણ
ಸಹವರ್ತಿ ವಿಶ್ಲೇಷಣೆ,સહપ્રવર્તન વિશ્લેષણ
ಎಣಿಕೆ-ಡೇಟಾ ವಿಶ್ಲೇಷಣೆ,ગણતરી-માહિતી વિશ્લેષણ
ವ್ಯತ್ಯಾಸ ವಿಶ್ಲೇಷಣೆ,વિચલન વિશ્લેષણ
ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಜ್ಯಾಮಿತಿ,વિશ્લેષણાત્મક ભૂમિતિ
ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಕಾರ್ಯ,વિશ્લેષણાત્મક કાર્ય
ಕೋನ,કોણ
ಸ್ಪರ್ಶ ಕೋನ,સ્પર્શકોણ
ವಿಚಲನ ಕೋನ,વિચલન કોણ
ಖಿನ್ನತೆಯ ಕೋನ,હતાશા કોણ
ವಿಚಲನ ಕೋನ,વિચલન કોણ
ವಿವರ್ತನೆಯ ಕೋನ,વિવર્તન કોણ
ಎತ್ತರದ ಕೋನ,એલિવેશન એંગલ
ಘಟನೆಯ ಕೋನ,ઘટના કોણ
ಪ್ರೊಜೆಕ್ಷನ್ ಕೋನ,પ્રક્ષેપણ કોણ
ಪ್ರತಿಬಿಂಬದ ಕೋನ,પ્રતિબિંબ કોણ
ವಕ್ರೀಭವನದ ಕೋನ,રીફ્રેક્શન કોણ
ತಿರುಗುವ ಕೋನ,પરિભ્રમણ કોણ
ಪ್ರತಿಫಲನದ ಸಂಪೂರ್ಣ ಕೋನ,પ્રતિબિંબનો સંપૂર્ણ કોણ
ಕೋನೀಯ ವೇಗವರ್ಧನೆ,કોણીય પ્રવેગક
ಕೋನೀಯ ವೇಗ,કોણીય વેગ
ಕೋನೀಯ ವೇಗ,કોણીય ઝડપ
ಕೋನೀಯ ವೇಗ,કોણીય વેગ
ಉಂಗುರದ ಬೆರಳು,રિંગ આંગળી
ಉತ್ತರ,જવાબ આપો
ಕೌಂಟರ್ ಉತ್ಪನ್ನ,પ્રતિ વ્યુત્પન્ન
ಸಮಮಾಪನ ಕಾರ್ಯ,આઇસોમેટ્રિક કાર્ય
"ಆವರಿಸಬಹುದಾದ, ಅನ್ವಯಿಸುವ, ಅನ್ವಯಿಸುವ","આવરી લેવા યોગ્ય, લાગુ, લાગુ"
"ಅರ್ಜಿ ಅರ್ಜಿ,",અરજી અરજી
ಅನ್ವಯಿಕ ಡೈನಾಮಿಕ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್,લાગુ ડાયનેમિક પ્રોગ્રામિંગ
ಅನ್ವಯಿಕ ಜ್ಯಾಮಿತಿ,લાગુ ભૂમિતિ
ಅನ್ವಯಿಕ ಗಣಿತ,લાગુ ગણિત
ಅನ್ವಯಿಕ ಅಂಕಿಅಂಶಗಳು,લાગુ આંકડા
"ಸರಿಸುಮಾರು, ಸರಿಸುಮಾರು","લગભગ, લગભગ"
ಸರಿಸುಮಾರು ನಿರಂತರ ಕಾರ್ಯ,લગભગ સતત કાર્ય
"ಮ್ಯಾಕ್ರೋ ವಿಧಾನ, ಅಂದಾಜು ವಿಧಾನ","મેક્રો પદ્ધતિ, અંદાજ પદ્ધતિ"
ಅಂದಾಜು ಪರಿಹಾರ,અંદાજિત ઉકેલ
ಅಂದಾಜು ಸಮಸ್ಯೆ,અંદાજની સમસ્યા
ಅಂದಾಜು ಆಸ್ತಿ,અંદાજિત મિલકત
ಯೋಗ್ಯತಾ ಪರೀಕ್ಷೆ,અભિરુચિ કસોટી
ಆರ್ಗಾನ್ ರೇಖಾಚಿತ್ರ,આર્ગોન ડાયાગ્રામ
ಸ್ವಯಂಪ್ರೇರಿತ,સ્વૈચ્છિક
"ಯಾದೃಚ್ಛಿಕ, ಯಾದೃಚ್ಛಿಕ","રેન્ડમ, રેન્ડમ"
ಅನಿಯಂತ್ರಿತ ಸ್ಥಿರ,મનસ્વી સતત
ಉಚಿತ ಅಂಶ,મફત તત્વ
ಅನಿಯಂತ್ರಿತ ಬಿಂದು,મનસ્વી બિંદુ
ಆರ್ಕಿಮಿಡೀಸ್ ಕಾನೂನು,આર્કિમિડીનો કાયદો
ಆರ್ಕಿಮಿಡಿಸ್ ಕಾನೂನು,આર્કિમિડીઝનો કાયદો
"ಚಾಪ-ಉದ್ದ, ಚಾಪ-ಉದ್ದ","ચાપ-લંબાઈ, ચાપ-લંબાઈ"
ವೃತ್ತದ ಚಾಪ,વર્તુળ ચાપ
ವಿಲೋಮ ಸೈನ್ ವಿತರಣೆ,વ્યસ્ત સાઈન વિતરણ
ವಿಲೋಮ ಸೈನ್ ಪರಿವರ್ತನೆ,વ્યસ્ત સાઈન રૂપાંતરણ
"ಪ್ರದೇಶ, ಪ್ರದೇಶ","વિસ્તાર, વિસ્તાર"
ಪ್ರಾದೇಶಿಕ ಸಂರಚನೆ,પ્રાદેશિક રૂપરેખાંકન
ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಯ ಕೋನ,જટિલ સંખ્યાનો કોણ
ಅಂಕಗಣಿತದ ಸರಾಸರಿ,અંકગણિત સરેરાશ
ಡಿಜಿಟಲ್ ಕಾರ್ಯಾಚರಣೆ,ડિજિટલ કામગીરી
ಡಿಜಿಟಲ್ ಘಟಕ,ડિજિટલ એકમ
"ಸಂರಚನೆ, ವ್ಯವಸ್ಥೆ","ગોઠવણી, ગોઠવણી"
"ವ್ಯೂಹ, ವ್ಯೂಹ","એરે, એરે"
ಕೃತಕ ಉಪಗ್ರಹ,કૃત્રિમ ઉપગ્રહ
ಕೃತಕ ವೇರಿಯಬಲ್,કૃત્રિમ ચલ
ಏರಲು,ચઢવું
ಆರೋಹಣ,ચડતા
ಪರಿಮಾಣದ ಆರೋಹಣ ಕ್ರಮ,તીવ્રતાનો ચડતો ક્રમ
ಆರೋಹಣ ದರ್ಜೆ,ચડતા ગ્રેડ
ಅಸೆಂಬ್ಲರ್ ಭಾಷೆ,એસેમ્બલર ભાષા
