Bengali,Marathi
আবেলিয়ান গ্রুপ,अबेलियन गट
আবেলিয়ান সেমিগ্রুপ,अबेलियन अर्धसमूह
abscissa,abscissa
পরম,निरपेक्ष
পরম মিলন,परिपूर्ण अभिसरण
পরম ত্রুটি,पूर्ण त्रुटी
পরম সর্বোচ্চ,परिपूर्ण कमाल
পরম সর্বনিম্ন,परिपूर्ण किमान
পরম মান,परिपूर्ण मूल्य
পরম বেগ,परिपूर्ण वेग
বিমূর্ত বীজগণিত,अमूर्त बीजगणित
বিমূর্ত গ্রুপ তত্ত্ব,अमूर्त गट सिद्धांत
ত্বরণ,प्रवेग
মাধ্যাকর্ষণ বলের প্রভাবে গতি বৃদ্ধি,गुरुत्वाकर्षणामुळे प्रवेग
গ্রহণযোগ্য পছন্দ সেট,स्वीकार्य निवड संच
গ্রহণযোগ্য মানের স্তর,स्वीकार्य गुणवत्ता पातळी
গ্রহণযোগ্য পরিসীমা,स्वीकार्य श्रेणी
গ্রহণযোগ্য নির্ভরযোগ্যতা স্তর,स्वीकार्य विश्वसनीयता पातळी
গ্রহণযোগ্য নমুনা,स्वीकार्य नमुना
সঞ্চিত ত্রুটি,संचित त्रुटी
সঠিকতা,अचूकता
অভিনয় শক্তি,अभिनय शक्ती
কর্ম,क्रिया
কর্ম এবং প্রতিক্রিয়া,क्रिया आणि प्रतिक्रिया
বাস্তব বিজ্ঞান,वास्तविक विज्ञान
তীব্র কোণযুক্ত ত্রিভুজ,तीव्र कोन त्रिकोण
অ্যাসাইক্লিক,अॅसायक्लिक
যোগ করুন,जोडा
যোগকারী,जोडणारा
সংযোজন,या व्यतिरिक्त
সংযোজন সূত্র,जोड सूत्र
জটিল সংখ্যার সংযোজন,जटिल संख्यांची बेरीज
ফাংশন সংযোজন,कार्ये जोडणे
ম্যাট্রিক্সের সংযোজন,मॅट्रिक्स जोडणे
বহুপদ সংযোজন,बहुपदी जोडणे
সম্ভাবনার সংযোজন,संभाव्यता जोडणे
ভেক্টর সংযোজন,वेक्टर जोडणे
সংযোজন উপপাদ্য,अतिरिक्त प्रमेय
সংযোজনকারী গ্রুপ,मिश्रित गट
সংযোজন বিপরীত,additive inverse
সংযোজক সম্পত্তি,अतिरिक्त गुणधर्म
সংযোজন,जोड
অন্তিক ম্যাট্রিক্স,संलग्नता मॅट्रिक्स
সংলগ্ন,समीप
সন্নিহিত কোণ,समीप कोन
সংলগ্ন শীর্ষবিন্দু,समीप शिरोबिंदू
সংলগ্ন,संलग्न
সংলগ্ন,शेजारील
সংলগ্ন নির্ধারক,संलग्न निर्धारक
সন্নিহিত ডিফারেনশিয়াল সমীকরণ,संलग्न विभेदक समीकरण
সংলগ্ন সমীকরণ,संलग्न समीकरण
সংলগ্ন ম্যাট্রিক্স,संलग्न मॅट्रिक्स
ম্যাট্রিক্সের সংলগ্ন,मॅट्रिक्सचा संलग्न
সামঞ্জস্যপূর্ণ ম্যাট্রিক্স,मॅट्रिक्स समायोजित करा
গ্রহণযোগ্য সিদ্ধান্ত ফাংশন,स्वीकार्य निर्णय कार्य
গ্রহণযোগ্য অনুমান,स्वीकार्य गृहीतक
এরোডাইনামিক বল,वायुगतिकीय शक्ती
বায়ুগতিবিদ্যা,वायुगतिकी
affine জ্যামিতি,affine भूमिती
affine ম্যাপিং,affine मॅपिंग
affine রূপান্তর,affine परिवर्तन
একত্রিত ভেরিয়েবল,एकत्रित व्हेरिएबल्स
বীজগণিত,बीजगणित
বীজগণিতভাবে বন্ধ,बीजगणितानुसार बंद
বীজগণিত সমীকরণ,बीजगणितीय समीकरण
বীজগাণিতিক এক্সপ্রেশন,बीजगणितीय अभिव्यक्ती
বীজগাণিতিক ফর্ম,बीजगणितीय फॉर्म
বীজগণিতীয় ফাংশন,बीजगणितीय कार्य
বীজগণিত জ্যামিতি,बीजगणितीय भूमिती
বীজগণিতের বহুত্ব,बीजगणितीय गुणाकार
বীজগণিত ব্যবস্থা,बीजगणित प्रणाली
সমস্ত পূর্ণসংখ্যা সমস্যা,सर्व-पूर्णांक समस्या
বরাদ্দ সমস্যা,वाटप समस्या
বর্ণানুক্রমিক স্বরলিপি,वर्णक्रमानुसार नोटेशन
বর্ণানুক্রমিক অক্ষর,वर्णमाला वर्ण
বিকল্প কোণ,पर्यायी कोन
বিকল্প ফর্ম,पर्यायी फॉर्म
বিকল্প গোষ্ঠী,पर्यायी गट
বিকল্প ম্যাট্রিক্স,पर्यायी मॅट्रिक्स
বিকল্প সিরিজ,पर्यायी मालिका
বিকল্প অনুমান,पर्यायी गृहीतक
বিকল্প অপটিমা,पर्यायी ऑप्टिमा
বিকল্প ফলাফল,पर्यायी परिणाम
এনালগ থেকে ডিজিটাল রূপান্তরকারী,अॅनालॉग-टू-डिजिटल कनवर्टर
অ্যানালগ কম্পিউটার,अॅनालॉग संगणक
বিশ্লেষণ,विश्लेषण
সহভক্তির বিশ্লেষণ,सहप्रसरणाचे विश्लेषण
গণনা তথ্য বিশ্লেষণ,गणना डेटाचे विश्लेषण
বৈচিত্র্যের বিশ্লেষণ,भिन्नतेचे विश्लेषण
