Hindi,Gujarati
ऐम्पियर (मात्रक),એમ્પીયર (એકમ)
ऐंगस्ट्रम,એંગસ્ટ્રમ
ए-वर्ग प्रवर्धक,એ-ક્લાસ એમ્પ્લીફાયર
ए.एन रेडियो सहाय,એએન રેડિયો સહાય
ए-क्रमवीक्षण प्रस्तुति,a-સ્કેનીંગ પ્રસ્તુતિ
ए-दर्श,a-દર્શ
ए-स्कोप प्रदर्शन,A-સ્કોપ કામગીરી
ए-टी कर्तित क्रिस्टल,A-T વક્ર ક્રિસ્ટલ
"ए.सी-डी.सी. लाभ, ए. सी-डी. सी लब्धि, ए. सी-डी. सी. प्रवर्धन","એસી ડીસી લાભો, એ. સીડી. સી.લાભી, એ. સીડી. c. એમ્પ્લીફિકેશન"
पूर्वाह्न,છું
ए.एम.यू. (परमाणु संहति मात्रक),AMU (અણુ સમૂહ એકમ)
आर्ड-वार्क*,આર્ડ-વાર્ક*
ऐब-ऐम्पियर,એબ-એમ્પીયર
ए-बी वर्ग प्रवर्धक,A-B વર્ગ એમ્પ્લીફાયર
आदितः,અદાહ
ए-बी शक्ति पिटक,A-B શક્તિ પિટક
एबीएसी =एलाइनमेंट चार्ट=नोमोग्राफ़,abc = ગોઠવણી ચાર્ટ = નોમોગ્રાફ
ऐबे संख्या (ऐबे नियतांक),અબે નંબર (અબે સતત)
ऐबे अपवर्तनमापी,અબે રીફ્રેક્ટોમીટર
ऐबे ज्या अवस्था,અબે સાઈન સ્ટેટ
स्वचालित बायस प्रतिकार,આપોઆપ પૂર્વગ્રહ વળતર
ऐबकूलॉम,abcoulom
"विपथन, अपेरण",વિકૃતિ
विपथन संशोधक लेन्स,વિકૃતિ સુધારક લેન્સ
आकाश-विपथन,આકાશ વિકૃતિ
एबफैराड,અફરદ
एबहेनरी,એબેનરી
ऐबनी प्रभाव (ऐबनी नियम),ઇબોની અસર
अपसामान्य ध्रुवण,અસામાન્ય ધ્રુવીકરણ
अपसामान्य संचरण,અસામાન્ય ટ્રાન્સમિશન
अपसामान्य परावर्तन,પેરાનોર્મલ પ્રતિબિંબ
अपसामान्य अपवर्तन*,અસામાન્ય રીફ્રેક્શન*
अपसामान्य प्रतिरोध,પેરાનોર્મલ પ્રતિકાર
ऐब-ओम,ab-om
"पूर्वपात, विफलन","પ્રબળતા, નિષ્ફળતા"
"असंलग्न, सहसा, खड़ा, विच्छिन्न, खंडित","જોડાયેલ, સામાન્ય રીતે, સ્થાયી, વિચ્છેદિત, ખંડિત"
सहसा जंप,ઘણી વાર કૂદકો
भुज*,હાથ*
लुप्त परावर्तन,પ્રતિબિંબ ગુમાવ્યું
लुप्त स्पैक्ट्रम,ગુમ થયેલ સ્પેક્ટ્રમ
"निरपेक्ष, परम, अचर, परिशुद्ध","નિરપેક્ષ, નિરપેક્ષ, અચળ, સંપૂર્ણ"
निरपेक्ष त्वरण,સંપૂર્ણ પ્રવેગક
निरपेक्ष यथार्थता,સંપૂર્ણ વાસ્તવિકતા
निरपेक्ष पता,સંપૂર્ણ સરનામું
भूसापेक्ष तुंगतामापी,જિયો-રિલેટિવ અલ્ટીમીટર
भूसापेक्ष तुंगता,ભૌગોલિક ઊંચાઈ
निरपेक्ष ऐम्पियर,સંપૂર્ણ એમ્પીયર
परम क्वथनांक,સંપૂર્ણ ઉત્કલન બિંદુ
निरपेक्ष तेजमापीय दीप्ति,સંપૂર્ણ તેજ
निरपेक्ष धारिता,સંપૂર્ણ ક્ષમતા
निरपेक्ष ऊँचाई,ચોક્કસ ઊંચાઈ
निरपेक्ष वर्णाक,સંપૂર્ણ રંગદ્રવ્ય
"निरपेक्ष विन्यास, असंदिग्ध विन्यास","સંપૂર્ણ રૂપરેખાંકન, અસ્પષ્ટ રૂપરેખાંકન"
निरपेक्ष कूलॉम,સંપૂર્ણ કૂલમ્બ
पूर्ण अंधकार,સંપૂર્ણ અંધકાર
निरपेक्ष कालनिर्धारण,સંપૂર્ણ સમયપત્રક
निरपेक्ष घनत्व*,સંપૂર્ણ ઘનતા*
निरपेक्ष अपवहन,સંપૂર્ણ ડ્રેનેજ
निरपेक्ष इ.एम.यू. (विद्युत् चुबंकीय मात्रक),સંપૂર્ણ EMU (ઇલેક્ટ્રોમેગ્નેટિક એકમ)
निरपेक्ष इ.एस.यू. (स्थिर विद्युत् मात्रक),સંપૂર્ણ ESU (સ્થિર એકમ)
निरपेक्ष दक्षता,સંપૂર્ણ કાર્યક્ષમતા
निरपेक्ष विद्युतमापी,સંપૂર્ણ ઇલેક્ટ્રોમીટર
"निरपेक्ष बारंबारता, निरपेक्ष आवृत्ति",સંપૂર્ણ આવર્તન સંપૂર્ણ આવર્તન
निरपेक्ष आर्द्रता,સંપૂર્ણ ભેજ
निरपेक्ष आपतन,સંપૂર્ણ ઘટના
निरपेक्ष अपवर्तनांक,સંપૂર્ણ રીફ્રેક્ટિવ ઇન્ડેક્સ
निरपेक्ष अस्‍थायित्व,સંપૂર્ણ અસ્થિરતા
निरपेक्ष अस्‍थायित्व,સંપૂર્ણ અસ્થિરતા
"निरपेक्ष तीव्रता, निरपेक्ष उग्रता","સંપૂર્ણ તીવ્રતા, સંપૂર્ણ તીવ્રતા"
शैथिल्य की निरपेक्ष सीमा,અસ્થેનિયાની સંપૂર્ણ મર્યાદા
निरपेक्ष ज्योतिर्मयता देहली,સંપૂર્ણ રોશની
